ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AAF.P0000,2021-08-22,9.1,16.9,9.1,12.2,10996.0,902,8
AAF.P0000,2021-08-23,9.5,11.0,9.5,10.5,21131.0,2011,6
AAF.P0000,2021-08-25,9.8,10.0,9.0,9.1,70709.5,7760,20
AAF.P0000,2021-08-26,9.1,9.1,9.1,9.1,91.0,10,1
AAF.P0000,2021-08-31,10.8,10.8,10.5,9.1,74.1,7,3
AAF.P0000,2021-09-02,10.6,10.6,10.5,10.6,2975.6,281,4
AAF.P0000,2021-09-05,10.4,10.4,10.4,10.4,10400.0,1000,2
AAF.P0000,2021-09-08,10.3,10.3,10.3,10.4,10.3,1,1
AAF.P0000,2021-09-09,10.3,10.3,10.3,10.4,10.3,1,1
AAF.P0000,2021-09-14,10.4,10.4,10.4,10.4,15600.0,1500,1
AAF.P0000,2021-09-15,10.3,10.3,10.3,10.4,927.0,90,2
AAF.P0000,2021-09-27,8.0,8.0,8.0,8.0,12000.0,1500,4
AAF.P0000,2021-09-29,9.9,10.0,9.9,10.0,13279.8,1328,13
AAF.P0000,2021-09-30,10.5,11.0,10.5,10.7,55272.5,5181,19
AAF.P0000,2021-10-03,10.5,10.5,9.9,10.0,42504.5,4239,14
AAF.P0000,2021-10-04,10.1,10.1,10.1,10.0,101.0,10,1
AAF.P0000,2021-10-12,9.2,9.2,9.0,9.1,72450.4,8000,35
AAF.P0000,2021-10-13,9.6,9.6,8.9,8.9,19793.6,2216,15
AAF.P0000,2021-10-14,9.9,9.9,9.4,9.9,3064.0,310,5
AAF.P0000,2021-10-20,9.7,9.7,9.7,9.9,29.1,3,1
AAF.P0000,2021-10-21,9.8,9.8,9.7,9.7,979.8,101,2
AAF.P0000,2021-10-25,9.5,9.5,9.5,9.7,152.0,16,2
AAF.P0000,2021-10-27,9.2,9.2,9.2,9.2,920.0,100,1
AAF.P0000,2021-10-28,10.7,10.7,10.7,9.2,10.7,1,1
AAF.P0000,2021-10-31,9.2,9.2,9.2,9.2,920.0,100,1
AAF.P0000,2021-11-01,10.0,10.0,10.0,10.0,1000.0,100,1
AAF.P0000,2021-11-07,8.9,9.2,8.9,9.2,6008.9,658,3
AAF.P0000,2021-11-08,9.5,9.5,9.5,9.5,4645.5,489,1
AAF.P0000,2021-11-10,9.3,9.3,9.1,9.1,10309.0,1130,3
AAF.P0000,2021-11-15,9.2,9.2,9.2,9.2,1232.8,134,1
AAF.P0000,2021-11-16,9.1,9.4,9.1,9.3,8753.4,950,6
AAF.P0000,2021-11-25,10.1,10.1,8.5,9.3,109.5,11,2
AAF.P0000,2021-12-01,9.8,10.0,9.8,10.0,51195.6,5122,7
AAF.P0000,2021-12-05,9.0,10.0,9.0,9.8,1355.9,139,4
AAF.P0000,2021-12-06,10.0,10.0,9.8,9.8,9810.0,1001,3
AAF.P0000,2021-12-07,10.0,10.0,9.0,9.0,9060.0,1006,4
AAF.P0000,2021-12-08,9.0,9.0,9.0,9.0,225.0,25,1
AAF.P0000,2021-12-13,10.2,10.2,10.2,10.2,30661.2,3006,4
AAF.P0000,2021-12-14,10.2,10.2,10.2,10.2,15300.0,1500,2
AAF.P0000,2021-12-16,9.2,10.0,9.2,9.2,930.0,101,2
AAF.P0000,2021-12-22,9.1,9.1,9.1,9.2,9.1,1,1
AAF.P0000,2021-12-26,9.5,9.5,9.5,9.5,18943.0,1994,2
AAF.P0000,2021-12-27,9.5,9.5,9.5,9.5,1900.0,200,1
AAF.P0000,2021-12-30,10.1,10.1,10.1,10.1,6060.0,600,8
AAF.P0000,2022-01-02,9.6,9.9,9.6,9.6,3295.8,343,3
AAF.P0000,2022-01-03,9.8,9.8,9.8,9.8,13465.2,1374,7
AAF.P0000,2022-01-04,10.0,10.1,9.9,10.0,134346.3,13390,16
AAF.P0000,2022-01-05,10.0,10.8,10.0,10.8,32931.4,3088,7
AAF.P0000,2022-01-06,10.8,10.8,10.2,10.3,46553.1,4316,10
AAF.P0000,2022-01-09,10.3,10.8,10.1,10.8,16404.0,1520,6
AAF.P0000,2022-01-10,10.8,10.8,10.1,10.5,1787.0,170,4
AAF.P0000,2022-01-11,10.1,10.1,10.1,10.5,282.8,28,2
AAF.P0000,2022-01-17,10.1,10.1,10.1,10.1,3605.7,357,2
AAF.P0000,2022-01-18,10.7,10.7,10.7,10.7,1080.7,101,2
AAF.P0000,2022-01-19,10.6,10.6,10.6,10.6,15900.0,1500,4
AAF.P0000,2022-01-26,10.6,10.6,10.6,10.6,360.4,34,1
AAF.P0000,2022-01-30,10.6,11.4,10.6,10.9,249735.6,23205,16
AAF.P0000,2022-01-31,11.1,11.5,10.7,10.7,67279.6,6000,8
AAF.P0000,2022-02-01,10.7,10.7,10.7,10.7,104849.3,9799,6
AAF.P0000,2022-02-02,10.7,10.7,10.6,10.6,32371.3,3052,8
AAF.P0000,2022-02-06,9.2,11.5,9.2,10.7,64359.9,5933,10
AAF.P0000,2022-02-08,10.1,10.1,10.1,10.1,10100.0,1000,3
AAF.P0000,2022-02-10,12.1,12.1,11.4,11.9,15117.0,1270,6
AAF.P0000,2022-02-13,11.9,11.9,11.2,11.2,1310.4,116,3
AAF.P0000,2022-02-16,11.0,11.0,11.0,11.0,1100.0,100,1
AAF.P0000,2022-02-24,9.9,11.0,9.9,11.0,3932.5,385,2
AAF.P0000,2022-03-13,11.0,11.0,11.0,11.0,990.0,90,1
AAF.P0000,2022-03-21,9.2,9.2,9.2,11.0,9.2,1,1
AAF.P0000,2022-03-28,11.8,11.8,11.8,11.0,11.8,1,1
AAF.P0000,2022-04-05,8.3,8.3,8.3,11.0,8.3,1,1
AAF.P0000,2022-05-08,8.4,8.4,8.4,11.0,756.0,90,1
AAF.P0000,2022-05-11,8.9,10.8,8.9,10.8,2949.0,310,3
AAF.P0000,2022-05-12,10.7,10.7,10.7,10.8,53.5,5,1
AAF.P0000,2022-05-30,11.5,11.5,11.5,10.8,11.5,1,1
AAF.P0000,2022-06-01,11.0,11.2,11.0,10.8,33.2,3,3
AAF.P0000,2022-06-07,8.5,11.1,8.5,10.8,136.5,13,2
AAF.P0000,2022-07-13,8.2,11.0,8.1,8.1,15451.0,1901,5
AAF.P0000,2022-07-17,9.0,10.1,9.0,9.0,7749.9,860,3
AAF.P0000,2022-08-02,8.0,8.0,8.0,9.0,72.0,9,2
AAF.P0000,2022-08-03,9.0,9.0,9.0,9.0,9.0,1,1
AAF.P0000,2022-08-04,8.1,8.1,8.0,8.1,6891.1,851,3
AAF.P0000,2022-08-11,10.0,10.0,10.0,10.0,1510.0,151,2
AAF.P0000,2022-08-14,8.0,11.5,8.0,10.0,19.5,2,2
AAF.P0000,2022-08-16,8.2,10.0,8.2,10.0,11008.2,1101,9
AAF.P0000,2022-08-18,10.9,10.9,10.9,10.0,10.9,1,1
AAF.P0000,2022-08-22,10.0,12.0,10.0,11.4,76153.2,6704,16
AAF.P0000,2022-08-24,11.6,11.6,11.6,11.4,92.8,8,1
AAF.P0000,2022-09-04,11.5,11.5,11.5,11.4,11.5,1,1
AAF.P0000,2022-09-07,8.8,8.8,8.8,11.4,8.8,1,1
AAF.P0000,2022-09-14,11.8,12.5,10.0,12.3,197524.8,16105,13
AAF.P0000,2022-09-15,9.9,9.9,9.8,12.3,59.0,6,3
AAF.P0000,2022-09-18,9.9,9.9,9.9,12.3,653.4,66,2
AAF.P0000,2022-09-19,11.8,11.8,11.8,12.3,790.6,67,2
