ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ABAN.N0000,2016-01-03,142.0,142.0,142.0,135.4,1420.0,10,1
ABAN.N0000,2016-01-05,143.9,143.9,135.0,135.6,72667.9,536,6
ABAN.N0000,2016-01-06,142.9,142.9,142.9,135.6,285.8,2,1
ABAN.N0000,2016-01-07,134.3,134.9,130.0,131.6,304321.4,2323,23
ABAN.N0000,2016-01-10,128.0,128.0,128.0,128.0,25728.0,201,5
ABAN.N0000,2016-01-11,127.0,128.0,127.0,128.0,13435.0,105,3
ABAN.N0000,2016-01-12,127.9,133.0,125.0,125.0,962901.6,7520,18
ABAN.N0000,2016-01-13,125.6,125.6,120.0,124.8,1455101.5,11660,20
ABAN.N0000,2016-01-17,120.0,120.0,120.0,120.0,132600.0,1105,3
ABAN.N0000,2016-01-18,120.0,120.0,110.0,116.4,3307021.7,28194,25
ABAN.N0000,2016-01-20,116.0,120.5,116.0,118.6,5520518.1,46001,33
ABAN.N0000,2016-01-21,124.0,124.0,119.0,119.0,89300.0,750,4
ABAN.N0000,2016-01-24,119.1,119.1,119.1,119.1,11910.0,100,1
ABAN.N0000,2016-01-26,119.0,119.0,119.0,119.1,714.0,6,1
ABAN.N0000,2016-01-27,119.3,119.3,119.0,119.0,152323.0,1280,7
ABAN.N0000,2016-01-28,120.0,120.0,119.0,120.0,1046900.3,8737,12
ABAN.N0000,2016-01-31,119.9,119.9,119.9,120.0,599.5,5,1
ABAN.N0000,2016-02-01,119.9,119.9,119.9,119.9,1554503.5,12965,9
ABAN.N0000,2016-02-02,119.9,119.9,119.9,119.9,719.4,6,2
ABAN.N0000,2016-02-04,120.0,122.5,120.0,120.3,1369735.8,11396,21
ABAN.N0000,2016-02-07,120.0,120.0,120.0,120.0,1954680.0,16289,14
ABAN.N0000,2016-02-08,120.0,120.0,116.8,117.4,371023.9,3094,10
ABAN.N0000,2016-02-09,129.0,129.0,120.0,120.0,1200129.0,10001,2
ABAN.N0000,2016-02-10,117.0,117.0,115.0,115.0,773295.5,6722,16
ABAN.N0000,2016-02-14,115.0,115.0,114.0,114.0,247637.0,2156,5
ABAN.N0000,2016-02-15,118.0,118.0,114.8,116.4,3350842.4,28824,63
ABAN.N0000,2016-02-16,117.0,119.0,117.0,118.6,1032735.0,8710,11
ABAN.N0000,2016-02-17,117.5,121.9,117.0,119.8,4601043.7,38484,44
ABAN.N0000,2016-02-18,120.9,120.9,120.9,120.9,24180.0,200,3
ABAN.N0000,2016-02-22,117.0,119.0,116.6,117.0,465017.0,3973,9
ABAN.N0000,2016-02-23,117.0,117.0,116.5,116.5,512760.0,4400,6
ABAN.N0000,2016-02-24,116.1,116.1,115.3,116.5,8103.0,70,2
ABAN.N0000,2016-02-28,113.5,113.5,112.0,112.0,468158.6,4178,8
ABAN.N0000,2016-02-29,112.0,116.0,112.0,116.0,12959.0,112,3
ABAN.N0000,2016-03-01,111.1,111.1,110.0,110.1,223102.4,2021,17
ABAN.N0000,2016-03-02,110.0,110.0,109.8,110.0,18479.6,168,6
ABAN.N0000,2016-03-03,110.0,110.0,108.1,108.1,48960.0,452,7
ABAN.N0000,2016-03-07,108.1,108.1,101.0,102.8,616917.8,5982,23
ABAN.N0000,2016-03-08,106.1,106.1,95.6,103.1,1728731.7,17248,38
ABAN.N0000,2016-03-09,100.1,110.0,100.1,108.6,1440346.5,13374,25
ABAN.N0000,2016-03-10,110.0,110.0,105.1,108.5,2328009.0,21933,18
ABAN.N0000,2016-03-13,107.0,107.0,106.0,106.6,16517.0,155,9
ABAN.N0000,2016-03-14,106.9,106.9,106.9,106.9,10690.0,100,1
ABAN.N0000,2016-03-15,108.5,115.0,108.5,111.1,891379.0,8064,35
ABAN.N0000,2016-03-16,114.5,114.5,112.0,112.6,318100.0,2800,6
ABAN.N0000,2016-03-17,109.0,109.0,109.0,109.0,28340.0,260,2
ABAN.N0000,2016-03-22,110.0,110.0,110.0,110.0,13200.0,120,2
ABAN.N0000,2016-03-23,108.0,108.0,108.0,110.0,540.0,5,1
ABAN.N0000,2016-03-27,111.0,111.0,105.0,110.0,2635.0,25,4
ABAN.N0000,2016-03-28,101.1,101.1,101.0,101.0,24244.5,240,2
ABAN.N0000,2016-03-29,103.1,110.0,103.1,101.0,838.6,8,2
ABAN.N0000,2016-03-30,111.0,112.0,103.2,111.1,165043.0,1486,11
ABAN.N0000,2016-03-31,112.7,112.7,107.1,111.1,6869.1,61,3
ABAN.N0000,2016-04-03,112.7,112.8,112.7,112.8,135316.5,1200,3
ABAN.N0000,2016-04-04,112.7,118.0,112.7,116.3,1260278.2,10887,31
ABAN.N0000,2016-04-05,117.9,117.9,115.0,116.3,4919.0,42,5
ABAN.N0000,2016-04-06,117.0,122.0,117.0,120.0,1115773.0,9345,26
ABAN.N0000,2016-04-07,124.6,124.6,120.0,120.1,26474.0,220,3
ABAN.N0000,2016-04-10,118.0,118.0,118.0,118.0,24780.0,210,2
ABAN.N0000,2016-04-11,121.0,121.0,121.0,121.0,60500.0,500,2
ABAN.N0000,2016-04-14,122.9,122.9,122.9,122.9,29618.9,241,6
ABAN.N0000,2016-04-17,117.2,123.0,117.2,120.4,426417.6,3546,8
ABAN.N0000,2016-04-19,123.0,124.0,122.9,123.3,1747416.0,14169,20
ABAN.N0000,2016-04-21,123.5,124.9,123.5,123.6,136084.1,1101,6
ABAN.N0000,2016-04-24,124.0,125.9,120.0,120.0,18391.0,152,7
ABAN.N0000,2016-04-25,124.9,128.8,120.0,125.4,1746545.1,13975,29
ABAN.N0000,2016-04-26,123.0,131.0,123.0,127.1,1431684.8,11100,28
ABAN.N0000,2016-04-27,127.6,130.0,127.6,129.1,489189.0,3801,10
ABAN.N0000,2016-04-28,129.0,133.0,129.0,132.0,2414648.0,18351,34
ABAN.N0000,2016-05-02,132.0,133.9,131.0,131.0,2668008.0,20224,34
ABAN.N0000,2016-05-03,132.0,135.0,130.1,130.1,332470.1,2554,11
ABAN.N0000,2016-05-04,130.0,130.0,130.0,130.0,312780.0,2406,7
ABAN.N0000,2016-05-05,132.0,132.0,131.0,132.0,403316.0,3071,13
ABAN.N0000,2016-05-08,131.0,133.9,130.0,130.0,156781.5,1204,12
ABAN.N0000,2016-05-09,127.6,130.0,127.0,128.8,434654.0,3374,10
ABAN.N0000,2016-05-10,129.0,130.0,129.0,129.8,27390.0,211,9
ABAN.N0000,2016-05-11,129.0,129.0,129.0,129.0,129000.0,1000,3
ABAN.N0000,2016-05-12,129.0,139.8,128.0,137.1,2041242.0,15048,37
ABAN.N0000,2016-05-15,137.0,138.0,137.0,137.1,150800.0,1100,5
ABAN.N0000,2016-05-16,135.0,135.0,134.0,134.0,162927.5,1215,5
ABAN.N0000,2016-05-17,133.5,136.0,133.0,133.2,153480.0,1150,3
ABAN.N0000,2016-05-18,135.0,136.0,132.1,135.1,2764902.6,20572,44
ABAN.N0000,2016-05-19,132.2,132.2,131.1,131.2,215508.0,1639,6
ABAN.N0000,2016-05-23,131.5,131.5,131.5,131.5,105200.0,800,2
ABAN.N0000,2016-05-24,132.0,132.0,131.5,131.5,303361.5,2301,11
ABAN.N0000,2016-05-25,131.5,133.0,131.5,132.1,586032.0,4439,10
ABAN.N0000,2016-05-26,132.1,134.8,132.0,132.5,968146.2,7319,17
ABAN.N0000,2016-05-29,132.5,133.4,132.5,133.4,589643.8,4431,11
ABAN.N0000,2016-05-31,131.6,131.6,131.5,131.5,269655.0,2050,3
ABAN.N0000,2016-06-02,131.4,131.5,130.0,130.0,635156.0,4868,6
ABAN.N0000,2016-06-05,131.9,135.0,129.5,129.9,388224.2,2954,10
ABAN.N0000,2016-06-06,128.3,128.3,128.3,129.9,128.3,1,1
ABAN.N0000,2016-06-07,128.4,132.0,128.3,131.4,163990.0,1270,9
ABAN.N0000,2016-06-08,128.2,128.2,125.1,125.2,12521269.2,100050,6
ABAN.N0000,2016-06-09,129.9,130.0,129.9,125.2,6497.0,50,2
ABAN.N0000,2016-06-12,130.0,130.0,130.0,125.2,8580.0,66,1
ABAN.N0000,2016-06-14,129.8,129.8,125.0,125.2,238221.8,1903,4
ABAN.N0000,2016-06-15,124.0,124.0,124.0,124.0,84072.0,678,1
ABAN.N0000,2016-06-16,125.0,125.0,125.0,125.0,73500.0,588,3
ABAN.N0000,2016-06-19,126.1,127.0,125.5,125.5,129301.0,1030,4
ABAN.N0000,2016-06-20,126.8,130.1,126.0,129.3,2017708.4,15612,21
ABAN.N0000,2016-06-21,126.1,126.1,126.1,126.1,796699.8,6318,1
ABAN.N0000,2016-06-22,126.0,128.9,125.0,127.0,1377163.1,10842,15
ABAN.N0000,2016-06-23,129.0,129.0,123.0,126.0,206630.4,1673,7
ABAN.N0000,2016-06-26,126.3,126.3,124.9,125.0,273499.5,2185,7
ABAN.N0000,2016-06-27,124.9,124.9,123.1,123.2,40697.0,329,8
ABAN.N0000,2016-06-28,120.2,124.0,120.2,121.1,8681824.2,71675,20
ABAN.N0000,2016-06-29,123.4,123.5,121.2,123.5,798372.2,6467,14
ABAN.N0000,2016-06-30,125.4,128.0,125.4,127.8,423034.0,3310,14
ABAN.N0000,2016-07-03,127.0,127.0,127.0,127.8,254.0,2,1
