ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AFSL.N0000,2016-01-03,40.0,40.5,40.0,40.0,304570.5,7614,12
AFSL.N0000,2016-01-04,40.0,40.5,40.0,40.0,20202.5,505,2
AFSL.N0000,2016-01-05,40.5,40.5,40.5,40.5,199422.0,4924,11
AFSL.N0000,2016-01-06,41.0,41.0,40.9,40.9,1388532.7,33947,17
AFSL.N0000,2016-01-07,40.7,41.0,40.6,40.7,9564.0,235,6
AFSL.N0000,2016-01-10,40.6,40.6,40.2,40.5,507502.6,12531,12
AFSL.N0000,2016-01-11,40.0,40.0,38.0,38.1,38090.0,1000,7
AFSL.N0000,2016-01-12,38.0,38.0,38.0,38.0,19000.0,500,1
AFSL.N0000,2016-01-13,41.0,41.0,41.0,38.0,2050.0,50,1
AFSL.N0000,2016-01-17,38.5,38.5,38.0,38.0,15300.0,400,5
AFSL.N0000,2016-01-19,37.1,37.1,37.0,37.0,7215.5,195,4
AFSL.N0000,2016-01-20,40.0,40.0,40.0,37.0,200.0,5,1
AFSL.N0000,2016-01-25,37.1,37.5,37.0,37.5,40465.0,1080,6
AFSL.N0000,2016-01-27,37.1,37.1,37.1,37.5,37.1,1,1
AFSL.N0000,2016-01-28,37.2,37.2,37.2,37.2,14880.0,400,1
AFSL.N0000,2016-02-01,38.7,41.4,38.7,38.7,39114.0,1010,3
AFSL.N0000,2016-02-04,38.7,38.7,38.7,38.7,15480.0,400,1
AFSL.N0000,2016-02-09,39.9,39.9,39.9,39.9,7980.0,200,3
AFSL.N0000,2016-02-11,39.0,39.0,39.0,39.0,435591.0,11169,10
AFSL.N0000,2016-02-14,40.0,40.0,40.0,40.0,38240.0,956,1
AFSL.N0000,2016-02-15,41.0,41.0,41.0,41.0,2698948.0,65828,4
AFSL.N0000,2016-02-16,42.5,42.5,42.5,41.0,1275.0,30,1
AFSL.N0000,2016-02-17,42.5,43.0,42.5,43.0,435229.5,10123,4
AFSL.N0000,2016-02-18,39.5,41.9,39.5,41.9,8140.0,200,3
AFSL.N0000,2016-02-22,42.5,42.5,42.5,42.5,4250.0,100,1
AFSL.N0000,2016-02-24,40.1,42.5,40.0,42.5,469477.5,11070,12
AFSL.N0000,2016-02-29,42.0,42.0,41.5,41.5,41710.0,1005,3
AFSL.N0000,2016-03-01,40.4,40.4,37.0,38.9,26847.8,700,6
AFSL.N0000,2016-03-02,39.9,40.5,39.9,40.2,8248.5,205,4
AFSL.N0000,2016-03-03,40.0,41.5,37.2,40.6,4006169.4,100152,5
AFSL.N0000,2016-03-08,39.5,39.5,37.0,38.9,4520946.3,114471,12
AFSL.N0000,2016-03-09,39.0,39.0,39.0,39.0,3900.0,100,2
AFSL.N0000,2016-03-10,37.6,39.5,37.6,39.5,8517.5,217,8
AFSL.N0000,2016-03-13,39.0,39.5,39.0,39.0,20487.5,525,10
AFSL.N0000,2016-03-14,39.5,39.5,38.0,39.5,34229.0,867,4
AFSL.N0000,2016-03-15,45.0,45.0,41.0,42.4,94037.3,2112,22
AFSL.N0000,2016-03-16,43.0,43.0,40.7,41.0,27549.6,652,15
AFSL.N0000,2016-03-17,37.9,42.8,37.9,39.0,9557.5,245,12
AFSL.N0000,2016-03-20,31.1,39.0,31.0,38.8,17994.6,521,19
AFSL.N0000,2016-03-22,32.1,38.9,32.1,38.3,4947.6,134,6
AFSL.N0000,2016-03-27,38.1,40.9,38.1,39.9,4788.6,120,4
AFSL.N0000,2016-03-29,33.1,38.5,33.1,35.5,192184.5,5475,13
AFSL.N0000,2016-03-30,38.3,38.4,38.2,38.2,557954.9,14605,8
AFSL.N0000,2016-04-03,33.6,37.4,33.4,37.4,37366.5,1104,13
AFSL.N0000,2016-04-04,33.4,36.9,33.3,35.7,52272.4,1518,13
AFSL.N0000,2016-04-06,33.4,35.0,33.2,34.6,185568.4,5360,15
AFSL.N0000,2016-04-07,34.0,34.0,33.4,34.0,311188.3,9161,11
AFSL.N0000,2016-04-10,34.0,34.0,33.4,33.4,9037.0,270,4
AFSL.N0000,2016-04-11,33.4,34.0,33.3,34.0,57829.8,1720,7
AFSL.N0000,2016-04-14,36.9,37.0,36.9,37.0,184945.0,5000,3
AFSL.N0000,2016-04-17,36.9,36.9,33.9,35.7,6136.0,172,4
AFSL.N0000,2016-04-18,36.5,37.0,34.5,37.0,79054.5,2162,10
AFSL.N0000,2016-04-19,35.0,40.7,34.7,39.2,654559.1,16806,37
AFSL.N0000,2016-04-21,41.0,41.0,39.0,41.0,751655.8,18367,26
AFSL.N0000,2016-04-25,37.5,40.5,37.5,40.3,4704.3,117,8
AFSL.N0000,2016-04-26,40.0,41.0,37.5,37.6,1093485.5,27170,16
AFSL.N0000,2016-04-27,40.8,41.9,37.6,37.6,1166594.6,28119,10
AFSL.N0000,2016-04-28,37.6,37.8,37.6,37.6,1169.0,31,4
AFSL.N0000,2016-05-02,41.4,41.4,41.4,37.6,414.0,10,2
AFSL.N0000,2016-05-04,37.9,41.3,37.9,41.3,55418.6,1383,11
AFSL.N0000,2016-05-05,41.4,43.5,41.4,43.3,202656.8,4791,29
AFSL.N0000,2016-05-08,43.4,43.4,42.0,42.7,502995.0,11894,13
AFSL.N0000,2016-05-09,43.1,43.8,43.1,43.7,99927.2,2306,15
AFSL.N0000,2016-05-11,43.0,46.0,43.0,45.9,268034.6,5856,11
AFSL.N0000,2016-05-12,50.0,57.3,50.0,57.1,549274.3,10155,76
AFSL.N0000,2016-05-15,60.5,69.9,60.0,62.3,1827110.7,27941,97
AFSL.N0000,2016-05-16,62.0,65.0,58.1,61.1,2724924.6,44414,111
AFSL.N0000,2016-05-17,59.1,61.0,58.9,59.2,301467.7,5051,36
AFSL.N0000,2016-05-18,60.9,60.9,55.5,59.3,836105.1,14355,27
AFSL.N0000,2016-05-19,57.4,59.9,57.1,58.7,463268.0,7886,15
AFSL.N0000,2016-05-24,57.0,58.7,56.6,57.5,63659.0,1110,9
AFSL.N0000,2016-05-25,58.5,58.7,58.5,57.5,234.3,4,3
AFSL.N0000,2016-05-26,55.0,57.8,53.1,55.0,755697.6,13760,13
AFSL.N0000,2016-05-29,53.2,58.5,53.2,57.0,1002532.3,18217,14
AFSL.N0000,2016-05-30,52.1,56.5,52.0,57.0,2051.0,38,5
AFSL.N0000,2016-05-31,55.9,55.9,55.9,57.0,55.9,1,1
AFSL.N0000,2016-06-01,53.0,56.5,49.0,51.0,3292873.2,64165,83
AFSL.N0000,2016-06-02,49.0,50.0,48.7,49.8,974805.2,19619,47
AFSL.N0000,2016-06-05,48.7,50.0,48.7,48.7,25317.0,517,8
AFSL.N0000,2016-06-06,49.0,52.3,49.0,52.3,84083.6,1632,15
AFSL.N0000,2016-06-07,53.0,53.0,49.9,52.9,27510.8,520,6
AFSL.N0000,2016-06-08,49.0,49.0,48.0,48.3,53286.0,1102,9
AFSL.N0000,2016-06-09,49.9,49.9,49.8,49.9,869756.6,17434,4
AFSL.N0000,2016-06-12,46.2,49.8,46.2,49.7,15169.5,320,6
AFSL.N0000,2016-06-14,45.0,49.4,43.8,45.1,661253.4,14664,43
AFSL.N0000,2016-06-15,43.3,45.0,43.3,43.7,78255.0,1788,6
AFSL.N0000,2016-06-16,45.7,49.5,45.7,49.0,1381075.6,28228,41
AFSL.N0000,2016-06-19,49.9,49.9,44.9,48.7,33788.3,719,14
AFSL.N0000,2016-06-20,48.8,49.0,45.1,46.7,361505.6,7458,21
AFSL.N0000,2016-06-21,45.1,47.9,45.0,47.9,105835.9,2345,9
AFSL.N0000,2016-06-27,47.9,47.9,41.0,41.2,1743104.8,37099,23
AFSL.N0000,2016-06-28,47.4,47.4,44.7,44.8,119730.4,2671,4
AFSL.N0000,2016-06-29,44.4,44.4,41.1,41.2,94524.0,2160,4
AFSL.N0000,2016-06-30,44.8,44.8,44.7,44.7,290594.8,6501,3
AFSL.N0000,2016-07-03,41.0,44.5,39.0,43.5,64289.0,1558,11
AFSL.N0000,2016-07-04,41.0,44.0,39.2,41.8,164039.6,4098,18
AFSL.N0000,2016-07-06,43.5,43.5,43.4,43.5,5000.5,115,5
AFSL.N0000,2016-07-07,43.5,46.5,43.5,46.0,890335.1,19625,58
AFSL.N0000,2016-07-10,46.5,51.0,46.5,49.9,2199045.9,44918,88
AFSL.N0000,2016-07-11,47.7,51.9,47.7,49.8,887991.7,17589,41
AFSL.N0000,2016-07-12,51.8,53.7,49.9,50.0,4235711.1,81026,77
AFSL.N0000,2016-07-13,51.0,53.8,49.5,49.8,2482624.0,49225,63
AFSL.N0000,2016-07-14,50.0,55.5,50.0,50.7,4787201.9,89116,143
AFSL.N0000,2016-07-17,54.0,57.8,52.0,56.5,5324389.7,95515,198
AFSL.N0000,2016-07-19,57.9,58.5,54.0,54.9,4214108.8,74794,120
AFSL.N0000,2016-07-20,56.4,56.4,53.5,53.6,134445.1,2481,14
AFSL.N0000,2016-07-21,53.2,53.9,52.5,53.1,1039387.8,19676,27
AFSL.N0000,2016-07-24,52.6,52.6,50.1,50.1,595909.5,11740,40
AFSL.N0000,2016-07-25,50.5,51.7,50.2,50.2,218675.1,4353,11
AFSL.N0000,2016-07-26,50.0,51.7,50.0,51.6,135099.2,2682,8
AFSL.N0000,2016-07-27,50.1,54.5,50.0,51.4,822518.0,16000,20
AFSL.N0000,2016-07-31,52.0,53.4,51.2,52.0,229524.0,4413,13
AFSL.N0000,2016-08-01,52.5,53.9,52.0,53.9,203328.5,3847,18
AFSL.N0000,2016-08-02,53.0,53.9,51.9,51.9,201315.9,3875,15
AFSL.N0000,2016-08-03,51.0,51.0,51.0,51.0,18360.0,360,1
AFSL.N0000,2016-08-04,50.1,52.0,50.1,50.5,281085.1,5451,6
AFSL.N0000,2016-08-07,50.0,51.9,50.0,50.2,177850.1,3549,11
AFSL.N0000,2016-08-08,49.3,51.8,49.2,51.8,14555.0,286,4
AFSL.N0000,2016-08-09,50.0,51.8,49.5,49.5,447935.9,9003,25
AFSL.N0000,2016-08-10,50.0,51.0,50.0,50.5,9590.0,190,2
AFSL.N0000,2016-08-11,50.1,50.1,49.5,49.5,138683.8,2800,5
AFSL.N0000,2016-08-14,51.0,51.0,51.0,49.5,1530.0,30,3
AFSL.N0000,2016-08-15,49.0,49.0,48.0,48.0,138987.0,2872,12
AFSL.N0000,2016-08-17,47.9,49.0,47.9,49.0,299267.7,6130,16
AFSL.N0000,2016-08-22,48.9,49.1,45.5,46.4,116712.0,2436,9
AFSL.N0000,2016-08-25,46.4,46.4,45.0,45.2,257910.5,5707,12
AFSL.N0000,2016-08-28,45.2,45.2,44.0,44.0,13411.4,302,4
AFSL.N0000,2016-08-29,45.0,49.4,45.0,48.9,105416.1,2262,13
AFSL.N0000,2016-08-30,49.9,49.9,46.0,46.1,13928.8,302,4
AFSL.N0000,2016-08-31,49.8,49.8,49.7,49.8,14433.0,290,3
AFSL.N0000,2016-09-01,47.2,49.7,47.0,47.1,19787.2,420,6
AFSL.N0000,2016-09-04,49.6,49.7,47.8,49.0,14913.0,303,4
AFSL.N0000,2016-09-05,47.8,47.9,46.1,47.9,165431.8,3508,12
AFSL.N0000,2016-09-06,47.9,48.0,47.9,47.9,3119.5,65,3
AFSL.N0000,2016-09-07,46.3,46.3,45.1,45.2,169163.5,3735,15
AFSL.N0000,2016-09-08,46.4,47.6,46.4,45.2,140.4,3,2
AFSL.N0000,2016-09-12,47.6,47.7,45.5,45.5,45823.0,1007,6
AFSL.N0000,2016-09-13,47.7,47.7,47.7,45.5,143.1,3,1
AFSL.N0000,2016-09-14,45.6,45.6,44.2,44.9,133998.2,2970,11
AFSL.N0000,2016-09-18,46.2,46.2,46.2,46.2,19357.8,419,2
AFSL.N0000,2016-09-19,47.3,47.7,45.0,47.3,95173.0,2010,8
AFSL.N0000,2016-09-21,46.9,47.0,44.5,46.9,1083255.7,23613,21
AFSL.N0000,2016-09-22,46.9,46.9,46.9,46.9,46.9,1,1
AFSL.N0000,2016-09-25,46.0,46.0,46.0,46.9,460.0,10,1
AFSL.N0000,2016-09-27,45.1,47.0,45.1,46.2,157273.5,3402,16
AFSL.N0000,2016-09-28,46.0,48.5,46.0,47.5,215711.0,4516,13
AFSL.N0000,2016-09-29,46.0,47.0,45.2,45.5,182995.3,3928,12
AFSL.N0000,2016-10-02,45.5,45.5,45.0,45.2,94962.5,2097,15
AFSL.N0000,2016-10-03,43.8,44.1,43.8,44.1,44538.0,1010,2
AFSL.N0000,2016-10-04,45.0,45.0,45.0,44.1,450.0,10,1
AFSL.N0000,2016-10-06,45.9,47.0,45.9,46.2,257937.9,5578,33
AFSL.N0000,2016-10-09,44.6,44.6,44.1,44.4,8870.0,200,5
AFSL.N0000,2016-10-10,44.2,45.2,40.5,45.2,91590.7,2150,12
AFSL.N0000,2016-10-11,45.0,45.9,45.0,45.9,7106.9,155,4
AFSL.N0000,2016-10-17,42.1,44.9,42.1,44.6,34603.2,816,10
AFSL.N0000,2016-10-18,44.5,44.5,44.5,44.6,445.0,10,1
AFSL.N0000,2016-10-19,42.5,45.0,42.5,44.6,2292.5,51,3
AFSL.N0000,2016-10-23,43.0,43.0,42.3,42.3,255275.0,6025,3
AFSL.N0000,2016-10-24,42.0,42.0,42.0,42.0,33600.0,800,8
AFSL.N0000,2016-10-25,42.0,42.0,42.0,42.0,4284.0,102,2
AFSL.N0000,2016-10-27,41.2,44.9,38.1,44.0,43153.5,1102,6
