ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AGST.X0000,2022-01-04,6.2,6.2,4.0,4.0,46595235.0,11648170,18
AGST.X0000,2022-01-17,5.0,5.0,5.0,4.0,5.0,1,1
AGST.X0000,2022-01-25,5.0,5.0,5.0,4.0,50.0,10,2
AGST.X0000,2022-01-30,5.0,5.0,5.0,4.0,10.0,2,1
AGST.X0000,2022-01-31,5.0,5.0,5.0,4.0,50.0,10,1
AGST.X0000,2022-03-09,5.0,5.0,5.0,5.0,3000.0,600,2
AGST.X0000,2022-03-10,6.2,6.2,6.2,5.0,6.2,1,1
AGST.X0000,2022-05-08,5.0,5.0,5.0,5.0,5.0,1,1
AGST.X0000,2022-07-11,6.2,6.2,6.2,5.0,6.2,1,1
AGST.X0000,2022-08-03,6.1,6.1,6.1,5.0,6.1,1,1
AGST.X0000,2022-08-21,5.1,5.1,5.1,5.0,173.4,34,2
AGST.X0000,2022-10-13,6.2,6.2,6.2,5.0,12.4,2,2
AGST.X0000,2022-11-07,6.2,6.2,6.2,5.0,12.4,2,1
AGST.X0000,2022-11-08,6.2,6.2,6.2,5.0,31.0,5,1
AGST.X0000,2023-03-28,6.2,6.2,6.2,5.0,12.4,2,1
AGST.X0000,2023-05-30,6.2,6.2,6.2,6.2,725.4,117,3
AGST.X0000,2023-11-30,7.7,7.7,7.7,6.2,15.4,2,1
AGST.X0000,2024-05-21,7.7,7.7,7.7,7.7,847.0,110,3
AGST.X0000,2024-05-26,9.5,9.6,9.5,7.7,393.5,41,2
AGST.X0000,2024-11-12,9.6,9.6,9.6,7.7,38.4,4,3
AGST.X0000,2025-04-08,9.6,9.6,9.6,7.7,9.6,1,1
AGST.X0000,2025-04-09,9.6,9.6,9.6,7.7,566.4,59,1
AGST.X0000,2025-09-07,9.6,9.6,9.5,9.6,3163986.4,329584,136
AGST.X0000,2025-09-08,10.2,12.0,10.2,12.0,4769994.3,397754,207
AGST.X0000,2025-09-09,12.6,12.6,11.0,11.1,784704.7,69936,61
AGST.X0000,2025-09-10,11.3,12.0,11.0,12.0,545774.2,47284,29
AGST.X0000,2025-09-11,11.2,11.4,10.9,11.2,157968.0,14240,31
AGST.X0000,2025-09-14,11.1,11.4,11.0,11.1,24477.5,2202,8
AGST.X0000,2025-09-15,11.0,11.2,10.5,10.5,158986.8,15020,9
AGST.X0000,2025-09-16,10.9,11.5,10.9,11.3,106900.3,9454,11
AGST.X0000,2025-09-17,11.4,11.4,10.8,11.0,292138.8,26523,20
AGST.X0000,2025-09-18,11.0,11.3,10.5,10.5,115151.8,10698,10
AGST.X0000,2025-09-21,10.5,10.5,10.0,10.0,200650.0,20000,6
AGST.X0000,2025-09-22,10.1,11.6,10.1,10.9,42621.8,3897,16
AGST.X0000,2025-09-23,11.5,11.5,10.8,11.0,2988.0,273,9
AGST.X0000,2025-09-24,11.3,11.3,10.7,10.9,25924.8,2354,5
AGST.X0000,2025-09-25,10.6,11.2,10.6,11.0,48552.8,4436,8
AGST.X0000,2025-09-28,11.3,11.3,11.2,11.3,149525.0,13250,6
AGST.X0000,2025-09-29,11.4,12.5,11.4,12.3,215930.3,17890,48
AGST.X0000,2025-09-30,12.4,14.7,11.3,13.4,2059783.5,170576,86
AGST.X0000,2025-10-01,13.0,14.8,12.1,12.4,2363656.1,189160,72
AGST.X0000,2025-10-02,13.0,13.0,12.2,12.4,5434.3,441,7
AGST.X0000,2025-10-06,13.0,13.0,12.0,12.0,61042.4,4973,14
AGST.X0000,2025-10-07,12.1,12.4,12.1,12.1,9842.7,813,4
AGST.X0000,2025-10-08,12.1,12.1,12.0,12.0,88960.0,7405,5
AGST.X0000,2025-10-09,11.7,12.0,11.6,11.6,72310.7,6200,10
AGST.X0000,2025-10-12,11.6,12.0,11.6,11.6,946462.3,81588,26
AGST.X0000,2025-10-13,11.9,11.9,11.4,11.4,143611.7,12556,9
AGST.X0000,2025-10-14,11.9,13.9,11.0,11.0,5763621.3,506561,105
AGST.X0000,2025-10-15,11.2,12.0,11.2,11.9,47882.7,4047,13
AGST.X0000,2025-10-16,11.5,12.7,11.5,12.5,127172.0,10134,22
AGST.X0000,2025-10-20,12.5,12.5,12.3,12.5,7148.7,572,4
AGST.X0000,2025-10-21,11.7,13.0,11.7,12.6,209239.2,16602,19
AGST.X0000,2025-10-22,12.0,12.8,12.0,12.7,200069.0,15840,19
AGST.X0000,2025-10-23,12.1,12.6,12.1,12.1,2687.2,222,3
AGST.X0000,2025-10-26,12.6,12.6,12.1,12.1,21538.5,1780,3
AGST.X0000,2025-10-27,12.0,12.0,11.8,11.9,19235.0,1625,5
AGST.X0000,2025-10-28,12.4,13.3,12.2,12.6,740542.2,58251,60
AGST.X0000,2025-10-29,12.2,13.0,12.2,12.6,252145.0,19837,24
AGST.X0000,2025-10-30,12.9,13.6,12.7,12.7,644421.1,49216,24
AGST.X0000,2025-11-02,13.1,13.1,12.0,12.4,18225.5,1467,10
AGST.X0000,2025-11-03,12.3,13.5,12.3,13.3,1198838.5,90368,65
AGST.X0000,2025-11-05,13.4,13.6,12.7,13.5,3147076.7,237628,30
AGST.X0000,2025-11-06,13.3,13.5,12.7,13.3,210592.1,15838,11
AGST.X0000,2025-11-09,13.3,13.8,12.5,13.6,885413.7,65363,22
AGST.X0000,2025-11-10,13.3,13.4,13.0,13.0,75333.4,5701,7
AGST.X0000,2025-11-11,13.0,13.0,12.8,12.8,14100.0,1100,3
AGST.X0000,2025-11-12,13.4,13.4,12.6,12.7,152185.4,11908,12
AGST.X0000,2025-11-13,12.5,13.3,12.5,13.3,1392.9,105,4
AGST.X0000,2025-11-16,13.0,13.0,13.0,13.0,26000.0,2000,1
