ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AHPL.N0000,2016-01-05,58.1,58.1,58.1,58.1,112423.5,1935,4
AHPL.N0000,2016-01-07,58.2,58.2,58.2,58.1,291.0,5,1
AHPL.N0000,2016-01-10,58.1,58.1,57.0,57.2,45611.5,790,9
AHPL.N0000,2016-01-12,57.0,57.0,57.0,57.2,1140.0,20,2
AHPL.N0000,2016-01-13,56.9,56.9,52.0,53.6,123070.9,2295,22
AHPL.N0000,2016-01-17,52.1,52.1,51.5,51.9,73691.1,1420,10
AHPL.N0000,2016-01-18,51.7,51.7,51.6,51.7,30689.4,594,6
AHPL.N0000,2016-01-19,52.0,52.9,52.0,52.0,8008052.9,154001,6
AHPL.N0000,2016-01-20,52.4,54.0,51.8,52.0,12197157.0,234546,79
AHPL.N0000,2016-01-21,54.0,54.0,54.0,54.0,1080000.0,20000,3
AHPL.N0000,2016-01-24,53.9,54.0,53.9,54.0,107969.7,2000,5
AHPL.N0000,2016-01-25,53.9,54.0,53.0,53.0,116699.9,2200,4
AHPL.N0000,2016-01-26,53.0,53.0,53.0,53.0,863900.0,16300,7
AHPL.N0000,2016-01-27,53.0,53.0,52.7,52.7,12576.3,238,9
AHPL.N0000,2016-01-28,54.4,54.4,51.0,51.4,2309966.4,44191,38
AHPL.N0000,2016-01-31,53.9,53.9,51.4,51.4,5193.9,101,4
AHPL.N0000,2016-02-01,51.6,52.0,51.6,52.0,495923.6,9537,8
AHPL.N0000,2016-02-02,51.9,51.9,51.9,51.9,8823.0,170,5
AHPL.N0000,2016-02-04,51.9,52.0,51.8,51.8,1861795.0,35940,15
AHPL.N0000,2016-02-08,51.8,51.8,50.0,50.2,1961942.0,39114,23
AHPL.N0000,2016-02-10,50.5,50.5,50.5,50.5,10100.0,200,1
AHPL.N0000,2016-02-11,51.0,51.0,50.5,50.5,83400.0,1650,4
AHPL.N0000,2016-02-14,50.5,50.5,50.4,50.5,12620.0,250,3
AHPL.N0000,2016-02-15,50.4,51.4,49.0,49.9,203928.3,4082,16
AHPL.N0000,2016-02-17,49.0,50.9,49.0,49.9,2017.0,40,3
AHPL.N0000,2016-02-18,50.8,50.8,49.5,50.0,33288.6,667,4
AHPL.N0000,2016-02-22,50.0,50.5,50.0,50.5,6050.0,120,3
AHPL.N0000,2016-02-23,50.5,50.5,50.0,50.5,262490.5,5201,9
AHPL.N0000,2016-02-24,50.3,50.3,50.1,50.1,30080.0,600,3
AHPL.N0000,2016-02-25,50.0,50.4,50.0,50.4,299590.4,5981,6
AHPL.N0000,2016-02-28,50.1,50.4,50.1,50.4,5846.1,116,2
AHPL.N0000,2016-02-29,50.1,50.1,47.0,47.0,796362.8,16730,31
AHPL.N0000,2016-03-01,53.5,53.5,50.0,50.0,9843275.0,196862,2
AHPL.N0000,2016-03-02,50.0,50.0,50.0,50.0,4000.0,80,1
AHPL.N0000,2016-03-03,50.0,50.0,48.0,49.9,664045.2,13305,12
AHPL.N0000,2016-03-07,48.1,48.1,47.5,47.7,81607.5,1700,6
AHPL.N0000,2016-03-08,47.6,47.6,44.5,46.2,192442.0,4200,13
AHPL.N0000,2016-03-09,48.9,48.9,47.0,47.0,2952379.5,62799,21
AHPL.N0000,2016-03-10,49.9,50.5,49.9,50.0,1178773.1,23577,26
AHPL.N0000,2016-03-13,49.5,51.0,49.5,50.0,193547.0,3841,11
AHPL.N0000,2016-03-14,55.0,55.0,50.0,50.0,17546265.0,350904,17
AHPL.N0000,2016-03-15,50.0,51.5,50.0,51.5,221321.5,4412,7
AHPL.N0000,2016-03-16,51.0,51.0,50.6,50.6,2059090.0,40390,26
AHPL.N0000,2016-03-17,50.5,50.6,50.0,50.2,302506.0,6020,8
AHPL.N0000,2016-03-20,49.5,49.5,49.5,49.5,61875.0,1250,8
AHPL.N0000,2016-03-22,47.5,48.0,47.5,48.0,146375.0,3050,3
AHPL.N0000,2016-03-23,50.0,50.0,50.0,50.0,26250.0,525,2
AHPL.N0000,2016-03-27,50.0,50.0,47.0,47.0,307430.0,6475,19
AHPL.N0000,2016-03-28,49.3,49.3,49.3,47.0,246.5,5,1
AHPL.N0000,2016-03-29,47.0,47.0,47.0,47.0,877537.0,18671,12
AHPL.N0000,2016-03-30,47.0,48.0,47.0,47.8,115871.0,2447,9
AHPL.N0000,2016-03-31,47.0,47.0,47.0,47.0,151293.0,3219,12
AHPL.N0000,2016-04-03,47.0,47.0,46.5,46.5,47100.0,1007,14
AHPL.N0000,2016-04-04,47.0,48.0,47.0,47.0,30233459.0,643254,21
AHPL.N0000,2016-04-05,48.8,48.8,47.0,47.0,28954154.5,615984,15
AHPL.N0000,2016-04-06,48.0,48.5,47.0,48.5,24025891.5,511100,22
AHPL.N0000,2016-04-07,50.0,50.0,48.5,50.0,538162.5,11065,10
AHPL.N0000,2016-04-10,49.6,49.6,48.5,48.5,102974.8,2123,7
AHPL.N0000,2016-04-11,48.6,50.0,48.6,50.0,270278.8,5414,16
AHPL.N0000,2016-04-14,50.0,50.0,49.6,49.6,99204.0,2000,8
AHPL.N0000,2016-04-17,50.0,50.0,49.5,49.6,1099933.4,22052,18
AHPL.N0000,2016-04-18,49.6,49.6,49.5,49.5,2652161.0,53478,10
AHPL.N0000,2016-04-19,49.4,49.8,49.4,49.8,189044.0,3810,8
AHPL.N0000,2016-04-21,49.8,49.8,49.8,49.8,118175.4,2373,4
AHPL.N0000,2016-04-24,50.0,50.0,50.0,50.0,85000.0,1700,8
AHPL.N0000,2016-04-25,50.1,51.7,50.0,51.2,1077963.0,21491,19
AHPL.N0000,2016-04-26,51.7,53.8,51.7,53.7,85266.6,1617,14
AHPL.N0000,2016-04-27,53.6,54.0,53.6,54.0,110118.8,2042,11
AHPL.N0000,2016-04-28,54.0,55.0,53.0,54.8,139520.5,2545,9
AHPL.N0000,2016-05-02,55.0,58.0,55.0,57.4,8450869.0,147726,74
AHPL.N0000,2016-05-03,55.0,57.0,54.0,55.8,697890.0,12766,24
AHPL.N0000,2016-05-04,56.8,56.8,56.8,56.8,5680.0,100,1
AHPL.N0000,2016-05-08,53.1,56.4,53.1,54.8,5699.6,104,6
AHPL.N0000,2016-05-09,55.5,55.9,52.5,55.6,1051106.8,19842,27
AHPL.N0000,2016-05-10,53.5,53.5,53.5,53.5,42800.0,800,3
AHPL.N0000,2016-05-11,52.5,52.5,52.5,52.5,15750.0,300,2
AHPL.N0000,2016-05-12,55.0,55.0,55.0,52.5,55.0,1,1
AHPL.N0000,2016-05-15,55.0,55.0,54.7,54.7,35724.9,651,4
AHPL.N0000,2016-05-16,54.7,54.9,53.1,53.5,119495.2,2209,13
AHPL.N0000,2016-05-17,53.1,54.8,53.0,54.6,995433.6,18522,14
AHPL.N0000,2016-05-18,54.8,56.0,54.8,55.1,49699.6,900,5
AHPL.N0000,2016-05-19,53.3,54.9,53.3,54.8,91193.6,1664,2
AHPL.N0000,2016-05-23,53.2,53.2,53.0,53.1,88840.0,1672,8
AHPL.N0000,2016-05-24,54.9,55.0,54.5,54.5,141726.1,2591,14
AHPL.N0000,2016-05-25,54.9,55.0,54.0,54.7,67512.2,1234,14
AHPL.N0000,2016-05-26,54.0,55.0,54.0,54.0,1247792.0,23098,11
AHPL.N0000,2016-05-29,55.0,55.9,53.1,55.0,546130.2,10121,26
AHPL.N0000,2016-05-30,55.0,55.0,55.0,55.0,5610.0,102,2
AHPL.N0000,2016-05-31,55.0,57.0,54.1,56.6,409206.5,7422,24
AHPL.N0000,2016-06-01,54.1,57.0,54.1,55.3,269153.3,4841,21
AHPL.N0000,2016-06-02,56.0,56.0,54.0,55.0,191596.8,3454,21
AHPL.N0000,2016-06-05,55.0,56.0,54.6,54.9,181253.0,3305,19
AHPL.N0000,2016-06-06,56.5,56.8,54.9,55.5,2781620.0,50090,36
AHPL.N0000,2016-06-07,56.5,56.5,54.9,55.0,2472355.9,44951,78
AHPL.N0000,2016-06-08,55.9,56.9,54.8,54.8,154118.6,2744,13
AHPL.N0000,2016-06-09,54.9,56.0,54.9,55.8,50069.8,902,4
AHPL.N0000,2016-06-12,55.0,56.5,55.0,55.3,214785.8,3878,28
AHPL.N0000,2016-06-13,56.0,56.0,56.0,56.0,100800.0,1800,3
AHPL.N0000,2016-06-15,55.9,56.0,55.9,56.0,11190.0,200,2
AHPL.N0000,2016-06-16,56.1,56.5,56.0,56.1,101067.8,1800,11
AHPL.N0000,2016-06-20,55.5,55.5,55.0,55.1,5512.5,100,4
AHPL.N0000,2016-06-21,55.0,55.0,55.0,55.0,29205.0,531,5
AHPL.N0000,2016-06-22,53.2,53.2,53.0,53.1,10625.0,200,4
AHPL.N0000,2016-06-23,53.2,53.2,53.2,53.2,32452.0,610,4
AHPL.N0000,2016-06-26,53.2,53.2,53.0,53.0,700860.9,13215,12
AHPL.N0000,2016-06-27,51.0,53.0,51.0,53.0,891.0,17,4
AHPL.N0000,2016-06-28,51.0,52.0,49.5,52.0,506863.6,10200,14
AHPL.N0000,2016-06-29,52.0,53.0,52.0,52.7,303013.3,5800,17
AHPL.N0000,2016-06-30,53.0,54.9,53.0,53.2,151105.0,2839,8
AHPL.N0000,2016-07-03,53.0,53.0,53.0,53.0,206700.0,3900,4
AHPL.N0000,2016-07-04,53.9,54.0,53.9,54.0,26998.0,500,3
AHPL.N0000,2016-07-06,54.0,57.5,54.0,56.5,262429.4,4801,24
AHPL.N0000,2016-07-07,57.5,57.5,57.5,57.5,11500.0,200,2
AHPL.N0000,2016-07-10,55.1,55.1,55.0,55.0,14587.0,265,5
AHPL.N0000,2016-07-11,55.0,56.0,55.0,56.0,837042.7,15187,6
AHPL.N0000,2016-07-12,56.0,56.0,56.0,56.0,119392.0,2132,4
AHPL.N0000,2016-07-13,56.0,57.0,55.5,56.0,450428.0,8040,6
