ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AHUN.N0000,2016-01-03,67.0,67.0,67.0,67.0,56079.0,837,1
AHUN.N0000,2016-01-04,67.0,67.0,66.0,66.2,87795.0,1320,8
AHUN.N0000,2016-01-05,68.0,68.0,68.0,66.2,3400.0,50,1
AHUN.N0000,2016-01-06,66.0,66.0,66.0,66.2,4158.0,63,1
AHUN.N0000,2016-01-07,66.0,66.0,65.3,65.3,15043.5,230,5
AHUN.N0000,2016-01-10,65.0,65.0,63.0,65.0,66880.0,1030,5
AHUN.N0000,2016-01-11,63.0,63.0,60.0,62.5,93701.5,1500,12
AHUN.N0000,2016-01-12,67.5,67.5,62.5,62.5,129294.0,2063,12
AHUN.N0000,2016-01-13,63.0,63.0,62.2,62.5,132458.5,2120,9
AHUN.N0000,2016-01-17,62.0,62.0,59.0,59.1,73161545.0,1239905,24
AHUN.N0000,2016-01-18,60.0,60.0,58.6,59.0,555830.0,9422,17
AHUN.N0000,2016-01-19,60.0,60.0,59.0,59.0,30191.2,510,7
AHUN.N0000,2016-01-20,60.0,60.0,59.0,60.0,1612410.0,26900,18
AHUN.N0000,2016-01-21,60.0,60.0,59.5,59.6,70030.0,1175,8
AHUN.N0000,2016-01-25,60.0,60.0,60.0,60.0,183420.0,3057,5
AHUN.N0000,2016-01-26,59.7,60.9,59.7,60.9,331347.8,5446,5
AHUN.N0000,2016-01-27,60.3,60.3,60.3,60.3,363609.0,6030,8
AHUN.N0000,2016-01-28,60.3,60.3,60.0,60.0,3727710.5,61832,19
AHUN.N0000,2016-01-31,61.0,61.0,60.0,60.1,179659.0,2991,11
AHUN.N0000,2016-02-01,60.5,60.5,60.5,60.5,7744.0,128,6
AHUN.N0000,2016-02-02,61.0,61.0,60.9,60.9,61509.2,1010,3
AHUN.N0000,2016-02-04,61.0,61.0,61.0,61.0,40504.0,664,7
AHUN.N0000,2016-02-07,60.9,60.9,60.0,60.2,58893.0,979,8
AHUN.N0000,2016-02-08,59.6,59.6,57.0,59.4,281063.0,4762,10
AHUN.N0000,2016-02-09,60.0,60.0,57.5,57.7,258729.0,4476,20
AHUN.N0000,2016-02-10,58.0,58.0,58.0,58.0,29000.0,500,1
AHUN.N0000,2016-02-11,58.2,58.2,58.0,58.2,60289.2,1036,5
AHUN.N0000,2016-02-14,58.0,59.0,58.0,58.6,11341.0,194,4
AHUN.N0000,2016-02-15,58.0,58.5,57.0,57.0,149898.0,2596,12
AHUN.N0000,2016-02-16,58.0,58.0,58.0,57.0,870.0,15,1
AHUN.N0000,2016-02-17,57.1,57.1,57.0,57.0,9121.0,160,4
AHUN.N0000,2016-02-18,56.1,58.0,56.1,56.5,51560.0,915,4
AHUN.N0000,2016-02-22,56.6,57.0,56.6,57.0,106753.8,1873,4
AHUN.N0000,2016-02-24,56.6,56.6,55.0,55.0,55001166.2,1000000,11
AHUN.N0000,2016-02-28,56.6,56.7,56.6,56.6,135880.0,2400,5
AHUN.N0000,2016-03-01,57.0,57.0,55.4,56.0,24909.0,445,3
AHUN.N0000,2016-03-02,55.1,55.1,54.9,55.0,133366.5,2425,12
AHUN.N0000,2016-03-03,55.0,55.1,54.8,54.8,308690.5,5625,15
AHUN.N0000,2016-03-07,54.8,54.8,51.0,51.1,6429987.7,123630,14
AHUN.N0000,2016-03-08,51.2,51.2,50.0,50.0,467553.2,9338,16
