ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AINS.N0000,2016-01-04,14.0,14.0,14.0,14.0,140000.0,10000,1
AINS.N0000,2016-01-05,14.4,14.5,14.4,14.5,130301.9,9000,4
AINS.N0000,2016-01-11,13.5,13.5,13.5,13.5,40500.0,3000,2
AINS.N0000,2016-01-12,13.5,13.5,13.5,13.5,47250.0,3500,1
AINS.N0000,2016-01-17,13.6,13.6,13.0,13.0,777981.0,59683,6
AINS.N0000,2016-01-19,13.1,13.1,13.0,13.0,96791.0,7407,7
AINS.N0000,2016-01-25,13.5,13.5,13.0,13.0,234550.0,18000,5
AINS.N0000,2016-01-26,13.1,13.1,13.1,13.1,3602.5,275,1
AINS.N0000,2016-01-27,13.2,14.0,13.2,14.0,62400.0,4600,6
AINS.N0000,2016-01-31,13.3,13.3,13.1,13.2,6927.5,525,3
AINS.N0000,2016-02-01,14.0,14.0,13.3,13.3,13342.0,1003,2
AINS.N0000,2016-02-04,13.5,13.9,13.5,13.9,30180.0,2200,7
AINS.N0000,2016-02-08,13.3,13.3,13.2,13.2,130766.0,9905,6
AINS.N0000,2016-02-11,12.4,13.0,12.4,12.7,22280.0,1760,4
AINS.N0000,2016-02-14,12.5,12.5,12.4,12.4,135862.5,10933,9
AINS.N0000,2016-02-16,12.1,12.2,12.1,12.2,13370.0,1100,3
AINS.N0000,2016-02-17,12.5,12.5,12.5,12.5,1250.0,100,1
AINS.N0000,2016-02-22,13.6,13.6,12.0,12.0,181097.2,15091,5
AINS.N0000,2016-02-23,12.5,12.5,12.5,12.0,37.5,3,1
AINS.N0000,2016-02-24,13.5,13.5,13.5,13.5,2430.0,180,1
AINS.N0000,2016-02-25,13.4,13.4,13.4,13.5,67.0,5,1
AINS.N0000,2016-02-28,13.4,13.4,13.0,13.1,17513.0,1311,7
AINS.N0000,2016-02-29,12.2,12.2,12.0,12.0,39205.0,3265,6
AINS.N0000,2016-03-01,12.0,12.0,11.8,11.8,16085.5,1354,9
AINS.N0000,2016-03-02,11.6,11.6,11.5,11.5,14777.5,1275,9
AINS.N0000,2016-03-08,11.5,11.5,11.1,11.1,18160.0,1600,6
AINS.N0000,2016-03-09,11.1,11.1,11.1,11.1,11.1,1,1
AINS.N0000,2016-03-10,12.3,12.5,11.2,11.2,118357.2,10514,5
AINS.N0000,2016-03-13,11.9,12.9,11.9,11.9,17681.5,1485,4
AINS.N0000,2016-03-15,11.1,11.1,11.0,11.0,3302.5,300,3
AINS.N0000,2016-03-16,12.4,12.4,11.0,11.0,82736.0,7515,8
AINS.N0000,2016-03-17,12.3,12.3,12.0,12.0,12012.3,1001,2
AINS.N0000,2016-03-20,12.0,12.0,12.0,12.0,12000.0,1000,1
AINS.N0000,2016-03-23,12.5,12.5,12.0,12.0,12012.5,1001,3
AINS.N0000,2016-03-27,12.2,12.2,12.2,12.2,14420.4,1182,3
AINS.N0000,2016-04-04,12.6,12.7,12.6,12.7,44300.1,3500,3
AINS.N0000,2016-04-10,13.0,13.0,12.0,12.5,2500.0,200,2
AINS.N0000,2016-04-11,12.9,14.0,12.9,13.2,99586.0,7620,13
AINS.N0000,2016-04-14,13.9,13.9,12.6,13.8,14492.0,1115,8
AINS.N0000,2016-04-18,13.5,13.5,13.5,13.5,1876.5,139,2
AINS.N0000,2016-04-19,13.5,13.5,12.8,13.1,94390.9,7217,11
AINS.N0000,2016-04-21,12.9,12.9,12.9,12.9,13932.0,1080,5
AINS.N0000,2016-04-24,12.8,12.8,12.7,12.8,32061.0,2505,5
AINS.N0000,2016-04-25,12.7,12.7,12.4,12.4,1681.5,135,4
AINS.N0000,2016-04-28,13.6,13.6,13.0,13.0,26136.0,2010,4
AINS.N0000,2016-05-02,13.6,13.6,12.9,12.9,95327.0,7350,13
AINS.N0000,2016-05-03,12.8,13.0,12.8,13.0,20040.0,1550,5
AINS.N0000,2016-05-05,13.0,13.0,13.0,13.0,585.0,45,1
AINS.N0000,2016-05-08,13.0,13.0,13.0,13.0,14950.0,1150,8
AINS.N0000,2016-05-10,13.9,13.9,13.0,13.0,406329.9,30773,24
AINS.N0000,2016-05-11,13.0,13.0,13.0,13.0,173069.0,13313,9
AINS.N0000,2016-05-12,13.5,13.9,13.5,13.6,347930.3,25581,34
AINS.N0000,2016-05-15,13.2,13.5,13.2,13.5,108217.1,8020,6
AINS.N0000,2016-05-16,13.5,13.5,13.3,13.5,278539.0,20642,6
AINS.N0000,2016-05-17,13.5,13.8,13.5,13.6,4891.8,361,7
AINS.N0000,2016-05-18,13.5,13.5,13.4,13.4,38914.1,2900,6
AINS.N0000,2016-05-23,13.4,13.4,13.3,13.4,1338.0,100,2
AINS.N0000,2016-05-24,13.7,13.7,13.7,13.7,2753.7,201,1
AINS.N0000,2016-05-25,13.4,13.4,13.3,13.3,117940.4,8863,11
AINS.N0000,2016-05-26,13.3,13.3,13.3,13.3,2660.0,200,1
