ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ALHP.N0000,2016-01-03,3.9,4.0,3.9,3.9,11682.1,2995,6
ALHP.N0000,2016-01-04,3.9,3.9,3.8,3.8,9199.0,2410,8
ALHP.N0000,2016-01-05,3.8,4.0,3.8,3.9,76356.3,19500,25
ALHP.N0000,2016-01-06,3.8,4.0,3.8,3.9,124525.4,32110,17
ALHP.N0000,2016-01-07,3.9,3.9,3.8,3.8,62155.6,15962,11
ALHP.N0000,2016-01-10,3.8,3.8,3.8,3.8,3.8,1,1
ALHP.N0000,2016-01-11,3.7,3.7,3.4,3.5,906015.3,256778,52
ALHP.N0000,2016-01-12,3.7,3.7,3.4,3.4,628123.6,179096,46
ALHP.N0000,2016-01-13,3.5,3.6,3.3,3.5,337151.5,98275,27
ALHP.N0000,2016-01-17,3.6,3.6,3.2,3.3,283044.1,85012,25
ALHP.N0000,2016-01-18,3.4,3.5,3.2,3.3,16626134.7,4886628,50
ALHP.N0000,2016-01-19,3.4,3.4,2.9,3.2,7811977.3,2394547,44
ALHP.N0000,2016-01-20,3.3,3.3,3.2,3.3,206803.3,63001,12
ALHP.N0000,2016-01-21,3.2,3.3,3.2,3.2,20126866.0,5753920,9
ALHP.N0000,2016-01-24,3.3,3.3,3.2,3.3,15653.2,4871,8
ALHP.N0000,2016-01-25,3.2,3.3,2.9,3.0,3260141.6,1075312,126
ALHP.N0000,2016-01-26,3.1,3.1,2.9,3.0,617739.3,212482,51
ALHP.N0000,2016-01-27,2.9,3.0,2.8,2.9,195130.5,67198,53
ALHP.N0000,2016-01-28,2.9,3.0,2.9,3.0,226557.1,76865,13
ALHP.N0000,2016-01-31,3.0,3.0,2.9,3.0,379981.0,130567,26
ALHP.N0000,2016-02-01,3.0,3.0,3.0,3.0,73953.0,24651,18
ALHP.N0000,2016-02-02,3.0,3.0,2.9,3.0,178440.2,61069,30
ALHP.N0000,2016-02-04,3.0,3.0,3.0,3.0,30327.0,10109,15
ALHP.N0000,2016-02-07,3.0,3.0,2.9,3.0,215600.0,72400,24
ALHP.N0000,2016-02-08,2.9,3.0,2.9,3.0,258273.0,88370,33
ALHP.N0000,2016-02-09,3.0,3.0,3.0,3.0,300.0,100,1
ALHP.N0000,2016-02-10,2.9,3.0,2.9,3.0,19673.0,6570,3
ALHP.N0000,2016-02-11,2.9,2.9,2.8,2.9,29575.6,10200,9
ALHP.N0000,2016-02-14,2.9,3.0,2.8,3.0,1120653.2,380419,57
