ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AMSL.N0000,2016-01-03,13.7,13.9,13.5,13.5,238702.0,17645,17
AMSL.N0000,2016-01-04,13.6,13.6,13.5,13.5,49376.9,3650,7
AMSL.N0000,2016-01-05,13.5,13.6,13.4,13.5,182172.0,13509,22
AMSL.N0000,2016-01-06,13.4,13.5,13.2,13.3,181510.0,13640,16
AMSL.N0000,2016-01-07,13.3,13.5,13.0,13.0,788744.0,59725,29
AMSL.N0000,2016-01-10,13.0,13.0,13.0,13.0,57590.0,4430,9
AMSL.N0000,2016-01-11,13.0,13.0,12.4,12.5,434452.5,34410,24
AMSL.N0000,2016-01-12,12.4,12.6,12.2,12.5,97396.1,7823,12
AMSL.N0000,2016-01-13,12.4,12.4,11.7,11.7,430810.4,35647,26
AMSL.N0000,2016-01-17,11.9,11.9,11.0,11.0,648835.3,57016,33
AMSL.N0000,2016-01-18,11.0,11.3,10.5,11.3,332835.1,31232,25
AMSL.N0000,2016-01-19,10.8,11.2,10.8,10.9,43937.3,4007,14
AMSL.N0000,2016-01-20,11.3,12.1,11.3,11.3,25376.6,2232,5
AMSL.N0000,2016-01-21,11.3,12.0,11.3,12.0,62084.6,5467,9
AMSL.N0000,2016-01-24,11.7,12.0,11.7,11.7,28641.0,2420,7
AMSL.N0000,2016-01-25,11.7,11.7,11.7,11.7,16450.2,1406,5
AMSL.N0000,2016-01-26,11.6,11.9,11.6,11.8,38950.0,3300,4
AMSL.N0000,2016-01-27,11.9,12.0,11.8,11.8,23944.0,2012,10
AMSL.N0000,2016-01-28,11.7,12.0,11.7,12.0,46437.0,3876,5
AMSL.N0000,2016-01-31,11.9,12.0,11.9,12.0,13112.0,1101,3
AMSL.N0000,2016-02-01,12.0,12.0,11.7,11.8,208590.0,17700,8
AMSL.N0000,2016-02-02,11.8,11.8,11.8,11.8,61950.0,5250,24
AMSL.N0000,2016-02-04,11.8,11.8,11.7,11.7,39931.3,3410,10
AMSL.N0000,2016-02-08,11.7,11.7,11.7,11.7,293670.0,25100,12
AMSL.N0000,2016-02-09,11.7,11.7,11.5,11.5,693539.5,60300,12
AMSL.N0000,2016-02-10,12.1,12.1,12.1,11.5,605.0,50,2
AMSL.N0000,2016-02-11,11.6,11.6,11.4,11.5,63749.5,5500,6
AMSL.N0000,2016-02-14,11.5,11.5,11.1,11.5,44483.0,3952,10
AMSL.N0000,2016-02-16,11.2,11.2,11.0,11.1,196140.5,17690,16
AMSL.N0000,2016-02-17,11.1,11.1,11.1,11.1,3552.0,320,2
AMSL.N0000,2016-02-18,11.0,11.0,10.9,10.9,28632.0,2612,7
AMSL.N0000,2016-02-22,11.1,11.1,10.9,11.0,106804.5,9699,27
AMSL.N0000,2016-02-23,11.0,11.0,11.0,11.0,1650.0,150,2
AMSL.N0000,2016-02-24,11.0,11.0,10.7,10.7,17064.4,1592,3
AMSL.N0000,2016-02-25,10.8,11.1,10.8,11.0,26514.9,2413,14
AMSL.N0000,2016-02-28,11.1,11.1,10.9,10.9,56115.5,5105,11
AMSL.N0000,2016-02-29,11.0,11.0,10.5,10.6,250415.0,23600,21
AMSL.N0000,2016-03-01,10.5,10.5,10.0,10.2,160497.4,15947,18
