ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ASIR.N0000,2016-01-03,23.1,23.1,23.0,23.0,253215.0,11000,4
ASIR.N0000,2016-01-04,24.0,24.0,24.0,24.0,123600.0,5150,7
ASIR.N0000,2016-01-05,23.9,23.9,23.6,23.6,700776.4,29673,31
ASIR.N0000,2016-01-06,23.5,23.5,23.3,23.3,75532.5,3225,12
ASIR.N0000,2016-01-07,23.2,23.2,23.0,23.0,4820648.0,209568,27
ASIR.N0000,2016-01-10,23.0,23.0,22.9,23.0,1788405.5,77781,12
ASIR.N0000,2016-01-11,22.9,23.0,22.8,23.0,3684105.0,160195,33
ASIR.N0000,2016-01-12,23.0,23.4,23.0,23.4,530602.0,22720,15
ASIR.N0000,2016-01-13,23.5,23.5,23.0,23.0,2668190.0,116000,16
ASIR.N0000,2016-01-17,23.0,23.0,22.8,22.9,67829.0,2959,9
ASIR.N0000,2016-01-18,22.8,22.8,22.4,22.5,280248.3,12429,34
ASIR.N0000,2016-01-19,22.7,23.0,22.6,23.0,3023724.6,131694,39
ASIR.N0000,2016-01-20,23.0,23.0,23.0,23.0,126523.0,5501,3
ASIR.N0000,2016-01-21,23.0,23.0,23.0,23.0,225239.0,9793,8
ASIR.N0000,2016-01-25,23.0,23.0,23.0,23.0,161.0,7,1
ASIR.N0000,2016-01-26,23.0,23.2,23.0,23.0,298879.0,12993,8
ASIR.N0000,2016-01-27,22.9,22.9,22.9,22.9,49830.4,2176,7
ASIR.N0000,2016-01-28,22.9,22.9,22.9,22.9,1145.0,50,2
ASIR.N0000,2016-01-31,22.9,23.2,22.9,23.2,3982160.1,173135,6
ASIR.N0000,2016-02-01,23.0,23.1,23.0,23.1,10441.0,452,3
ASIR.N0000,2016-02-02,23.0,23.0,23.0,23.0,12650.0,550,2
ASIR.N0000,2016-02-04,23.1,23.5,23.0,23.0,89816.1,3905,5
ASIR.N0000,2016-02-07,22.9,23.0,22.9,22.9,147830.0,6450,8
ASIR.N0000,2016-02-08,23.0,23.0,23.0,23.0,15640.0,680,1
ASIR.N0000,2016-02-09,23.0,23.0,23.0,23.0,1909.0,83,1
ASIR.N0000,2016-02-10,22.9,22.9,22.8,22.9,12789.7,559,8
ASIR.N0000,2016-02-11,23.0,23.0,22.8,22.8,2514911.6,109404,8
ASIR.N0000,2016-02-14,22.7,22.7,22.0,22.3,100450.4,4530,18
ASIR.N0000,2016-02-15,22.1,22.1,22.1,22.3,331.5,15,2
ASIR.N0000,2016-02-16,22.1,22.2,22.0,22.2,395582.0,17970,12
ASIR.N0000,2016-02-17,22.1,22.5,22.1,22.5,518366.4,23084,12
ASIR.N0000,2016-02-18,22.2,22.8,22.2,22.5,138177.6,6142,4
