ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BALA.N0000,2016-01-03,18.0,18.0,17.6,17.6,7220.0,410,2
BALA.N0000,2016-01-04,17.6,18.5,17.5,17.6,47739.6,2716,5
BALA.N0000,2016-01-05,18.5,18.5,17.5,17.6,1532.5,87,3
BALA.N0000,2016-01-06,17.5,17.5,17.5,17.6,175.0,10,1
BALA.N0000,2016-01-07,17.6,17.6,17.3,17.5,30592.5,1743,9
BALA.N0000,2016-01-10,17.1,17.6,16.8,16.9,11221.4,664,3
BALA.N0000,2016-01-11,16.9,16.9,16.9,16.9,16900.0,1000,3
BALA.N0000,2016-01-12,17.6,20.0,17.6,18.2,153416.3,8446,15
BALA.N0000,2016-01-17,17.5,17.5,17.5,18.2,87.5,5,1
BALA.N0000,2016-01-18,16.9,16.9,16.9,16.9,1690.0,100,1
BALA.N0000,2016-01-19,18.0,18.0,18.0,16.9,18.0,1,1
BALA.N0000,2016-01-21,17.1,17.8,17.1,17.3,6937.8,401,4
BALA.N0000,2016-01-24,17.8,17.8,17.8,17.3,890.0,50,1
BALA.N0000,2016-01-25,17.5,17.5,16.3,16.7,32718.7,1949,8
BALA.N0000,2016-01-26,17.6,17.6,17.6,16.7,17.6,1,1
BALA.N0000,2016-01-28,17.6,17.6,17.0,17.0,4340.0,250,3
BALA.N0000,2016-01-31,17.6,17.6,17.6,17.0,281.6,16,2
BALA.N0000,2016-02-01,17.6,19.8,17.6,17.8,29100.6,1634,7
BALA.N0000,2016-02-02,17.8,19.5,16.6,16.7,41913.9,2499,9
BALA.N0000,2016-02-04,19.4,19.4,19.4,16.7,19.4,1,1
BALA.N0000,2016-02-07,19.0,19.0,19.0,16.7,19.0,1,1
BALA.N0000,2016-02-08,17.3,18.9,16.7,17.0,35744.9,2101,8
BALA.N0000,2016-02-09,18.1,19.0,18.1,18.2,31053.8,1709,5
BALA.N0000,2016-02-10,18.9,19.0,16.6,16.7,64349.0,3801,11
BALA.N0000,2016-02-11,16.5,16.6,16.5,16.6,6950.0,420,3
BALA.N0000,2016-02-14,17.0,17.0,16.3,16.5,10304.6,628,11
BALA.N0000,2016-02-15,16.3,16.5,16.3,16.3,1646.5,101,2
BALA.N0000,2016-02-16,16.5,16.5,16.4,16.4,11556.5,701,4
BALA.N0000,2016-02-17,16.5,16.5,16.3,16.4,196.0,12,3
BALA.N0000,2016-02-18,16.5,16.5,16.5,16.4,907.5,55,2
BALA.N0000,2016-02-22,16.0,17.6,15.5,16.4,305549.2,18040,12
BALA.N0000,2016-02-23,15.1,15.1,15.1,15.1,1510.0,100,1
BALA.N0000,2016-02-24,16.0,16.0,15.4,15.4,77011.2,5000,6
BALA.N0000,2016-02-25,15.4,15.4,15.2,15.4,109532.8,7132,9
BALA.N0000,2016-02-28,15.5,15.5,15.2,15.2,31970.0,2100,5
BALA.N0000,2016-03-01,15.5,15.5,15.1,15.3,3044.9,199,3
BALA.N0000,2016-03-02,15.0,15.0,15.0,15.0,7350.0,490,3
BALA.N0000,2016-03-03,15.0,15.0,15.0,15.0,15825.0,1055,3
BALA.N0000,2016-03-07,14.9,14.9,14.9,14.9,5989.8,402,3
BALA.N0000,2016-03-08,14.8,14.8,12.0,13.5,15206.7,1130,6
BALA.N0000,2016-03-09,14.7,14.7,13.1,14.5,11304.2,782,5
BALA.N0000,2016-03-10,15.0,15.0,14.9,15.0,121000.0,8068,7
BALA.N0000,2016-03-14,14.5,14.5,14.5,14.5,2900.0,200,1
BALA.N0000,2016-03-15,14.5,16.0,14.0,14.4,188747.3,13049,19
BALA.N0000,2016-03-16,16.5,16.5,16.0,16.4,36215.0,2210,5
BALA.N0000,2016-03-17,15.0,17.4,15.0,16.6,177829.5,11198,14
BALA.N0000,2016-03-20,16.9,16.9,16.5,16.9,92750.0,5500,5
BALA.N0000,2016-03-22,15.1,15.1,15.1,15.1,1510.0,100,2
BALA.N0000,2016-03-23,15.1,17.0,15.0,17.0,179956.0,11196,10
BALA.N0000,2016-03-27,16.5,17.0,16.5,16.5,24998.5,1512,6
BALA.N0000,2016-03-28,16.4,16.4,16.0,16.0,17640.0,1100,2
BALA.N0000,2016-03-29,16.0,16.0,16.0,16.0,80000.0,5000,1
BALA.N0000,2016-03-30,15.8,15.8,15.8,15.8,1580.0,100,1
BALA.N0000,2016-04-03,15.7,15.8,15.6,15.7,7840.0,500,4
BALA.N0000,2016-04-04,16.6,16.6,16.6,16.6,1660.0,100,1
BALA.N0000,2016-04-05,17.5,17.5,17.5,16.6,17.5,1,1
BALA.N0000,2016-04-07,16.8,16.8,16.8,16.8,1680.0,100,1
BALA.N0000,2016-04-10,15.5,16.9,15.5,15.6,2047.9,131,3
BALA.N0000,2016-04-11,15.8,15.8,15.6,15.7,45288.4,2889,3
BALA.N0000,2016-04-17,15.9,17.4,15.9,15.7,1225.8,77,2
BALA.N0000,2016-04-18,17.0,17.4,17.0,17.4,147612.6,8499,8
