ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BBH.N0000,2016-01-03,33.2,33.2,33.2,33.2,254046.4,7652,14
BBH.N0000,2016-01-04,33.3,33.3,33.3,33.3,3862.8,116,4
BBH.N0000,2016-01-05,33.4,33.4,33.4,33.4,22378.0,670,1
BBH.N0000,2016-01-06,33.4,33.4,33.3,33.3,223418.7,6707,8
BBH.N0000,2016-01-07,33.2,33.2,33.1,33.2,424400.4,12800,13
BBH.N0000,2016-01-10,33.0,33.0,31.2,31.2,526011.0,15967,5
BBH.N0000,2016-01-11,31.2,31.2,30.5,30.5,452087.0,14755,13
BBH.N0000,2016-01-12,31.0,32.3,31.0,32.3,169500.0,5300,5
BBH.N0000,2016-01-17,32.1,32.1,30.0,30.0,2382411.5,78695,28
BBH.N0000,2016-01-18,31.0,31.0,31.0,31.0,9300.0,300,1
BBH.N0000,2016-01-19,30.0,30.0,28.1,28.1,18432.0,622,6
BBH.N0000,2016-01-20,28.0,31.0,28.0,31.0,186415.0,6040,9
BBH.N0000,2016-01-21,31.9,31.9,31.9,31.9,3572.8,112,2
BBH.N0000,2016-01-24,31.9,31.9,31.9,31.9,1595.0,50,2
BBH.N0000,2016-01-25,30.0,30.0,30.0,30.0,91500.0,3050,7
BBH.N0000,2016-01-26,29.8,31.3,28.1,28.3,104220.0,3660,18
BBH.N0000,2016-01-27,30.9,31.0,29.9,30.3,11871.0,390,4
BBH.N0000,2016-01-28,28.7,30.9,28.7,29.6,184044.5,6180,8
BBH.N0000,2016-01-31,29.1,30.4,29.0,30.4,121301.8,4033,8
BBH.N0000,2016-02-01,30.8,30.9,30.4,30.8,244120.4,7971,16
BBH.N0000,2016-02-02,30.9,30.9,30.5,30.9,17512.3,567,4
BBH.N0000,2016-02-04,31.3,31.3,31.2,30.9,2159.6,69,2
BBH.N0000,2016-02-07,31.3,31.3,30.0,30.1,3187.3,106,3
BBH.N0000,2016-02-08,30.0,30.0,30.0,30.0,3600.0,120,4
BBH.N0000,2016-02-09,30.0,30.0,30.0,30.0,44940.0,1498,3
BBH.N0000,2016-02-10,30.0,30.0,30.0,30.0,30000.0,1000,1
BBH.N0000,2016-02-11,31.0,31.0,31.0,30.0,341.0,11,2
BBH.N0000,2016-02-14,30.4,30.9,29.8,30.0,50051.9,1667,10
BBH.N0000,2016-02-15,30.9,30.9,30.5,30.5,30654.5,1005,2
BBH.N0000,2016-02-16,30.0,30.0,30.0,30.0,124710.0,4157,8
BBH.N0000,2016-02-17,29.9,30.0,29.9,30.0,598.5,20,2
BBH.N0000,2016-02-18,30.0,30.0,29.9,30.0,203591.7,6787,6
BBH.N0000,2016-02-22,30.0,30.0,29.5,29.8,106257.9,3566,13
BBH.N0000,2016-02-23,29.5,29.5,29.5,29.5,176970.5,5999,7
BBH.N0000,2016-02-24,29.5,29.5,29.5,29.5,11800.0,400,3
BBH.N0000,2016-02-25,29.2,29.2,29.2,29.5,29.2,1,1
BBH.N0000,2016-02-28,29.5,29.5,29.5,29.5,5900.0,200,1
BBH.N0000,2016-02-29,29.1,29.1,29.0,29.0,145634.3,5021,10
BBH.N0000,2016-03-01,28.6,29.0,28.0,28.3,297793.0,10501,9
BBH.N0000,2016-03-02,28.1,28.9,27.0,28.0,14851.0,530,8
BBH.N0000,2016-03-03,28.0,29.0,27.0,27.1,163520.0,6037,11
BBH.N0000,2016-03-07,27.0,27.0,26.7,26.7,286955.8,10718,14
BBH.N0000,2016-03-08,26.1,26.3,25.0,26.2,126684.4,4844,13
BBH.N0000,2016-03-09,26.2,30.1,26.2,28.3,2936243.5,98726,13
BBH.N0000,2016-03-10,27.1,31.9,27.1,27.1,13581.9,501,2
BBH.N0000,2016-03-13,28.0,28.0,28.0,28.0,2800.0,100,1
BBH.N0000,2016-03-14,28.1,28.1,28.1,28.1,3343.9,119,2
BBH.N0000,2016-03-15,31.4,31.5,31.4,31.5,32128.0,1020,4
BBH.N0000,2016-03-16,31.5,33.9,31.5,33.1,854813.0,25824,13
BBH.N0000,2016-03-17,32.0,32.9,31.5,31.5,50515.8,1602,4
BBH.N0000,2016-03-20,30.5,30.5,30.5,30.5,3080.5,101,3
BBH.N0000,2016-03-22,32.0,32.0,31.0,30.5,702.0,22,2
BBH.N0000,2016-03-23,32.9,32.9,31.0,32.5,11075.7,339,7
BBH.N0000,2016-03-27,32.0,32.0,30.1,32.0,238759.1,7570,13
BBH.N0000,2016-03-28,30.1,30.1,30.1,32.0,30.1,1,1
BBH.N0000,2016-03-29,32.5,32.5,30.6,32.0,139211.6,4344,6
BBH.N0000,2016-03-30,32.4,32.8,30.2,32.5,353586.9,10863,22
BBH.N0000,2016-03-31,33.0,33.8,31.0,32.1,191429.5,5915,11
BBH.N0000,2016-04-03,31.8,32.5,30.7,31.0,495089.2,15890,28
BBH.N0000,2016-04-04,31.0,32.4,31.0,31.0,141577.0,4566,7
BBH.N0000,2016-04-05,32.5,32.5,32.0,32.1,15110.0,470,3
BBH.N0000,2016-04-06,31.5,33.8,31.5,32.0,711940.2,22030,19
BBH.N0000,2016-04-07,32.0,33.3,32.0,33.2,1873377.5,56954,33
BBH.N0000,2016-04-10,33.2,33.2,31.8,33.1,21413.4,647,7
BBH.N0000,2016-04-11,33.2,33.3,31.3,33.1,225083.2,6801,10
BBH.N0000,2016-04-14,33.5,33.6,32.1,33.5,8412.1,251,3
BBH.N0000,2016-04-18,33.6,35.0,33.1,33.1,263882.0,7600,10
BBH.N0000,2016-04-21,32.0,32.0,32.0,32.0,64000.0,2000,1
BBH.N0000,2016-04-25,32.0,34.5,32.0,32.8,139055.5,4300,8
BBH.N0000,2016-04-26,32.0,34.0,32.0,33.9,250610.9,7600,19
BBH.N0000,2016-04-28,32.1,32.1,32.1,33.9,32.1,1,1
BBH.N0000,2016-05-02,33.5,35.0,32.0,34.7,1782971.6,51450,39
BBH.N0000,2016-05-03,33.2,34.5,33.1,34.5,42581.6,1274,4
BBH.N0000,2016-05-04,34.0,34.6,33.1,33.2,53161.8,1600,6
BBH.N0000,2016-05-05,33.1,34.6,33.1,34.0,230126.1,6816,9
BBH.N0000,2016-05-08,34.5,34.5,32.6,34.5,13867.1,402,6
BBH.N0000,2016-05-10,33.0,33.0,32.7,33.0,99032.7,3001,4
BBH.N0000,2016-05-11,32.7,32.7,32.5,32.5,162700.4,5000,6
BBH.N0000,2016-05-12,32.5,34.5,32.5,34.5,1361395.6,40151,33
BBH.N0000,2016-05-15,33.5,36.5,33.5,35.9,4661086.4,132202,128
BBH.N0000,2016-05-16,36.0,36.5,35.0,35.0,916827.6,25592,34
BBH.N0000,2016-05-17,35.0,36.0,34.6,35.8,909374.1,25601,22
BBH.N0000,2016-05-18,35.0,35.0,34.1,35.0,94636.4,2704,5
BBH.N0000,2016-05-19,34.1,34.1,34.0,34.0,34042.1,1001,5
BBH.N0000,2016-05-23,33.5,33.7,32.5,32.6,350891.5,10581,12
BBH.N0000,2016-05-24,34.8,34.8,32.5,33.6,43776.1,1312,8
BBH.N0000,2016-05-25,32.5,33.2,32.1,32.5,104231.3,3207,6
BBH.N0000,2016-05-26,32.0,32.0,32.0,32.5,32.0,1,1
BBH.N0000,2016-05-29,32.0,32.1,32.0,32.1,25672.0,801,5
BBH.N0000,2016-05-30,32.0,32.0,31.1,32.0,107231.1,3351,7
BBH.N0000,2016-05-31,33.4,33.4,31.6,33.4,6744.8,202,4
BBH.N0000,2016-06-02,31.5,33.0,31.0,31.1,134300.0,4315,10
BBH.N0000,2016-06-05,31.6,31.6,31.5,31.5,88230.0,2800,5
BBH.N0000,2016-06-06,31.5,31.5,31.5,31.5,3465.0,110,2
BBH.N0000,2016-06-08,31.5,33.0,31.5,33.0,52894.0,1626,6
BBH.N0000,2016-06-13,32.0,32.0,32.0,32.0,3200.0,100,1
BBH.N0000,2016-06-14,33.0,33.0,31.2,31.5,18909.0,601,4
BBH.N0000,2016-06-15,32.0,32.0,31.2,31.5,159.2,5,5
BBH.N0000,2016-06-16,31.5,31.5,31.5,31.5,6457.5,205,6
BBH.N0000,2016-06-19,31.1,31.1,31.1,31.5,31.1,1,1
BBH.N0000,2016-06-20,31.0,32.0,31.0,31.5,95.0,3,3
BBH.N0000,2016-06-21,31.2,31.2,30.5,31.0,158337.1,5107,9
BBH.N0000,2016-06-22,29.0,31.0,29.0,30.0,177668.2,5919,6
BBH.N0000,2016-06-23,32.0,32.0,29.6,30.0,66291.1,2203,12
BBH.N0000,2016-06-26,30.0,30.0,30.0,30.0,127050.0,4235,3
BBH.N0000,2016-06-27,30.0,30.0,30.0,30.0,24600.0,820,3
BBH.N0000,2016-06-28,30.0,30.0,28.6,29.0,64871.6,2235,7
BBH.N0000,2016-06-29,28.6,28.7,28.6,29.0,430.2,15,2
BBH.N0000,2016-06-30,30.0,30.0,28.9,29.0,19742.5,679,10
BBH.N0000,2016-07-03,29.0,29.0,29.0,29.0,1334.0,46,2
BBH.N0000,2016-07-04,29.7,29.7,29.7,29.0,1485.0,50,1
BBH.N0000,2016-07-06,29.0,29.7,28.5,28.6,286032.3,10007,21
BBH.N0000,2016-07-07,29.7,29.8,28.5,29.7,131008.8,4410,16
BBH.N0000,2016-07-10,28.8,28.9,28.1,28.2,85358.8,3027,17
BBH.N0000,2016-07-11,29.3,29.3,28.5,28.5,234193.5,8203,5
BBH.N0000,2016-07-12,28.5,29.9,28.3,29.8,1046677.6,35654,19
BBH.N0000,2016-07-13,28.3,30.7,28.3,28.6,14361.9,502,5
BBH.N0000,2016-07-19,28.7,29.6,28.6,29.6,9862.6,335,11
BBH.N0000,2016-07-20,29.0,29.9,29.0,29.9,33615.0,1125,3
BBH.N0000,2016-07-21,29.9,30.6,29.9,30.0,360219.5,12000,10
BBH.N0000,2016-07-24,30.0,30.0,29.5,29.7,7449.5,251,3
BBH.N0000,2016-07-25,29.5,30.0,29.0,29.1,51059.5,1752,9
BBH.N0000,2016-07-26,30.0,30.0,29.0,29.4,76492.0,2603,6
BBH.N0000,2016-07-28,30.0,30.5,29.0,30.3,261713.0,8648,16
BBH.N0000,2016-07-31,31.5,31.5,31.5,31.5,3811.5,121,4
BBH.N0000,2016-08-01,29.0,33.0,29.0,32.7,382407.2,12012,39
BBH.N0000,2016-08-02,32.9,33.6,30.1,33.3,515522.3,15482,27
BBH.N0000,2016-08-03,33.5,34.0,30.4,31.0,276170.0,8280,13
BBH.N0000,2016-08-04,33.2,33.2,32.9,31.0,131.9,4,4
BBH.N0000,2016-08-07,31.0,31.0,31.0,31.0,10571.0,341,5
BBH.N0000,2016-08-08,32.7,32.7,31.2,31.2,3152.7,101,2
BBH.N0000,2016-08-09,32.0,32.0,31.5,31.5,490635.5,15348,24
BBH.N0000,2016-08-10,31.7,31.7,30.5,30.8,151162.0,4900,12
BBH.N0000,2016-08-11,30.6,32.3,30.6,30.6,83286.2,2705,12
BBH.N0000,2016-08-14,31.8,31.8,31.8,30.6,1621.8,51,2
BBH.N0000,2016-08-15,31.8,31.8,30.7,30.7,18324.0,593,9
BBH.N0000,2016-08-17,31.0,31.0,30.5,30.5,125621.0,4112,14
BBH.N0000,2016-08-18,30.5,30.5,30.0,30.3,85171.0,2830,10
BBH.N0000,2016-08-21,30.0,30.5,29.3,30.0,118625.0,3975,15
BBH.N0000,2016-08-22,30.5,30.5,28.6,29.0,542478.9,18596,43
BBH.N0000,2016-08-23,29.5,29.5,26.0,27.0,177035.0,6471,15
BBH.N0000,2016-08-24,26.8,26.9,25.3,26.0,667728.6,25706,46
BBH.N0000,2016-08-25,26.0,26.0,25.2,25.3,287254.0,11211,25
BBH.N0000,2016-08-28,25.3,26.0,25.0,25.1,335627.2,13350,24
BBH.N0000,2016-08-29,25.3,25.3,24.5,24.5,448451.9,18149,40
BBH.N0000,2016-08-30,24.5,25.0,24.5,25.0,197892.0,8066,14
BBH.N0000,2016-08-31,24.9,24.9,24.5,24.6,49190.0,2000,5
BBH.N0000,2016-09-01,24.5,25.0,24.5,25.0,782950.0,31326,3
BBH.N0000,2016-09-04,25.0,25.5,25.0,25.0,1294.0,51,2
BBH.N0000,2016-09-05,25.5,25.6,25.5,25.6,493734.9,19290,6
BBH.N0000,2016-09-06,25.9,26.3,25.1,25.6,116972.2,4558,16
BBH.N0000,2016-09-07,26.3,27.0,26.3,26.9,45695.0,1714,17
BBH.N0000,2016-09-08,27.0,27.4,27.0,27.4,10704.0,392,6
BBH.N0000,2016-09-13,26.5,26.9,26.3,26.4,14145.8,536,5
BBH.N0000,2016-09-18,26.4,26.4,25.0,25.0,25598.0,1023,10
BBH.N0000,2016-09-19,25.0,25.0,25.0,25.0,4950.0,198,1
BBH.N0000,2016-09-20,25.0,26.0,25.0,26.0,36726.0,1465,8
BBH.N0000,2016-09-21,26.0,26.0,26.0,26.0,4056.0,156,4
BBH.N0000,2016-09-22,25.2,25.5,25.0,25.0,94625.5,3780,10
BBH.N0000,2016-09-25,25.5,25.7,24.6,25.1,38322.3,1523,7
BBH.N0000,2016-09-26,25.5,25.5,24.6,24.6,45838.8,1863,4
BBH.N0000,2016-09-27,25.1,25.1,24.1,25.0,397655.5,15942,21
BBH.N0000,2016-09-28,24.9,24.9,24.5,24.5,192191.0,7842,6
BBH.N0000,2016-09-29,25.0,25.0,25.0,25.0,585900.0,23436,22
BBH.N0000,2016-10-02,25.2,25.2,24.0,24.1,111557.3,4559,14
BBH.N0000,2016-10-03,24.9,24.9,24.9,24.9,14740.8,592,3
BBH.N0000,2016-10-04,24.9,24.9,24.2,24.9,4006.8,161,3
BBH.N0000,2016-10-05,24.2,24.3,24.2,24.2,15708.3,649,8
BBH.N0000,2016-10-09,25.0,25.0,24.5,25.0,243901.8,9760,22
BBH.N0000,2016-10-11,24.7,24.7,24.5,24.5,288828.0,11784,8
BBH.N0000,2016-10-12,24.6,24.6,24.3,24.4,20700.1,850,7
BBH.N0000,2016-10-16,24.9,24.9,24.9,24.4,498.0,20,1
BBH.N0000,2016-10-17,24.3,24.8,24.3,24.3,3669.8,151,3
BBH.N0000,2016-10-18,24.7,24.7,24.5,24.3,690.6,28,3
BBH.N0000,2016-10-19,24.5,24.5,24.4,24.5,9721.8,397,6
BBH.N0000,2016-10-20,24.2,24.2,24.0,24.0,104464.8,4351,7
BBH.N0000,2016-10-23,24.0,24.4,24.0,24.0,51615.0,2150,7
BBH.N0000,2016-10-24,24.0,24.4,24.0,24.0,8812.0,367,4
BBH.N0000,2016-10-25,24.1,24.1,24.1,24.1,25305.0,1050,2
BBH.N0000,2016-10-26,24.1,24.1,24.1,24.1,40970.0,1700,3
BBH.N0000,2016-10-27,24.0,24.9,23.5,24.1,22177.8,922,8
BBH.N0000,2016-10-30,24.0,24.0,24.0,24.0,19200.0,800,1
BBH.N0000,2016-11-01,24.9,24.9,24.0,24.0,121204.5,5050,6
BBH.N0000,2016-11-02,24.8,24.8,24.0,24.0,48.8,2,2
BBH.N0000,2016-11-03,24.0,24.0,24.0,24.0,13848.0,577,3
BBH.N0000,2016-11-06,24.0,24.5,24.0,24.0,53290.0,2220,8
BBH.N0000,2016-11-07,23.6,24.0,23.6,24.0,28559.6,1190,5
BBH.N0000,2016-11-08,24.0,24.0,23.9,24.0,16900.0,705,5
BBH.N0000,2016-11-09,24.5,24.5,24.0,24.1,10825.0,450,3
BBH.N0000,2016-11-10,24.0,24.0,24.0,24.0,38400.0,1600,4
BBH.N0000,2016-11-14,24.0,24.0,23.7,23.9,19037.9,796,7
BBH.N0000,2016-11-15,23.9,23.9,23.5,23.6,14239.1,598,8
BBH.N0000,2016-11-16,23.7,24.0,23.5,23.5,91473.6,3879,11
BBH.N0000,2016-11-17,23.4,23.4,23.2,23.2,17204.1,740,8
BBH.N0000,2016-11-20,23.3,23.3,22.2,22.7,163679.0,7146,18
BBH.N0000,2016-11-22,22.4,23.0,22.0,22.0,398462.0,18014,16
BBH.N0000,2016-11-23,22.9,23.0,22.9,22.9,45846.0,2002,3
BBH.N0000,2016-11-24,22.1,22.1,21.5,22.1,28919.5,1311,7
BBH.N0000,2016-11-28,23.9,23.9,20.3,21.0,106614.3,5027,18
BBH.N0000,2016-11-29,20.6,21.0,20.6,21.0,35158.8,1682,4
BBH.N0000,2016-11-30,21.2,21.3,21.0,21.0,1127778.4,53515,19
BBH.N0000,2016-12-01,22.5,22.6,22.5,22.5,27077.5,1203,9
BBH.N0000,2016-12-04,22.7,22.8,21.0,21.0,97415.5,4638,5
BBH.N0000,2016-12-05,21.1,21.1,21.0,21.0,11575.0,550,6
BBH.N0000,2016-12-06,21.5,21.5,21.5,21.0,150.5,7,2
BBH.N0000,2016-12-07,21.5,21.5,20.8,21.1,50129.0,2376,9
BBH.N0000,2016-12-08,21.0,22.4,21.0,21.0,2122.4,101,5
BBH.N0000,2016-12-13,22.3,22.3,20.6,22.3,11316.5,508,4
BBH.N0000,2016-12-14,22.3,22.3,20.1,20.5,80084.8,3893,27
BBH.N0000,2016-12-15,22.0,22.0,20.1,20.5,7273.2,354,7
BBH.N0000,2016-12-20,21.5,21.5,20.2,20.5,15486.0,754,8
BBH.N0000,2016-12-21,20.5,21.0,20.2,20.2,33001.3,1629,13
BBH.N0000,2016-12-22,20.2,20.5,20.2,20.2,772.7,38,3
BBH.N0000,2016-12-26,20.7,20.7,20.2,20.5,15561.7,761,4
BBH.N0000,2016-12-27,20.5,20.5,20.2,20.2,25108.0,1240,3
BBH.N0000,2016-12-28,21.0,21.0,20.3,20.5,12550.6,612,4
BBH.N0000,2016-12-29,20.5,22.0,20.5,22.0,817310.8,37279,20
BBH.N0000,2017-01-01,21.0,22.2,21.0,22.0,31416.0,1426,5
BBH.N0000,2017-01-03,21.9,21.9,21.2,21.2,6561.4,306,3
BBH.N0000,2017-01-04,22.0,22.0,21.2,21.2,6164.4,287,3
BBH.N0000,2017-01-05,20.8,20.8,20.8,21.2,20.8,1,1
BBH.N0000,2017-01-08,20.9,20.9,20.6,20.8,23382.5,1125,4
BBH.N0000,2017-01-09,20.5,20.5,20.3,20.4,136169.1,6648,18
BBH.N0000,2017-01-12,21.0,21.0,21.0,21.0,262500.0,12500,6
BBH.N0000,2017-01-15,20.8,20.8,20.8,21.0,104.0,5,1
BBH.N0000,2017-01-16,21.1,21.1,21.0,21.0,1832.0,87,2
BBH.N0000,2017-01-17,20.7,20.7,20.7,21.0,20.7,1,1
BBH.N0000,2017-01-18,20.8,20.8,20.2,20.5,46681.7,2266,11
BBH.N0000,2017-01-19,20.5,20.5,20.0,20.5,40.5,2,2
BBH.N0000,2017-01-22,20.0,20.0,20.0,20.0,600000.0,30000,4
BBH.N0000,2017-01-23,20.1,20.2,20.0,20.1,324895.0,16239,8
BBH.N0000,2017-01-25,20.2,20.2,20.2,20.2,30300.0,1500,1
BBH.N0000,2017-01-26,20.2,20.2,20.2,20.2,6060.0,300,1
BBH.N0000,2017-01-29,20.2,20.2,20.2,20.2,14140.0,700,3
BBH.N0000,2017-01-30,20.9,20.9,20.2,20.2,124.7,6,2
BBH.N0000,2017-02-01,20.3,20.3,20.2,20.2,20224.9,1000,4
BBH.N0000,2017-02-02,21.4,21.4,20.3,21.1,27574.5,1304,6
BBH.N0000,2017-02-05,20.3,21.0,20.3,20.4,33230.0,1600,4
BBH.N0000,2017-02-06,20.2,20.2,20.2,20.2,52520.0,2600,8
BBH.N0000,2017-02-08,20.0,20.5,20.0,20.4,46700.0,2300,4
BBH.N0000,2017-02-12,20.1,20.1,20.0,20.1,34360.0,1714,5
BBH.N0000,2017-02-14,20.0,20.0,20.0,20.1,60.0,3,1
BBH.N0000,2017-02-15,20.0,20.0,20.0,20.0,4000.0,200,3
BBH.N0000,2017-02-16,20.1,20.1,20.0,20.1,70200.0,3500,4
BBH.N0000,2017-02-19,20.3,20.4,20.3,20.4,16899.0,830,5
BBH.N0000,2017-02-20,20.4,20.4,20.4,20.4,18972.0,930,4
BBH.N0000,2017-02-22,20.3,20.3,20.0,20.2,30220.0,1497,4
BBH.N0000,2017-02-26,20.0,20.0,20.0,20.0,17640.0,882,4
BBH.N0000,2017-02-27,21.0,21.5,20.3,20.3,39337.3,1935,10
BBH.N0000,2017-02-28,20.7,20.7,20.0,20.1,35410.9,1757,7
BBH.N0000,2017-03-01,20.1,20.1,20.0,20.1,113465.0,5650,6
BBH.N0000,2017-03-02,20.1,21.0,20.0,20.1,126777.0,6311,7
BBH.N0000,2017-03-05,20.0,20.0,19.8,19.8,12859.5,647,6
BBH.N0000,2017-03-06,19.8,19.8,19.8,19.8,15701.4,793,3
BBH.N0000,2017-03-07,19.1,19.1,19.1,19.8,191.0,10,1
BBH.N0000,2017-03-08,18.5,18.5,18.5,19.8,92.5,5,1
BBH.N0000,2017-03-09,19.9,19.9,19.9,19.8,318.4,16,2
BBH.N0000,2017-03-13,19.3,19.3,19.3,19.8,1447.5,75,1
BBH.N0000,2017-03-14,19.9,19.9,19.8,19.9,2188.0,110,2
BBH.N0000,2017-03-15,19.3,19.8,19.3,19.9,251.4,13,3
BBH.N0000,2017-03-16,19.3,19.3,15.0,18.9,43998.5,2725,9
BBH.N0000,2017-03-19,17.9,19.3,17.0,18.9,58010.5,3170,18
BBH.N0000,2017-03-20,19.3,19.9,19.2,19.5,13909.3,715,5
BBH.N0000,2017-03-22,19.0,19.0,17.7,18.0,3735.5,207,6
BBH.N0000,2017-03-23,17.8,19.6,17.8,19.1,42320.6,2363,6
BBH.N0000,2017-03-26,19.7,19.7,18.8,19.1,1626.7,86,3
BBH.N0000,2017-03-27,18.1,20.0,18.0,19.9,342118.7,17403,18
BBH.N0000,2017-03-28,20.0,22.5,20.0,20.0,40202.5,2001,5
BBH.N0000,2017-03-29,22.0,22.0,20.0,22.0,15463.4,703,3
BBH.N0000,2017-03-30,20.3,21.6,20.3,21.3,105920.0,5000,8
BBH.N0000,2017-04-02,21.3,21.3,21.0,21.0,44130.0,2100,4
BBH.N0000,2017-04-03,19.8,19.9,19.7,19.9,89702.2,4529,6
BBH.N0000,2017-04-04,20.1,20.1,19.6,20.0,60079.2,3002,5
BBH.N0000,2017-04-05,20.8,22.0,20.8,21.0,212565.4,10096,31
BBH.N0000,2017-04-06,22.0,22.0,21.9,21.9,22600.0,1030,5
BBH.N0000,2017-04-10,21.3,21.3,21.2,21.3,8283.7,389,4
BBH.N0000,2017-04-11,21.8,21.8,21.2,21.8,42972.8,1996,10
