ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BFL.N0000,2016-01-03,197.1,202.9,197.1,200.0,3539997.0,17702,25
BFL.N0000,2016-01-04,198.1,198.1,198.1,198.1,1030120.0,5200,6
BFL.N0000,2016-01-05,198.1,198.1,197.3,197.9,732568.0,3701,10
BFL.N0000,2016-01-06,197.9,197.9,194.0,194.1,714280.8,3621,14
BFL.N0000,2016-01-07,192.0,192.0,189.9,190.0,1167706.5,6130,21
BFL.N0000,2016-01-10,193.5,193.5,180.5,181.7,2857787.0,15772,59
BFL.N0000,2016-01-11,180.1,182.5,176.0,177.3,2964362.7,16508,51
BFL.N0000,2016-01-12,176.0,186.0,176.0,184.7,1064742.3,5798,28
BFL.N0000,2016-01-13,180.0,180.0,176.0,177.0,525167.0,2935,17
BFL.N0000,2016-01-17,177.0,177.0,165.0,166.1,4665477.0,27159,60
BFL.N0000,2016-01-18,164.0,170.0,153.0,163.3,21647974.7,134707,81
BFL.N0000,2016-01-19,167.0,167.0,155.0,158.3,2415060.6,14880,41
BFL.N0000,2016-01-20,161.0,175.0,161.0,172.7,28428136.6,165279,218
BFL.N0000,2016-01-21,174.9,180.0,173.0,175.4,12463109.9,70758,138
BFL.N0000,2016-01-24,175.1,178.0,172.0,176.1,4174567.7,24062,64
BFL.N0000,2016-01-25,178.0,178.0,172.0,172.4,1531179.8,8829,23
BFL.N0000,2016-01-26,173.9,176.0,173.0,173.4,2036380.0,11689,25
BFL.N0000,2016-01-27,173.0,178.0,173.0,173.5,2712787.3,15652,28
BFL.N0000,2016-01-28,177.5,188.0,177.0,177.2,9624080.7,53716,82
BFL.N0000,2016-01-31,179.1,180.0,177.0,179.5,792395.1,4467,12
BFL.N0000,2016-02-01,180.9,184.0,180.0,183.7,6460122.7,35356,55
BFL.N0000,2016-02-02,185.0,185.0,178.0,178.2,592710.1,3317,12
BFL.N0000,2016-02-04,180.0,180.0,178.0,180.0,2287425.0,12741,24
BFL.N0000,2016-02-07,179.0,180.0,177.4,178.5,1753025.2,9823,22
BFL.N0000,2016-02-08,178.0,178.0,172.0,172.8,802668.5,4631,31
BFL.N0000,2016-02-09,174.9,174.9,174.9,174.9,122430.0,700,2
BFL.N0000,2016-02-10,172.0,172.0,170.0,170.1,2570002.8,14972,40
BFL.N0000,2016-02-11,167.5,170.0,167.5,168.1,317110.0,1889,10
BFL.N0000,2016-02-14,168.0,168.0,164.0,164.8,717297.4,4315,46
BFL.N0000,2016-02-15,165.0,169.0,162.0,164.7,1051027.5,6375,44
BFL.N0000,2016-02-16,168.4,168.4,154.0,156.4,2148331.1,13740,35
BFL.N0000,2016-02-17,159.9,165.0,155.0,158.6,1224068.8,7805,38
BFL.N0000,2016-02-18,164.9,164.9,158.0,160.0,311301.6,1936,15
BFL.N0000,2016-02-22,160.0,160.0,155.0,155.3,544252.0,3483,20
BFL.N0000,2016-02-23,155.0,158.0,153.0,153.5,1304017.5,8490,23
BFL.N0000,2016-02-24,156.9,156.9,156.9,156.9,31380.0,200,2
BFL.N0000,2016-02-25,157.8,157.8,154.9,154.9,693451.0,4474,7
BFL.N0000,2016-02-28,153.6,153.6,148.5,149.5,1170112.9,7742,52
BFL.N0000,2016-02-29,148.6,151.8,140.0,140.8,5114566.5,35957,54
BFL.N0000,2016-03-01,146.0,146.0,140.0,142.9,539415.0,3827,33
BFL.N0000,2016-03-02,144.9,144.9,135.0,139.6,5306322.7,37690,31
BFL.N0000,2016-03-03,139.0,140.0,138.9,139.9,1044866.7,7502,22
BFL.N0000,2016-03-07,138.0,138.0,128.0,128.1,2771273.0,21306,59
BFL.N0000,2016-03-08,125.0,135.0,121.2,130.1,11161872.7,86630,90
BFL.N0000,2016-03-09,135.0,143.0,134.0,140.4,4833231.0,34876,87
BFL.N0000,2016-03-10,142.7,145.0,140.0,141.0,10215637.3,72056,86
BFL.N0000,2016-03-13,142.0,142.0,135.1,138.4,1494563.9,10699,40
BFL.N0000,2016-03-14,141.9,142.0,135.5,140.3,1558485.1,11146,27
BFL.N0000,2016-03-15,144.8,148.0,140.0,147.7,7923254.1,54607,55
BFL.N0000,2016-03-16,145.4,152.0,145.4,149.0,2492760.0,16722,33
BFL.N0000,2016-03-17,148.0,148.0,140.0,146.3,1774826.0,12081,18
BFL.N0000,2016-03-20,143.6,145.0,143.5,144.8,906262.6,6260,7
BFL.N0000,2016-03-22,145.9,145.9,143.5,143.5,298718.0,2070,9
BFL.N0000,2016-03-23,146.0,146.0,143.1,143.5,1187166.4,8271,20
BFL.N0000,2016-03-27,144.9,145.5,143.0,143.1,333637.1,2326,10
BFL.N0000,2016-03-28,142.0,143.0,139.1,140.0,1872479.7,13310,23
BFL.N0000,2016-03-29,141.1,142.0,140.0,142.0,190242.0,1346,7
BFL.N0000,2016-03-30,142.0,147.0,142.0,144.0,4254695.5,29515,14
BFL.N0000,2016-03-31,145.5,149.0,145.5,147.1,4803087.8,32665,33
BFL.N0000,2016-04-03,149.0,152.0,149.0,151.0,1123172.0,7444,34
BFL.N0000,2016-04-04,155.0,162.0,153.0,160.3,7918473.7,49760,101
BFL.N0000,2016-04-05,163.0,163.0,157.0,159.1,4416652.0,27758,62
BFL.N0000,2016-04-06,162.5,166.9,159.1,165.2,14055547.9,85224,113
BFL.N0000,2016-04-07,166.0,168.0,163.5,164.4,10175379.7,61503,97
BFL.N0000,2016-04-10,164.4,165.5,158.2,165.0,1870826.5,11393,28
BFL.N0000,2016-04-11,165.0,169.7,165.0,169.3,3048100.2,18053,55
BFL.N0000,2016-04-14,169.7,173.5,168.1,172.8,3366462.5,19753,51
BFL.N0000,2016-04-17,171.0,171.0,166.6,167.9,1791271.0,10615,38
BFL.N0000,2016-04-18,170.0,170.0,167.1,169.7,722761.2,4288,25
BFL.N0000,2016-04-19,169.0,169.0,167.0,169.0,2616425.0,15492,28
BFL.N0000,2016-04-21,170.0,170.0,167.0,167.2,1071970.9,6418,13
BFL.N0000,2016-04-24,169.9,171.0,164.9,169.1,3904754.6,23424,54
BFL.N0000,2016-04-25,169.5,175.0,169.5,172.4,4431665.2,25585,72
BFL.N0000,2016-04-26,174.0,178.5,172.1,175.1,13259745.7,75578,78
BFL.N0000,2016-04-27,176.0,180.0,175.0,179.3,6744292.6,37793,89
BFL.N0000,2016-04-28,179.9,185.0,179.9,183.2,14492570.9,79388,152
BFL.N0000,2016-05-02,185.0,189.8,183.9,184.5,487817.5,2622,29
BFL.N0000,2016-05-03,183.0,184.6,179.9,180.3,3641226.2,20203,62
BFL.N0000,2016-05-04,178.0,184.0,177.6,181.0,636439.3,3525,31
BFL.N0000,2016-05-05,183.9,189.0,181.0,181.8,10505549.2,57612,82
BFL.N0000,2016-05-08,187.0,187.0,182.0,182.0,504448.4,2760,26
BFL.N0000,2016-05-09,185.0,185.0,182.0,182.8,834171.7,4566,31
BFL.N0000,2016-05-10,185.0,187.0,185.0,185.5,983683.0,5287,40
BFL.N0000,2016-05-11,184.1,184.9,180.0,181.4,921182.8,5050,24
BFL.N0000,2016-05-12,184.9,184.9,183.8,184.0,3471435.3,18865,52
BFL.N0000,2016-05-15,183.0,183.0,183.0,183.0,197274.0,1078,3
BFL.N0000,2016-05-16,182.0,182.0,179.5,180.0,918419.3,5102,26
BFL.N0000,2016-05-17,180.0,182.0,180.0,180.1,475084.0,2639,16
BFL.N0000,2016-05-18,181.9,181.9,179.2,179.2,168564.0,931,15
