ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BFN.N0000,2016-02-17,15.0,22.9,15.0,15.3,70572.4,4381,27
BFN.N0000,2016-02-18,15.1,15.1,15.1,15.1,7550.0,500,1
BFN.N0000,2016-02-22,15.0,15.0,15.0,15.0,121500.0,8100,4
BFN.N0000,2016-02-23,15.0,15.0,15.0,15.0,75060.0,5004,12
BFN.N0000,2016-02-28,14.8,14.8,14.8,14.8,1480.0,100,1
BFN.N0000,2016-02-29,15.0,15.0,15.0,14.8,60.0,4,1
BFN.N0000,2016-03-01,14.6,14.6,14.5,14.5,59460.0,4100,2
BFN.N0000,2016-03-03,14.5,14.5,14.5,14.5,3784.5,261,1
BFN.N0000,2016-03-10,14.0,14.8,14.0,14.1,15892.0,1130,3
BFN.N0000,2016-03-13,14.0,14.0,12.5,12.5,6850.0,500,2
BFN.N0000,2016-03-16,14.0,14.0,14.0,14.0,43820.0,3130,5
BFN.N0000,2016-03-22,14.0,14.0,13.0,13.0,9240.0,710,5
BFN.N0000,2016-03-23,13.0,13.0,13.0,13.0,13.0,1,1
BFN.N0000,2016-03-27,13.0,13.0,13.0,13.0,22100.0,1700,2
BFN.N0000,2016-03-29,13.0,13.0,13.0,13.0,221000.0,17000,5
BFN.N0000,2016-03-31,13.0,13.0,13.0,13.0,10530.0,810,3
BFN.N0000,2016-04-03,13.0,13.0,13.0,13.0,13.0,1,1
BFN.N0000,2016-04-05,12.5,12.5,12.5,12.5,18362.5,1469,4
BFN.N0000,2016-04-06,13.0,13.0,13.0,12.5,117.0,9,1
BFN.N0000,2016-04-11,13.0,13.8,13.0,13.0,36285.4,2791,2
BFN.N0000,2016-04-14,13.8,15.5,13.8,14.4,17285.1,1200,5
BFN.N0000,2016-04-17,14.0,15.5,14.0,14.4,111295.5,7705,13
BFN.N0000,2016-04-18,15.9,15.9,14.0,14.4,119412.0,8250,7
BFN.N0000,2016-04-19,14.9,15.0,14.0,14.9,67085.2,4501,5
BFN.N0000,2016-04-24,14.1,14.1,13.1,13.5,34065.4,2524,11
BFN.N0000,2016-04-26,14.0,14.6,13.9,14.0,24338.6,1742,6
BFN.N0000,2016-04-27,14.5,14.5,14.5,14.0,29.0,2,1
BFN.N0000,2016-04-28,14.5,14.5,14.5,14.0,217.5,15,1
BFN.N0000,2016-05-02,14.0,14.6,14.0,14.5,108596.8,7492,11
BFN.N0000,2016-05-04,14.5,14.5,14.5,14.5,15950.0,1100,2
BFN.N0000,2016-05-08,14.9,14.9,14.9,14.5,372.5,25,1
