ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BOPL.N0000,2016-01-03,11.0,11.0,10.9,11.0,1209.0,110,2
BOPL.N0000,2016-01-04,10.8,10.8,10.5,10.6,1065.8,101,3
BOPL.N0000,2016-01-05,10.8,10.8,10.2,10.3,22186.3,2154,4
BOPL.N0000,2016-01-06,10.1,10.1,10.1,10.3,505.0,50,1
BOPL.N0000,2016-01-07,10.5,10.6,10.5,10.6,31750.0,3000,3
BOPL.N0000,2016-01-10,10.2,10.2,10.0,10.0,51023.5,5058,12
BOPL.N0000,2016-01-11,10.0,10.0,10.0,10.0,249250.0,24925,11
BOPL.N0000,2016-01-13,10.5,10.5,10.4,10.4,5714.6,549,3
BOPL.N0000,2016-01-17,10.5,10.5,10.2,10.2,33193.2,3166,5
BOPL.N0000,2016-01-18,10.5,10.5,10.2,10.2,5100.3,500,2
BOPL.N0000,2016-01-19,10.2,10.4,10.0,10.1,4767.4,470,5
BOPL.N0000,2016-01-20,10.0,10.3,10.0,10.2,4987.0,490,2
BOPL.N0000,2016-01-21,10.3,10.3,10.3,10.2,103.0,10,1
BOPL.N0000,2016-01-24,9.9,10.0,9.8,10.0,14830.0,1486,4
BOPL.N0000,2016-01-26,9.8,9.8,8.8,9.2,9200.0,1000,2
BOPL.N0000,2016-01-28,10.2,10.2,10.2,9.2,61.2,6,1
BOPL.N0000,2016-02-01,10.3,10.3,10.3,9.2,10.3,1,1
BOPL.N0000,2016-02-04,10.7,10.7,10.6,10.6,7470.0,700,3
BOPL.N0000,2016-02-08,10.8,10.8,10.8,10.6,10.8,1,1
BOPL.N0000,2016-02-09,10.0,10.7,10.0,10.0,2920.7,292,5
BOPL.N0000,2016-02-10,10.5,10.8,10.5,10.5,2110.8,201,2
BOPL.N0000,2016-02-14,10.7,12.0,9.5,9.6,33166.5,2872,11
BOPL.N0000,2016-02-15,10.4,10.4,10.4,9.6,10.4,1,1
BOPL.N0000,2016-02-16,10.4,10.4,10.2,10.4,62152.0,5980,7
BOPL.N0000,2016-02-17,10.4,10.4,10.4,10.4,10.4,1,1
BOPL.N0000,2016-02-18,10.0,11.3,10.0,10.0,52171.3,5201,3
BOPL.N0000,2016-02-22,12.0,12.0,10.0,10.0,501133.4,50103,7
BOPL.N0000,2016-02-24,9.9,10.0,9.8,9.9,98820.0,10002,6
BOPL.N0000,2016-02-25,9.8,9.9,9.8,9.9,74208.9,7511,8
BOPL.N0000,2016-02-28,9.8,9.8,9.8,9.8,1960.0,200,2
BOPL.N0000,2016-02-29,10.0,10.0,9.7,9.7,167470.0,17100,10
BOPL.N0000,2016-03-01,10.0,10.0,9.5,9.6,64170.0,6702,6
BOPL.N0000,2016-03-07,9.3,9.3,9.0,9.0,120727.0,13303,12
BOPL.N0000,2016-03-08,9.0,9.0,8.5,8.7,23588.4,2708,11
BOPL.N0000,2016-03-09,9.0,10.0,9.0,10.0,1018.0,102,2
BOPL.N0000,2016-03-10,10.3,10.3,10.3,10.0,51.5,5,1
BOPL.N0000,2016-03-13,10.3,10.3,9.0,9.9,6520.0,700,3
BOPL.N0000,2016-03-14,10.0,10.0,10.0,10.0,4040.0,404,1
BOPL.N0000,2016-03-15,10.0,10.3,10.0,10.3,21394.9,2083,3
BOPL.N0000,2016-03-16,9.8,9.8,9.8,9.8,1960.0,200,2
BOPL.N0000,2016-03-17,9.8,9.8,9.5,9.6,26770.0,2780,7
BOPL.N0000,2016-03-20,10.7,10.7,10.7,10.7,2140.0,200,1
BOPL.N0000,2016-03-27,9.7,9.7,9.7,9.7,970.0,100,1
BOPL.N0000,2016-03-28,9.7,9.7,9.2,9.6,18790.0,1950,3
BOPL.N0000,2016-03-29,9.6,9.6,9.6,9.6,21888.0,2280,3
BOPL.N0000,2016-03-30,9.6,9.7,9.6,9.6,19201.0,2000,4
BOPL.N0000,2016-03-31,10.2,11.0,10.2,11.0,219515.0,20000,7
BOPL.N0000,2016-04-03,10.2,10.2,10.2,11.0,102.0,10,1
BOPL.N0000,2016-04-04,10.0,11.0,10.0,10.5,117468.0,10795,11
