ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CARE.N0000,2016-01-19,36.1,36.1,35.1,40.1,2434.9,69,5
CARE.N0000,2016-02-04,43.3,43.3,43.3,40.1,43.3,1,1
CARE.N0000,2016-02-14,40.1,40.1,36.0,37.6,46163.0,1224,11
CARE.N0000,2016-02-17,35.7,35.7,35.6,35.6,3560.5,100,2
CARE.N0000,2016-02-18,35.6,35.6,35.0,35.5,81346.0,2300,6
CARE.N0000,2016-02-23,35.5,40.0,35.5,35.9,16458.5,459,5
CARE.N0000,2016-02-29,35.2,35.2,35.2,35.2,20592.0,585,2
CARE.N0000,2016-03-02,38.0,38.0,38.0,35.2,1900.0,50,1
CARE.N0000,2016-03-07,35.0,35.0,35.0,35.0,18480.0,528,3
CARE.N0000,2016-03-08,34.0,35.0,32.0,33.8,218719.5,6473,5
CARE.N0000,2016-03-10,34.0,38.0,34.0,34.0,170038.0,5001,3
CARE.N0000,2016-03-22,35.0,35.0,35.0,35.0,45500.0,1300,1
CARE.N0000,2016-03-23,38.0,39.9,38.0,38.4,9139.0,238,2
CARE.N0000,2016-03-28,40.0,40.0,40.0,38.4,280.0,7,1
CARE.N0000,2016-03-29,38.0,38.0,38.0,38.4,1824.0,48,1
CARE.N0000,2016-03-31,38.0,38.0,38.0,38.0,3800.0,100,1
CARE.N0000,2016-04-04,38.0,39.7,38.0,38.9,15502.0,399,2
CARE.N0000,2016-04-05,40.9,40.9,40.9,38.9,204.5,5,1
CARE.N0000,2016-04-07,41.0,41.0,41.0,41.0,65600.0,1600,1
CARE.N0000,2016-04-11,41.0,41.0,41.0,41.0,82.0,2,1
CARE.N0000,2016-04-14,41.0,41.0,41.0,41.0,2050.0,50,1
CARE.N0000,2016-04-21,38.0,38.0,36.0,36.4,10910.5,300,6
CARE.N0000,2016-05-02,41.9,41.9,41.9,36.4,41.9,1,1
CARE.N0000,2016-05-04,37.5,37.5,37.5,37.5,18750.0,500,4
CARE.N0000,2016-05-05,39.9,39.9,39.9,37.5,1995.0,50,1
CARE.N0000,2016-05-08,40.0,40.0,40.0,37.5,40.0,1,1
CARE.N0000,2016-05-09,39.9,40.0,39.9,40.0,14516.2,363,4
CARE.N0000,2016-05-10,38.0,38.0,38.0,40.0,38.0,1,1
CARE.N0000,2016-05-16,41.5,41.5,38.5,38.5,1925711.5,50017,2
CARE.N0000,2016-05-23,41.9,41.9,41.9,38.5,1885.5,45,1
CARE.N0000,2016-05-24,41.0,41.0,41.0,38.5,410.0,10,1
CARE.N0000,2016-05-30,38.7,38.7,38.0,38.1,4457.2,117,4
CARE.N0000,2016-05-31,39.0,39.0,39.0,38.1,1404.0,36,2
CARE.N0000,2016-06-01,38.0,38.0,38.0,38.0,33554.0,883,2
CARE.N0000,2016-06-02,35.1,35.1,35.1,38.0,1755.0,50,1
CARE.N0000,2016-06-07,39.0,40.0,39.0,39.1,6831.0,175,4
CARE.N0000,2016-06-08,40.0,40.0,40.0,40.0,34080.0,852,1
CARE.N0000,2016-06-15,40.9,40.9,40.9,40.0,40.9,1,1
CARE.N0000,2016-06-16,40.9,40.9,40.9,40.9,4171.8,102,2
CARE.N0000,2016-06-30,40.0,40.0,40.0,40.0,40000.0,1000,1
CARE.N0000,2016-07-12,41.0,41.0,41.0,40.0,451.0,11,2
CARE.N0000,2016-07-14,37.5,37.5,37.5,37.5,18750.0,500,1
CARE.N0000,2016-07-17,41.0,41.0,41.0,37.5,123.0,3,1
CARE.N0000,2016-07-19,41.0,41.0,41.0,37.5,41.0,1,1
CARE.N0000,2016-07-20,40.5,40.5,40.5,37.5,405.0,10,1
CARE.N0000,2016-07-27,40.9,41.0,40.9,41.0,8193.1,200,2
CARE.N0000,2016-07-31,38.1,38.2,38.1,38.1,48216.7,1265,10
CARE.N0000,2016-08-01,38.2,38.2,38.2,38.1,3743.6,98,1
CARE.N0000,2016-08-02,39.3,42.9,39.3,40.6,40883.7,1007,21
CARE.N0000,2016-08-08,38.7,38.7,38.5,38.5,777793.4,20200,4
CARE.N0000,2016-08-15,38.7,38.7,38.7,38.5,1780.2,46,1
CARE.N0000,2016-09-04,40.9,40.9,40.9,40.9,4294.5,105,7
CARE.N0000,2016-09-27,40.8,40.8,40.7,40.9,81.5,2,2
CARE.N0000,2016-09-28,40.7,40.7,40.7,40.7,8140.0,200,2
CARE.N0000,2016-10-04,37.5,37.5,37.5,40.7,375.0,10,1
CARE.N0000,2016-10-05,40.0,40.0,38.1,40.0,12076.2,302,5
CARE.N0000,2016-10-09,38.3,38.3,38.3,38.3,3868.3,101,1
CARE.N0000,2016-10-10,38.3,40.0,38.3,38.3,31829.0,831,7
CARE.N0000,2016-10-19,37.0,37.0,37.0,37.0,3700.0,100,1
