ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CHL.X0000,2016-01-04,79.0,79.0,79.0,75.0,3950.0,50,1
CHL.X0000,2016-01-06,75.2,75.2,75.0,75.0,90018.0,1200,4
CHL.X0000,2016-01-10,71.9,71.9,71.0,71.2,106455.0,1495,4
CHL.X0000,2016-01-12,79.0,79.0,79.0,79.0,11218.0,142,3
CHL.X0000,2016-01-17,72.0,79.0,72.0,72.0,36000.0,500,1
CHL.X0000,2016-01-20,75.0,75.0,75.0,75.0,37500.0,500,2
CHL.X0000,2016-01-25,72.1,73.5,72.1,73.1,12278.0,168,5
CHL.X0000,2016-01-26,72.1,72.1,72.1,72.1,7210.0,100,1
CHL.X0000,2016-01-27,72.5,72.5,72.4,72.5,24631.0,340,4
CHL.X0000,2016-02-01,72.5,73.0,72.5,73.0,21850.0,300,3
CHL.X0000,2016-02-04,73.6,75.0,73.6,74.7,20172.0,270,3
CHL.X0000,2016-02-14,74.0,74.3,74.0,74.3,7578.0,102,3
CHL.X0000,2016-02-15,74.3,74.7,74.0,74.1,160114.0,2159,5
CHL.X0000,2016-03-09,62.1,68.0,62.0,62.2,171730.0,2760,3
CHL.X0000,2016-03-13,63.7,63.7,63.7,62.2,254.8,4,1
CHL.X0000,2016-03-14,65.0,65.0,65.0,62.2,4875.0,75,3
CHL.X0000,2016-03-15,70.0,70.0,70.0,70.0,77000.0,1100,1
CHL.X0000,2016-03-27,73.0,73.0,73.0,73.0,833733.0,11421,6
CHL.X0000,2016-03-29,75.0,75.0,75.0,73.0,3750.0,50,4
CHL.X0000,2016-03-30,73.6,73.6,73.6,73.6,25760.0,350,1
CHL.X0000,2016-03-31,76.5,76.9,76.5,76.6,45940.0,600,4
CHL.X0000,2016-04-04,84.5,84.5,84.5,76.6,169.0,2,2
CHL.X0000,2016-04-07,76.0,76.0,76.0,76.0,13680.0,180,2
CHL.X0000,2016-04-11,76.0,76.0,76.0,76.0,646912.0,8512,7
CHL.X0000,2016-04-17,76.1,76.1,76.0,76.1,229060.0,3010,5
CHL.X0000,2016-04-18,75.0,84.3,75.0,75.6,1531677.5,20261,13
CHL.X0000,2016-04-25,82.9,82.9,77.0,77.0,386711.4,5021,4
CHL.X0000,2016-04-26,78.0,78.0,77.0,77.0,519689.0,6749,3
CHL.X0000,2016-04-27,77.0,77.0,77.0,77.0,21329.0,277,2
CHL.X0000,2016-04-28,77.5,77.5,77.5,77.0,3875.0,50,1
CHL.X0000,2016-05-02,81.9,82.0,81.9,82.0,1018029.0,12415,3
CHL.X0000,2016-05-03,81.0,81.0,81.0,81.0,243000.0,3000,1
CHL.X0000,2016-05-05,79.0,82.0,79.0,80.9,613640.0,7585,6
CHL.X0000,2016-05-08,78.0,82.0,78.0,78.0,46964.0,602,3
CHL.X0000,2016-05-10,82.0,82.0,82.0,78.0,984.0,12,2
CHL.X0000,2016-05-11,82.0,82.0,81.6,81.8,134606.0,1646,10
CHL.X0000,2016-05-12,84.3,84.3,84.3,81.8,84.3,1,1
CHL.X0000,2016-05-15,84.3,85.0,84.3,84.8,2465500.2,29121,23
CHL.X0000,2016-05-16,85.0,86.0,84.0,85.1,557271.0,6546,8
CHL.X0000,2016-05-17,84.0,86.4,84.0,86.4,16315.2,189,4
CHL.X0000,2016-05-18,86.4,86.5,86.0,86.0,256413.7,2974,13
CHL.X0000,2016-05-19,83.1,84.0,81.0,83.1,37397.4,450,5
CHL.X0000,2016-05-25,81.0,81.0,80.0,80.1,8005.0,100,2
CHL.X0000,2016-05-29,80.1,80.1,80.0,80.0,362960.2,4537,3
CHL.X0000,2016-05-30,79.0,82.0,79.0,81.8,827833.0,10127,5
CHL.X0000,2016-05-31,80.0,80.0,80.0,80.0,718080.0,8976,5
CHL.X0000,2016-06-01,80.0,80.0,80.0,80.0,146000.0,1825,2
CHL.X0000,2016-06-02,80.0,80.0,80.0,80.0,196320.0,2454,4
CHL.X0000,2016-06-06,80.0,83.7,79.9,80.2,756420.0,9437,7
CHL.X0000,2016-06-09,81.0,81.0,81.0,80.2,6480.0,80,1
CHL.X0000,2016-06-12,81.0,81.0,78.0,80.2,1566.0,20,3
CHL.X0000,2016-06-19,76.0,76.0,76.0,80.2,6080.0,80,1
CHL.X0000,2016-06-23,76.0,76.0,76.0,80.2,5396.0,71,1
CHL.X0000,2016-06-27,76.0,76.0,76.0,76.0,22800.0,300,1
CHL.X0000,2016-06-29,80.0,80.0,79.0,79.0,626270.0,7830,4
CHL.X0000,2016-07-03,76.0,76.0,76.0,76.0,60952.0,802,7
CHL.X0000,2016-07-07,75.1,75.1,75.0,75.0,120026.4,1600,3
CHL.X0000,2016-07-10,75.1,76.0,75.1,75.0,4094.1,54,3
CHL.X0000,2016-07-13,76.0,76.0,76.0,75.0,3800.0,50,1
CHL.X0000,2016-07-14,76.0,76.0,76.0,75.0,3800.0,50,3
CHL.X0000,2016-07-17,76.0,80.0,75.0,79.4,765120.6,9640,11
CHL.X0000,2016-07-19,75.1,75.1,75.0,79.4,2551.0,34,2
CHL.X0000,2016-07-24,79.6,80.0,79.6,80.0,918548.0,11482,11
