ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CHMX.N0000,2016-01-04,75.0,75.0,75.0,75.0,375000.0,5000,1
CHMX.N0000,2016-01-05,70.0,70.0,70.0,75.0,3500.0,50,1
CHMX.N0000,2016-01-06,70.1,70.1,70.0,70.0,122620.0,1751,4
CHMX.N0000,2016-01-10,69.5,69.5,66.0,68.3,555198.0,8100,11
CHMX.N0000,2016-01-11,66.7,66.7,63.2,63.8,185405.9,2845,13
CHMX.N0000,2016-01-12,69.0,69.0,69.0,69.0,8832.0,128,2
CHMX.N0000,2016-01-13,68.9,68.9,68.9,69.0,482.3,7,1
CHMX.N0000,2016-01-17,64.0,67.5,63.3,64.4,31507.0,490,5
CHMX.N0000,2016-01-18,65.0,67.1,62.0,63.8,696018.1,11151,14
CHMX.N0000,2016-01-19,64.0,64.0,64.0,64.0,51200.0,800,2
CHMX.N0000,2016-01-20,66.0,66.9,63.5,64.9,359244.1,5448,13
CHMX.N0000,2016-01-21,67.1,67.1,67.1,64.9,67.1,1,1
CHMX.N0000,2016-01-24,67.1,67.1,66.4,66.7,57323.9,859,4
CHMX.N0000,2016-01-26,62.4,62.4,62.4,66.7,3744.0,60,2
CHMX.N0000,2016-01-27,65.0,65.0,65.0,66.7,325.0,5,1
CHMX.N0000,2016-01-28,67.5,67.5,67.0,67.0,387467.5,5781,4
CHMX.N0000,2016-01-31,67.7,67.8,65.2,67.8,113810.8,1679,6
CHMX.N0000,2016-02-04,67.0,67.0,67.0,67.8,1675.0,25,1
CHMX.N0000,2016-02-09,67.0,67.0,67.0,67.0,124821.0,1863,9
CHMX.N0000,2016-02-10,64.5,75.0,64.5,65.0,801036.0,11109,12
CHMX.N0000,2016-02-11,64.7,64.7,63.0,63.1,156666.1,2478,10
CHMX.N0000,2016-02-14,63.0,63.0,62.5,62.5,469884.0,7518,7
CHMX.N0000,2016-02-15,62.2,62.2,62.0,62.2,32588.2,524,4
CHMX.N0000,2016-02-16,61.2,61.2,61.0,61.0,46605.2,764,9
CHMX.N0000,2016-02-18,60.1,64.5,60.1,64.4,906614.9,14092,4
CHMX.N0000,2016-02-24,58.3,58.3,58.3,64.4,1166.0,20,1
CHMX.N0000,2016-02-25,65.0,65.0,58.5,64.4,715.0,12,2
CHMX.N0000,2016-02-28,58.5,58.5,58.2,58.3,110856.2,1901,6
CHMX.N0000,2016-02-29,64.5,64.5,64.5,58.3,64.5,1,1
CHMX.N0000,2016-03-01,58.4,58.4,58.4,58.4,29200.0,500,1
CHMX.N0000,2016-03-07,56.5,56.6,45.1,56.0,240953.1,4289,10
CHMX.N0000,2016-03-09,56.0,56.0,56.0,56.0,14000.0,250,4
CHMX.N0000,2016-03-10,60.0,60.0,60.0,60.0,150000.0,2500,1
CHMX.N0000,2016-03-13,56.0,56.0,55.0,55.0,297690.0,5410,4
CHMX.N0000,2016-03-14,55.1,63.0,54.9,55.0,1386045.0,25197,27
CHMX.N0000,2016-03-15,59.0,59.0,59.0,55.0,59.0,1,1
CHMX.N0000,2016-03-16,58.0,61.0,58.0,60.3,1087189.0,18099,24
CHMX.N0000,2016-03-20,60.0,62.9,60.0,60.9,200320.0,3300,9
CHMX.N0000,2016-03-22,60.0,60.0,60.0,60.0,147720.0,2462,4
CHMX.N0000,2016-03-23,62.9,62.9,55.0,62.9,157545.0,2505,4
CHMX.N0000,2016-03-27,62.8,62.8,62.0,62.0,9614.0,155,2
CHMX.N0000,2016-03-28,55.7,56.5,55.7,55.7,27963.0,502,4
CHMX.N0000,2016-03-29,62.8,63.0,60.0,63.0,576988.0,9274,15
CHMX.N0000,2016-04-03,65.0,65.0,60.0,60.1,774326.3,12550,16
CHMX.N0000,2016-04-04,60.0,65.0,60.0,64.4,716006.5,11185,15
CHMX.N0000,2016-04-05,64.5,64.5,60.0,60.1,331853.9,5521,6
CHMX.N0000,2016-04-06,63.8,63.8,60.0,60.0,176693.0,2932,12
CHMX.N0000,2016-04-07,60.2,60.2,60.0,60.0,210031.0,3500,4
CHMX.N0000,2016-04-10,60.0,60.0,60.0,60.0,1104000.0,18400,5
CHMX.N0000,2016-04-11,62.9,64.0,62.9,63.0,1538422.1,24419,15
CHMX.N0000,2016-04-14,64.0,64.0,63.9,63.0,4477.0,70,2
CHMX.N0000,2016-04-17,64.8,64.8,64.7,64.8,263729.0,4070,5
CHMX.N0000,2016-04-18,64.8,65.5,64.8,64.9,77900.0,1200,3
CHMX.N0000,2016-04-19,65.0,66.0,65.0,66.0,52290.0,800,4
CHMX.N0000,2016-04-24,62.0,62.0,62.0,62.0,18662.0,301,2
CHMX.N0000,2016-04-27,60.1,60.1,60.1,62.0,601.0,10,1
CHMX.N0000,2016-05-02,65.0,65.0,65.0,65.0,32500.0,500,1
CHMX.N0000,2016-05-03,65.5,66.0,65.5,65.9,507617.0,7705,9
CHMX.N0000,2016-05-04,65.0,65.0,65.0,65.0,65000.0,1000,1
