ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CIC.N0000,2016-01-04,103.0,105.0,103.0,105.0,2262635.0,21551,14
CIC.N0000,2016-01-05,105.9,106.0,105.0,106.0,1064705.0,10047,11
CIC.N0000,2016-01-06,104.0,108.0,104.0,107.3,8980283.0,83919,51
CIC.N0000,2016-01-07,106.0,107.0,106.0,107.0,2972895.0,27785,12
CIC.N0000,2016-01-10,102.0,107.5,102.0,106.1,36750938.0,343300,113
CIC.N0000,2016-01-11,107.0,107.0,101.1,101.1,53414132.0,499203,25
CIC.N0000,2016-01-12,100.1,101.0,100.1,100.2,96150.0,960,2
CIC.N0000,2016-01-13,101.1,102.0,100.0,100.2,20907530.0,207093,19
CIC.N0000,2016-01-17,100.0,100.0,97.0,100.0,713783.7,7162,12
CIC.N0000,2016-01-18,100.0,100.0,96.0,98.3,1628850.0,16550,19
CIC.N0000,2016-01-19,98.0,98.0,95.1,95.2,211958.0,2221,4
CIC.N0000,2016-01-20,99.2,99.2,97.5,99.0,34635.0,350,2
CIC.N0000,2016-01-21,100.0,101.0,100.0,100.1,832504.0,8315,12
CIC.N0000,2016-01-25,95.1,95.1,95.1,100.1,95.1,1,1
CIC.N0000,2016-01-27,99.0,99.0,99.0,99.0,2475000.0,25000,2
CIC.N0000,2016-01-28,95.1,96.0,95.1,96.0,969510.0,10100,4
CIC.N0000,2016-01-31,96.3,97.9,96.3,96.4,1230591.8,12772,8
CIC.N0000,2016-02-01,96.2,99.0,96.2,99.0,2493146.4,25416,10
CIC.N0000,2016-02-07,99.0,99.0,99.0,99.0,198000.0,2000,2
CIC.N0000,2016-02-08,100.0,100.1,99.0,99.3,1342300.0,13432,20
CIC.N0000,2016-02-09,100.0,100.0,99.9,100.0,1322443.0,13225,11
CIC.N0000,2016-02-10,96.3,96.4,96.3,96.4,195642.0,2030,9
CIC.N0000,2016-02-11,96.4,98.0,96.4,97.0,460736.0,4740,8
CIC.N0000,2016-02-14,96.4,99.8,96.3,96.4,663385.1,6887,4
CIC.N0000,2016-02-15,96.5,99.8,96.5,99.8,129404.4,1300,4
CIC.N0000,2016-02-17,96.4,96.4,96.4,96.4,9640.0,100,1
