ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CIC.X0000,2016-01-03,80.0,80.0,80.0,80.0,400000.0,5000,6
CIC.X0000,2016-01-04,81.2,81.2,81.2,81.2,174498.8,2149,10
CIC.X0000,2016-01-05,82.0,84.7,81.5,81.8,650729.7,7951,9
CIC.X0000,2016-01-06,82.0,85.0,82.0,85.0,1350851.9,15986,25
CIC.X0000,2016-01-07,82.0,85.0,82.0,84.0,1751136.8,20893,21
CIC.X0000,2016-01-10,83.9,86.0,83.9,86.0,12722767.1,148536,53
CIC.X0000,2016-01-11,86.0,86.8,80.0,82.5,17223502.4,200293,36
CIC.X0000,2016-01-13,78.6,79.0,78.5,79.0,3579351.5,45500,9
CIC.X0000,2016-01-17,78.5,79.5,78.1,79.4,480450.5,6081,12
CIC.X0000,2016-01-18,75.1,79.9,75.0,76.1,287139.9,3751,11
CIC.X0000,2016-01-19,79.6,79.7,77.6,77.6,298532.1,3786,7
CIC.X0000,2016-01-20,79.0,80.0,79.0,80.0,538895.5,6756,9
CIC.X0000,2016-01-21,80.0,80.0,80.0,80.0,800.0,10,1
CIC.X0000,2016-01-24,80.0,80.0,80.0,80.0,183200.0,2290,2
CIC.X0000,2016-01-25,79.8,80.0,79.8,80.0,535700.0,6700,4
CIC.X0000,2016-01-26,76.0,76.2,76.0,76.1,78765.0,1035,8
CIC.X0000,2016-01-27,76.5,76.5,76.0,76.1,1311927.0,17247,7
CIC.X0000,2016-01-28,76.6,80.0,76.5,79.5,1465264.0,18660,7
CIC.X0000,2016-01-31,78.0,78.0,78.0,78.0,156000.0,2000,1
CIC.X0000,2016-02-01,79.0,82.0,79.0,80.3,1441860.0,17958,25
CIC.X0000,2016-02-02,77.2,77.2,77.1,77.1,38555.0,500,2
CIC.X0000,2016-02-04,80.0,80.0,80.0,80.0,160240.0,2003,5
CIC.X0000,2016-02-07,80.0,80.0,80.0,80.0,176000.0,2200,4
CIC.X0000,2016-02-08,80.1,81.0,80.0,80.0,6830658.5,85308,34
CIC.X0000,2016-02-09,81.8,81.8,78.5,79.0,109577.0,1374,5
CIC.X0000,2016-02-10,79.0,79.0,78.2,78.5,39397.8,502,3
CIC.X0000,2016-02-11,78.2,78.5,78.2,78.5,105223.6,1343,3
CIC.X0000,2016-02-14,81.5,81.5,78.6,78.5,870.4,11,2
