ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CINV.N0000,2016-01-03,80.1,82.0,79.5,82.0,116952.8,1460,9
CINV.N0000,2016-01-04,83.0,83.0,79.5,82.0,1674.0,21,4
CINV.N0000,2016-01-05,80.0,80.0,79.3,79.4,324390.6,4064,15
CINV.N0000,2016-01-06,79.1,79.2,79.0,79.0,171594.6,2171,13
CINV.N0000,2016-01-07,79.1,79.1,79.0,79.0,9165.0,116,2
CINV.N0000,2016-01-10,79.0,79.0,78.0,78.2,120629.4,1543,9
CINV.N0000,2016-01-11,78.0,78.0,75.0,75.2,289627.2,3839,18
CINV.N0000,2016-01-12,77.9,77.9,75.0,75.1,463430.9,6142,17
CINV.N0000,2016-01-13,75.1,75.1,74.0,74.0,43299.5,580,16
CINV.N0000,2016-01-17,73.8,73.8,68.2,70.1,571090.1,8119,31
CINV.N0000,2016-01-18,70.1,72.0,70.0,70.0,3571713.6,50986,3
CINV.N0000,2016-01-19,72.0,72.0,70.0,70.0,113180.0,1614,4
CINV.N0000,2016-01-20,70.0,72.0,70.0,72.0,549350.5,7826,13
CINV.N0000,2016-01-21,72.5,72.7,72.5,72.5,138133.0,1905,10
CINV.N0000,2016-01-24,72.1,72.1,72.0,72.0,72432.5,1006,3
CINV.N0000,2016-01-25,70.2,70.2,70.0,70.0,174040.0,2486,11
CINV.N0000,2016-01-26,69.9,69.9,69.7,69.7,42519.0,610,4
CINV.N0000,2016-01-27,70.0,70.0,69.1,70.0,50391.9,720,7
CINV.N0000,2016-01-31,69.9,69.9,69.2,69.9,237392.9,3397,8
CINV.N0000,2016-02-01,69.9,69.9,69.0,69.5,669063.1,9629,25
CINV.N0000,2016-02-02,69.5,69.5,69.0,69.1,18216.5,263,8
CINV.N0000,2016-02-04,69.0,69.0,68.6,69.0,83961.2,1218,7
CINV.N0000,2016-02-07,69.0,69.0,67.0,67.6,17983.5,266,12
CINV.N0000,2016-02-08,67.0,67.0,67.0,67.0,19497.0,291,1
CINV.N0000,2016-02-09,67.0,67.0,66.0,66.1,370862.0,5609,13
CINV.N0000,2016-02-10,65.4,65.4,65.3,65.4,18769.1,287,5
CINV.N0000,2016-02-11,65.3,65.3,65.2,65.2,32600.8,500,5
CINV.N0000,2016-02-14,65.0,65.0,64.0,65.0,57970.0,892,7
CINV.N0000,2016-02-15,64.9,64.9,63.0,63.1,108746.8,1724,13
CINV.N0000,2016-02-16,62.5,62.5,60.0,60.0,486200.6,8057,25
CINV.N0000,2016-02-17,60.1,60.1,58.1,59.8,165010.0,2756,16
CINV.N0000,2016-02-18,60.0,60.9,59.0,59.7,144575.0,2419,13
CINV.N0000,2016-02-22,60.0,60.0,57.0,57.6,500636.0,8538,31
CINV.N0000,2016-02-23,57.0,57.0,55.0,55.1,1011238.0,18311,35
CINV.N0000,2016-02-24,58.0,58.0,54.5,54.7,368033.4,6721,23
CINV.N0000,2016-02-25,55.0,55.0,54.5,54.9,318899.0,5810,24
CINV.N0000,2016-02-28,55.0,55.0,53.6,54.1,638520.9,11689,71
CINV.N0000,2016-02-29,54.1,54.1,53.0,53.2,422521.0,7850,13
CINV.N0000,2016-03-01,53.0,53.0,50.0,50.1,1821600.5,36174,49
CINV.N0000,2016-03-02,50.0,50.1,49.0,50.0,482060.0,9699,24
CINV.N0000,2016-03-03,50.0,50.0,49.7,50.0,793485.4,15875,43
CINV.N0000,2016-03-07,50.0,50.0,47.0,47.0,1278572.4,26792,54
CINV.N0000,2016-03-08,46.5,47.9,44.0,44.1,6667304.1,148625,82
CINV.N0000,2016-03-09,47.0,49.5,46.7,49.2,374232.2,7893,30
CINV.N0000,2016-03-10,49.3,50.9,48.0,48.4,1036652.3,21077,37
CINV.N0000,2016-03-13,49.0,49.0,48.0,48.0,664202.0,13609,12
CINV.N0000,2016-03-14,47.6,48.5,45.2,47.6,161375.2,3391,11
CINV.N0000,2016-03-15,47.5,49.9,47.5,48.1,441867.2,9198,9
CINV.N0000,2016-03-16,48.0,49.0,48.0,48.4,287180.0,5938,9
CINV.N0000,2016-03-17,49.1,50.5,49.0,50.2,114018.3,2298,14
CINV.N0000,2016-03-20,50.8,52.0,50.8,51.2,798594.0,15639,38
CINV.N0000,2016-03-22,52.0,52.0,51.1,51.8,251517.9,4847,21
CINV.N0000,2016-03-23,52.0,54.9,52.0,54.8,564064.9,10582,17
CINV.N0000,2016-03-27,52.5,54.9,52.3,54.9,74940.5,1419,11
CINV.N0000,2016-03-28,52.3,52.4,52.3,52.3,275968.8,5267,5
CINV.N0000,2016-03-29,54.5,54.5,52.3,53.3,1760571.5,32335,23
CINV.N0000,2016-03-30,53.0,53.0,52.2,52.7,139075.0,2635,15
CINV.N0000,2016-03-31,53.0,53.0,53.0,52.7,1060.0,20,1
CINV.N0000,2016-04-03,53.0,53.0,53.0,53.0,94022.0,1774,2
CINV.N0000,2016-04-04,53.0,56.0,53.0,55.0,1264949.0,23033,24
CINV.N0000,2016-04-05,55.1,57.0,55.1,56.7,1002661.1,17954,29
CINV.N0000,2016-04-06,57.0,61.5,56.8,60.7,2521769.1,41702,81
CINV.N0000,2016-04-07,61.5,64.0,60.2,63.0,1173244.3,18892,36
CINV.N0000,2016-04-10,64.0,64.0,62.1,62.8,210766.1,3299,10
CINV.N0000,2016-04-11,63.7,67.1,63.0,65.1,2001032.1,30990,41
CINV.N0000,2016-04-14,64.0,67.0,64.0,66.0,788356.3,12155,20
CINV.N0000,2016-04-17,65.0,68.0,64.2,65.9,223222.4,3435,11
CINV.N0000,2016-04-18,64.5,64.5,62.0,63.3,623556.0,9785,26
CINV.N0000,2016-04-19,62.0,64.5,62.0,64.0,410330.2,6418,11
CINV.N0000,2016-04-21,64.6,64.6,64.6,64.6,129200.0,2000,1
CINV.N0000,2016-04-24,64.1,64.1,62.2,62.3,128947.4,2017,9
CINV.N0000,2016-04-25,62.2,64.0,60.0,62.0,2062551.1,33486,49
CINV.N0000,2016-04-26,64.1,64.1,62.0,63.5,423785.9,6714,13
CINV.N0000,2016-04-27,60.5,63.5,60.5,60.9,21325.0,350,2
CINV.N0000,2016-04-28,63.5,64.0,63.0,64.0,489107.5,7690,17
CINV.N0000,2016-05-02,64.0,68.9,64.0,68.1,4190378.7,63321,89
CINV.N0000,2016-05-03,68.0,69.5,66.5,68.5,1168595.6,17169,44
