ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
COCO.N0000,2016-01-03,28.0,28.5,28.0,28.0,11289.6,400,5
COCO.N0000,2016-01-04,27.6,27.7,27.0,27.0,275663.7,10201,12
COCO.N0000,2016-01-05,27.8,28.0,27.1,27.9,957880.4,34352,21
COCO.N0000,2016-01-06,28.1,28.3,27.1,27.2,2539628.4,92984,26
COCO.N0000,2016-01-07,27.0,27.0,26.7,26.9,545370.0,20200,7
COCO.N0000,2016-01-10,27.5,27.5,25.1,26.2,528677.6,20114,9
COCO.N0000,2016-01-11,26.2,26.9,25.1,25.3,144642.8,5700,9
COCO.N0000,2016-01-12,26.8,26.8,25.9,26.5,85985.0,3245,5
COCO.N0000,2016-01-13,26.5,26.7,25.5,25.6,1110375.0,43508,23
COCO.N0000,2016-01-17,26.7,26.7,25.3,25.4,104203.0,4102,9
COCO.N0000,2016-01-18,26.7,27.8,24.3,25.7,5365067.4,204178,23
COCO.N0000,2016-01-19,23.6,24.9,23.6,24.9,2513.6,101,2
COCO.N0000,2016-01-20,25.5,26.0,25.4,25.5,2051384.9,80052,19
COCO.N0000,2016-01-21,25.5,25.5,24.2,24.7,375211.0,15020,17
COCO.N0000,2016-01-24,24.0,25.2,24.0,25.0,4013527.0,161500,17
COCO.N0000,2016-01-25,24.5,25.4,24.5,25.0,79076.0,3176,6
COCO.N0000,2016-01-26,25.3,25.3,25.3,25.3,202400.0,8000,1
COCO.N0000,2016-01-27,25.2,26.0,25.0,25.0,2970833.0,116990,46
COCO.N0000,2016-01-28,24.2,25.8,24.2,24.9,424354.2,17024,18
COCO.N0000,2016-01-31,25.0,25.0,25.0,25.0,5000.0,200,2
COCO.N0000,2016-02-01,25.8,25.8,25.0,25.8,7933340.0,317300,20
COCO.N0000,2016-02-02,25.8,25.8,25.8,25.8,77400.0,3000,2
COCO.N0000,2016-02-04,25.1,25.8,25.0,25.5,41060.0,1610,4
COCO.N0000,2016-02-07,25.3,25.5,25.0,25.5,57553.0,2300,6
COCO.N0000,2016-02-10,24.5,24.9,24.0,24.3,242964.0,10000,15
COCO.N0000,2016-02-11,25.3,25.3,24.0,24.9,27992.0,1160,5
COCO.N0000,2016-02-14,24.3,24.3,23.5,23.6,182450.0,7700,13
COCO.N0000,2016-02-15,23.1,23.6,23.1,23.6,175221.1,7581,5
COCO.N0000,2016-02-16,23.6,24.0,23.2,23.5,3039756.5,129359,14
COCO.N0000,2016-02-17,23.0,23.0,23.0,23.0,575000.0,25000,6
COCO.N0000,2016-02-18,22.0,23.9,22.0,23.9,6095.7,263,3
COCO.N0000,2016-02-22,23.9,25.9,23.5,24.8,53868942.7,2086250,44
COCO.N0000,2016-02-23,24.5,24.5,24.5,24.5,13475.0,550,2
COCO.N0000,2016-02-24,24.5,24.5,23.9,23.9,6103384.5,250331,21
COCO.N0000,2016-02-25,24.5,24.5,24.0,24.3,996245.0,41010,4
COCO.N0000,2016-02-28,24.0,24.0,23.6,24.0,37827.6,1601,7
COCO.N0000,2016-02-29,23.6,23.6,23.0,23.1,331764.6,14140,12
COCO.N0000,2016-03-01,22.0,23.0,22.0,22.0,175276.5,7966,19
COCO.N0000,2016-03-02,21.1,21.9,21.0,21.2,2003038.0,92016,17
COCO.N0000,2016-03-03,23.3,23.3,20.5,21.5,1224401.3,57323,10
COCO.N0000,2016-03-07,21.0,21.0,20.5,20.5,843000.0,41000,10
COCO.N0000,2016-03-08,22.0,22.0,18.0,19.1,3187782.0,160949,31
COCO.N0000,2016-03-09,19.6,20.4,19.5,20.0,1791763.2,89466,52
COCO.N0000,2016-03-10,20.4,21.0,20.0,20.5,698258.0,34161,20
COCO.N0000,2016-03-13,19.3,20.0,19.2,19.4,190209.3,9692,18
COCO.N0000,2016-03-14,19.9,20.0,19.0,19.4,230077.5,11600,20
COCO.N0000,2016-03-15,19.5,20.3,19.5,20.0,944695.0,47300,17
COCO.N0000,2016-03-16,20.5,20.8,20.5,20.5,1163946.0,56724,39
COCO.N0000,2016-03-17,20.1,20.5,20.0,20.0,413964.0,20660,16
COCO.N0000,2016-03-20,20.0,21.0,20.0,21.0,242568.0,11578,11
COCO.N0000,2016-03-22,20.0,20.0,20.0,20.0,9000.0,450,3
COCO.N0000,2016-03-23,20.1,21.0,20.1,20.2,101243.0,5012,4
COCO.N0000,2016-03-27,20.8,20.8,20.1,20.1,198612.7,9727,10
COCO.N0000,2016-03-28,20.0,20.5,20.0,20.0,86942.5,4347,6
COCO.N0000,2016-03-29,20.2,20.9,20.0,20.1,319414.9,15896,8
COCO.N0000,2016-03-30,21.0,21.0,20.3,20.8,35854532.8,1559341,8
COCO.N0000,2016-03-31,20.9,21.5,20.9,21.1,3667635.0,174019,17
COCO.N0000,2016-04-03,21.5,22.0,20.9,21.5,1542047.0,71740,15
COCO.N0000,2016-04-04,21.5,22.5,21.0,22.0,6014155.0,273706,32
COCO.N0000,2016-04-05,22.1,22.1,22.1,22.1,4420.0,200,1
COCO.N0000,2016-04-06,21.9,22.3,21.9,22.2,306955.0,13950,12
COCO.N0000,2016-04-07,21.8,22.4,21.6,22.0,680397.6,30882,16
COCO.N0000,2016-04-10,22.3,22.3,21.8,21.8,33011.0,1514,3
COCO.N0000,2016-04-11,21.9,23.0,21.9,22.9,5072457.6,221604,30
COCO.N0000,2016-04-14,23.2,23.4,23.0,23.0,244069.8,10587,12
COCO.N0000,2016-04-17,22.9,22.9,22.5,22.5,2616.4,116,3
COCO.N0000,2016-04-18,23.0,23.0,22.5,22.5,68295.4,3002,8
COCO.N0000,2016-04-19,22.8,22.8,22.5,22.5,858703.0,38005,22
COCO.N0000,2016-04-21,22.5,23.9,22.1,23.0,6712627.6,292258,64
COCO.N0000,2016-04-24,23.2,23.6,22.5,22.5,257244.3,11400,17
COCO.N0000,2016-04-25,23.0,23.0,22.9,23.0,1342612.4,58396,20
COCO.N0000,2016-04-26,23.0,24.0,22.5,23.5,761858.0,32489,22
COCO.N0000,2016-04-27,23.6,23.6,22.7,23.5,213029.2,9226,7
COCO.N0000,2016-04-28,23.0,23.5,23.0,23.4,410764.0,17501,11
COCO.N0000,2016-05-02,23.5,23.8,23.5,23.8,3256506.0,138377,51
COCO.N0000,2016-05-03,23.9,23.9,23.0,23.5,2315608.7,99284,42
COCO.N0000,2016-05-04,23.3,23.5,23.3,23.5,24620.6,1048,6
COCO.N0000,2016-05-05,23.1,24.1,23.1,23.6,2438640.5,103375,43
COCO.N0000,2016-05-08,23.9,23.9,23.0,23.0,575987.3,25031,16
COCO.N0000,2016-05-09,23.1,23.5,22.8,23.4,339585.5,14801,20
COCO.N0000,2016-05-10,23.6,23.6,23.0,23.5,1483297.5,64235,26
COCO.N0000,2016-05-11,23.2,23.3,22.6,22.8,468161.0,20365,14
COCO.N0000,2016-05-12,23.0,23.0,22.7,23.0,1129373.2,49226,26
COCO.N0000,2016-05-15,23.4,23.4,22.5,22.5,70507.3,3111,7
COCO.N0000,2016-05-16,22.6,22.6,22.6,22.6,5243.2,232,2
COCO.N0000,2016-05-17,23.0,23.4,23.0,23.1,4694922.2,203239,65
COCO.N0000,2016-05-18,23.5,23.5,23.5,23.5,4747.0,202,5
COCO.N0000,2016-05-19,23.7,23.7,23.0,23.0,1632977.7,70999,15
COCO.N0000,2016-05-23,23.4,23.4,22.8,22.8,160763.6,7051,7
COCO.N0000,2016-05-24,22.9,23.0,22.9,23.0,1390949.0,60480,22
COCO.N0000,2016-05-25,23.4,23.4,23.0,23.0,46.4,2,2
COCO.N0000,2016-05-26,22.9,23.0,22.7,22.8,35370.0,1547,6
COCO.N0000,2016-05-29,22.7,22.7,22.5,22.5,178646.9,7922,12
COCO.N0000,2016-05-30,22.4,23.0,22.4,22.5,327589.9,14562,7
COCO.N0000,2016-05-31,22.5,23.0,21.9,22.0,1675979.9,75255,34
COCO.N0000,2016-06-01,21.7,22.5,21.6,21.6,118894.1,5502,6
COCO.N0000,2016-06-02,22.4,22.4,21.8,21.8,273170.4,12426,13
COCO.N0000,2016-06-05,22.0,22.0,21.2,21.5,908411.2,42250,15
COCO.N0000,2016-06-06,21.9,22.0,21.1,21.2,8505.7,402,9
COCO.N0000,2016-06-07,22.0,22.0,21.5,21.2,87.0,4,3
COCO.N0000,2016-06-08,22.0,22.0,21.3,21.5,21569.3,1003,9
COCO.N0000,2016-06-09,21.5,22.0,21.2,21.3,57053.4,2684,15
COCO.N0000,2016-06-12,21.9,21.9,20.4,20.5,2827555.1,136628,61
COCO.N0000,2016-06-13,20.9,20.9,20.7,20.7,206451.8,9902,7
COCO.N0000,2016-06-14,20.3,20.3,20.0,20.1,2792241.4,138440,46
COCO.N0000,2016-06-15,19.9,19.9,19.8,19.8,99011.0,5000,6
COCO.N0000,2016-06-16,20.2,20.7,20.2,20.6,1578722.4,76952,18
COCO.N0000,2016-06-19,20.6,20.7,20.0,20.1,91088.4,4537,8
COCO.N0000,2016-06-20,20.5,20.5,20.0,20.0,1112215.0,55448,17
COCO.N0000,2016-06-21,20.1,20.1,20.1,20.1,40200.0,2000,4
COCO.N0000,2016-06-22,20.9,20.9,20.5,20.9,5374.0,260,5
COCO.N0000,2016-06-23,20.0,20.8,20.0,20.0,1784784.0,89239,20
COCO.N0000,2016-06-26,20.9,20.9,19.6,20.0,10249.5,512,4
COCO.N0000,2016-06-27,20.6,20.9,20.6,20.7,13739.0,665,3
COCO.N0000,2016-06-28,20.6,20.6,19.1,19.1,128452.9,6419,7
COCO.N0000,2016-06-29,20.3,20.3,20.0,20.3,108330.0,5400,3
COCO.N0000,2016-06-30,20.4,20.9,20.4,20.6,602745.4,29209,10
COCO.N0000,2016-07-03,20.0,20.0,20.0,20.0,14000.0,700,4
COCO.N0000,2016-07-04,19.5,20.1,19.5,20.0,125705.0,6306,9
COCO.N0000,2016-07-06,20.0,20.5,20.0,20.5,45225.0,2210,4
COCO.N0000,2016-07-07,20.9,21.9,20.9,21.5,814058.8,38675,30
COCO.N0000,2016-07-10,20.5,21.4,20.5,21.2,23556.0,1132,5
COCO.N0000,2016-07-11,21.5,21.5,21.0,21.0,21250.0,1000,2
COCO.N0000,2016-07-12,21.3,22.0,21.1,21.5,1126761.2,52385,27
COCO.N0000,2016-07-13,21.8,22.0,21.0,21.7,611116.8,28800,15
COCO.N0000,2016-07-14,20.7,21.9,20.7,21.7,115297.9,5487,6
COCO.N0000,2016-07-17,21.6,21.6,21.0,21.0,175716.0,8360,3
COCO.N0000,2016-07-19,21.7,22.5,21.0,21.0,897035.0,42200,25
COCO.N0000,2016-07-20,22.3,22.3,21.4,21.5,845011.3,39307,12
COCO.N0000,2016-07-21,22.2,22.2,21.4,21.5,218999.0,10185,9
COCO.N0000,2016-07-24,21.9,22.3,21.2,21.5,1233467.3,56957,20
COCO.N0000,2016-07-25,21.5,22.5,21.5,22.4,6112647.2,272514,35
COCO.N0000,2016-07-26,22.5,22.7,22.5,22.6,6762.0,300,4
COCO.N0000,2016-07-27,21.5,22.4,21.5,22.4,26517.6,1224,5
COCO.N0000,2016-07-28,22.4,22.4,22.4,22.4,106400.0,4750,2
COCO.N0000,2016-07-31,22.1,22.4,22.1,22.4,165280.0,7475,5
COCO.N0000,2016-08-01,22.4,22.9,22.1,22.6,2409141.7,106800,33
COCO.N0000,2016-08-02,22.0,23.0,22.0,23.0,503065.2,22155,43
COCO.N0000,2016-08-03,22.9,23.4,22.8,22.9,7555717.9,328447,44
COCO.N0000,2016-08-04,22.8,23.4,22.8,23.1,231025.5,10005,8
COCO.N0000,2016-08-07,22.8,22.8,22.8,22.8,29640.0,1300,4
COCO.N0000,2016-08-08,23.0,23.5,23.0,23.0,498750.7,21644,16
COCO.N0000,2016-08-09,23.3,23.3,23.3,23.0,23.3,1,1
COCO.N0000,2016-08-10,23.0,23.0,22.8,23.0,2710654.0,117858,19
COCO.N0000,2016-08-11,23.0,23.4,23.0,23.0,3705911.7,160212,39
COCO.N0000,2016-08-14,23.2,23.6,22.8,22.9,133957.4,5800,14
COCO.N0000,2016-08-15,22.8,23.0,22.6,23.0,2774544.0,122761,26
COCO.N0000,2016-08-17,23.3,23.3,22.8,23.0,438.2,19,2
COCO.N0000,2016-08-18,22.8,22.8,22.7,22.7,254330.9,11204,10
COCO.N0000,2016-08-21,22.3,22.4,22.3,22.4,4546.9,203,2
COCO.N0000,2016-08-23,22.5,22.5,22.4,22.4,3160990.0,141000,11
COCO.N0000,2016-08-24,22.3,22.7,22.3,22.7,47119.3,2111,6
COCO.N0000,2016-08-25,22.4,22.5,22.0,22.2,1185602.8,53156,31
COCO.N0000,2016-08-28,22.5,22.5,22.5,22.5,164700.0,7320,4
COCO.N0000,2016-08-29,22.5,22.5,21.8,22.0,423922.0,19267,14
COCO.N0000,2016-08-30,22.4,22.4,22.4,22.0,22.4,1,1
COCO.N0000,2016-08-31,22.4,22.4,22.4,22.4,2262.4,101,2
COCO.N0000,2016-09-01,22.4,22.4,22.4,22.4,1344.0,60,3
COCO.N0000,2016-09-04,22.0,22.4,22.0,22.0,5346.4,243,5
COCO.N0000,2016-09-05,22.4,22.4,22.2,22.3,16065.0,720,7
COCO.N0000,2016-09-06,22.5,22.9,22.5,22.6,28383.2,1256,3
COCO.N0000,2016-09-07,22.5,22.6,22.0,22.2,326082.9,14684,18
COCO.N0000,2016-09-08,22.7,22.7,21.7,22.1,43688.7,1981,4
COCO.N0000,2016-09-12,22.0,22.5,21.0,22.1,1125386.0,51355,13
COCO.N0000,2016-09-13,22.5,22.5,22.0,22.1,507.0,23,4
COCO.N0000,2016-09-18,21.0,22.4,21.0,21.0,66988.0,3153,11
COCO.N0000,2016-09-19,21.1,22.1,20.6,22.0,205086.0,9780,15
COCO.N0000,2016-09-21,20.8,22.0,20.8,22.0,100693.2,4612,8
COCO.N0000,2016-09-25,20.7,22.0,20.7,21.5,111656.0,5188,9
COCO.N0000,2016-09-26,21.9,21.9,21.8,21.9,11822.0,540,3
COCO.N0000,2016-09-27,20.8,21.8,20.8,20.9,32919.4,1573,5
COCO.N0000,2016-09-28,21.2,22.5,21.2,22.5,9157887.2,407522,13
COCO.N0000,2016-09-29,21.5,22.4,21.5,21.6,286425.0,13274,7
COCO.N0000,2016-10-02,21.5,22.4,21.5,22.4,237032.0,11008,6
COCO.N0000,2016-10-05,21.5,22.3,21.5,22.3,798658.5,36543,8
COCO.N0000,2016-10-09,21.3,22.0,21.0,21.1,51794.1,2451,9
COCO.N0000,2016-10-10,21.4,21.4,21.1,21.3,222206.0,10435,10
COCO.N0000,2016-10-11,21.1,21.2,20.5,20.7,589332.5,28444,20
COCO.N0000,2016-10-12,21.5,21.5,20.3,20.8,64480.0,3100,5
COCO.N0000,2016-10-13,21.4,21.8,21.4,21.6,44081.6,2044,5
COCO.N0000,2016-10-16,20.4,21.5,20.2,20.6,110614.0,5370,8
COCO.N0000,2016-10-17,20.4,21.4,20.4,21.4,46652.8,2282,3
COCO.N0000,2016-10-18,20.4,21.0,20.4,20.7,89030.0,4300,5
COCO.N0000,2016-10-19,21.4,21.4,21.4,21.4,4280.0,200,1
COCO.N0000,2016-10-20,20.7,21.3,20.3,20.3,214080.8,10530,9
COCO.N0000,2016-10-23,20.4,20.5,20.2,20.3,535343.0,26200,9
COCO.N0000,2016-10-24,20.2,21.2,20.2,20.3,1542.6,73,2
COCO.N0000,2016-10-26,20.5,21.5,20.5,21.4,345619.2,16344,15
COCO.N0000,2016-10-27,21.5,21.6,21.5,21.5,279263.0,12982,9
COCO.N0000,2016-10-30,20.7,21.8,20.7,21.5,685.8,32,4
COCO.N0000,2016-10-31,21.9,22.0,20.8,21.7,985222.8,45650,16
COCO.N0000,2016-11-02,21.7,21.8,21.7,21.8,26060.0,1200,4
COCO.N0000,2016-11-07,21.7,21.8,21.7,21.8,117620.0,5400,4
COCO.N0000,2016-11-08,21.5,21.5,20.5,20.7,51826.0,2500,11
COCO.N0000,2016-11-09,20.1,21.4,20.1,21.4,239469.9,11607,8
