ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
COCO.X0000,2016-01-03,19.0,24.2,19.0,23.5,113170.0,4900,8
COCO.X0000,2016-01-04,23.9,23.9,22.1,22.1,2233.9,101,2
COCO.X0000,2016-01-05,23.8,23.8,22.3,22.8,5241.1,230,5
COCO.X0000,2016-01-07,22.1,22.1,22.0,22.0,48470.0,2200,3
COCO.X0000,2016-01-10,21.3,21.3,20.2,20.2,80310.0,3800,3
COCO.X0000,2016-01-11,20.6,23.3,20.2,20.4,86991.4,4257,6
COCO.X0000,2016-01-12,18.5,23.3,18.5,23.2,25470.0,1300,3
COCO.X0000,2016-01-13,23.1,23.1,23.1,23.1,2310.0,100,2
COCO.X0000,2016-01-17,20.5,20.5,20.5,20.5,6150.0,300,1
COCO.X0000,2016-01-18,20.5,20.6,20.0,20.1,426555.9,21179,9
COCO.X0000,2016-01-19,21.9,21.9,21.9,21.9,394200.0,18000,3
COCO.X0000,2016-01-20,19.5,20.1,19.5,20.0,2002.9,100,6
COCO.X0000,2016-01-24,20.5,20.5,20.0,20.0,284190.0,14209,9
COCO.X0000,2016-01-25,19.6,19.6,19.6,20.0,980.0,50,1
COCO.X0000,2016-01-26,20.0,20.0,20.0,20.0,12000.0,600,1
COCO.X0000,2016-01-27,20.0,20.0,20.0,20.0,4020.0,201,2
COCO.X0000,2016-01-31,20.0,22.0,20.0,20.1,61200.0,3050,2
COCO.X0000,2016-02-01,23.4,23.4,20.0,22.5,206600.0,10300,4
COCO.X0000,2016-02-02,22.8,22.8,20.0,20.5,535785.5,26699,35
COCO.X0000,2016-02-04,20.7,20.7,20.0,20.1,13505.3,671,9
COCO.X0000,2016-02-07,20.6,20.6,20.6,20.6,103000.0,5000,3
COCO.X0000,2016-02-08,20.0,20.0,20.0,20.0,64000.0,3200,2
COCO.X0000,2016-02-10,20.0,20.0,20.0,20.0,60000.0,3000,1
COCO.X0000,2016-02-14,18.6,18.6,18.6,20.0,148.8,8,1
COCO.X0000,2016-02-15,20.2,20.2,20.2,20.2,2020.0,100,2
COCO.X0000,2016-02-16,20.0,20.0,20.0,20.0,54260.0,2713,5
COCO.X0000,2016-02-17,20.1,20.1,20.1,20.1,28843.5,1435,3
COCO.X0000,2016-02-18,20.2,20.2,20.2,20.1,20.2,1,1
COCO.X0000,2016-02-22,20.2,21.0,20.0,20.0,2861.4,143,5
COCO.X0000,2016-02-25,19.0,19.0,19.0,19.0,2318.0,122,1
COCO.X0000,2016-02-28,19.0,19.7,19.0,19.7,7810.0,400,4
COCO.X0000,2016-03-03,17.6,19.0,17.5,18.6,31515.0,1698,5
COCO.X0000,2016-03-08,18.0,18.0,18.0,18.0,16200.0,900,2
COCO.X0000,2016-03-09,19.0,19.0,19.0,18.0,247.0,13,1
COCO.X0000,2016-03-10,19.0,19.0,19.0,19.0,98800.0,5200,2
COCO.X0000,2016-03-15,19.0,21.0,19.0,19.6,6861.0,350,6
COCO.X0000,2016-03-16,20.9,20.9,20.9,20.9,2090.0,100,1
COCO.X0000,2016-03-17,18.2,19.4,18.2,18.2,64458.2,3541,10
COCO.X0000,2016-03-20,19.5,19.5,19.5,19.5,1950.0,100,1
COCO.X0000,2016-03-28,19.7,19.7,19.7,19.7,2955.0,150,1
COCO.X0000,2016-03-30,19.5,19.5,19.5,19.5,21450.0,1100,2
COCO.X0000,2016-04-03,19.5,19.5,19.5,19.5,9750.0,500,1
