ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
COMB.N0000,2016-01-03,140.6,142.0,139.0,139.0,223485771.7,1598941,157
COMB.N0000,2016-01-04,140.0,140.0,138.5,139.0,7344847.0,52618,64
COMB.N0000,2016-01-05,139.0,139.9,139.0,139.5,179600931.4,1287475,70
COMB.N0000,2016-01-06,139.5,139.9,139.2,139.2,165842058.0,1188829,54
COMB.N0000,2016-01-07,139.2,139.5,138.8,139.3,6393191.3,45958,77
COMB.N0000,2016-01-10,139.5,139.5,137.5,137.6,200349596.9,1441939,94
COMB.N0000,2016-01-11,138.0,138.0,135.0,135.0,153932105.1,1117370,110
COMB.N0000,2016-01-12,135.0,135.1,133.5,133.9,371892534.4,2774851,128
COMB.N0000,2016-01-13,133.9,133.9,129.8,130.0,41522610.7,318183,218
COMB.N0000,2016-01-17,129.5,130.1,129.0,129.1,15507819.7,119444,91
COMB.N0000,2016-01-18,129.0,129.0,127.0,128.0,41593770.6,324976,130
COMB.N0000,2016-01-19,130.0,130.0,125.0,125.5,15278556.1,121135,143
COMB.N0000,2016-01-20,128.0,128.0,125.7,127.0,41187182.4,326314,123
COMB.N0000,2016-01-21,129.0,133.0,129.0,130.0,15481510.2,118677,95
COMB.N0000,2016-01-24,131.0,131.5,129.0,129.0,1846240.0,14246,35
COMB.N0000,2016-01-25,130.0,130.0,128.0,128.4,2949427.2,22893,59
COMB.N0000,2016-01-26,129.0,129.0,127.0,127.0,19041596.5,149876,164
COMB.N0000,2016-01-27,128.1,129.9,127.0,127.0,25276462.1,198778,86
COMB.N0000,2016-01-28,129.9,129.9,127.0,127.1,25033571.4,196908,79
COMB.N0000,2016-01-31,127.5,130.0,127.5,130.0,817984.6,6297,21
COMB.N0000,2016-02-01,130.0,131.0,129.5,130.0,112627562.2,866416,177
COMB.N0000,2016-02-02,130.0,130.0,128.5,129.2,9649195.1,74746,77
COMB.N0000,2016-02-04,129.9,130.0,129.0,129.2,4191727.3,32300,38
COMB.N0000,2016-02-07,130.0,130.4,129.9,130.0,4023756.4,30952,29
COMB.N0000,2016-02-08,130.0,130.0,129.6,129.9,384041.4,2955,24
COMB.N0000,2016-02-09,129.6,130.0,128.0,128.8,5979951.5,46293,96
COMB.N0000,2016-02-10,128.0,128.0,127.0,127.0,5524885.5,43402,52
COMB.N0000,2016-02-11,127.0,128.0,124.5,125.0,12166284.8,96874,133
COMB.N0000,2016-02-14,127.0,127.0,124.0,125.0,104558625.5,832078,84
COMB.N0000,2016-02-15,125.0,125.0,124.8,124.8,17250972.0,138194,42
COMB.N0000,2016-02-16,124.7,125.0,124.0,124.1,17371470.3,139609,84
COMB.N0000,2016-02-17,125.0,125.0,123.0,123.2,15529166.8,125964,77
COMB.N0000,2016-02-18,124.0,125.0,123.2,125.0,6475909.7,51885,40
COMB.N0000,2016-02-22,125.0,125.2,125.0,125.0,1724005.0,13791,29
COMB.N0000,2016-02-23,125.0,125.0,124.6,124.7,2920551.3,23387,48
COMB.N0000,2016-02-24,125.5,125.5,124.4,124.7,15379203.9,123056,96
COMB.N0000,2016-02-25,125.0,125.0,124.5,125.0,8881324.6,71072,53
COMB.N0000,2016-02-28,125.0,125.0,124.9,124.9,25563968.8,204513,45
COMB.N0000,2016-02-29,125.0,125.0,124.0,124.1,2632688.5,21187,81
COMB.N0000,2016-03-01,124.0,124.5,123.8,124.0,67097831.4,541117,80
COMB.N0000,2016-03-02,124.5,125.0,124.0,124.0,111719078.0,897886,71
COMB.N0000,2016-03-03,125.0,125.0,124.0,124.0,16200852.5,130652,27
COMB.N0000,2016-03-07,124.0,124.0,122.0,123.2,13944723.2,112942,89
COMB.N0000,2016-03-08,121.0,122.0,115.0,117.1,120422098.5,1021101,263
COMB.N0000,2016-03-09,117.1,118.0,115.5,117.2,155934097.4,1332524,167
COMB.N0000,2016-03-10,122.0,122.0,118.0,122.0,468789.5,3859,30
COMB.N0000,2016-03-13,122.0,122.3,121.0,121.6,34117481.9,279672,65
COMB.N0000,2016-03-14,120.5,121.9,120.0,120.1,291948191.9,2432851,88
COMB.N0000,2016-03-15,120.0,121.8,120.0,120.0,190465437.5,1587194,66
COMB.N0000,2016-03-16,122.0,122.0,120.0,120.0,436738076.5,3639326,195
COMB.N0000,2016-03-17,120.0,121.5,120.0,120.0,129423531.0,1078520,55
COMB.N0000,2016-03-20,120.0,122.0,120.0,121.6,1619538.4,13325,23
COMB.N0000,2016-03-22,121.5,122.0,120.2,121.0,42000937.6,347118,54
COMB.N0000,2016-03-23,122.0,123.0,121.0,121.7,2182188.9,17901,59
COMB.N0000,2016-03-27,122.0,122.5,121.4,122.0,2487868.8,20406,70
COMB.N0000,2016-03-28,122.0,123.0,121.0,122.7,23537704.7,192957,99
COMB.N0000,2016-03-29,122.3,124.0,122.2,123.6,1648163.2,13357,33
COMB.N0000,2016-03-30,124.0,125.9,123.9,125.5,5607242.1,45127,59
COMB.N0000,2016-03-31,121.0,124.5,121.0,123.6,530551.6,4335,21
COMB.N0000,2016-04-03,124.0,125.1,123.5,124.8,4185059.0,33618,32
COMB.N0000,2016-04-04,125.4,130.0,124.8,128.4,18398856.4,144223,75
COMB.N0000,2016-04-05,127.1,129.9,127.0,129.9,7541348.0,58329,31
