ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
COMD.N0000,2016-01-04,91.6,94.9,91.6,91.7,9994.3,109,5
COMD.N0000,2016-01-05,91.6,91.6,91.6,91.7,4580.0,50,2
COMD.N0000,2016-01-07,94.9,94.9,94.9,91.7,94.9,1,1
COMD.N0000,2016-01-11,91.5,94.7,80.3,81.1,150578.8,1856,7
COMD.N0000,2016-01-12,92.0,92.0,92.0,81.1,4600.0,50,1
COMD.N0000,2016-01-13,85.6,86.0,85.5,86.0,113998.0,1330,5
COMD.N0000,2016-01-17,85.5,85.5,84.5,84.5,25450.0,300,2
COMD.N0000,2016-01-21,88.5,88.5,88.5,84.5,8407.5,95,3
COMD.N0000,2016-01-24,84.0,84.0,84.0,84.0,69552.0,828,5
COMD.N0000,2016-01-25,83.5,83.5,83.5,83.5,8350.0,100,1
COMD.N0000,2016-01-27,83.1,83.1,83.0,83.0,333796.5,4018,11
COMD.N0000,2016-01-28,87.5,87.7,83.1,83.0,765.7,9,3
COMD.N0000,2016-02-01,85.0,85.0,85.0,85.0,21250.0,250,1
COMD.N0000,2016-02-10,88.9,88.9,88.9,85.0,1778.0,20,1
COMD.N0000,2016-02-17,85.0,89.5,85.0,89.5,268050.0,3000,2
COMD.N0000,2016-02-18,89.5,89.5,88.8,88.9,907806.4,10178,5
COMD.N0000,2016-02-24,89.0,89.0,88.9,88.9,195790.0,2200,5
COMD.N0000,2016-02-28,88.0,88.0,88.0,88.9,1760.0,20,1
COMD.N0000,2016-02-29,85.0,85.0,85.0,88.9,255.0,3,1
COMD.N0000,2016-03-02,85.0,85.0,85.0,85.0,21250.0,250,3
COMD.N0000,2016-03-03,85.5,85.5,85.5,85.0,7780.5,91,5
COMD.N0000,2016-03-07,82.1,82.1,82.0,82.1,16410.0,200,2
COMD.N0000,2016-03-08,82.0,82.0,81.5,81.5,16546.0,203,2
COMD.N0000,2016-03-10,84.9,84.9,84.9,81.5,933.9,11,2
COMD.N0000,2016-03-13,84.9,84.9,84.9,81.5,509.4,6,1
COMD.N0000,2016-03-14,80.0,87.9,65.0,75.7,45488.9,601,5
COMD.N0000,2016-03-15,84.9,84.9,84.9,84.9,8490.0,100,1
COMD.N0000,2016-03-16,85.0,85.0,85.0,84.9,85.0,1,1
COMD.N0000,2016-03-17,85.0,85.0,85.0,85.0,793135.0,9331,4
COMD.N0000,2016-03-22,85.0,85.0,85.0,85.0,1020.0,12,2
COMD.N0000,2016-03-28,85.0,85.0,85.0,85.0,170.0,2,2
COMD.N0000,2016-03-29,85.0,86.2,85.0,85.1,9707.0,114,3
COMD.N0000,2016-03-30,86.0,86.0,86.0,86.0,18490.0,215,4
COMD.N0000,2016-03-31,85.0,85.0,85.0,85.0,17085.0,201,1
COMD.N0000,2016-04-03,85.1,85.1,85.0,85.0,24650.6,290,4
COMD.N0000,2016-04-04,86.9,95.0,86.9,90.0,51627.1,575,6
COMD.N0000,2016-04-05,95.0,95.0,95.0,90.0,950.0,10,1
COMD.N0000,2016-04-07,92.0,92.0,92.0,90.0,460.0,5,1
COMD.N0000,2016-04-10,92.0,92.0,92.0,92.0,16560.0,180,2
COMD.N0000,2016-04-11,93.0,93.0,93.0,93.0,85653.0,921,4
COMD.N0000,2016-04-14,93.0,94.9,93.0,94.9,54797.0,579,2
COMD.N0000,2016-04-17,93.1,93.1,93.1,93.1,62935.6,676,3
COMD.N0000,2016-04-18,86.0,86.0,86.0,93.1,86.0,1,1
COMD.N0000,2016-04-19,93.0,93.0,93.0,93.1,9207.0,99,1
COMD.N0000,2016-04-21,94.9,94.9,94.8,93.1,1138.6,12,2
COMD.N0000,2016-04-25,94.4,94.4,94.4,93.1,94.4,1,1
COMD.N0000,2016-04-26,94.3,94.3,94.2,94.2,9608.6,102,3
COMD.N0000,2016-04-27,94.4,94.5,94.3,94.5,19938.3,211,4
COMD.N0000,2016-04-28,94.3,94.3,94.0,94.3,218004.5,2315,5
COMD.N0000,2016-05-02,91.0,91.0,91.0,91.0,174083.0,1913,5
COMD.N0000,2016-05-03,92.0,92.0,92.0,92.0,69000.0,750,4
COMD.N0000,2016-05-04,91.5,91.5,91.5,91.5,27541.5,301,2
COMD.N0000,2016-05-05,94.7,94.7,94.7,94.7,37880.0,400,1
COMD.N0000,2016-05-08,94.5,94.5,90.0,94.2,9611.5,102,5
COMD.N0000,2016-05-09,94.2,94.3,94.2,94.3,94299.2,1000,4
COMD.N0000,2016-05-10,94.0,94.0,94.0,94.0,94000.0,1000,2
COMD.N0000,2016-05-16,90.1,90.1,90.1,90.1,27570.6,306,3
COMD.N0000,2016-05-18,90.1,90.1,90.1,90.1,4505.0,50,1
COMD.N0000,2016-05-19,84.2,92.2,82.0,87.1,1241160.2,14256,9
COMD.N0000,2016-05-23,85.0,85.0,85.0,87.1,85.0,1,1
COMD.N0000,2016-05-26,86.2,86.2,86.0,86.0,119303.0,1386,8
COMD.N0000,2016-05-29,85.3,85.3,84.0,84.0,341952.5,4025,6
COMD.N0000,2016-06-02,85.0,85.0,85.0,85.0,425000.0,5000,3
COMD.N0000,2016-06-05,83.0,83.0,83.0,83.0,124500.0,1500,2
COMD.N0000,2016-06-07,93.3,93.3,93.3,93.3,9330.0,100,1
COMD.N0000,2016-06-09,80.5,80.5,80.5,80.5,8050.0,100,2
COMD.N0000,2016-06-12,85.0,85.0,85.0,85.0,8500.0,100,2
COMD.N0000,2016-06-14,82.1,82.2,82.1,82.2,73564.0,895,2
COMD.N0000,2016-06-23,83.0,83.0,82.8,82.9,49720.0,600,2
COMD.N0000,2016-06-27,82.0,82.0,82.0,82.9,738.0,9,2
COMD.N0000,2016-06-29,95.0,95.0,95.0,82.9,855.0,9,3
COMD.N0000,2016-06-30,93.0,93.0,93.0,82.9,93.0,1,1
COMD.N0000,2016-07-03,80.6,80.6,80.6,82.9,80.6,1,1
COMD.N0000,2016-07-04,80.6,80.6,80.0,80.0,40009.0,500,2
COMD.N0000,2016-07-12,93.0,93.0,93.0,93.0,9300.0,100,1
COMD.N0000,2016-07-13,92.0,92.0,92.0,93.0,552.0,6,1
COMD.N0000,2016-07-20,92.9,92.9,90.0,90.1,131934.8,1465,9
COMD.N0000,2016-07-21,90.0,90.0,90.0,90.0,49500.0,550,2
COMD.N0000,2016-07-25,89.0,89.0,89.0,89.0,97722.0,1098,8
COMD.N0000,2016-07-28,89.0,89.0,84.6,89.0,4406.4,50,3
COMD.N0000,2016-07-31,88.9,88.9,88.0,89.0,4488.9,51,2
COMD.N0000,2016-08-01,88.0,88.0,85.0,85.0,450588.0,5301,4
