ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CONN.N0000,2016-01-05,67.5,67.5,67.5,66.7,3712.5,55,2
CONN.N0000,2016-01-07,68.0,68.0,67.5,67.7,9206.0,136,7
CONN.N0000,2016-01-11,67.4,67.4,67.0,67.7,5494.8,82,3
CONN.N0000,2016-01-12,68.5,68.5,65.0,65.3,39644.0,607,7
CONN.N0000,2016-01-13,65.0,67.9,65.0,65.0,1301497.9,20023,6
CONN.N0000,2016-01-17,62.6,62.6,60.0,61.4,22162.6,361,6
CONN.N0000,2016-01-18,60.0,60.0,60.0,60.0,6300.0,105,1
CONN.N0000,2016-01-19,61.0,61.0,60.0,60.9,31995.0,525,5
CONN.N0000,2016-01-20,60.0,60.0,60.0,60.0,6300.0,105,1
CONN.N0000,2016-01-21,63.0,63.0,63.0,63.0,12285.0,195,2
CONN.N0000,2016-01-26,62.0,62.0,61.0,61.2,12855.8,210,6
CONN.N0000,2016-01-27,67.9,67.9,67.9,61.2,67.9,1,1
CONN.N0000,2016-01-28,67.9,67.9,67.9,61.2,339.5,5,1
CONN.N0000,2016-01-31,67.9,67.9,67.9,61.2,814.8,12,1
CONN.N0000,2016-02-01,67.9,67.9,67.9,61.2,67.9,1,1
CONN.N0000,2016-02-02,67.5,67.5,67.5,61.2,67.5,1,1
CONN.N0000,2016-02-04,63.0,63.0,61.1,61.2,48931.0,800,6
CONN.N0000,2016-02-08,62.1,62.1,60.0,60.0,700450.2,11653,20
CONN.N0000,2016-02-15,60.3,60.3,60.0,60.0,130270.2,2171,9
CONN.N0000,2016-02-16,60.0,64.4,60.0,60.0,378626.4,6310,4
CONN.N0000,2016-02-17,60.0,64.0,52.0,64.0,40383.2,648,8
CONN.N0000,2016-02-22,64.0,64.0,60.0,60.0,692440.0,11540,11
CONN.N0000,2016-02-23,60.1,60.1,60.0,60.1,27570.0,459,3
CONN.N0000,2016-02-25,60.1,60.1,60.1,60.1,1803.0,30,3
CONN.N0000,2016-02-28,60.1,62.0,60.1,62.0,64309.3,1045,6
CONN.N0000,2016-02-29,62.0,63.0,57.1,62.2,68304.4,1099,11
CONN.N0000,2016-03-01,60.0,60.0,60.0,60.0,57360.0,956,3
CONN.N0000,2016-03-02,60.0,60.0,60.0,60.0,2640.0,44,1
CONN.N0000,2016-03-07,60.0,60.0,60.0,60.0,5400.0,90,3
CONN.N0000,2016-03-08,58.0,58.0,58.0,60.0,2146.0,37,1
CONN.N0000,2016-03-13,58.0,58.0,58.0,60.0,5162.0,89,5
CONN.N0000,2016-03-22,61.5,61.5,61.5,60.0,1045.5,17,1
CONN.N0000,2016-03-23,66.9,67.0,66.9,60.0,937.6,14,2
CONN.N0000,2016-03-28,62.0,62.0,60.0,60.1,3785554.5,63000,8
CONN.N0000,2016-03-29,60.1,60.1,60.1,60.1,37201.9,619,1
CONN.N0000,2016-03-30,60.5,60.5,60.5,60.5,58019.5,959,5
CONN.N0000,2016-04-04,61.0,63.0,61.0,63.0,31622.0,502,3
CONN.N0000,2016-04-05,61.5,61.5,61.5,61.5,12915.0,210,1
CONN.N0000,2016-04-06,65.0,66.9,65.0,66.8,713395.0,10683,4
CONN.N0000,2016-04-07,67.0,67.0,67.0,67.0,41540.0,620,3
CONN.N0000,2016-04-10,66.0,66.0,66.0,67.0,660.0,10,1
CONN.N0000,2016-04-11,67.0,69.0,67.0,68.3,976790.0,14370,7
CONN.N0000,2016-04-18,69.9,69.9,67.5,68.3,4797.3,71,3
CONN.N0000,2016-04-19,69.9,70.0,69.9,70.0,389777.6,5569,6
CONN.N0000,2016-04-25,65.1,65.1,65.1,65.1,68355.0,1050,4
CONN.N0000,2016-04-26,72.6,72.6,68.0,68.0,34145.2,502,2
CONN.N0000,2016-04-27,68.0,68.0,68.0,68.0,680.0,10,1
CONN.N0000,2016-05-02,68.0,68.0,68.0,68.0,29920.0,440,3
CONN.N0000,2016-05-05,71.0,71.0,71.0,71.0,28329.0,399,3
CONN.N0000,2016-05-08,70.0,70.0,70.0,71.0,70.0,1,1
CONN.N0000,2016-05-10,70.0,70.0,65.0,70.0,49565.0,720,7
CONN.N0000,2016-05-12,70.5,70.5,65.0,65.1,66311.3,1018,9
CONN.N0000,2016-05-15,71.9,73.5,71.9,73.4,850515.5,11590,16
CONN.N0000,2016-05-16,73.4,73.4,71.5,73.2,146817.0,2030,8
CONN.N0000,2016-05-17,73.0,73.0,70.8,72.5,131038.3,1821,10
CONN.N0000,2016-05-18,72.5,72.5,72.5,72.5,14137.5,195,1
CONN.N0000,2016-05-19,72.0,72.0,70.7,72.0,108358.7,1505,4
CONN.N0000,2016-05-23,70.7,70.7,70.0,70.0,226019.2,3228,13
CONN.N0000,2016-05-24,70.0,70.1,70.0,70.0,140.1,2,2
CONN.N0000,2016-05-25,70.1,70.1,70.0,70.0,2453.2,35,5
CONN.N0000,2016-05-26,69.1,69.1,68.0,68.1,201759.1,2964,12
CONN.N0000,2016-05-30,70.1,70.1,70.1,70.1,25516.4,364,3
CONN.N0000,2016-05-31,72.0,72.0,72.0,72.0,90000.0,1250,4
CONN.N0000,2016-06-02,72.0,72.0,72.0,72.0,1584.0,22,3
CONN.N0000,2016-06-05,72.0,73.0,72.0,72.0,7633.0,106,3
CONN.N0000,2016-06-06,70.0,73.0,70.0,70.0,35013680.0,500184,27
CONN.N0000,2016-06-07,70.0,70.0,70.0,70.0,9136050.0,130515,14
CONN.N0000,2016-06-08,70.1,70.1,70.0,70.0,2182601.0,31180,9
CONN.N0000,2016-06-09,70.0,70.0,70.0,70.0,36750.0,525,4
CONN.N0000,2016-06-12,70.0,72.9,70.0,70.1,10791.6,154,3
CONN.N0000,2016-06-13,70.0,70.0,70.0,70.0,96390.0,1377,6
CONN.N0000,2016-06-14,72.9,72.9,72.9,70.0,1093.5,15,1
CONN.N0000,2016-06-15,72.9,72.9,72.9,70.0,801.9,11,2
CONN.N0000,2016-06-19,72.8,72.8,72.8,72.8,13468.0,185,4
CONN.N0000,2016-06-20,70.1,70.1,70.0,70.0,1177680.5,16824,16
CONN.N0000,2016-06-21,71.0,72.7,71.0,71.0,106152.2,1495,5
CONN.N0000,2016-06-22,72.7,72.7,72.5,71.0,1742.4,24,2
CONN.N0000,2016-06-23,70.0,70.0,68.5,68.5,245581.3,3582,5
CONN.N0000,2016-06-26,69.5,69.5,69.0,69.4,9710.0,140,2
CONN.N0000,2016-06-27,69.4,69.4,69.0,69.2,13012.0,188,2
CONN.N0000,2016-06-29,61.4,69.0,61.4,69.0,93069.6,1387,9
CONN.N0000,2016-06-30,69.8,69.8,69.8,69.0,139.6,2,2
CONN.N0000,2016-07-03,62.3,62.3,62.3,69.0,62.3,1,1
CONN.N0000,2016-07-10,63.1,63.1,63.1,69.0,6183.8,98,1
CONN.N0000,2016-07-11,63.3,63.3,63.3,69.0,633.0,10,3
CONN.N0000,2016-07-12,67.0,68.0,67.0,69.0,3601.0,53,3
CONN.N0000,2016-07-13,68.0,68.0,68.0,69.0,68.0,1,1
CONN.N0000,2016-07-14,69.8,69.8,69.8,69.0,69.8,1,1
CONN.N0000,2016-07-17,69.9,69.9,69.0,69.0,86319.9,1251,5
CONN.N0000,2016-07-19,69.9,72.1,63.7,70.0,204272.3,2909,10
CONN.N0000,2016-07-20,71.1,71.1,71.1,70.0,6683.4,94,2
CONN.N0000,2016-07-24,71.0,71.0,71.0,70.0,426.0,6,1
CONN.N0000,2016-07-25,69.9,69.9,69.9,70.0,629.1,9,1
CONN.N0000,2016-07-26,70.0,70.0,69.9,69.9,351600.0,5030,6
CONN.N0000,2016-07-28,69.9,69.9,69.9,69.9,23975.7,343,1
CONN.N0000,2016-08-01,68.1,69.0,68.1,69.0,11258.4,164,6
CONN.N0000,2016-08-02,69.8,69.8,69.8,69.0,698.0,10,1
CONN.N0000,2016-08-04,69.0,69.0,69.0,69.0,11454.0,166,4
CONN.N0000,2016-08-07,69.0,69.0,68.1,69.0,3432.0,50,5
CONN.N0000,2016-08-08,68.1,68.1,68.1,68.1,7491.0,110,3
CONN.N0000,2016-08-09,68.0,68.0,68.0,68.0,8296.0,122,4
CONN.N0000,2016-08-10,69.0,69.0,69.0,69.0,6900.0,100,4
CONN.N0000,2016-08-11,68.0,68.5,68.0,69.0,136.5,2,2
CONN.N0000,2016-08-14,68.0,70.0,68.0,70.0,454244.4,6501,9
