ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CSD.N0000,2016-01-03,13.7,13.9,13.6,13.8,283419.2,20566,8
CSD.N0000,2016-01-04,13.5,13.5,13.5,13.5,70200.0,5200,2
CSD.N0000,2016-01-05,13.4,13.8,13.3,13.4,190706.3,13986,10
CSD.N0000,2016-01-06,13.3,13.3,13.2,13.3,81294.0,6120,4
CSD.N0000,2016-01-07,13.4,13.6,13.1,13.6,56028.0,4200,6
CSD.N0000,2016-01-10,13.2,13.2,13.2,13.6,105.6,8,1
CSD.N0000,2016-01-11,13.1,13.1,12.9,13.0,73006.0,5615,9
CSD.N0000,2016-01-12,12.9,13.0,12.9,13.0,651696.8,50292,8
CSD.N0000,2016-01-13,13.0,13.0,12.6,12.8,148324.0,11580,6
CSD.N0000,2016-01-17,12.8,12.9,12.3,12.4,1638479.0,131020,27
CSD.N0000,2016-01-18,12.4,12.4,12.1,12.1,293851.6,24000,8
CSD.N0000,2016-01-19,12.0,12.4,12.0,12.0,254232.4,21186,7
CSD.N0000,2016-01-20,12.6,12.6,11.8,12.4,292142.0,23635,13
CSD.N0000,2016-01-21,12.5,13.2,12.5,13.0,82468.2,6490,11
CSD.N0000,2016-01-25,12.6,12.6,12.5,12.6,896767.7,71331,7
CSD.N0000,2016-01-26,12.5,12.5,12.4,12.4,684800.0,55000,8
CSD.N0000,2016-01-28,12.6,13.4,12.6,13.0,156224.4,12048,12
CSD.N0000,2016-01-31,13.0,13.0,13.0,13.0,520000.0,40000,1
CSD.N0000,2016-02-01,13.1,13.6,13.0,13.3,14032.6,1056,10
CSD.N0000,2016-02-02,13.4,13.4,13.3,13.3,1517.6,114,2
CSD.N0000,2016-02-07,13.2,13.3,13.0,13.0,172040.0,13220,7
CSD.N0000,2016-02-08,13.0,13.3,12.8,13.0,56013.0,4310,9
CSD.N0000,2016-02-09,13.3,13.3,13.3,13.3,2673.3,201,3
CSD.N0000,2016-02-10,13.0,13.3,13.0,13.3,59830.0,4600,3
CSD.N0000,2016-02-11,13.5,13.6,13.0,13.0,1241292.7,93217,70
CSD.N0000,2016-02-14,13.0,13.4,13.0,13.4,9140.0,700,2
CSD.N0000,2016-02-15,13.3,13.3,13.0,13.0,1433.0,110,2
CSD.N0000,2016-02-16,13.2,13.2,12.9,12.9,116761.0,8983,11
CSD.N0000,2016-02-17,13.0,13.0,13.0,13.0,27469.0,2113,6
CSD.N0000,2016-02-18,13.0,13.0,13.0,13.0,122200.0,9400,5
CSD.N0000,2016-02-22,13.0,13.0,12.9,13.0,1625924.0,125148,8
CSD.N0000,2016-02-23,12.9,12.9,12.6,12.6,68910.0,5400,10
CSD.N0000,2016-02-24,12.7,12.7,12.7,12.7,2540.0,200,1
CSD.N0000,2016-02-25,12.8,12.8,12.6,12.6,625997.2,49336,11
CSD.N0000,2016-02-28,12.6,12.9,12.5,12.7,179762.4,14176,6
CSD.N0000,2016-02-29,12.5,12.6,12.0,12.1,904123.5,73693,28
CSD.N0000,2016-03-01,12.1,12.2,11.8,11.8,666200.0,55700,10
CSD.N0000,2016-03-02,11.8,12.0,11.8,12.0,62638.0,5250,11
CSD.N0000,2016-03-03,12.5,12.5,12.5,12.0,12.5,1,1
CSD.N0000,2016-03-07,12.0,12.0,10.5,11.0,382260.0,34600,17
CSD.N0000,2016-03-08,12.1,12.1,10.0,10.6,538455.0,52351,29
CSD.N0000,2016-03-09,11.0,11.2,11.0,11.2,601858.0,54278,16
CSD.N0000,2016-03-10,11.2,12.3,11.2,12.2,597254.3,50711,24
CSD.N0000,2016-03-13,12.1,12.1,11.4,11.6,1197374.6,103075,23
CSD.N0000,2016-03-14,12.1,12.1,11.6,12.0,298532.1,25001,7
CSD.N0000,2016-03-15,12.0,12.1,12.0,12.0,433783.9,36147,9
CSD.N0000,2016-03-16,12.1,12.5,12.0,12.3,30560.0,2500,8
CSD.N0000,2016-03-17,12.5,13.0,12.3,12.4,437247.0,35459,12
CSD.N0000,2016-03-20,12.5,12.5,12.4,12.4,124144.0,10010,3
CSD.N0000,2016-03-22,12.5,12.8,12.5,12.8,4560.8,361,3
CSD.N0000,2016-03-23,12.8,12.8,12.6,12.6,70758.0,5610,4
CSD.N0000,2016-03-27,12.7,12.7,12.4,12.5,23028.0,1840,7
CSD.N0000,2016-03-28,12.5,12.5,11.9,11.9,619575.0,51566,43
CSD.N0000,2016-03-29,12.4,12.4,12.2,12.2,124338.0,10190,5
CSD.N0000,2016-03-30,12.2,12.3,12.2,12.2,57105.0,4680,6
CSD.N0000,2016-03-31,12.0,12.0,11.8,12.0,448652.6,37454,17
CSD.N0000,2016-04-03,12.0,12.0,12.0,12.0,8400.0,700,2
CSD.N0000,2016-04-04,12.0,12.2,12.0,12.2,121800.0,10100,7
CSD.N0000,2016-04-07,12.2,12.5,12.2,12.4,59745.0,4830,13
CSD.N0000,2016-04-10,12.3,12.5,11.8,12.5,38062.0,3099,11
CSD.N0000,2016-04-11,12.5,12.9,12.5,12.6,155162.6,12333,11
CSD.N0000,2016-04-14,12.8,13.4,12.8,13.3,152570.3,11811,19
CSD.N0000,2016-04-17,13.5,13.5,12.5,13.0,113662.5,8701,11
CSD.N0000,2016-04-18,13.3,13.3,13.0,13.0,15083.0,1160,3
CSD.N0000,2016-04-21,13.3,13.3,12.6,12.6,25585.0,2030,2
CSD.N0000,2016-04-24,13.2,13.2,13.2,13.2,2640.0,200,1
CSD.N0000,2016-04-25,12.7,13.1,12.7,13.1,36520.0,2800,5
CSD.N0000,2016-04-26,12.7,12.7,12.7,12.7,36830.0,2900,2
CSD.N0000,2016-04-27,12.7,13.0,12.6,12.8,763330.0,58840,10
CSD.N0000,2016-04-28,13.0,13.2,12.8,13.2,584861.4,44794,26
CSD.N0000,2016-05-02,13.2,13.2,13.2,13.2,52800.0,4000,2
CSD.N0000,2016-05-03,13.5,13.5,13.0,13.0,70213.5,5401,3
CSD.N0000,2016-05-05,13.0,13.0,13.0,13.0,189800.0,14600,9
CSD.N0000,2016-05-08,13.2,13.2,13.0,13.0,213954.0,16450,12
CSD.N0000,2016-05-09,13.0,13.0,13.0,13.0,715.0,55,1
CSD.N0000,2016-05-10,12.9,13.0,12.8,13.0,196793.4,15140,4
CSD.N0000,2016-05-11,13.0,13.0,13.0,13.0,93613.0,7201,4
CSD.N0000,2016-05-12,13.0,13.3,13.0,13.0,19383.3,1491,3
CSD.N0000,2016-05-15,13.5,14.0,13.3,13.4,191394.5,14255,11
CSD.N0000,2016-05-16,13.0,13.0,13.0,13.0,17290.0,1330,2
CSD.N0000,2016-05-17,13.0,13.5,13.0,13.5,50410.0,3870,3
CSD.N0000,2016-05-18,13.5,13.9,13.1,13.6,552023.0,40550,20
CSD.N0000,2016-05-19,13.9,13.9,13.6,13.6,112501.4,8270,9
CSD.N0000,2016-05-23,13.6,13.6,13.1,13.2,38161.6,2878,7
CSD.N0000,2016-05-24,13.6,13.9,13.6,13.6,44259.4,3252,9
CSD.N0000,2016-05-25,13.5,13.5,13.5,13.5,4050.0,300,1
CSD.N0000,2016-05-29,13.2,13.2,13.0,13.2,59960.0,4550,5
CSD.N0000,2016-05-30,13.3,13.3,13.0,13.3,39329.7,2959,6
CSD.N0000,2016-05-31,13.0,13.0,13.0,13.0,99866.0,7682,5
CSD.N0000,2016-06-01,13.0,13.0,13.0,13.0,637.0,49,2
CSD.N0000,2016-06-02,13.0,13.0,13.0,13.0,3250.0,250,1
CSD.N0000,2016-06-05,13.4,13.7,13.0,13.0,23817.1,1805,6
CSD.N0000,2016-06-06,13.1,13.1,13.1,13.1,203364.4,15524,8
CSD.N0000,2016-06-07,13.0,13.0,13.0,13.0,4225.0,325,4
CSD.N0000,2016-06-08,12.8,12.8,12.8,12.8,16640.0,1300,2
CSD.N0000,2016-06-09,12.8,13.3,12.8,13.1,48090.0,3700,9
CSD.N0000,2016-06-12,13.0,13.0,13.0,13.0,1300.0,100,1
CSD.N0000,2016-06-14,12.6,13.0,12.6,13.0,152.0,12,2
CSD.N0000,2016-06-21,11.7,12.8,11.7,12.7,69584.2,5552,6
CSD.N0000,2016-06-22,11.7,12.6,11.7,11.7,1195.2,102,2
CSD.N0000,2016-06-23,12.5,12.5,11.7,11.7,23599.0,2012,5
CSD.N0000,2016-06-26,12.5,12.5,11.5,11.5,11502.0,1000,2
CSD.N0000,2016-06-27,12.3,12.3,12.3,11.5,12.3,1,1
CSD.N0000,2016-06-28,11.7,11.7,11.7,11.5,585.0,50,1
CSD.N0000,2016-06-29,11.8,12.0,11.8,12.0,35538.0,3010,3
CSD.N0000,2016-06-30,11.7,11.7,11.7,12.0,23.4,2,1
CSD.N0000,2016-07-03,11.9,11.9,11.7,11.7,17705.4,1496,3
CSD.N0000,2016-07-04,11.6,11.9,11.6,11.9,77373.2,6502,6
CSD.N0000,2016-07-06,11.9,12.5,11.9,11.9,90500.0,7600,3
CSD.N0000,2016-07-07,12.5,12.5,12.5,12.5,1375.0,110,2
CSD.N0000,2016-07-10,11.9,12.0,11.9,12.0,153500.0,12800,9
CSD.N0000,2016-07-11,12.0,12.0,11.8,11.8,45020.0,3800,6
CSD.N0000,2016-07-12,12.3,12.5,12.3,12.4,55837.6,4496,6
CSD.N0000,2016-07-13,12.4,12.4,12.4,12.4,12648.0,1020,1
CSD.N0000,2016-07-14,12.5,12.8,12.5,12.5,27712.8,2217,4
CSD.N0000,2016-07-17,12.5,12.9,12.5,12.9,66507.6,5199,7
CSD.N0000,2016-07-19,12.5,12.9,12.5,12.5,12537.9,1003,4
CSD.N0000,2016-07-20,12.5,12.5,12.5,12.5,1925.0,154,2
CSD.N0000,2016-07-21,12.5,12.9,12.5,12.6,14801.2,1179,5
CSD.N0000,2016-07-24,12.5,12.5,12.5,12.5,7000.0,560,1
CSD.N0000,2016-07-25,12.6,12.6,12.6,12.6,25200.0,2000,3
CSD.N0000,2016-07-26,12.5,13.0,12.5,12.8,438793.0,34301,17
CSD.N0000,2016-07-27,12.6,12.9,12.6,12.9,1010580.0,80200,6
CSD.N0000,2016-07-28,12.6,13.4,12.6,13.4,752990.6,57652,34
CSD.N0000,2016-07-31,13.4,15.3,13.3,15.0,11662246.6,815522,200
CSD.N0000,2016-08-01,15.3,15.3,14.6,14.7,3157482.0,210645,86
CSD.N0000,2016-08-02,14.6,15.0,14.5,14.5,1178636.0,80818,31
CSD.N0000,2016-08-03,14.6,14.6,14.2,14.3,172733.2,11975,16
CSD.N0000,2016-08-04,14.4,14.5,14.3,14.4,399643.9,27705,18
CSD.N0000,2016-08-07,14.7,14.7,14.4,14.4,218483.1,15096,12
CSD.N0000,2016-08-08,14.4,14.6,14.4,14.6,570523.6,39319,10
CSD.N0000,2016-08-09,14.5,14.8,14.5,14.7,293740.7,20165,13
CSD.N0000,2016-08-10,14.8,15.3,14.8,15.1,6433343.0,426499,116
CSD.N0000,2016-08-11,15.2,15.8,15.2,15.5,4430347.0,283809,112
CSD.N0000,2016-08-14,15.4,15.7,15.4,15.6,4019753.8,258249,40
CSD.N0000,2016-08-15,15.5,15.9,15.5,15.5,3157581.7,201699,57
CSD.N0000,2016-08-17,15.4,15.7,15.4,15.4,7924486.5,514308,35
CSD.N0000,2016-08-18,15.5,15.9,15.5,15.6,2055372.4,130453,53
CSD.N0000,2016-08-21,15.5,15.6,15.4,15.5,1579060.0,102100,12
CSD.N0000,2016-08-22,15.4,15.4,15.1,15.1,1798431.4,118391,10
CSD.N0000,2016-08-23,15.2,15.2,15.0,15.0,941610.0,62550,13
CSD.N0000,2016-08-24,14.6,15.0,14.6,15.0,1792.0,120,2
CSD.N0000,2016-08-25,14.5,14.6,14.5,14.6,420985.5,28999,6
CSD.N0000,2016-08-28,14.7,15.0,14.7,14.7,261734.7,17801,6
CSD.N0000,2016-08-29,14.7,15.5,14.7,15.0,463940.7,30943,10
CSD.N0000,2016-08-30,15.5,15.5,14.8,14.8,434330.0,29225,9
CSD.N0000,2016-08-31,15.0,15.0,14.7,15.0,124382.1,8293,7
CSD.N0000,2016-09-01,15.0,15.0,14.6,14.7,191085.7,13001,8
CSD.N0000,2016-09-04,14.5,14.5,14.5,14.5,1603700.0,110600,4
CSD.N0000,2016-09-05,14.3,14.3,14.3,14.3,1430.0,100,1
CSD.N0000,2016-09-06,14.3,14.5,14.0,14.0,1329855.8,94160,16
CSD.N0000,2016-09-07,14.5,14.5,14.3,14.0,1301.0,90,2
CSD.N0000,2016-09-08,14.4,14.5,14.3,14.3,313317.7,21670,16
CSD.N0000,2016-09-12,14.3,14.3,14.3,14.3,5720.0,400,1
CSD.N0000,2016-09-13,14.2,14.2,14.2,14.2,1422840.0,100200,9
CSD.N0000,2016-09-19,14.1,14.1,14.0,14.0,868390.7,62025,9
CSD.N0000,2016-09-20,13.6,13.7,13.6,13.6,274740.0,20150,6
CSD.N0000,2016-09-21,14.4,14.4,14.0,14.0,11513.2,807,4
CSD.N0000,2016-09-22,14.0,14.0,13.9,13.9,1384911.5,99589,21
CSD.N0000,2016-09-25,13.9,14.0,13.7,13.8,30270.0,2200,6
CSD.N0000,2016-09-26,13.7,13.7,13.7,13.7,216912.1,15833,9
CSD.N0000,2016-09-27,13.8,14.1,13.8,14.0,319210.0,23100,5
CSD.N0000,2016-09-28,14.1,14.1,14.0,14.0,548109.2,39112,10
CSD.N0000,2016-09-29,14.1,14.2,13.9,14.0,1359901.0,96900,14
CSD.N0000,2016-10-02,14.0,14.6,14.0,14.2,276410.2,19598,14
CSD.N0000,2016-10-03,14.1,14.5,14.1,14.2,307659.1,21685,11
CSD.N0000,2016-10-04,14.5,14.5,14.1,14.1,12039.1,851,3
CSD.N0000,2016-10-05,14.5,14.5,14.5,14.5,5988.5,413,1
CSD.N0000,2016-10-06,14.1,14.5,14.1,14.3,424081.0,29778,12
CSD.N0000,2016-10-09,14.5,15.8,14.5,15.5,12712735.0,830440,256
CSD.N0000,2016-10-10,15.6,16.6,15.6,16.3,28962596.1,1778704,432
CSD.N0000,2016-10-11,16.5,16.7,15.8,15.9,8674496.0,535000,113
CSD.N0000,2016-10-12,16.2,16.3,15.8,16.2,2459079.8,152959,68
