ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CSF.N0000,2016-01-03,3.1,3.1,3.1,3.1,1451575.0,468250,28
CSF.N0000,2016-01-04,3.1,3.1,3.0,3.1,124385.0,40125,3
CSF.N0000,2016-01-05,3.0,3.0,3.0,3.0,43500.0,14500,13
CSF.N0000,2016-01-06,3.0,3.1,2.9,3.1,173130.0,57710,11
CSF.N0000,2016-01-07,3.0,3.1,3.0,3.0,7650.0,2500,5
CSF.N0000,2016-01-10,3.0,3.0,2.9,2.9,16196.2,5550,5
CSF.N0000,2016-01-11,2.9,2.9,2.7,2.8,592903.7,211076,40
CSF.N0000,2016-01-12,2.7,2.9,2.7,2.8,283381.2,99604,29
CSF.N0000,2016-01-13,2.5,2.6,2.1,2.4,5008465.3,2063059,233
CSF.N0000,2016-01-17,2.3,2.4,2.3,2.3,2486498.2,1076693,47
CSF.N0000,2016-01-18,2.4,2.4,2.3,2.4,972344.0,406050,34
CSF.N0000,2016-01-19,2.3,2.4,2.3,2.4,244506.4,102261,22
CSF.N0000,2016-01-20,2.4,2.4,2.4,2.4,313164.0,130485,13
CSF.N0000,2016-01-21,2.4,2.4,2.4,2.4,297600.0,124000,17
CSF.N0000,2016-01-24,2.4,2.5,2.4,2.5,2300534.9,954639,40
CSF.N0000,2016-01-25,2.5,2.5,2.4,2.4,683436.8,284757,21
CSF.N0000,2016-01-26,2.4,2.5,2.3,2.3,1225685.0,519770,49
CSF.N0000,2016-01-27,2.3,2.3,2.2,2.3,831373.2,370906,19
CSF.N0000,2016-01-28,2.3,2.4,2.3,2.4,456598.2,192932,34
CSF.N0000,2016-01-31,2.4,2.4,2.4,2.4,9621.6,4009,12
CSF.N0000,2016-02-01,2.4,2.4,2.3,2.3,235370.0,99200,24
CSF.N0000,2016-02-02,2.4,2.4,2.3,2.3,76951.4,33218,21
CSF.N0000,2016-02-04,2.3,2.4,2.3,2.3,86544.0,37410,18
CSF.N0000,2016-02-07,2.3,2.4,2.3,2.3,318311.2,135834,35
CSF.N0000,2016-02-08,2.3,2.4,2.3,2.3,100027.6,42827,28
CSF.N0000,2016-02-09,2.3,2.4,2.2,2.3,1169121.5,508065,114
CSF.N0000,2016-02-10,1.7,1.7,1.4,1.5,2054851.9,1305385,131
CSF.N0000,2016-02-11,1.6,1.6,1.4,1.4,37675.4,24770,25
CSF.N0000,2016-02-14,1.4,1.4,1.3,1.3,333514.7,242918,27
CSF.N0000,2016-02-15,1.4,1.4,1.3,1.3,334208.5,257045,24
CSF.N0000,2016-02-16,1.3,1.3,1.2,1.3,181951.4,144412,18
CSF.N0000,2016-02-17,1.2,1.2,1.2,1.2,21043.2,17536,9
CSF.N0000,2016-02-18,1.2,1.2,1.2,1.2,186270.0,155225,20
CSF.N0000,2016-02-22,1.2,1.2,1.1,1.2,962390.5,805720,43
CSF.N0000,2016-02-23,1.2,1.3,1.2,1.2,1812865.3,1510721,56
CSF.N0000,2016-02-24,1.2,1.2,1.1,1.1,35717.0,31470,8
CSF.N0000,2016-02-25,1.1,1.1,1.1,1.1,21235.5,19305,11
CSF.N0000,2016-02-28,1.1,1.1,1.1,1.1,1063361.2,966692,26
CSF.N0000,2016-02-29,1.1,1.1,1.1,1.1,498524.4,453204,34
CSF.N0000,2016-03-01,1.1,1.1,1.1,1.1,92170.1,83791,10
CSF.N0000,2016-03-02,1.1,1.1,1.1,1.1,53790.0,48900,11
CSF.N0000,2016-03-03,1.1,1.2,1.1,1.2,80162.0,67850,39
CSF.N0000,2016-03-07,1.3,1.3,1.1,1.1,76892.6,69666,24
CSF.N0000,2016-03-08,1.0,1.1,0.9,1.1,261456.8,262067,29
CSF.N0000,2016-03-09,1.0,1.1,1.0,1.1,5481.1,5001,4
CSF.N0000,2016-03-10,1.1,1.2,1.1,1.2,66131.1,59619,13
CSF.N0000,2016-03-13,1.1,1.1,1.1,1.1,2200.0,2000,1
CSF.N0000,2016-03-14,1.2,1.2,1.1,1.1,65200.0,59000,7
CSF.N0000,2016-03-15,1.2,1.2,1.1,1.1,215982.4,196164,16
CSF.N0000,2016-03-16,1.1,1.2,1.1,1.2,84810.0,76100,14
CSF.N0000,2016-03-17,1.1,1.2,1.1,1.2,4241.1,3701,7
CSF.N0000,2016-03-20,1.1,1.1,1.1,1.1,11000.0,10000,1
CSF.N0000,2016-03-22,1.1,1.2,1.1,1.1,14030.2,12682,5
CSF.N0000,2016-03-23,1.1,1.2,1.1,1.1,113640.0,102700,18
CSF.N0000,2016-03-27,1.1,1.1,1.1,1.1,39729.8,36118,10
CSF.N0000,2016-03-28,1.1,1.1,1.0,1.1,104660.0,104460,7
CSF.N0000,2016-03-29,1.0,1.1,1.0,1.1,1330250.0,1210150,18
CSF.N0000,2016-03-30,1.1,1.1,1.0,1.0,15501.1,15501,5
CSF.N0000,2016-03-31,1.0,1.2,1.0,1.1,173445.3,158123,14
CSF.N0000,2016-04-03,1.1,1.2,1.1,1.2,49000.0,44500,3
CSF.N0000,2016-04-04,1.1,1.3,1.1,1.2,807932.4,674152,45
CSF.N0000,2016-04-05,1.3,1.3,1.1,1.1,28780.0,24300,8
CSF.N0000,2016-04-06,1.2,1.2,1.1,1.2,1675142.3,1395952,45
CSF.N0000,2016-04-07,1.2,1.3,1.2,1.2,213770.3,177166,31
CSF.N0000,2016-04-10,1.2,1.2,1.1,1.2,213491.6,179743,16
CSF.N0000,2016-04-11,1.2,1.3,1.2,1.3,154977.0,128290,18
CSF.N0000,2016-04-14,1.3,1.3,1.2,1.2,414530.4,345367,18
CSF.N0000,2016-04-17,1.3,1.3,1.2,1.3,1809387.7,1391866,51
CSF.N0000,2016-04-18,1.4,1.5,1.3,1.4,3405139.3,2431664,113
CSF.N0000,2016-04-19,1.4,1.4,1.3,1.4,892211.9,684093,31
CSF.N0000,2016-04-21,1.4,1.4,1.3,1.3,754330.2,580223,35
CSF.N0000,2016-04-24,1.3,1.4,1.3,1.3,548483.0,421410,23
CSF.N0000,2016-04-25,1.4,1.4,1.3,1.3,14719.1,11307,5
