ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CWL.N0000,2021-05-17,9.0,20.9,9.0,17.1,254195736.8,18015510,5872
CWL.N0000,2021-05-18,18.2,19.9,16.5,18.8,130291089.3,6920752,3208
CWL.N0000,2021-05-19,18.9,19.0,17.2,17.6,31754159.9,1768058,891
CWL.N0000,2021-05-20,18.0,18.1,15.0,16.6,18895117.6,1153355,713
CWL.N0000,2021-05-23,16.9,18.2,16.0,17.3,14834195.0,847715,487
CWL.N0000,2021-05-24,17.2,17.7,16.9,17.0,4207985.2,244836,215
CWL.N0000,2021-05-27,17.2,17.2,16.3,16.5,11918076.0,719067,402
CWL.N0000,2021-05-30,16.5,16.9,15.0,15.2,12888517.8,830923,648
CWL.N0000,2021-05-31,15.3,15.3,14.0,14.2,5868872.1,406238,432
CWL.N0000,2021-06-02,14.1,16.5,13.4,14.8,10755068.6,708589,616
CWL.N0000,2021-06-02,14.6,15.5,14.5,15.1,2490281.4,165269,181
CWL.N0000,2021-06-03,15.4,15.4,14.8,15.0,1381009.8,92073,104
CWL.N0000,2021-06-06,15.1,15.2,14.9,14.9,2212039.6,147647,114
CWL.N0000,2021-06-07,15.0,15.0,14.3,14.7,1140805.5,78096,98
CWL.N0000,2021-06-08,14.8,15.0,14.6,14.8,460427.1,31112,37
CWL.N0000,2021-06-09,15.0,15.0,14.5,14.7,728795.2,48925,80
CWL.N0000,2021-06-10,14.6,14.9,14.4,14.4,1103604.6,75974,65
CWL.N0000,2021-06-13,14.6,14.8,14.3,14.5,465284.0,32217,67
CWL.N0000,2021-06-14,14.8,14.8,14.0,14.1,2802333.1,199129,113
CWL.N0000,2021-06-15,14.2,14.5,14.0,14.0,536628.3,38119,70
CWL.N0000,2021-06-16,14.1,14.4,13.9,14.0,322718.2,23011,62
CWL.N0000,2021-06-17,14.0,14.4,13.8,14.0,1125174.0,80409,97
CWL.N0000,2021-06-20,13.9,14.0,13.6,13.7,353814.8,25691,43
CWL.N0000,2021-06-21,14.0,14.0,13.1,13.2,1187835.2,89293,89
CWL.N0000,2021-06-22,13.2,13.5,13.1,13.4,635427.7,47810,33
CWL.N0000,2021-06-24,13.5,14.5,13.1,14.2,1259466.9,90070,112
CWL.N0000,2021-06-27,14.0,14.4,13.8,13.8,96391.6,6929,22
CWL.N0000,2021-06-28,13.8,13.9,13.5,13.5,334198.6,24634,46
CWL.N0000,2021-06-29,13.3,13.7,13.0,13.1,970279.7,74279,68
CWL.N0000,2021-06-30,13.8,13.9,13.1,13.2,38051.1,2821,10
CWL.N0000,2021-07-01,13.8,13.8,13.2,13.3,253919.8,19061,18
CWL.N0000,2021-07-04,13.6,13.6,13.1,13.2,174010.0,13187,15
CWL.N0000,2021-07-05,13.4,13.6,13.1,13.4,388935.0,28960,33
CWL.N0000,2021-07-06,13.2,13.7,13.2,13.5,120428.7,8938,39
CWL.N0000,2021-07-07,13.7,13.7,13.4,13.4,52879.4,3946,13
CWL.N0000,2021-07-08,13.6,13.6,13.0,13.0,1056185.3,81108,49
CWL.N0000,2021-07-11,13.1,13.5,12.8,13.2,442337.5,34261,42
CWL.N0000,2021-07-12,13.4,13.8,13.0,13.4,866238.1,63999,67
CWL.N0000,2021-07-13,13.5,13.7,13.1,13.3,307349.2,23104,32
CWL.N0000,2021-07-14,13.5,13.7,13.2,13.5,292052.2,21698,39
CWL.N0000,2021-07-15,13.4,13.6,13.2,13.2,593655.7,44598,31
CWL.N0000,2021-07-18,13.3,13.3,12.9,13.0,1010651.8,77201,79
CWL.N0000,2021-07-19,13.4,13.4,12.9,12.9,561538.6,43276,59
CWL.N0000,2021-07-21,13.5,13.5,12.9,12.9,926989.6,71438,41
CWL.N0000,2021-07-25,13.0,13.1,12.9,12.9,202331.4,15651,27
CWL.N0000,2021-07-26,12.9,13.3,12.9,12.9,360335.6,27770,30
CWL.N0000,2021-07-27,12.9,13.0,12.8,12.8,437963.6,34101,45
CWL.N0000,2021-07-28,12.9,14.5,12.9,13.9,3206849.9,231122,164
CWL.N0000,2021-07-29,13.9,13.9,13.5,13.6,497392.9,36714,39
CWL.N0000,2021-08-01,13.5,13.5,13.0,13.1,186938.5,14196,24
CWL.N0000,2021-08-02,13.0,13.5,12.9,13.2,274216.2,20682,41
CWL.N0000,2021-08-03,13.3,13.4,13.2,13.3,349944.6,26315,25
CWL.N0000,2021-08-04,13.1,13.1,12.6,12.7,800502.1,62483,70
CWL.N0000,2021-08-05,13.0,13.0,12.8,12.8,455288.9,35426,26
CWL.N0000,2021-08-08,13.0,13.0,12.1,12.6,598500.1,47270,48
CWL.N0000,2021-08-09,13.0,13.0,12.1,12.1,774809.6,62969,59
CWL.N0000,2021-08-10,12.1,13.0,12.1,12.6,239977.8,18764,29
CWL.N0000,2021-08-11,12.4,15.4,12.4,13.2,17383756.9,1225161,530
CWL.N0000,2021-08-12,13.8,13.9,12.5,12.9,5416040.7,417456,141
CWL.N0000,2021-08-15,13.9,13.9,12.8,13.5,887825.3,65280,44
CWL.N0000,2021-08-16,13.5,14.0,13.0,13.5,2958408.0,219163,83
CWL.N0000,2021-08-17,13.8,16.8,13.5,16.6,43246954.1,2719937,1041
CWL.N0000,2021-08-18,17.8,18.9,15.7,16.5,39768717.6,2334517,733
CWL.N0000,2021-08-19,16.5,17.8,15.7,16.7,12852222.5,756768,325
CWL.N0000,2021-08-22,17.0,20.8,17.0,20.8,48412771.6,2475292,781
CWL.N0000,2021-08-23,22.9,29.9,22.9,27.3,140989467.9,5296294,2735
CWL.N0000,2021-08-24,28.0,34.0,24.0,27.5,96482922.4,3238930,2368
CWL.N0000,2021-08-25,27.5,28.4,24.6,25.4,17375369.4,666922,710
CWL.N0000,2021-08-26,24.4,25.7,22.0,23.0,11051977.4,470301,461
CWL.N0000,2021-08-29,23.9,23.9,21.4,21.6,3078508.1,139174,151
CWL.N0000,2021-08-30,20.0,26.4,20.0,24.9,15805846.1,650281,558
CWL.N0000,2021-08-31,26.0,29.8,25.5,26.3,32423222.8,1177538,826
CWL.N0000,2021-09-01,27.5,27.5,26.0,26.1,4749490.7,177722,178
CWL.N0000,2021-09-02,27.0,27.2,25.0,25.1,4110769.9,160825,160
CWL.N0000,2021-09-05,24.5,26.8,24.5,26.1,2004391.4,77197,100
CWL.N0000,2021-09-06,26.0,26.3,24.0,24.4,2370958.3,95002,109
CWL.N0000,2021-09-07,24.0,25.7,22.5,22.8,2056807.1,87853,156
CWL.N0000,2021-09-08,22.7,25.2,22.7,24.8,921362.1,37483,70
CWL.N0000,2021-09-09,24.9,25.0,23.2,23.4,1907816.2,80028,97
CWL.N0000,2021-09-12,23.3,23.4,20.0,20.6,1922815.5,89978,115
CWL.N0000,2021-09-13,21.8,23.9,21.8,23.0,1456409.3,62739,120
CWL.N0000,2021-09-14,22.5,25.9,22.5,24.8,3452278.3,138436,144
CWL.N0000,2021-09-15,23.5,24.9,23.5,24.1,270535.7,11210,57
CWL.N0000,2021-09-16,24.8,24.8,23.1,23.5,386369.0,16395,56
CWL.N0000,2021-09-20,23.1,24.6,23.1,23.7,360797.4,15025,21
CWL.N0000,2021-09-21,24.0,24.6,23.5,24.5,1184275.8,48380,52
CWL.N0000,2021-09-22,23.9,24.3,23.4,23.9,390972.9,16497,28
CWL.N0000,2021-09-23,24.0,24.0,23.6,23.8,380345.9,15965,18
CWL.N0000,2021-09-26,24.5,27.3,24.0,24.2,16500649.6,652679,391
CWL.N0000,2021-09-27,25.9,25.9,23.8,24.0,1233129.8,50175,50
CWL.N0000,2021-09-28,24.9,24.9,23.8,24.0,984643.8,41089,31
CWL.N0000,2021-09-29,24.9,25.0,23.8,24.8,4293863.2,177036,69
CWL.N0000,2021-09-30,24.1,25.1,24.0,24.0,952367.1,39658,41
CWL.N0000,2021-10-03,24.3,25.1,24.0,24.2,2321629.0,96439,30
CWL.N0000,2021-10-04,24.0,24.5,24.0,24.0,2961306.5,123331,42
CWL.N0000,2021-10-05,24.4,25.5,24.3,24.3,2834725.8,115013,94
CWL.N0000,2021-10-06,25.2,25.2,24.2,24.3,330107.8,13567,12
CWL.N0000,2021-10-07,25.2,25.2,24.0,24.1,424561.4,17576,23
CWL.N0000,2021-10-10,24.1,24.4,24.0,24.3,995002.4,41033,22
CWL.N0000,2021-10-11,24.4,24.4,23.5,23.7,998085.1,42156,39
CWL.N0000,2021-10-12,23.3,24.0,23.3,23.6,141763.0,5995,17
CWL.N0000,2021-10-13,23.9,23.9,22.9,23.1,1392835.1,60155,70
CWL.N0000,2021-10-14,23.9,23.9,22.6,23.0,116425.6,4975,12
CWL.N0000,2021-10-17,23.5,23.5,22.7,22.9,815200.1,35235,44
CWL.N0000,2021-10-20,22.9,23.7,22.4,22.7,1794449.9,79090,107
CWL.N0000,2021-10-21,22.6,24.5,22.5,23.4,1861159.7,78516,97
CWL.N0000,2021-10-24,23.2,24.2,23.0,23.9,859018.4,36300,50
CWL.N0000,2021-10-25,23.2,24.2,23.2,23.9,359428.4,14939,22
CWL.N0000,2021-10-26,23.6,23.6,23.0,23.0,666842.9,28816,50
CWL.N0000,2021-10-27,23.1,24.2,23.1,23.8,509542.3,21357,27
CWL.N0000,2021-10-28,23.8,23.9,23.3,23.8,74303.2,3154,10
CWL.N0000,2021-10-31,22.3,23.9,22.3,23.8,308310.8,13152,14
CWL.N0000,2021-11-01,23.0,23.9,22.9,23.6,235749.0,10178,11
CWL.N0000,2021-11-02,22.7,23.8,22.5,22.7,970032.9,42657,46
CWL.N0000,2021-11-04,22.6,23.0,22.5,22.8,343753.3,15049,22
CWL.N0000,2021-11-07,23.4,23.4,22.1,22.2,911218.6,40885,48
CWL.N0000,2021-11-08,22.2,22.9,21.5,21.8,1057098.8,48064,59
CWL.N0000,2021-11-09,23.1,23.5,21.5,22.5,182861.2,7992,26
CWL.N0000,2021-11-10,23.3,23.3,22.3,22.6,1009876.8,43936,46
CWL.N0000,2021-11-11,23.5,23.7,22.1,22.8,1402152.4,61602,54
CWL.N0000,2021-11-14,22.5,23.4,22.1,22.3,2030684.1,90382,66
CWL.N0000,2021-11-15,22.2,23.3,20.3,21.6,2236521.4,102848,90
CWL.N0000,2021-11-16,20.5,22.3,20.5,20.8,3564041.9,170885,124
CWL.N0000,2021-11-18,21.6,22.4,20.7,20.9,746278.2,34910,46
CWL.N0000,2021-11-21,22.0,22.0,20.8,21.1,502404.9,23828,22
CWL.N0000,2021-11-22,21.0,21.9,20.9,21.0,711576.0,33381,43
