ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
DFCC.N0000,2016-01-03,168.0,168.0,168.0,168.1,672.0,4,1
DFCC.N0000,2016-01-04,162.5,166.0,162.3,162.3,159394.8,981,4
DFCC.N0000,2016-01-05,162.2,166.5,161.0,162.0,1050256.0,6482,13
DFCC.N0000,2016-01-06,161.2,164.0,160.0,160.5,823144.5,5135,26
DFCC.N0000,2016-01-07,160.0,160.0,159.0,160.0,1294666.6,8093,17
DFCC.N0000,2016-01-10,160.0,160.0,156.0,156.0,837301.6,5361,26
DFCC.N0000,2016-01-11,156.0,156.0,153.0,153.5,3474927.0,22492,32
DFCC.N0000,2016-01-12,158.0,158.0,154.0,154.3,830173.0,5373,17
DFCC.N0000,2016-01-13,154.0,158.4,153.6,154.0,19448763.8,126259,46
DFCC.N0000,2016-01-17,153.2,153.2,152.0,152.1,1147516.6,7519,25
DFCC.N0000,2016-01-18,152.0,152.1,150.0,150.0,1292566.1,8551,36
DFCC.N0000,2016-01-19,150.1,154.0,150.0,150.0,3697573.1,24636,30
DFCC.N0000,2016-01-20,150.0,152.0,150.0,150.0,3663826.5,24419,43
DFCC.N0000,2016-01-21,151.0,160.0,150.0,150.2,2373305.5,15731,33
DFCC.N0000,2016-01-24,150.5,159.0,148.0,148.0,4549786.6,30691,39
DFCC.N0000,2016-01-25,150.0,152.0,150.0,150.0,3999638.0,26644,34
DFCC.N0000,2016-01-26,152.0,152.0,150.0,150.1,600214.8,3997,12
DFCC.N0000,2016-01-27,150.0,154.0,150.0,150.0,3466411.5,23109,13
DFCC.N0000,2016-01-28,150.1,152.9,150.0,150.1,38486598.5,256539,59
DFCC.N0000,2016-01-31,150.1,152.0,150.1,150.1,9067652.0,60406,9
DFCC.N0000,2016-02-01,150.1,153.0,150.1,153.0,339069.4,2247,15
DFCC.N0000,2016-02-02,153.0,153.0,150.1,150.9,1014121.3,6700,17
