ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
DIPD.N0000,2016-01-03,110.0,112.0,110.0,110.0,8860.0,80,2
DIPD.N0000,2016-01-04,110.1,114.9,110.0,110.0,5737943.7,52152,40
DIPD.N0000,2016-01-05,110.0,112.9,110.0,110.1,17177.3,156,8
DIPD.N0000,2016-01-06,110.0,110.0,110.0,110.0,151800.0,1380,3
DIPD.N0000,2016-01-07,108.9,108.9,108.5,108.7,260810.0,2400,3
DIPD.N0000,2016-01-10,107.1,110.0,105.1,105.5,1199249.1,11294,11
DIPD.N0000,2016-01-11,105.1,105.1,100.1,100.1,627080.5,6116,13
DIPD.N0000,2016-01-12,100.0,104.0,100.0,102.1,82577.5,813,9
DIPD.N0000,2016-01-13,102.0,102.0,97.0,97.2,18643836.0,184127,32
DIPD.N0000,2016-01-17,101.0,101.5,97.0,99.0,614341.5,6090,9
DIPD.N0000,2016-01-18,96.0,98.0,96.0,96.0,96490.0,1005,2
DIPD.N0000,2016-01-19,97.0,97.0,97.0,97.0,146567.0,1511,4
DIPD.N0000,2016-01-20,96.0,98.0,96.0,97.1,1680308.0,17239,15
DIPD.N0000,2016-01-21,97.9,97.9,97.8,97.9,1816434.5,18555,16
DIPD.N0000,2016-01-24,97.5,97.5,97.0,97.0,83664.5,862,3
DIPD.N0000,2016-01-26,96.0,96.2,96.0,96.2,52900.0,550,8
DIPD.N0000,2016-01-27,96.1,96.1,94.0,94.0,1611429.5,17042,30
DIPD.N0000,2016-01-28,97.0,97.0,95.0,95.3,78565.0,821,6
DIPD.N0000,2016-01-31,97.0,97.0,93.5,94.1,796724.9,8466,13
DIPD.N0000,2016-02-01,96.8,96.8,94.0,96.8,71416.8,756,6
DIPD.N0000,2016-02-02,96.8,97.0,96.8,96.9,229750.8,2371,4
DIPD.N0000,2016-02-04,90.0,90.0,84.0,87.2,2210560.9,25573,103
DIPD.N0000,2016-02-07,87.0,89.8,85.0,85.7,975689.2,11286,29
DIPD.N0000,2016-02-08,87.0,87.0,84.1,85.0,530582.0,6250,22
DIPD.N0000,2016-02-09,84.0,85.0,84.0,85.0,210499.9,2500,11
DIPD.N0000,2016-02-10,84.0,84.0,82.0,84.0,145897.5,1755,14
DIPD.N0000,2016-02-11,84.0,84.0,82.5,82.5,87493.0,1060,6
DIPD.N0000,2016-02-14,81.1,81.1,80.0,81.0,411567.5,5129,18
DIPD.N0000,2016-02-15,80.2,80.2,80.2,81.0,5373.4,67,1
DIPD.N0000,2016-02-16,80.2,81.0,80.2,81.0,114683.8,1420,8
DIPD.N0000,2016-02-17,81.0,81.0,80.0,80.0,78810.0,985,8
DIPD.N0000,2016-02-18,83.0,83.0,81.0,81.1,310010.8,3816,9
DIPD.N0000,2016-02-22,80.0,80.5,80.0,80.5,48050.0,600,2
DIPD.N0000,2016-02-23,79.1,79.1,77.5,78.5,168470.0,2140,18
DIPD.N0000,2016-02-24,78.5,78.5,77.0,77.4,184503.4,2377,19
DIPD.N0000,2016-02-25,76.5,76.5,75.5,76.0,174872.0,2300,10
DIPD.N0000,2016-02-28,75.2,75.2,75.0,75.0,88889.0,1185,10
DIPD.N0000,2016-02-29,74.0,74.0,67.5,71.3,744799.5,10469,46
DIPD.N0000,2016-03-01,67.5,69.9,65.0,66.1,987272.7,14972,42
DIPD.N0000,2016-03-02,66.0,66.1,65.5,65.6,87452.0,1334,5
