ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
EAST.N0000,2016-01-04,16.1,16.2,16.1,16.2,4850.0,300,2
EAST.N0000,2016-01-05,16.5,16.5,16.2,16.5,47010.0,2850,2
EAST.N0000,2016-01-07,15.9,15.9,15.0,15.2,38390.0,2530,8
EAST.N0000,2016-01-10,15.1,16.6,14.3,15.1,1227362.2,81758,55
EAST.N0000,2016-01-11,14.6,15.4,14.3,15.4,932972.4,64496,14
EAST.N0000,2016-01-12,15.5,15.5,15.0,15.0,14375.0,950,5
EAST.N0000,2016-01-13,15.0,15.0,15.0,15.0,152940.0,10196,2
EAST.N0000,2016-01-17,14.4,15.3,14.1,15.1,403801.2,27000,15
EAST.N0000,2016-01-18,15.1,15.1,14.2,14.7,2504.0,170,2
EAST.N0000,2016-01-19,14.2,15.4,13.2,14.7,29688.2,2030,5
EAST.N0000,2016-01-20,15.4,15.4,15.4,15.4,49280.0,3200,7
EAST.N0000,2016-01-21,15.4,15.4,15.4,15.4,1540.0,100,1
EAST.N0000,2016-01-24,13.9,14.0,13.9,14.0,26560.0,1900,2
EAST.N0000,2016-01-25,15.3,15.3,14.0,14.0,203350.0,14425,7
EAST.N0000,2016-01-26,13.8,13.8,13.8,13.8,4140.0,300,1
EAST.N0000,2016-01-27,14.1,14.1,14.1,14.1,8163.9,579,2
EAST.N0000,2016-01-31,14.9,15.4,14.9,15.1,115900.0,7670,17
EAST.N0000,2016-02-01,15.5,15.6,15.0,15.1,93950.5,6111,14
EAST.N0000,2016-02-04,15.1,15.1,15.1,15.1,755.0,50,1
EAST.N0000,2016-02-07,14.5,14.5,14.5,14.5,14500.0,1000,1
EAST.N0000,2016-02-08,14.5,14.5,14.4,14.4,193280.0,13350,5
EAST.N0000,2016-02-09,14.4,14.4,14.4,14.4,2880.0,200,1
EAST.N0000,2016-02-10,14.4,14.4,14.4,14.4,50400.0,3500,4
EAST.N0000,2016-02-11,14.4,14.4,14.4,14.4,23112.0,1605,3
EAST.N0000,2016-02-14,14.1,15.5,14.0,14.0,407181.1,26875,22
EAST.N0000,2016-02-15,14.2,14.2,14.0,14.1,29580.2,2100,5
EAST.N0000,2016-02-16,14.1,14.1,14.0,14.0,168744.0,12046,5
EAST.N0000,2016-02-22,14.0,14.5,14.0,14.1,193050.0,13700,3
EAST.N0000,2016-02-23,14.1,14.2,13.1,13.8,67777.0,4845,8
EAST.N0000,2016-02-24,14.0,14.2,14.0,14.2,4259000.0,300000,4
EAST.N0000,2016-02-25,12.9,14.1,12.9,14.2,380.1,29,2
EAST.N0000,2016-02-28,12.8,13.0,12.8,13.0,51622.1,3994,7
EAST.N0000,2016-02-29,12.9,12.9,12.9,12.9,19479.0,1510,1
EAST.N0000,2016-03-01,13.5,14.5,13.5,14.4,1054447.5,73050,38
EAST.N0000,2016-03-02,13.3,14.2,13.1,13.4,400919.6,30026,20
EAST.N0000,2016-03-07,13.1,13.1,12.0,13.0,43788.1,3351,5
EAST.N0000,2016-03-08,13.0,13.0,12.8,12.8,2959.0,231,4
EAST.N0000,2016-03-09,12.9,13.0,12.9,12.9,129130.0,10010,8
EAST.N0000,2016-03-10,12.9,13.0,12.9,13.0,25900.0,2000,3
EAST.N0000,2016-03-13,12.5,12.5,12.5,13.0,137.5,11,1
EAST.N0000,2016-03-16,13.5,14.2,13.5,13.5,216902.0,16060,9
EAST.N0000,2016-03-17,12.4,14.2,12.4,12.5,44543.4,3556,6
EAST.N0000,2016-03-20,12.4,12.4,12.4,12.5,905.2,73,1
EAST.N0000,2016-03-23,12.5,13.6,12.4,12.4,80956.2,6515,10
EAST.N0000,2016-03-27,13.8,14.4,13.8,14.2,718380.9,50601,18
EAST.N0000,2016-03-28,12.4,12.4,12.4,12.4,12400.0,1000,1
EAST.N0000,2016-03-29,13.0,13.9,13.0,13.5,28843.0,2091,6
EAST.N0000,2016-03-31,13.2,13.9,13.2,13.5,277137.0,20530,8
EAST.N0000,2016-04-03,13.8,14.3,13.8,14.1,626698.2,44471,31
EAST.N0000,2016-04-04,14.1,15.0,14.0,14.4,666395.1,46520,46
EAST.N0000,2016-04-05,14.7,14.7,14.6,14.6,1607.0,110,2
EAST.N0000,2016-04-06,14.2,14.2,14.0,14.2,440772.0,31320,10
EAST.N0000,2016-04-07,14.0,14.0,13.6,13.9,98730.0,7100,15
EAST.N0000,2016-04-10,13.9,15.0,13.9,14.4,1069892.0,74300,25
EAST.N0000,2016-04-11,14.0,16.9,14.0,15.5,1472636.4,97094,35
EAST.N0000,2016-04-14,16.1,19.0,16.0,18.4,3156038.3,179300,122
EAST.N0000,2016-04-17,16.9,18.6,16.9,18.4,1400800.0,75664,33
EAST.N0000,2016-04-18,18.3,18.9,18.2,18.2,426943.7,23100,13
EAST.N0000,2016-04-21,18.0,18.0,18.0,18.2,180.0,10,1
EAST.N0000,2016-04-24,18.4,18.4,17.0,17.0,89770.0,5260,8
EAST.N0000,2016-04-25,16.6,16.6,16.3,16.3,202080.0,12250,9
EAST.N0000,2016-04-26,17.0,17.0,16.4,16.4,18254.3,1113,7
EAST.N0000,2016-04-27,16.4,16.9,16.0,16.0,596516.6,36966,23
EAST.N0000,2016-04-28,15.5,15.5,15.5,15.5,310000.0,20000,2
EAST.N0000,2016-05-02,16.5,16.8,16.5,16.6,29890.0,1800,6
EAST.N0000,2016-05-03,16.8,17.0,16.8,16.8,172060.0,10200,13
EAST.N0000,2016-05-04,15.9,16.0,15.9,15.9,189230.0,11900,11
EAST.N0000,2016-05-05,15.8,15.9,15.8,15.8,50568.0,3200,10
EAST.N0000,2016-05-08,15.9,15.9,15.8,15.8,47450.0,3000,4
EAST.N0000,2016-05-09,15.9,15.9,15.3,15.5,1086080.0,69890,19
EAST.N0000,2016-05-11,15.6,15.6,15.5,15.6,56875.0,3650,5
EAST.N0000,2016-05-12,15.5,17.5,15.5,16.5,184779.7,11482,18
EAST.N0000,2016-05-15,15.6,15.6,15.6,16.5,670.8,43,1
EAST.N0000,2016-05-16,16.0,17.5,16.0,17.0,96900.0,5800,12
