ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
EDEN.N0000,2016-01-03,17.5,17.6,17.5,17.5,28050.0,1600,3
EDEN.N0000,2016-01-04,17.5,17.6,17.5,17.6,74857.5,4277,6
EDEN.N0000,2016-01-05,17.6,19.6,17.6,17.6,643.6,36,3
EDEN.N0000,2016-01-06,19.3,19.3,19.3,17.6,19.3,1,1
EDEN.N0000,2016-01-07,17.7,17.7,17.6,17.7,58184.0,3290,5
EDEN.N0000,2016-01-10,17.6,18.0,17.1,17.1,90944.0,5211,8
EDEN.N0000,2016-01-11,17.2,17.2,16.0,16.8,18480.0,1100,6
EDEN.N0000,2016-01-12,17.5,17.5,16.0,16.8,35250.0,2100,3
EDEN.N0000,2016-01-13,17.8,17.8,17.0,17.0,88690.5,5217,10
EDEN.N0000,2016-01-17,16.5,16.5,16.3,16.4,16360.0,1000,3
EDEN.N0000,2016-01-18,17.0,17.0,15.8,16.1,83612.0,5151,7
EDEN.N0000,2016-01-19,15.8,16.7,15.5,15.7,42147.4,2669,8
EDEN.N0000,2016-01-20,16.5,16.5,16.5,16.5,136917.0,8298,4
EDEN.N0000,2016-01-21,16.8,16.8,16.8,16.5,16.8,1,1
EDEN.N0000,2016-01-25,16.8,16.8,16.0,16.0,48426.8,3026,5
EDEN.N0000,2016-01-26,16.0,16.0,16.0,16.0,257600.0,16100,9
EDEN.N0000,2016-01-27,16.2,16.2,16.2,16.2,3240.0,200,2
EDEN.N0000,2016-01-28,16.9,16.9,16.0,16.1,4445.9,276,4
EDEN.N0000,2016-02-01,17.6,17.6,17.0,17.0,17528.0,1030,2
EDEN.N0000,2016-02-02,17.6,17.6,16.2,16.2,37392.0,2220,4
EDEN.N0000,2016-02-07,16.2,16.2,16.0,16.1,52820.0,3293,7
EDEN.N0000,2016-02-08,16.0,16.0,16.0,16.0,4592.0,287,4
EDEN.N0000,2016-02-09,15.6,16.9,15.5,15.5,4258.5,274,6
EDEN.N0000,2016-02-10,17.5,17.5,15.5,15.5,1567.5,101,3
EDEN.N0000,2016-02-15,15.6,15.6,15.3,15.3,16885.0,1100,4
EDEN.N0000,2016-02-17,15.5,15.5,15.1,15.1,37729.0,2490,10
EDEN.N0000,2016-02-18,15.0,15.0,15.0,15.0,18780.0,1252,6
EDEN.N0000,2016-02-22,15.0,15.0,15.0,15.0,40500.0,2700,2
EDEN.N0000,2016-02-24,15.1,15.1,15.1,15.1,2265.0,150,2
EDEN.N0000,2016-02-25,16.0,16.0,16.0,15.1,16.0,1,1
EDEN.N0000,2016-02-28,15.6,16.0,15.3,15.3,63514.0,3999,5
EDEN.N0000,2016-02-29,15.3,15.5,15.3,15.3,270295.5,17651,11
EDEN.N0000,2016-03-01,15.5,15.6,15.4,15.5,249099.0,16058,6
EDEN.N0000,2016-03-02,15.4,15.4,15.4,15.5,908.6,59,1
EDEN.N0000,2016-03-03,15.5,15.5,15.4,15.4,9405.0,610,2
EDEN.N0000,2016-03-07,15.4,15.4,11.6,12.0,524742.0,35042,21
EDEN.N0000,2016-03-08,12.0,15.0,11.8,15.0,1669666.1,112525,45
EDEN.N0000,2016-03-10,14.9,14.9,14.9,15.0,14.9,1,1
EDEN.N0000,2016-03-13,14.9,16.1,13.0,15.9,551500.3,34853,24
EDEN.N0000,2016-03-15,15.5,16.0,15.5,15.8,317489.5,20109,7
EDEN.N0000,2016-03-16,15.6,15.6,15.5,15.5,107060.0,6900,4
EDEN.N0000,2016-03-17,15.5,16.1,15.5,16.0,123924.5,7749,10
EDEN.N0000,2016-03-20,16.5,16.6,16.5,16.5,10949.5,663,5
EDEN.N0000,2016-03-22,15.7,16.0,15.7,16.0,9570.0,600,2
EDEN.N0000,2016-03-27,16.5,16.5,16.1,16.1,24388.2,1502,6
EDEN.N0000,2016-03-28,16.1,16.1,15.7,16.0,53117.2,3320,10
EDEN.N0000,2016-03-29,15.9,16.0,15.5,16.0,132647.6,8460,10
EDEN.N0000,2016-03-30,16.0,16.0,15.7,16.0,9570.0,600,4
EDEN.N0000,2016-03-31,15.9,15.9,15.9,15.9,25758.0,1620,2
EDEN.N0000,2016-04-03,16.0,16.0,16.0,16.0,12800.0,800,2
EDEN.N0000,2016-04-04,16.5,16.5,16.5,16.5,8266.5,501,2
EDEN.N0000,2016-04-05,16.8,16.8,15.9,16.0,33803.5,2110,10
EDEN.N0000,2016-04-06,16.8,16.8,16.0,16.0,17856.8,1091,4
EDEN.N0000,2016-04-07,16.9,16.9,16.8,16.8,8921.9,531,5
EDEN.N0000,2016-04-10,16.2,16.2,16.0,16.2,8180.0,505,2
