ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
EMER.N0000,2016-01-03,9.0,9.0,9.0,8.8,90.0,10,1
EMER.N0000,2016-01-04,8.8,8.8,8.4,8.8,12140.6,1380,4
EMER.N0000,2016-01-05,8.7,8.9,8.5,8.5,17959.0,2110,7
EMER.N0000,2016-01-06,8.5,8.7,8.4,8.5,83100.0,9790,12
EMER.N0000,2016-01-07,8.4,8.4,8.3,8.4,69098.5,8295,8
EMER.N0000,2016-01-10,8.2,8.2,8.2,8.2,14333.6,1748,9
EMER.N0000,2016-01-11,8.1,8.1,7.6,7.7,406581.8,53093,11
EMER.N0000,2016-01-12,8.0,8.2,8.0,8.1,314270.0,38700,12
EMER.N0000,2016-01-13,7.5,7.5,7.5,7.5,750.0,100,1
EMER.N0000,2016-01-17,7.6,7.8,7.3,7.3,435912.3,58126,15
EMER.N0000,2016-01-18,7.7,8.0,6.9,7.0,905891.1,125525,38
EMER.N0000,2016-01-19,7.4,7.4,6.9,6.9,200283.9,28414,24
EMER.N0000,2016-01-20,7.2,7.4,7.0,7.2,309617.0,43430,23
EMER.N0000,2016-01-21,7.0,7.4,7.0,7.3,152383.0,21440,17
EMER.N0000,2016-01-24,7.0,7.3,7.0,7.2,1430.0,200,2
EMER.N0000,2016-01-26,7.3,7.3,6.9,6.9,113593.0,16410,12
EMER.N0000,2016-01-27,7.1,7.1,7.0,7.0,14170.0,2010,5
EMER.N0000,2016-01-28,6.9,7.0,6.9,7.0,148090.0,21215,17
EMER.N0000,2016-01-31,7.2,7.3,7.2,7.2,62958.2,8744,9
EMER.N0000,2016-02-01,7.3,7.4,7.3,7.3,88455.1,12117,17
EMER.N0000,2016-02-02,7.4,7.4,7.2,7.2,33491.8,4646,11
EMER.N0000,2016-02-04,7.3,7.4,7.2,7.2,67445.7,9309,12
EMER.N0000,2016-02-07,7.4,7.7,7.1,7.1,7992.0,1120,5
EMER.N0000,2016-02-08,7.2,7.2,7.0,7.0,216357.1,30751,24
EMER.N0000,2016-02-09,7.0,7.0,7.0,7.0,700.0,100,1
EMER.N0000,2016-02-10,6.9,7.2,6.7,6.8,153790.0,22600,17
EMER.N0000,2016-02-11,6.7,7.0,6.6,6.7,219300.3,32693,18
EMER.N0000,2016-02-14,6.7,6.9,6.6,6.6,335283.3,50609,20
EMER.N0000,2016-02-15,6.5,6.7,6.5,6.6,93164.0,14035,12
EMER.N0000,2016-02-16,6.6,6.6,6.5,6.6,371386.5,56794,21
