ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ETWO.N0000,2016-01-04,60.0,60.0,60.0,60.0,18000.0,300,1
ETWO.N0000,2016-01-05,58.4,67.7,58.3,63.7,22295.0,350,4
ETWO.N0000,2016-01-11,63.7,63.7,63.7,63.7,127.4,2,1
ETWO.N0000,2016-01-20,66.7,68.0,66.7,66.9,22070.0,330,3
ETWO.N0000,2016-01-21,62.0,62.0,62.0,62.0,37200.0,600,2
ETWO.N0000,2016-01-25,54.0,58.0,50.1,53.5,89722.0,1710,12
ETWO.N0000,2016-01-31,63.0,63.0,63.0,53.5,63.0,1,1
ETWO.N0000,2016-02-08,52.5,52.5,52.5,52.5,5250.0,100,1
ETWO.N0000,2016-02-09,62.9,62.9,62.9,62.9,6290.0,100,1
ETWO.N0000,2016-02-10,50.8,51.5,50.8,51.3,42110.9,822,7
ETWO.N0000,2016-02-11,58.0,58.0,58.0,51.3,58.0,1,1
ETWO.N0000,2016-02-14,57.8,57.9,52.0,56.3,95322.4,1802,5
ETWO.N0000,2016-02-16,55.5,55.5,55.5,55.5,5550.0,100,1
ETWO.N0000,2016-02-17,52.0,52.0,52.0,52.0,7800.0,150,2
ETWO.N0000,2016-02-18,52.0,52.0,52.0,52.0,5200.0,100,1
ETWO.N0000,2016-02-24,62.9,62.9,62.9,62.9,6290.0,100,1
ETWO.N0000,2016-03-09,55.0,66.7,55.0,63.6,8902.0,140,3
ETWO.N0000,2016-03-10,48.0,48.0,48.0,48.0,9600.0,200,1
ETWO.N0000,2016-03-14,59.9,59.9,59.9,59.9,5990.0,100,1
ETWO.N0000,2016-03-16,59.0,60.0,59.0,59.6,57740.0,969,7
ETWO.N0000,2016-03-20,65.6,65.6,65.6,65.6,6560.0,100,1
ETWO.N0000,2016-03-30,65.0,65.0,65.0,65.0,6500.0,100,1
ETWO.N0000,2016-04-03,68.0,68.0,68.0,68.0,6800.0,100,1
ETWO.N0000,2016-04-04,65.0,70.6,65.0,70.0,303109.8,4333,5
ETWO.N0000,2016-04-11,70.0,70.5,70.0,70.5,310040.0,4400,6
ETWO.N0000,2016-04-18,70.5,70.5,70.5,70.5,705.0,10,1
ETWO.N0000,2016-04-26,60.0,70.5,60.0,70.4,55103.0,783,5
ETWO.N0000,2016-04-27,74.0,74.0,74.0,74.0,74000.0,1000,1
ETWO.N0000,2016-04-28,75.0,75.0,75.0,75.0,52500.0,700,2
ETWO.N0000,2016-05-05,58.5,61.2,58.5,59.9,11970.0,200,3
ETWO.N0000,2016-05-16,60.1,60.1,60.1,60.1,6010.0,100,1
ETWO.N0000,2016-05-19,61.0,61.0,60.4,60.4,6043.0,100,2
ETWO.N0000,2016-05-29,71.5,71.5,71.5,60.4,143.0,2,1
ETWO.N0000,2016-05-30,72.0,72.0,72.0,60.4,576.0,8,1
