ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
GRAN.N0000,2016-01-03,91.5,92.0,90.0,91.3,1548088.7,16959,50
GRAN.N0000,2016-01-04,91.0,91.7,91.0,91.0,2327375.0,25574,33
GRAN.N0000,2016-01-05,90.5,91.0,89.9,91.0,2805698.2,30903,21
GRAN.N0000,2016-01-06,91.0,91.0,89.5,90.3,5466456.3,60695,53
GRAN.N0000,2016-01-07,89.0,90.0,86.6,88.7,2393593.9,27228,89
GRAN.N0000,2016-01-10,86.5,86.5,82.0,84.4,7527733.6,90017,141
GRAN.N0000,2016-01-11,84.0,86.0,80.2,81.0,7486145.8,91218,93
GRAN.N0000,2016-01-12,82.0,84.8,82.0,83.1,6724769.8,80599,127
GRAN.N0000,2016-01-13,84.5,84.5,80.0,80.5,2822606.1,35015,62
GRAN.N0000,2016-01-17,81.0,81.0,72.1,72.7,8586376.3,114418,168
GRAN.N0000,2016-01-18,74.5,75.0,62.0,72.6,23473581.5,341288,463
GRAN.N0000,2016-01-19,73.4,75.5,69.0,71.5,13759918.3,190449,268
GRAN.N0000,2016-01-20,72.9,83.6,72.0,82.8,39456999.7,498828,691
GRAN.N0000,2016-01-21,75.8,86.5,75.8,83.8,39069945.3,464923,547
GRAN.N0000,2016-01-24,85.0,85.0,80.5,84.1,11173917.6,134194,292
GRAN.N0000,2016-01-25,85.5,85.5,82.0,82.5,3644602.8,43736,85
GRAN.N0000,2016-01-26,81.3,84.0,81.2,82.0,2875021.2,34755,85
GRAN.N0000,2016-01-27,84.0,84.0,81.7,82.9,4570794.3,55506,53
GRAN.N0000,2016-01-28,84.1,86.8,84.1,86.1,11060975.2,128983,254
GRAN.N0000,2016-01-31,86.9,87.0,85.5,85.8,4981052.1,57979,76
GRAN.N0000,2016-02-01,86.1,87.3,85.6,87.2,35604226.3,409144,392
GRAN.N0000,2016-02-02,87.5,87.5,85.0,86.4,1902878.3,22065,67
GRAN.N0000,2016-02-04,86.1,87.7,84.6,87.0,7992731.4,92080,161
GRAN.N0000,2016-02-07,87.8,88.0,85.2,86.0,4170215.8,48261,89
GRAN.N0000,2016-02-08,85.5,85.5,82.5,83.6,3309085.7,39337,152
GRAN.N0000,2016-02-09,84.4,86.0,82.2,84.8,2136731.3,25384,56
GRAN.N0000,2016-02-10,84.9,84.9,82.6,83.6,1046017.2,12552,55
GRAN.N0000,2016-02-11,82.9,84.0,81.5,81.8,3209022.0,39119,139
GRAN.N0000,2016-02-14,81.0,82.1,78.2,79.0,4175181.4,52197,128
GRAN.N0000,2016-02-15,79.0,81.5,78.3,79.0,6734019.4,84134,135
GRAN.N0000,2016-02-16,80.0,80.9,76.2,78.0,1819006.9,23375,65
GRAN.N0000,2016-02-17,79.8,79.9,76.0,78.3,8057230.5,104901,199
GRAN.N0000,2016-02-18,78.0,80.6,77.5,79.9,4670442.1,58877,143
GRAN.N0000,2016-02-22,79.2,80.0,77.6,78.5,1195778.4,15236,39
GRAN.N0000,2016-02-23,79.0,79.0,77.0,77.4,2097173.0,27100,48
GRAN.N0000,2016-02-24,78.7,78.7,76.9,77.2,1278756.8,16562,18
GRAN.N0000,2016-02-25,79.9,81.0,76.7,77.1,14514989.0,184420,340
GRAN.N0000,2016-02-28,78.3,78.3,74.4,74.7,2508492.0,33361,98
GRAN.N0000,2016-02-29,77.5,77.5,70.1,70.5,6490281.6,91337,234
GRAN.N0000,2016-03-01,71.5,71.5,66.0,69.1,4618541.5,67132,156
GRAN.N0000,2016-03-02,68.0,69.5,66.1,67.4,5131992.3,76325,123
GRAN.N0000,2016-03-03,67.0,69.9,67.0,67.8,5401931.6,79160,110
GRAN.N0000,2016-03-07,66.5,66.5,60.1,60.9,8362056.5,134987,255
GRAN.N0000,2016-03-08,60.0,64.5,55.0,61.6,15585501.7,262921,359
GRAN.N0000,2016-03-09,62.0,71.0,62.0,69.2,19130022.1,284007,417
GRAN.N0000,2016-03-10,71.4,73.0,68.0,70.6,18110997.6,257554,385
GRAN.N0000,2016-03-13,70.5,70.5,66.5,67.9,6723110.1,99157,144
GRAN.N0000,2016-03-14,66.5,69.8,66.0,68.9,2303249.1,33826,83
GRAN.N0000,2016-03-15,67.5,72.0,67.5,71.3,12076353.0,170468,176
GRAN.N0000,2016-03-16,72.1,74.0,71.8,72.5,7355484.8,101111,121
GRAN.N0000,2016-03-17,71.0,71.1,68.7,70.6,7877113.6,112253,154
GRAN.N0000,2016-03-20,71.7,72.7,70.0,71.6,575737.4,8048,33
GRAN.N0000,2016-03-22,72.0,72.5,70.4,71.0,1450978.5,20470,21
GRAN.N0000,2016-03-23,71.0,72.4,70.2,71.0,1027659.0,14471,55
GRAN.N0000,2016-03-27,71.0,71.0,68.0,68.4,2551297.8,37151,56
GRAN.N0000,2016-03-28,68.0,68.0,65.9,67.5,2918288.9,43823,132
GRAN.N0000,2016-03-29,67.5,69.8,67.5,69.3,3203156.5,46487,126
GRAN.N0000,2016-03-30,69.0,70.0,68.4,68.9,3650057.9,52983,70
GRAN.N0000,2016-03-31,70.0,71.9,70.0,71.5,3562094.2,50000,91
GRAN.N0000,2016-04-03,71.8,72.6,71.5,71.9,4423329.9,61351,127
GRAN.N0000,2016-04-04,72.8,77.5,72.8,77.1,37669238.1,495562,559
GRAN.N0000,2016-04-05,78.0,79.0,76.3,77.5,19894181.1,255983,305
GRAN.N0000,2016-04-06,78.0,79.7,77.0,78.8,13357553.3,169188,175
GRAN.N0000,2016-04-07,79.9,81.7,78.0,78.5,20589624.7,258513,240
GRAN.N0000,2016-04-10,79.5,79.8,76.8,78.8,8846884.4,113032,188
GRAN.N0000,2016-04-11,79.0,80.5,79.0,80.2,27274905.5,341604,205
GRAN.N0000,2016-04-14,80.8,82.0,80.8,80.8,3811199.8,46779,84
GRAN.N0000,2016-04-17,80.8,81.0,78.9,80.8,2338230.6,29337,80
GRAN.N0000,2016-04-18,79.0,80.9,79.0,79.6,984082.8,12323,36
