ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
GREG.N0000,2016-01-03,12.5,12.5,12.0,12.1,718773.8,59168,19
GREG.N0000,2016-01-04,12.3,12.3,11.9,12.0,2123621.0,176970,25
GREG.N0000,2016-01-05,11.9,12.0,11.8,11.9,464567.5,38825,19
GREG.N0000,2016-01-06,11.9,11.9,11.7,11.8,1165237.8,98487,37
GREG.N0000,2016-01-07,11.9,11.9,11.5,11.6,2993947.6,257004,26
GREG.N0000,2016-01-10,11.3,11.5,11.1,11.3,1024876.8,91888,29
GREG.N0000,2016-01-11,11.2,11.7,10.7,11.5,38371170.1,3355370,110
GREG.N0000,2016-01-12,11.5,11.9,11.3,11.5,669070.0,58086,17
GREG.N0000,2016-01-13,11.4,11.4,11.0,11.0,736980.0,66820,13
GREG.N0000,2016-01-17,11.0,11.0,10.5,10.6,1606643.6,149390,33
GREG.N0000,2016-01-18,10.5,10.9,10.5,10.6,622403.0,59010,23
GREG.N0000,2016-01-19,10.6,11.2,10.6,11.0,29508421.0,2682541,70
GREG.N0000,2016-01-20,11.1,11.2,10.9,11.1,310815.0,28250,14
GREG.N0000,2016-01-21,11.0,11.1,11.0,11.0,1188350.0,107990,16
GREG.N0000,2016-01-24,11.0,11.0,10.8,10.9,2725234.0,248401,29
GREG.N0000,2016-01-25,10.9,11.2,10.8,11.0,2865445.4,262792,23
GREG.N0000,2016-01-26,10.8,11.1,10.7,10.7,295276.0,27520,14
GREG.N0000,2016-01-27,10.8,11.1,10.8,10.9,110812.1,10171,9
GREG.N0000,2016-01-28,11.0,11.1,11.0,11.0,226138.8,20558,9
GREG.N0000,2016-01-31,11.1,11.2,11.1,11.2,12315.0,1100,3
GREG.N0000,2016-02-01,10.8,11.5,10.8,11.3,93205.6,8263,11
GREG.N0000,2016-02-02,11.0,11.0,11.0,11.0,164549.0,14959,1
GREG.N0000,2016-02-04,11.0,11.3,10.9,11.0,147410.0,13400,9
GREG.N0000,2016-02-07,11.0,11.0,10.9,11.0,239651.8,21802,7
GREG.N0000,2016-02-08,10.8,11.1,10.8,10.9,111726.4,10333,7
GREG.N0000,2016-02-09,11.0,11.0,10.9,10.9,31621.0,2901,4
GREG.N0000,2016-02-10,10.8,11.0,10.8,10.8,68149.2,6299,7
GREG.N0000,2016-02-11,10.7,10.8,10.5,10.5,2918294.1,276463,44
GREG.N0000,2016-02-14,10.6,10.6,10.2,10.3,67904.0,6510,14
GREG.N0000,2016-02-15,10.5,10.7,10.2,10.3,276640.9,26736,28
GREG.N0000,2016-02-16,10.3,10.3,10.3,10.3,30900.0,3000,3
GREG.N0000,2016-02-17,10.6,10.6,10.0,10.2,832435.1,82279,31
GREG.N0000,2016-02-18,10.1,10.5,10.1,10.3,1518337.9,146927,31
GREG.N0000,2016-02-22,10.5,10.5,10.5,10.5,18763.5,1787,2
GREG.N0000,2016-02-23,10.2,10.5,10.1,10.1,521493.0,51530,34
GREG.N0000,2016-02-24,10.4,10.4,10.1,10.3,129005.4,12442,11
GREG.N0000,2016-02-25,10.0,10.2,10.0,10.0,729860.0,72974,21
GREG.N0000,2016-02-28,10.3,10.3,9.9,10.1,522830.0,51850,39
GREG.N0000,2016-02-29,10.0,10.3,10.0,10.0,9525114.4,951358,42
GREG.N0000,2016-03-01,10.0,10.0,9.6,9.9,246152.5,25195,16
GREG.N0000,2016-03-02,9.6,10.0,9.6,10.0,1048623.2,106674,28
GREG.N0000,2016-03-03,9.9,10.2,9.7,9.8,632133.7,64111,28
GREG.N0000,2016-03-07,9.8,9.8,9.5,9.5,1411944.5,148259,24
GREG.N0000,2016-03-08,9.5,9.6,9.5,9.5,16018938.5,1686203,65
GREG.N0000,2016-03-09,9.5,9.7,9.5,9.6,61236.4,6359,7
GREG.N0000,2016-03-10,9.8,10.0,9.7,9.9,3631740.8,366264,14
GREG.N0000,2016-03-13,10.0,10.0,9.6,9.6,370194.0,37520,10
GREG.N0000,2016-03-14,9.9,9.9,9.5,9.5,9602.1,1010,4
GREG.N0000,2016-03-15,9.6,10.0,9.5,9.9,328714.8,33521,9
GREG.N0000,2016-03-16,10.2,10.3,9.8,9.8,85840.0,8700,12
GREG.N0000,2016-03-17,9.8,10.2,9.8,10.0,689603.2,70058,12
GREG.N0000,2016-03-20,10.0,10.0,9.9,10.0,568510.0,57051,14
