ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HAYC.N0000,2016-01-03,164.8,164.8,164.8,164.9,329.6,2,2
HAYC.N0000,2016-01-05,160.0,164.8,160.0,164.9,9648.0,60,11
HAYC.N0000,2016-01-10,158.9,164.8,158.0,159.0,18760.7,118,13
HAYC.N0000,2016-01-11,158.0,158.1,155.0,156.7,710913.0,4532,8
HAYC.N0000,2016-01-12,163.9,163.9,163.9,156.7,327.8,2,2
HAYC.N0000,2016-01-17,155.1,155.2,155.0,155.0,466186.0,3007,8
HAYC.N0000,2016-01-18,152.0,159.9,150.8,151.1,619659.9,4101,5
HAYC.N0000,2016-01-19,151.2,151.2,151.1,151.1,463221.5,3065,2
HAYC.N0000,2016-01-20,151.2,151.2,151.2,151.2,453600.0,3000,1
HAYC.N0000,2016-01-25,152.1,153.0,152.1,152.1,379498.5,2495,4
HAYC.N0000,2016-01-26,152.2,152.2,152.2,152.1,7610.0,50,1
HAYC.N0000,2016-02-08,154.3,156.0,154.3,152.1,5409.0,35,2
HAYC.N0000,2016-02-14,156.0,156.0,156.0,152.1,156.0,1,1
HAYC.N0000,2016-02-16,156.0,156.0,155.1,155.1,775503.6,5000,4
HAYC.N0000,2016-02-17,157.0,174.8,157.0,158.6,17448.0,110,4
HAYC.N0000,2016-02-28,152.1,152.1,152.1,158.6,152.1,1,1
HAYC.N0000,2016-02-29,152.1,152.1,152.0,152.0,121601.4,800,5
HAYC.N0000,2016-03-03,152.0,152.0,152.0,152.0,20672.0,136,1
HAYC.N0000,2016-03-07,152.0,152.0,150.1,152.0,55478.1,365,5
HAYC.N0000,2016-03-08,150.1,150.1,150.1,152.0,5403.6,36,1
HAYC.N0000,2016-03-13,152.1,155.0,152.1,155.0,236454.6,1526,4
HAYC.N0000,2016-03-14,152.0,152.0,150.2,152.0,155004.0,1020,3
HAYC.N0000,2016-03-15,150.1,150.1,150.1,152.0,7805.2,52,1
HAYC.N0000,2016-03-17,170.0,170.0,170.0,152.0,170.0,1,1
HAYC.N0000,2016-03-27,153.0,158.0,153.0,153.0,1310612.0,8564,10
HAYC.N0000,2016-03-28,152.6,152.6,152.6,153.0,152.6,1,1
HAYC.N0000,2016-03-30,169.9,170.0,160.0,160.0,808759.6,5042,14
HAYC.N0000,2016-03-31,162.0,162.0,162.0,162.0,324000.0,2000,4
HAYC.N0000,2016-04-03,162.0,162.0,161.5,161.9,2002932.0,12368,6
HAYC.N0000,2016-04-04,162.0,162.0,162.0,162.0,81000.0,500,1
HAYC.N0000,2016-04-05,162.0,162.0,162.0,162.0,712962.0,4401,5
HAYC.N0000,2016-04-07,165.0,165.0,165.0,162.0,6270.0,38,4
HAYC.N0000,2016-04-11,165.0,168.0,165.0,165.1,993215.0,6011,8
HAYC.N0000,2016-04-17,165.0,165.0,165.0,165.0,673200.0,4080,10
HAYC.N0000,2016-04-18,165.0,167.0,165.0,165.0,249170.0,1510,5
HAYC.N0000,2016-04-19,165.0,165.0,165.0,165.0,147840.0,896,3
HAYC.N0000,2016-04-21,167.0,167.0,167.0,165.0,2338.0,14,3
HAYC.N0000,2016-04-25,165.2,165.2,165.2,165.0,4460.4,27,3
HAYC.N0000,2016-04-26,165.2,167.0,165.2,165.0,15035.0,91,2
HAYC.N0000,2016-04-27,165.3,167.0,165.3,165.5,111705.0,675,2
HAYC.N0000,2016-04-28,167.0,167.0,167.0,165.5,501.0,3,3
HAYC.N0000,2016-05-02,167.0,180.0,167.0,180.0,216336.9,1202,5
HAYC.N0000,2016-05-03,179.8,179.9,178.9,180.0,4666.5,26,9
HAYC.N0000,2016-05-05,178.9,178.9,178.8,180.0,3935.3,22,9
HAYC.N0000,2016-05-08,170.0,174.9,167.0,180.0,14620.6,87,12
HAYC.N0000,2016-05-09,168.0,174.4,168.0,180.0,2377.6,14,5
HAYC.N0000,2016-05-11,170.0,174.5,170.0,170.0,54234.5,319,3
HAYC.N0000,2016-05-12,174.9,174.9,174.9,170.0,1749.0,10,3
HAYC.N0000,2016-05-17,174.9,180.0,174.9,180.0,1496747.4,8410,24
HAYC.N0000,2016-05-18,180.0,180.0,170.1,174.9,910160.2,5199,12
