ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HAYL.N0000,2016-01-03,307.1,309.0,307.0,307.0,1694300.7,5518,26
HAYL.N0000,2016-01-04,307.0,307.7,307.0,307.1,3171645.0,10331,18
HAYL.N0000,2016-01-05,307.0,310.0,307.0,307.1,2035455.4,6629,26
HAYL.N0000,2016-01-06,307.0,307.1,307.0,307.0,1034303.0,3369,15
HAYL.N0000,2016-01-07,307.0,307.0,306.8,306.8,2482014.6,8086,25
HAYL.N0000,2016-01-10,307.0,308.0,307.0,307.0,13453354.0,43820,65
HAYL.N0000,2016-01-11,306.1,307.0,306.1,306.1,27737632.0,90433,43
HAYL.N0000,2016-01-12,305.0,306.0,302.0,304.2,2009463.7,6583,27
HAYL.N0000,2016-01-13,302.0,302.1,302.0,302.0,6820067.0,22583,36
HAYL.N0000,2016-01-17,300.2,300.2,300.0,300.0,4813215.2,16044,58
HAYL.N0000,2016-01-18,299.1,300.0,299.0,299.6,13875038.2,46322,37
HAYL.N0000,2016-01-19,299.9,299.9,298.0,298.0,1038498.0,3483,17
HAYL.N0000,2016-01-20,297.9,298.0,297.9,297.9,4267650.0,14325,4
HAYL.N0000,2016-01-21,298.0,298.1,298.0,298.0,582650.0,1955,10
HAYL.N0000,2016-01-24,298.0,300.0,298.0,299.5,4588330.7,15396,16
HAYL.N0000,2016-01-25,295.1,295.1,295.0,295.0,1145787.5,3884,10
HAYL.N0000,2016-01-26,299.0,299.0,299.0,295.0,28704.0,96,3
HAYL.N0000,2016-01-27,294.0,294.0,290.0,290.2,11093698.6,38231,28
HAYL.N0000,2016-01-28,290.4,293.9,290.4,290.8,904794.7,3113,12
HAYL.N0000,2016-01-31,295.0,295.0,290.0,290.3,1405412.2,4825,35
HAYL.N0000,2016-02-01,290.3,295.0,290.0,290.1,1431879.5,4937,27
HAYL.N0000,2016-02-02,290.1,291.0,290.0,290.0,1989431.0,6860,13
HAYL.N0000,2016-02-04,290.1,292.0,290.1,290.2,317472.4,1094,9
HAYL.N0000,2016-02-07,290.3,290.3,290.0,290.0,672851.0,2320,16
HAYL.N0000,2016-02-08,290.0,290.0,290.0,290.0,1706940.0,5886,13
HAYL.N0000,2016-02-09,290.0,290.0,290.0,290.0,218370.0,753,5
HAYL.N0000,2016-02-10,290.0,290.0,289.5,289.5,4056856.5,14013,14
HAYL.N0000,2016-02-11,287.0,287.0,285.0,285.4,54790.5,192,10
HAYL.N0000,2016-02-14,285.2,285.2,280.5,282.1,1146207.0,4042,23
HAYL.N0000,2016-02-15,281.0,281.0,275.0,275.5,5948929.3,21522,34
HAYL.N0000,2016-02-16,275.1,280.0,270.0,271.4,4002157.4,14634,32
HAYL.N0000,2016-02-17,270.2,270.2,270.0,270.0,928261.1,3438,11
HAYL.N0000,2016-02-18,270.0,275.0,270.0,275.0,1771980.0,6559,8
HAYL.N0000,2016-02-22,274.5,274.5,270.0,270.4,1985552.7,7341,25
HAYL.N0000,2016-02-23,270.0,275.0,270.0,270.0,244725.0,906,7
HAYL.N0000,2016-02-24,270.1,271.1,269.0,270.6,1155236.0,4270,18
HAYL.N0000,2016-02-25,270.0,270.0,270.0,270.0,79920.0,296,4
HAYL.N0000,2016-02-28,270.0,270.0,266.0,266.4,247405.0,924,19
HAYL.N0000,2016-02-29,266.0,266.0,265.1,265.1,5213563.6,19666,19
HAYL.N0000,2016-03-01,265.0,265.0,260.0,260.5,258188.2,987,22
HAYL.N0000,2016-03-02,260.0,260.0,257.5,257.5,1596647.5,6200,7
HAYL.N0000,2016-03-03,257.5,257.5,256.5,256.9,36049205.0,129395,30
HAYL.N0000,2016-03-07,256.9,256.9,240.0,240.0,2196192.0,9029,47
HAYL.N0000,2016-03-08,240.0,240.0,238.0,238.0,337018.4,1416,16
HAYL.N0000,2016-03-09,239.0,244.9,237.5,240.0,54134722.5,227418,27
HAYL.N0000,2016-03-10,240.0,250.0,240.0,245.3,364474.0,1500,16
HAYL.N0000,2016-03-13,245.3,245.3,238.3,240.0,884831.4,3690,16
HAYL.N0000,2016-03-14,240.1,245.0,240.0,241.8,510166.5,2121,10
HAYL.N0000,2016-03-15,240.1,240.1,240.0,240.0,51363.5,214,5
HAYL.N0000,2016-03-16,240.1,245.0,240.0,242.7,1312920.8,5456,22
HAYL.N0000,2016-03-17,242.5,245.0,242.0,244.6,1127123.3,4622,16
HAYL.N0000,2016-03-20,245.1,250.0,245.0,245.5,371395.0,1513,6
HAYL.N0000,2016-03-22,245.0,245.1,245.0,245.0,1420620.0,5798,14
HAYL.N0000,2016-03-23,245.0,248.0,242.0,245.0,2153661.7,8794,21
HAYL.N0000,2016-03-27,248.0,248.0,245.0,245.0,851665.1,3476,6
HAYL.N0000,2016-03-28,245.0,245.1,245.0,245.0,498584.2,2035,14
HAYL.N0000,2016-03-29,245.0,245.0,245.0,245.0,1574615.0,6427,11
HAYL.N0000,2016-03-30,245.0,248.0,245.0,245.7,1046921.2,4264,13
HAYL.N0000,2016-03-31,246.0,248.0,245.0,246.9,695097.7,2820,14
HAYL.N0000,2016-04-03,246.0,250.0,246.0,250.0,2806231.8,11260,33
HAYL.N0000,2016-04-04,250.0,250.0,250.0,250.0,822500.0,3290,11
HAYL.N0000,2016-04-05,255.0,259.0,255.0,255.0,1823019.0,7149,22
HAYL.N0000,2016-04-06,255.1,260.0,255.0,259.8,907169.5,3526,18
HAYL.N0000,2016-04-07,264.0,264.0,260.0,260.1,2705285.0,10398,33
HAYL.N0000,2016-04-10,258.0,258.1,258.0,258.0,132870.5,515,5
HAYL.N0000,2016-04-11,257.0,264.0,257.0,261.9,12564775.0,47975,15
HAYL.N0000,2016-04-14,262.2,266.0,262.2,265.3,4887624.0,18557,23
HAYL.N0000,2016-04-17,265.0,270.0,265.0,265.0,1362480.0,5136,12
HAYL.N0000,2016-04-18,269.5,269.5,265.0,265.1,3778440.0,14257,22
HAYL.N0000,2016-04-19,263.0,265.0,263.0,265.0,1340780.0,5060,3
HAYL.N0000,2016-04-21,267.0,269.9,263.2,263.2,290870.6,1104,15
HAYL.N0000,2016-04-24,264.0,264.0,263.0,263.6,1475592.8,5606,21
HAYL.N0000,2016-04-25,263.0,265.0,263.0,265.0,124283.0,469,3
HAYL.N0000,2016-04-26,269.0,269.0,264.0,264.1,89265.0,338,7
HAYL.N0000,2016-04-27,265.0,268.0,265.0,265.6,2259398.0,8509,8
HAYL.N0000,2016-04-28,265.0,272.0,265.0,271.5,28830025.0,107943,18
HAYL.N0000,2016-05-02,271.6,275.0,271.5,275.0,2786129.8,10153,19
HAYL.N0000,2016-05-03,275.1,285.0,275.0,275.0,1175512.5,4273,14
HAYL.N0000,2016-05-04,275.0,285.0,275.0,285.0,5881601.0,20824,28
HAYL.N0000,2016-05-05,276.0,281.2,276.0,281.0,171763.0,614,7
HAYL.N0000,2016-05-08,276.7,280.0,276.7,280.0,41835.0,150,3
HAYL.N0000,2016-05-09,280.0,282.0,280.0,280.0,721620.0,2577,8
HAYL.N0000,2016-05-10,280.0,290.0,280.0,290.0,5256014.0,18131,17
HAYL.N0000,2016-05-11,290.0,290.0,280.0,280.0,453012.5,1617,17
HAYL.N0000,2016-05-12,284.9,285.0,280.0,280.0,234159.5,836,11
HAYL.N0000,2016-05-15,285.0,285.0,280.0,285.0,3433228.5,12085,15
HAYL.N0000,2016-05-16,281.0,285.0,280.0,285.0,1751748.0,6149,15
HAYL.N0000,2016-05-17,285.0,286.0,285.0,285.1,1954125.6,6856,17
HAYL.N0000,2016-05-18,287.0,290.2,287.0,290.0,3415773.1,11780,26
HAYL.N0000,2016-05-19,290.0,290.0,290.0,290.0,29000.0,100,2
HAYL.N0000,2016-05-23,290.0,290.0,283.0,285.3,1515177.7,5311,16
HAYL.N0000,2016-05-24,288.0,291.0,285.0,289.7,5264705.1,18214,37
HAYL.N0000,2016-05-25,291.0,291.0,290.0,290.0,378990.0,1306,8
HAYL.N0000,2016-05-26,290.0,290.5,290.0,290.4,361985.0,1248,18
HAYL.N0000,2016-05-29,290.1,290.1,290.0,290.0,774656.9,2671,12
HAYL.N0000,2016-05-30,290.0,290.0,288.0,290.0,1962520.0,6768,10
HAYL.N0000,2016-05-31,290.0,290.0,288.0,289.7,881440.0,3040,18
