ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HDFC.N0000,2016-01-04,67.2,70.0,67.2,67.2,114660.0,1706,5
HDFC.N0000,2016-01-05,67.2,68.3,65.0,65.1,1689778.0,25818,27
HDFC.N0000,2016-01-06,65.1,65.1,64.0,65.0,1210130.0,18616,12
HDFC.N0000,2016-01-07,64.5,66.5,64.5,65.0,282860.0,4350,13
HDFC.N0000,2016-01-10,65.0,65.8,61.0,61.3,21707.8,351,5
HDFC.N0000,2016-01-11,63.0,63.0,59.0,59.8,626056.0,10410,20
HDFC.N0000,2016-01-12,58.0,65.0,58.0,60.5,886644.5,14683,15
HDFC.N0000,2016-01-13,58.0,60.5,58.0,58.3,158695.0,2728,12
HDFC.N0000,2016-01-17,59.0,59.0,50.0,50.3,1473418.0,29101,57
HDFC.N0000,2016-01-18,53.5,55.0,49.1,53.1,2012310.4,39075,79
HDFC.N0000,2016-01-19,55.6,55.6,54.0,55.0,233582.0,4248,4
HDFC.N0000,2016-01-20,55.5,60.0,55.5,59.6,3030868.2,51026,37
HDFC.N0000,2016-01-21,60.1,62.5,59.5,59.8,54254.7,877,11
HDFC.N0000,2016-01-24,56.7,59.9,56.5,57.2,140491.0,2470,7
HDFC.N0000,2016-01-25,57.2,57.2,56.4,56.4,56916.8,1009,6
HDFC.N0000,2016-01-26,57.0,57.0,56.3,56.3,141030.0,2500,5
HDFC.N0000,2016-01-27,55.2,55.3,55.2,56.3,5244.5,95,2
HDFC.N0000,2016-01-28,57.2,59.9,57.2,59.9,445424.3,7464,23
HDFC.N0000,2016-01-31,59.9,59.9,55.1,55.4,40702.0,720,8
HDFC.N0000,2016-02-01,55.5,56.1,55.5,56.1,72450.0,1300,3
HDFC.N0000,2016-02-02,59.3,59.3,59.3,59.3,5930.0,100,2
HDFC.N0000,2016-02-04,59.5,60.5,57.0,60.0,34866.3,585,6
HDFC.N0000,2016-02-07,61.5,61.5,57.0,57.0,71560.0,1255,6
HDFC.N0000,2016-02-08,58.0,58.0,56.0,57.0,2902300.0,50912,29
HDFC.N0000,2016-02-09,58.0,60.0,58.0,59.2,111900.0,1890,6
HDFC.N0000,2016-02-10,55.8,57.0,55.6,57.0,10246.4,180,7
HDFC.N0000,2016-02-14,55.7,55.7,54.6,54.6,372506.6,6761,15
HDFC.N0000,2016-02-15,55.0,55.0,54.5,54.5,362432.7,6605,14
HDFC.N0000,2016-02-16,55.0,55.0,53.0,53.0,214807.5,4001,11
HDFC.N0000,2016-02-17,55.9,55.9,53.0,53.0,647466.0,12204,14
HDFC.N0000,2016-02-18,53.0,54.0,52.5,53.0,849496.0,15982,35
HDFC.N0000,2016-02-22,52.5,53.0,52.5,53.0,44925.0,850,5
HDFC.N0000,2016-02-23,52.0,53.5,51.9,52.0,18735.0,358,9
