ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HSIG.N0000,2016-01-03,113.9,113.9,113.9,100.0,1139.0,10,1
HSIG.N0000,2016-01-04,113.9,113.9,113.9,100.0,113.9,1,1
HSIG.N0000,2016-01-05,113.9,113.9,113.9,100.0,1025.1,9,1
HSIG.N0000,2016-01-10,103.0,103.0,103.0,103.0,51912.0,504,3
HSIG.N0000,2016-01-13,107.0,107.0,107.0,103.0,107.0,1,1
HSIG.N0000,2016-01-17,95.0,95.0,95.0,95.0,47500.0,500,1
HSIG.N0000,2016-01-19,94.1,94.1,94.0,95.0,1129.1,12,3
HSIG.N0000,2016-01-20,94.0,94.0,94.0,94.0,28200.0,300,5
HSIG.N0000,2016-01-24,95.0,95.0,95.0,94.0,8740.0,92,1
HSIG.N0000,2016-01-25,94.2,94.2,94.2,94.0,188.4,2,1
HSIG.N0000,2016-02-01,99.0,99.0,99.0,99.0,39402.0,398,4
HSIG.N0000,2016-02-02,99.9,101.0,99.9,100.2,57992.1,579,3
HSIG.N0000,2016-02-04,97.1,97.1,94.0,95.9,115023.0,1200,7
HSIG.N0000,2016-02-09,100.4,100.4,100.4,95.9,100.4,1,1
HSIG.N0000,2016-02-14,99.5,100.8,95.5,99.9,98629.4,987,6
HSIG.N0000,2016-02-15,100.0,100.0,100.0,99.9,8900.0,89,1
HSIG.N0000,2016-02-17,100.0,100.0,100.0,100.0,70100.0,701,9
HSIG.N0000,2016-02-23,100.5,100.5,100.5,100.5,20100.0,200,2
HSIG.N0000,2016-02-28,96.5,96.5,96.5,100.5,96.5,1,1
HSIG.N0000,2016-03-02,96.6,96.6,96.5,96.5,22301.6,231,5
HSIG.N0000,2016-03-07,95.6,96.0,95.6,96.0,23231.2,242,5
HSIG.N0000,2016-03-17,101.0,101.0,101.0,96.0,202.0,2,1
HSIG.N0000,2016-04-03,100.0,100.0,100.0,96.0,100.0,1,1
HSIG.N0000,2016-04-07,96.0,96.5,96.0,96.5,20740.0,215,4
HSIG.N0000,2016-04-11,107.9,107.9,107.9,96.5,107.9,1,1
HSIG.N0000,2016-04-17,104.9,106.0,104.9,96.5,1058.9,10,2
HSIG.N0000,2016-04-19,97.0,97.0,97.0,97.0,630500.0,6500,1
HSIG.N0000,2016-04-24,105.0,105.0,105.0,97.0,105.0,1,1
HSIG.N0000,2016-04-25,97.5,100.0,97.5,97.5,195200.0,2002,3
HSIG.N0000,2016-04-26,106.0,107.9,95.0,95.5,19300.8,202,5
HSIG.N0000,2016-04-27,107.0,107.0,106.9,95.5,5345.1,50,5
HSIG.N0000,2016-04-28,107.0,107.0,107.0,95.5,107.0,1,1
HSIG.N0000,2016-05-03,107.0,107.0,107.0,95.5,642.0,6,2
HSIG.N0000,2016-05-09,105.0,105.0,102.0,95.5,8355.0,81,3
HSIG.N0000,2016-05-15,100.0,100.0,100.0,95.5,1000.0,10,1
HSIG.N0000,2016-05-17,96.6,96.6,96.6,96.6,9660.0,100,2
HSIG.N0000,2016-05-18,100.0,100.0,100.0,96.6,100.0,1,1
HSIG.N0000,2016-05-19,102.1,120.5,102.1,117.7,945353.6,8152,89
HSIG.N0000,2016-05-23,120.5,120.7,114.0,114.6,6018074.1,52495,76
HSIG.N0000,2016-05-24,120.5,124.9,114.0,114.5,1045418.2,9056,47
HSIG.N0000,2016-05-25,117.9,118.0,117.9,117.9,58960.0,500,5
HSIG.N0000,2016-05-26,115.0,115.0,114.0,114.0,232372.7,2026,13
HSIG.N0000,2016-05-29,114.5,114.5,114.5,114.5,11450.0,100,1
HSIG.N0000,2016-05-30,117.0,117.0,115.0,115.5,46200.0,400,3
HSIG.N0000,2016-05-31,114.4,114.4,114.3,114.3,127105.4,1112,10
HSIG.N0000,2016-06-01,115.0,115.0,115.0,115.0,29670.0,258,4
HSIG.N0000,2016-06-02,115.0,116.5,115.0,115.0,3706710.0,32232,9
HSIG.N0000,2016-06-05,118.0,118.0,118.0,115.0,6018.0,51,2
HSIG.N0000,2016-06-06,115.5,115.5,115.0,115.0,1161560.0,10100,8
HSIG.N0000,2016-06-07,118.0,118.0,115.5,117.7,47778.0,406,8
HSIG.N0000,2016-06-08,118.0,119.0,118.0,118.8,39453.9,332,16
HSIG.N0000,2016-06-09,119.0,119.0,118.9,119.0,22482.1,189,7
HSIG.N0000,2016-06-12,116.0,118.9,116.0,116.2,36918.8,318,6
HSIG.N0000,2016-06-13,116.0,117.9,116.0,116.0,80753.4,696,10
HSIG.N0000,2016-06-14,115.6,115.6,115.0,115.0,93156.0,810,4
HSIG.N0000,2016-06-15,115.0,115.0,114.0,114.3,15425.0,135,4
HSIG.N0000,2016-06-19,116.8,116.8,110.0,110.0,16445559.0,149441,42
HSIG.N0000,2016-06-20,114.9,114.9,112.9,112.9,231644.9,2051,3
HSIG.N0000,2016-06-21,114.2,114.2,114.2,112.9,9136.0,80,1
HSIG.N0000,2016-06-22,111.3,111.3,111.0,111.1,46677.3,420,5
HSIG.N0000,2016-06-23,114.0,114.0,111.0,111.7,11957.0,107,5
HSIG.N0000,2016-06-26,111.0,111.0,111.0,111.0,55500.0,500,1
HSIG.N0000,2016-06-28,111.0,112.9,110.0,110.8,142250.7,1283,3
HSIG.N0000,2016-06-29,110.0,110.0,105.0,106.3,21040.0,198,4
HSIG.N0000,2016-06-30,118.9,118.9,114.9,106.3,1505.7,13,3
HSIG.N0000,2016-07-03,118.8,118.8,110.0,110.0,23991.5,217,8
HSIG.N0000,2016-07-06,110.0,110.0,102.0,104.6,112947.8,1080,10
HSIG.N0000,2016-07-07,117.3,117.3,117.3,117.3,11847.3,101,2
HSIG.N0000,2016-07-10,117.4,117.4,115.0,117.3,3224.8,28,4
HSIG.N0000,2016-07-11,115.0,117.3,110.2,117.3,8985.5,81,5
HSIG.N0000,2016-07-12,117.4,117.4,116.0,117.3,5151.5,44,9
HSIG.N0000,2016-07-13,117.0,117.0,117.0,117.0,25155.0,215,4
HSIG.N0000,2016-07-14,117.0,117.0,117.0,117.0,14976.0,128,5
HSIG.N0000,2016-07-17,117.0,117.0,117.0,117.0,8424.0,72,2
HSIG.N0000,2016-07-19,117.0,117.0,113.0,117.0,281714.7,2477,15
HSIG.N0000,2016-07-21,117.0,122.0,117.0,120.0,162065.8,1358,10
HSIG.N0000,2016-07-28,111.0,111.0,109.0,109.0,73633.0,673,10
HSIG.N0000,2016-07-31,110.0,110.0,109.0,109.9,15828.9,144,4
HSIG.N0000,2016-08-03,109.0,109.0,109.0,109.9,1090.0,10,1
HSIG.N0000,2016-08-04,109.0,109.0,108.0,108.3,163895.0,1505,11
HSIG.N0000,2016-08-07,108.0,108.0,107.9,108.0,97190.0,900,6
HSIG.N0000,2016-08-08,108.0,108.0,105.0,108.0,2886.0,27,2
HSIG.N0000,2016-08-09,103.0,105.0,103.0,103.2,210631.2,2041,11
HSIG.N0000,2016-08-10,102.2,102.2,100.0,100.1,21022.0,210,5
