ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
HUNT.N0000,2016-01-03,429.9,439.0,429.9,430.4,90819.9,211,3
HUNT.N0000,2016-01-04,410.0,410.0,405.6,430.4,3249.2,8,2
HUNT.N0000,2016-01-05,410.1,420.0,410.0,430.4,21333.5,52,4
HUNT.N0000,2016-01-06,430.0,434.8,420.0,426.0,56276.8,132,13
HUNT.N0000,2016-01-07,420.0,420.0,420.0,426.0,9240.0,22,3
HUNT.N0000,2016-01-10,420.0,425.0,410.0,410.1,718835.0,1722,12
HUNT.N0000,2016-01-11,420.0,420.0,400.1,409.1,227495.2,556,8
HUNT.N0000,2016-01-12,422.0,422.0,422.0,409.1,422.0,1,1
HUNT.N0000,2016-01-13,409.1,409.1,400.0,400.2,119290.3,298,11
HUNT.N0000,2016-01-17,420.0,420.0,390.0,394.2,95020.0,241,4
HUNT.N0000,2016-01-18,394.2,410.0,390.0,390.3,78452.0,201,3
HUNT.N0000,2016-01-19,390.0,400.0,390.0,390.2,133128.0,341,8
HUNT.N0000,2016-01-20,400.0,400.0,400.0,390.2,800.0,2,2
HUNT.N0000,2016-01-21,400.0,415.0,400.0,400.0,275630.0,689,5
HUNT.N0000,2016-01-24,400.0,400.0,400.0,400.0,28000.0,70,2
HUNT.N0000,2016-01-25,429.9,430.0,400.1,400.0,9262.0,23,3
HUNT.N0000,2016-01-27,400.0,425.0,400.0,418.0,42200.0,101,4
HUNT.N0000,2016-01-28,405.0,450.0,405.0,445.0,320421.6,720,11
HUNT.N0000,2016-01-31,449.0,449.0,449.0,445.0,449.0,1,1
HUNT.N0000,2016-02-01,443.9,444.0,443.9,445.0,887.9,2,2
HUNT.N0000,2016-02-02,415.0,439.9,415.0,445.0,12474.9,30,3
HUNT.N0000,2016-02-08,420.0,440.0,420.0,420.1,105440.0,251,2
HUNT.N0000,2016-02-09,440.0,440.0,416.0,419.8,116476.1,277,8
HUNT.N0000,2016-02-10,430.0,430.0,413.0,419.8,2908.0,7,3
HUNT.N0000,2016-02-11,415.0,415.0,410.0,410.0,89390.0,218,4
HUNT.N0000,2016-02-14,410.0,411.0,410.0,410.0,27472.0,67,4
HUNT.N0000,2016-02-15,410.0,410.0,410.0,410.0,36900.0,90,3
HUNT.N0000,2016-02-16,410.0,410.0,410.0,410.0,69700.0,170,1
HUNT.N0000,2016-02-22,410.1,420.0,410.0,410.1,107856.1,263,7
HUNT.N0000,2016-02-23,411.0,411.0,410.0,410.1,16401.0,40,3
HUNT.N0000,2016-02-24,410.0,424.9,410.0,410.1,61924.9,151,3
HUNT.N0000,2016-02-25,412.0,440.0,403.0,410.1,14377.9,35,7
HUNT.N0000,2016-02-28,429.9,429.9,410.0,410.1,1268.8,3,3
HUNT.N0000,2016-02-29,410.1,410.1,410.0,410.1,36900.1,90,2
HUNT.N0000,2016-03-01,400.0,400.0,400.0,410.1,800.0,2,1
HUNT.N0000,2016-03-03,400.1,400.1,400.1,410.1,2800.7,7,1
HUNT.N0000,2016-03-07,400.1,400.1,400.0,400.0,201600.3,504,3
HUNT.N0000,2016-03-09,400.0,400.0,400.0,400.0,26800.0,67,1
HUNT.N0000,2016-03-10,400.0,400.0,400.0,400.0,186800.0,467,6
HUNT.N0000,2016-03-13,400.0,400.0,400.0,400.0,800.0,2,1
HUNT.N0000,2016-03-14,400.0,400.0,382.0,400.0,9950.0,26,3
HUNT.N0000,2016-03-15,400.0,400.0,400.0,400.0,40000.0,100,1
HUNT.N0000,2016-03-16,400.0,400.0,400.0,400.0,134400.0,336,9
HUNT.N0000,2016-03-17,400.0,400.0,400.0,400.0,50400.0,126,2
HUNT.N0000,2016-03-20,386.0,439.9,386.0,400.0,26273.9,66,4
HUNT.N0000,2016-03-22,400.0,400.0,400.0,400.0,2400.0,6,1
HUNT.N0000,2016-03-23,424.9,424.9,424.0,400.0,6784.9,16,3
HUNT.N0000,2016-03-27,425.0,425.0,425.0,400.0,4250.0,10,1
HUNT.N0000,2016-03-29,410.0,429.0,410.0,400.0,26061.2,62,8
HUNT.N0000,2016-03-30,428.9,428.9,400.5,400.5,49296.8,122,5
HUNT.N0000,2016-03-31,400.3,426.9,400.0,400.5,8431.0,21,6
HUNT.N0000,2016-04-03,424.4,424.5,420.0,400.5,31102.1,74,5
HUNT.N0000,2016-04-04,419.9,419.9,419.9,400.5,419.9,1,1
HUNT.N0000,2016-04-05,423.9,423.9,423.9,400.5,423.9,1,1
HUNT.N0000,2016-04-06,424.4,424.4,424.4,400.5,424.4,1,1
HUNT.N0000,2016-04-07,424.4,425.0,424.0,400.5,5091.4,12,7
HUNT.N0000,2016-04-10,423.9,423.9,423.9,400.5,2119.5,5,2
HUNT.N0000,2016-04-11,423.9,423.9,423.9,400.5,423.9,1,1
HUNT.N0000,2016-04-14,423.9,423.9,423.4,400.5,2541.3,6,3
HUNT.N0000,2016-04-17,423.4,423.4,400.0,400.5,20463.4,51,7
HUNT.N0000,2016-04-18,420.0,420.0,420.0,400.5,420.0,1,1
HUNT.N0000,2016-04-19,419.9,419.9,419.9,400.5,839.8,2,2
HUNT.N0000,2016-04-21,419.9,419.9,400.5,400.5,12576.5,31,11
HUNT.N0000,2016-04-25,401.0,419.4,401.0,400.5,4429.4,11,2
HUNT.N0000,2016-04-26,419.9,419.9,419.9,400.5,4618.9,11,5
HUNT.N0000,2016-04-27,419.4,419.4,419.4,400.5,419.4,1,1
HUNT.N0000,2016-04-28,418.0,430.0,418.0,400.5,24882.7,59,10
HUNT.N0000,2016-05-02,429.9,429.9,429.9,400.5,429.9,1,1
HUNT.N0000,2016-05-04,429.0,429.0,410.0,400.5,2479.0,6,2
HUNT.N0000,2016-05-08,422.9,430.0,422.9,428.4,86105.1,201,11
HUNT.N0000,2016-05-09,430.0,430.0,430.0,428.4,9030.0,21,2
HUNT.N0000,2016-05-10,430.0,444.7,430.0,428.4,874.7,2,2
HUNT.N0000,2016-05-15,416.0,416.0,416.0,428.4,416.0,1,1
HUNT.N0000,2016-05-16,439.9,439.9,439.9,428.4,879.8,2,2
HUNT.N0000,2016-05-18,430.0,430.0,430.0,428.4,10750.0,25,1
HUNT.N0000,2016-05-19,418.0,418.0,418.0,428.4,418.0,1,1
HUNT.N0000,2016-05-24,429.9,430.0,429.9,430.0,52459.8,122,3
HUNT.N0000,2016-05-29,424.9,424.9,420.0,420.0,84424.9,201,2
HUNT.N0000,2016-05-30,429.9,451.9,429.9,420.0,33801.3,78,10
HUNT.N0000,2016-05-31,449.9,449.9,435.0,435.0,87449.9,201,3
HUNT.N0000,2016-06-01,449.0,449.0,449.0,435.0,449.0,1,1
HUNT.N0000,2016-06-02,436.0,436.0,436.0,435.0,436.0,1,1
HUNT.N0000,2016-06-05,448.0,452.0,448.0,450.0,113392.7,252,12
HUNT.N0000,2016-06-06,450.0,453.0,450.0,450.3,106267.7,236,13
HUNT.N0000,2016-06-07,462.7,462.8,462.7,450.3,925.5,2,2
HUNT.N0000,2016-06-08,462.0,466.0,462.0,450.3,9286.5,20,5
HUNT.N0000,2016-06-09,450.0,450.0,450.0,450.0,98100.0,218,3
HUNT.N0000,2016-06-12,450.0,499.8,450.0,450.8,69425.3,154,5
HUNT.N0000,2016-06-13,450.0,450.0,450.0,450.8,38700.0,86,3
HUNT.N0000,2016-06-15,438.0,438.0,438.0,450.8,438.0,1,1
HUNT.N0000,2016-06-16,438.0,438.0,438.0,450.8,1314.0,3,2
HUNT.N0000,2016-06-19,439.9,449.9,439.9,440.1,69089.5,157,5
HUNT.N0000,2016-06-21,440.0,450.0,440.0,440.1,2650.0,6,2
HUNT.N0000,2016-06-28,439.8,439.9,439.8,439.9,44429.8,101,3
HUNT.N0000,2016-07-06,439.5,439.5,439.5,439.9,439.5,1,1
HUNT.N0000,2016-07-11,410.0,410.0,410.0,439.9,410.0,1,1
HUNT.N0000,2016-07-13,438.9,469.9,438.9,439.9,1378.7,3,2
HUNT.N0000,2016-07-14,498.9,498.9,498.9,439.9,997.8,2,1
HUNT.N0000,2016-07-21,489.1,490.0,485.0,439.9,1954.1,4,3
HUNT.N0000,2016-07-25,469.9,470.0,469.9,439.9,2819.8,6,2
HUNT.N0000,2016-08-01,439.0,469.7,439.0,439.9,16448.7,36,7
HUNT.N0000,2016-08-03,449.9,460.0,449.9,439.9,4539.8,10,4
HUNT.N0000,2016-08-07,460.0,460.0,440.0,439.9,5320.0,12,3
HUNT.N0000,2016-08-08,425.0,430.0,425.0,425.2,48892.0,115,6
HUNT.N0000,2016-08-09,430.0,430.0,430.0,425.2,3010.0,7,2
HUNT.N0000,2016-08-10,425.0,425.0,425.0,425.0,641750.0,1510,5
HUNT.N0000,2016-08-11,420.0,420.0,420.0,425.0,420.0,1,1
HUNT.N0000,2016-08-15,456.8,457.0,456.8,425.0,6397.2,14,4
HUNT.N0000,2016-08-17,400.1,400.1,400.1,400.1,4001000.0,10000,1
HUNT.N0000,2016-08-21,484.8,485.0,401.1,406.2,2155009.1,5305,8
HUNT.N0000,2016-08-24,407.2,407.2,406.0,406.5,121948.4,300,6
HUNT.N0000,2016-08-25,406.5,406.5,406.5,406.5,813.0,2,1
HUNT.N0000,2016-08-28,406.3,406.3,406.2,406.5,1625.1,4,3
HUNT.N0000,2016-08-29,406.7,406.7,406.0,406.0,162405.7,400,7
HUNT.N0000,2016-08-30,410.0,410.0,410.0,410.0,406720.0,992,11
HUNT.N0000,2016-08-31,410.0,410.0,410.0,410.0,116030.0,283,5
HUNT.N0000,2016-09-01,445.0,445.0,440.0,410.0,5770.0,13,2
HUNT.N0000,2016-09-04,440.0,440.0,440.0,410.0,4400.0,10,1
HUNT.N0000,2016-09-05,439.9,439.9,439.9,410.0,439.9,1,1
HUNT.N0000,2016-09-06,411.0,411.0,410.0,410.0,124642.0,304,6
HUNT.N0000,2016-09-07,410.0,410.0,410.0,410.0,285360.0,696,3
HUNT.N0000,2016-09-08,405.0,405.0,402.0,402.7,80530.0,200,5
HUNT.N0000,2016-09-12,402.1,410.0,402.1,410.0,204210.0,500,2
HUNT.N0000,2016-09-14,412.0,412.0,410.0,410.1,297312.0,725,8
HUNT.N0000,2016-09-18,410.1,410.1,410.0,410.0,41001.0,100,2
HUNT.N0000,2016-09-20,434.9,434.9,420.0,410.0,8834.9,21,2
HUNT.N0000,2016-09-26,411.0,415.0,402.5,414.9,99962.0,241,5
HUNT.N0000,2016-09-28,405.2,405.2,405.0,414.9,20252.0,50,2
HUNT.N0000,2016-09-29,416.0,449.9,416.0,436.2,129548.7,297,7
HUNT.N0000,2016-10-02,449.4,449.4,449.4,436.2,4494.0,10,3
HUNT.N0000,2016-10-16,410.0,439.5,410.0,436.2,28729.5,70,2
HUNT.N0000,2016-10-20,425.0,425.0,425.0,425.0,95625.0,225,1
HUNT.N0000,2016-10-31,424.9,425.0,424.9,425.0,171274.8,403,4
HUNT.N0000,2016-11-01,444.0,444.8,444.0,425.0,3552.8,8,2
HUNT.N0000,2016-11-06,410.0,410.0,410.0,410.0,82000.0,200,1
HUNT.N0000,2016-11-07,424.9,425.0,420.0,423.8,179274.6,423,9
HUNT.N0000,2016-11-08,425.0,425.0,425.0,425.0,85000.0,200,1
HUNT.N0000,2016-11-09,425.0,425.1,425.0,425.1,2125320.0,5000,15
HUNT.N0000,2016-11-10,425.0,425.0,425.0,425.0,85000.0,200,2
HUNT.N0000,2016-11-15,410.0,410.0,410.0,410.0,110700.0,270,1
HUNT.N0000,2016-11-16,410.1,410.1,410.1,410.1,295272.0,720,3
HUNT.N0000,2016-11-17,425.0,425.0,425.0,425.0,297500.0,700,7
HUNT.N0000,2016-11-20,410.0,410.0,410.0,410.0,217300.0,530,3
HUNT.N0000,2016-11-27,410.0,410.0,410.0,410.0,20500.0,50,3
HUNT.N0000,2016-11-28,410.0,410.0,410.0,410.0,20500.0,50,1
HUNT.N0000,2016-12-04,405.0,405.0,405.0,405.0,81000.0,200,2
HUNT.N0000,2016-12-06,406.0,406.0,406.0,405.0,406.0,1,1
HUNT.N0000,2016-12-15,410.0,410.0,410.0,410.0,137760.0,336,3
HUNT.N0000,2016-12-18,410.0,410.0,410.0,410.0,82000.0,200,1
