ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
JAT.N0000,2021-08-11,29.0,29.0,23.7,24.2,224212953.6,8681987,2483
JAT.N0000,2021-08-12,24.7,24.9,21.9,22.9,42048384.0,1848551,890
JAT.N0000,2021-08-15,22.7,23.0,21.9,22.4,16806726.8,756020,197
JAT.N0000,2021-08-16,22.4,23.8,22.2,23.4,10120643.5,435515,207
JAT.N0000,2021-08-17,23.9,23.9,22.5,22.9,14766110.2,644459,180
JAT.N0000,2021-08-18,22.8,23.1,22.6,22.7,10065933.9,443355,161
JAT.N0000,2021-08-19,22.6,22.9,22.3,22.5,9017766.2,399293,171
JAT.N0000,2021-08-22,22.2,22.8,21.6,21.8,13383906.3,609288,344
JAT.N0000,2021-08-23,21.8,21.8,20.5,20.7,11129223.9,531244,466
JAT.N0000,2021-08-24,20.8,20.9,19.9,20.3,33604325.4,1671754,524
JAT.N0000,2021-08-25,20.5,22.4,20.0,21.9,17807706.7,836121,444
JAT.N0000,2021-08-26,21.1,23.1,21.0,22.5,52315755.5,2328262,335
JAT.N0000,2021-08-29,22.7,23.0,22.2,22.5,19542484.8,868036,135
JAT.N0000,2021-08-30,22.9,24.9,22.6,24.1,48726043.8,2072426,403
JAT.N0000,2021-08-31,24.7,24.7,23.1,23.6,5896324.3,252124,136
JAT.N0000,2021-09-01,24.0,24.5,23.5,23.9,9428408.4,395991,132
JAT.N0000,2021-09-02,23.5,23.8,23.5,23.5,6915586.8,294165,42
JAT.N0000,2021-09-05,23.5,23.9,22.5,23.3,7099828.8,303591,104
JAT.N0000,2021-09-06,22.3,23.8,22.3,23.0,5739844.6,248678,71
JAT.N0000,2021-09-07,23.0,23.9,22.0,22.5,7162715.2,317921,91
JAT.N0000,2021-09-08,23.0,23.5,22.5,23.3,4222000.1,184500,63
JAT.N0000,2021-09-09,23.8,23.8,23.0,23.0,8289937.6,357944,68
JAT.N0000,2021-09-12,23.0,23.0,22.0,22.1,3157507.0,141666,71
JAT.N0000,2021-09-13,22.0,24.0,22.0,23.5,5181820.2,221303,81
JAT.N0000,2021-09-14,23.5,23.5,22.5,22.6,2827757.0,124642,68
JAT.N0000,2021-09-15,23.4,23.4,22.3,22.5,7737962.1,343881,124
JAT.N0000,2021-09-16,23.5,23.5,21.6,22.0,8928840.1,404309,208
JAT.N0000,2021-09-20,22.6,22.6,21.4,21.5,13065775.4,606785,217
JAT.N0000,2021-09-21,22.1,22.6,21.5,21.7,1345374.8,62281,28
JAT.N0000,2021-09-22,22.0,22.0,21.8,21.9,23407.2,1069,6
JAT.N0000,2021-09-23,22.5,22.5,21.5,21.5,7752124.2,360388,80
JAT.N0000,2021-09-26,21.5,22.0,21.5,21.5,1489714.1,69040,59
JAT.N0000,2021-09-27,22.3,22.4,21.5,21.7,755280.4,34435,29
JAT.N0000,2021-09-28,22.0,22.2,21.5,21.7,3036610.7,138391,56
JAT.N0000,2021-09-29,21.7,22.3,21.7,22.0,7335441.8,333438,65
JAT.N0000,2021-09-30,21.8,22.3,21.8,22.0,16243279.6,738308,66
JAT.N0000,2021-10-03,22.0,22.0,21.7,21.9,1155084.5,52915,35
JAT.N0000,2021-10-04,21.8,22.0,21.2,21.8,2992110.3,138709,122
JAT.N0000,2021-10-05,21.8,21.8,21.4,21.5,3345978.0,155451,69
JAT.N0000,2021-10-06,21.8,21.8,21.5,21.5,1829151.7,84871,67
JAT.N0000,2021-10-07,21.4,22.8,21.4,22.1,4618461.1,208867,75
JAT.N0000,2021-10-10,22.2,22.2,21.7,21.9,2839812.0,128644,30
JAT.N0000,2021-10-11,22.0,22.4,21.6,21.7,453625.0,20854,27
JAT.N0000,2021-10-12,22.0,22.4,21.7,21.9,2432290.4,110694,35
JAT.N0000,2021-10-13,22.0,23.8,21.8,23.5,30517098.2,1308433,301
JAT.N0000,2021-10-14,23.5,23.7,22.8,23.4,11128660.2,476845,80
JAT.N0000,2021-10-17,24.0,24.3,23.0,23.8,47581275.2,1988226,118
JAT.N0000,2021-10-20,23.9,23.9,23.0,23.5,48545436.2,2044559,41
JAT.N0000,2021-10-21,23.0,23.4,22.9,23.0,12806358.5,556822,57
JAT.N0000,2021-10-24,23.0,23.0,22.5,22.7,2474816.5,109716,53
JAT.N0000,2021-10-25,23.0,23.9,22.7,23.4,2416629.3,104507,50
JAT.N0000,2021-10-26,23.5,23.5,23.0,23.0,8737765.6,379543,48
JAT.N0000,2021-10-27,24.0,24.0,22.9,23.0,56976528.2,2414633,305
JAT.N0000,2021-10-28,23.3,23.3,22.8,22.9,1004719.7,43911,42
JAT.N0000,2021-10-31,23.0,23.0,22.7,22.7,27452492.2,1194954,73
JAT.N0000,2021-11-01,22.6,23.0,22.6,23.0,8768858.6,381756,49
JAT.N0000,2021-11-02,23.0,23.0,22.5,22.6,2494197.6,110191,39
JAT.N0000,2021-11-04,22.8,22.9,22.5,22.5,2910692.3,129008,41
