ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
JETS.N0000,2018-01-04,16.0,16.0,15.0,15.1,1399347.3,91617,98
JETS.N0000,2018-01-07,15.0,15.5,14.9,15.0,1634461.5,108929,32
JETS.N0000,2018-01-09,15.0,15.0,14.9,14.9,4390.0,294,10
JETS.N0000,2018-01-10,15.0,15.0,15.0,15.0,3750.0,250,5
JETS.N0000,2018-01-11,15.0,15.0,15.0,15.0,120435.0,8029,7
JETS.N0000,2018-01-15,14.9,15.0,14.9,14.9,456205.3,30497,26
JETS.N0000,2018-01-16,14.9,14.9,14.9,14.9,2115.8,142,5
JETS.N0000,2018-01-17,14.9,14.9,14.8,14.8,9059.0,610,7
JETS.N0000,2018-01-18,14.8,14.8,14.8,14.8,148.0,10,1
JETS.N0000,2018-01-21,14.6,14.6,13.4,13.4,45617.0,3380,15
JETS.N0000,2018-01-22,14.0,14.0,14.0,14.0,1400.0,100,1
JETS.N0000,2018-01-24,14.0,14.0,13.6,13.6,1779.5,130,3
JETS.N0000,2018-01-25,14.0,14.0,13.7,13.8,25150.7,1811,11
JETS.N0000,2018-01-28,14.0,14.0,13.9,13.8,167.0,12,4
JETS.N0000,2018-01-29,13.9,13.9,13.7,13.9,2930.7,211,3
JETS.N0000,2018-01-31,14.0,14.0,13.7,13.7,41973.4,3063,7
JETS.N0000,2018-02-01,13.8,14.0,13.8,14.0,33286.0,2399,5
JETS.N0000,2018-02-05,14.0,14.6,14.0,14.0,42744.2,3051,7
JETS.N0000,2018-02-06,14.6,14.6,14.3,14.0,934.0,65,2
JETS.N0000,2018-02-07,14.6,14.6,14.5,14.5,1668.0,115,4
JETS.N0000,2018-02-08,14.9,14.9,14.9,14.5,298.0,20,1
JETS.N0000,2018-02-11,14.6,14.6,14.6,14.6,2263.0,155,3
JETS.N0000,2018-02-13,14.6,14.6,14.6,14.6,146.0,10,1
JETS.N0000,2018-02-15,14.8,14.8,14.8,14.6,148.0,10,1
JETS.N0000,2018-02-18,15.0,15.0,14.7,14.6,669.0,45,2
JETS.N0000,2018-02-20,14.2,14.9,13.8,14.9,24830.0,1736,21
JETS.N0000,2018-02-21,14.0,14.1,14.0,14.0,19722.7,1407,8
JETS.N0000,2018-02-22,14.0,14.0,14.0,14.0,140.0,10,1
JETS.N0000,2018-02-25,14.0,14.0,13.7,13.7,14966.0,1090,5
JETS.N0000,2018-02-26,13.5,13.5,13.5,13.5,16875.0,1250,5
JETS.N0000,2018-02-27,13.5,14.8,13.5,13.6,43939.5,3200,22
JETS.N0000,2018-03-01,13.6,13.6,13.5,13.5,25785.8,1903,8
JETS.N0000,2018-03-04,13.5,13.5,13.5,13.5,675.0,50,1
JETS.N0000,2018-03-05,13.6,14.0,13.6,13.5,919.2,67,2
JETS.N0000,2018-03-06,13.9,13.9,13.3,13.5,14170.5,1050,7
JETS.N0000,2018-03-07,14.9,14.9,14.9,13.5,14.9,1,1
JETS.N0000,2018-03-08,13.5,13.5,13.5,13.5,13500.0,1000,6
JETS.N0000,2018-03-11,14.0,14.0,13.5,13.5,13514.0,1001,3
JETS.N0000,2018-03-12,13.2,13.2,13.2,13.2,1320.0,100,1
JETS.N0000,2018-03-13,13.5,14.0,13.5,13.5,16903.0,1252,6
JETS.N0000,2018-03-14,13.5,13.5,13.5,13.5,8370.0,620,5
JETS.N0000,2018-03-15,13.5,13.5,13.2,13.2,36360.3,2730,16
JETS.N0000,2018-03-18,13.5,13.5,13.5,13.2,243.0,18,1
JETS.N0000,2018-03-25,13.5,13.5,13.5,13.5,9450.0,700,2
JETS.N0000,2018-03-28,13.2,13.2,13.2,13.5,118.8,9,2
JETS.N0000,2018-04-03,12.2,13.2,12.2,13.5,874.0,70,2
JETS.N0000,2018-04-04,13.2,13.2,13.2,13.2,6336.0,480,1
JETS.N0000,2018-04-09,15.0,15.0,15.0,13.2,15.0,1,1
JETS.N0000,2018-04-10,13.5,13.5,13.2,13.3,1435.0,108,3
JETS.N0000,2018-04-15,13.5,13.5,13.5,13.5,3267.0,242,1
JETS.N0000,2018-04-16,13.5,13.5,13.5,13.5,1363.5,101,2
JETS.N0000,2018-04-17,13.1,13.1,13.1,13.5,340.6,26,1
JETS.N0000,2018-04-18,14.2,14.2,13.5,13.5,4795.0,350,3
JETS.N0000,2018-04-19,13.5,13.5,13.5,13.5,3861.0,286,4
JETS.N0000,2018-04-22,13.5,13.5,13.5,13.5,20250.0,1500,4
JETS.N0000,2018-04-23,13.5,13.5,13.5,13.5,1944.0,144,2
JETS.N0000,2018-04-24,13.5,13.5,13.5,13.5,13513.5,1001,4
JETS.N0000,2018-04-25,13.9,13.9,13.9,13.5,139.0,10,1
JETS.N0000,2018-04-30,13.5,13.5,12.6,13.5,1124.0,85,5
JETS.N0000,2018-05-01,13.0,13.5,13.0,13.5,2960.0,220,3
JETS.N0000,2018-05-02,13.5,13.5,13.5,13.5,553.5,41,4
JETS.N0000,2018-05-03,13.0,13.1,13.0,13.1,7941.0,610,3
JETS.N0000,2018-05-08,13.0,13.0,13.0,13.0,2600.0,200,3
JETS.N0000,2018-05-14,14.9,14.9,14.9,13.0,163.9,11,2
JETS.N0000,2018-05-20,13.5,13.5,13.5,13.5,1755.0,130,2
JETS.N0000,2018-05-22,13.5,13.5,13.5,13.5,3807.0,282,1
JETS.N0000,2018-05-24,13.1,13.1,13.1,13.1,2620.0,200,2
JETS.N0000,2018-05-27,13.0,13.0,13.0,13.0,2119.0,163,3
JETS.N0000,2018-05-29,13.4,13.4,12.5,12.6,13423.5,1064,8
JETS.N0000,2018-06-03,12.0,12.0,12.0,12.6,240.0,20,1
JETS.N0000,2018-06-06,12.4,12.4,12.4,12.4,3038.0,245,1
JETS.N0000,2018-06-10,12.1,12.1,12.1,12.4,1064.8,88,1
JETS.N0000,2018-06-11,12.4,12.4,12.1,12.1,3061.6,253,4
JETS.N0000,2018-06-12,12.4,12.4,12.4,12.4,1240.0,100,1
JETS.N0000,2018-06-19,12.4,12.4,12.4,12.4,1240.0,100,1
