ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
JFP.N0000,2025-11-18,14.8,16.0,14.6,15.1,423838573.6,27425514,8792
JFP.N0000,2025-11-19,15.2,15.4,14.6,14.6,91737187.5,6132087,1907
JFP.N0000,2025-11-20,14.6,14.7,14.1,14.2,48621061.9,3405908,1064
JFP.N0000,2025-11-23,14.1,14.1,13.3,13.7,38523710.1,2832748,1081
JFP.N0000,2025-11-24,13.7,13.8,13.6,13.7,9861266.2,720542,314
JFP.N0000,2025-11-25,13.7,14.3,13.7,13.9,17875205.2,1284514,371
JFP.N0000,2025-11-26,13.8,14.0,13.7,13.9,4551758.0,329066,172
JFP.N0000,2025-11-27,13.7,13.9,13.6,13.8,2521022.5,183974,115
JFP.N0000,2025-11-30,13.0,13.4,12.7,13.2,12178217.7,933930,438
JFP.N0000,2025-12-01,13.3,13.7,13.0,13.0,7231730.6,548127,249
JFP.N0000,2025-12-02,13.0,13.4,12.5,12.6,5564597.3,437697,244
JFP.N0000,2025-12-04,13.0,13.2,12.8,13.0,8107354.8,623751,226
JFP.N0000,2025-12-07,13.0,13.0,12.6,12.6,2724831.0,213166,171
JFP.N0000,2025-12-08,12.6,12.9,12.5,12.7,3640308.7,288562,189
JFP.N0000,2025-12-09,12.7,13.7,12.6,13.2,15556903.6,1174221,357
JFP.N0000,2025-12-10,13.1,13.6,13.1,13.5,6239803.9,468133,205
JFP.N0000,2025-12-11,13.7,13.8,13.1,13.7,8522788.5,631567,173
JFP.N0000,2025-12-14,13.6,13.9,13.6,13.8,6116709.9,444151,162
JFP.N0000,2025-12-15,13.6,14.3,13.6,14.2,13386396.7,952235,306
JFP.N0000,2025-12-16,14.1,14.4,14.0,14.2,7769539.2,548139,153
JFP.N0000,2025-12-17,14.3,14.3,14.1,14.2,6435786.0,454223,87
JFP.N0000,2025-12-18,14.2,14.2,13.8,13.9,5543826.7,397713,110
JFP.N0000,2025-12-21,13.9,14.0,13.7,13.7,884704.8,63948,55
JFP.N0000,2025-12-22,13.8,13.9,13.5,13.7,2652532.0,192338,69
JFP.N0000,2025-12-23,13.8,13.9,13.5,13.8,715166.0,51919,42
JFP.N0000,2025-12-25,13.7,13.9,13.7,13.9,815030.2,59010,29
JFP.N0000,2025-12-28,13.8,13.9,13.7,13.8,3149471.9,228399,85
JFP.N0000,2025-12-29,14.0,14.3,14.0,14.2,7756180.4,549561,134
JFP.N0000,2025-12-30,14.2,14.8,14.2,14.7,21613003.4,1485593,312
