ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LALU.N0000,2016-01-03,109.0,109.0,109.0,109.0,23871.0,219,2
LALU.N0000,2016-01-04,104.2,104.2,103.5,104.0,152293.0,1465,6
LALU.N0000,2016-01-05,103.0,103.0,103.0,103.0,428583.0,4161,5
LALU.N0000,2016-01-06,103.3,103.3,101.0,101.0,1651702.8,16129,22
LALU.N0000,2016-01-10,101.0,101.0,100.2,100.2,216259.0,2143,5
LALU.N0000,2016-01-11,97.0,100.0,97.0,98.2,22000.0,224,4
LALU.N0000,2016-01-12,93.0,100.0,93.0,96.6,101475.0,1050,4
LALU.N0000,2016-01-13,94.0,94.0,90.0,92.4,212900.8,2304,6
LALU.N0000,2016-01-17,90.2,92.0,90.0,90.0,529947.0,5879,18
LALU.N0000,2016-01-18,90.0,92.4,90.0,91.4,118670.0,1299,7
LALU.N0000,2016-01-19,87.0,92.4,87.0,91.4,2674.2,29,3
LALU.N0000,2016-01-20,86.0,92.4,86.0,92.4,953367.0,10320,21
LALU.N0000,2016-01-21,92.4,98.0,92.4,92.8,655288.7,7058,14
LALU.N0000,2016-01-24,92.8,92.8,92.8,92.8,1577.6,17,2
LALU.N0000,2016-01-25,90.0,92.8,90.0,90.0,27185.6,302,16
LALU.N0000,2016-01-26,92.8,92.8,87.5,87.5,70643.0,801,5
LALU.N0000,2016-01-27,92.8,92.8,92.8,87.5,92.8,1,1
LALU.N0000,2016-01-31,90.0,90.0,80.1,87.5,3780.1,43,5
LALU.N0000,2016-02-01,89.0,92.0,89.0,91.2,856922.0,9548,23
LALU.N0000,2016-02-02,91.0,91.0,89.5,90.9,114691.0,1261,7
LALU.N0000,2016-02-04,90.0,93.0,88.0,88.0,1681526.8,19104,24
LALU.N0000,2016-02-07,88.2,90.0,88.0,90.0,980100.0,11000,7
LALU.N0000,2016-02-09,90.0,90.0,88.0,88.0,59338.0,674,4
LALU.N0000,2016-02-11,88.0,88.0,85.1,85.6,60527.8,697,4
LALU.N0000,2016-02-14,85.6,85.6,81.0,83.3,491959.6,5891,10
LALU.N0000,2016-02-15,81.0,84.4,81.0,81.1,136924.0,1690,10
LALU.N0000,2016-02-16,80.0,80.0,80.0,80.0,12000.0,150,2
LALU.N0000,2016-02-17,79.2,84.4,77.0,80.2,12996.8,162,10
LALU.N0000,2016-02-18,84.0,84.0,76.1,83.9,18757.0,230,6
LALU.N0000,2016-02-22,83.9,83.9,75.0,75.7,81397.0,1075,8
LALU.N0000,2016-02-23,83.9,83.9,83.9,75.7,839.0,10,1
LALU.N0000,2016-02-24,83.8,83.8,83.8,75.7,419.0,5,1
LALU.N0000,2016-02-25,83.7,83.7,83.7,75.7,83.7,1,1
LALU.N0000,2016-02-28,75.7,75.7,75.0,75.3,176454.4,2343,12
LALU.N0000,2016-02-29,75.0,75.0,70.0,75.3,3575.0,51,4
LALU.N0000,2016-03-01,72.1,72.2,72.1,72.1,267212.6,3706,12
