ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LCEY.N0000,2016-01-05,97.5,97.5,90.0,90.0,4694.9,52,3
LCEY.N0000,2016-01-06,98.0,98.0,89.5,89.5,180924.5,2021,6
LCEY.N0000,2016-01-07,92.0,92.0,92.0,89.5,184.0,2,1
LCEY.N0000,2016-01-10,89.0,89.0,89.0,89.0,186188.0,2092,4
LCEY.N0000,2016-01-11,87.0,87.0,86.0,86.1,9470.0,110,2
LCEY.N0000,2016-01-12,93.0,93.0,93.0,86.1,93.0,1,1
LCEY.N0000,2016-01-13,92.0,92.0,92.0,92.0,18400.0,200,2
LCEY.N0000,2016-01-17,90.0,90.0,70.1,73.0,361843.6,4426,11
LCEY.N0000,2016-01-18,73.0,73.0,73.0,73.0,31244.0,428,4
LCEY.N0000,2016-01-19,73.2,73.3,73.2,73.2,61811.8,844,4
LCEY.N0000,2016-01-20,73.2,79.9,73.2,76.0,227310.6,2990,11
LCEY.N0000,2016-01-21,81.0,81.9,81.0,81.2,9414.0,116,2
LCEY.N0000,2016-01-24,73.3,75.0,73.3,75.0,72637.0,970,13
LCEY.N0000,2016-01-25,73.6,74.5,73.5,74.0,222071.0,3000,12
LCEY.N0000,2016-01-26,73.5,73.5,73.0,73.1,38315.0,524,5
LCEY.N0000,2016-01-27,74.0,75.0,73.5,74.1,358525.0,4845,13
LCEY.N0000,2016-01-28,75.0,78.0,75.0,76.2,21330.0,280,3
LCEY.N0000,2016-01-31,75.1,77.9,75.1,77.0,9160.9,119,2
LCEY.N0000,2016-02-01,77.9,84.0,77.9,79.1,8463.6,107,4
LCEY.N0000,2016-02-02,84.0,86.7,76.0,76.1,164885.5,2022,9
LCEY.N0000,2016-02-04,76.1,76.1,76.1,76.1,1902.5,25,1
LCEY.N0000,2016-02-08,77.2,77.2,77.2,76.1,231.6,3,1
LCEY.N0000,2016-02-09,78.0,78.0,77.2,76.1,2319.2,30,2
LCEY.N0000,2016-02-10,84.9,84.9,84.9,84.9,34809.0,410,1
LCEY.N0000,2016-02-14,78.0,78.0,78.0,78.0,15600.0,200,3
LCEY.N0000,2016-02-15,77.2,83.5,76.0,76.0,80027.0,1052,5
LCEY.N0000,2016-02-16,76.0,80.0,76.0,80.0,293720.0,3689,11
LCEY.N0000,2016-02-18,75.5,80.0,75.5,80.0,169304.2,2118,9
LCEY.N0000,2016-02-23,80.0,80.0,80.0,80.0,80800.0,1010,3
LCEY.N0000,2016-02-24,80.0,80.0,80.0,80.0,403680.0,5046,8
LCEY.N0000,2016-02-25,85.0,89.0,77.6,84.7,8977.0,106,3
LCEY.N0000,2016-02-28,77.6,77.6,77.6,84.7,77.6,1,1
LCEY.N0000,2016-02-29,77.6,85.0,77.5,79.6,873937.6,10928,11
LCEY.N0000,2016-03-01,78.0,78.0,78.0,79.6,6240.0,80,2
LCEY.N0000,2016-03-07,78.1,78.1,78.1,79.6,312.4,4,1
LCEY.N0000,2016-03-08,77.0,77.0,76.0,77.0,79280.0,1030,3
LCEY.N0000,2016-03-09,78.0,79.0,78.0,79.0,197434.0,2526,5
LCEY.N0000,2016-03-10,80.0,80.0,80.0,80.0,108000.0,1350,3
LCEY.N0000,2016-03-15,80.0,80.0,80.0,80.0,414000.0,5175,5
LCEY.N0000,2016-03-16,84.0,84.0,84.0,80.0,168.0,2,1
LCEY.N0000,2016-03-28,84.5,84.5,84.5,80.0,84.5,1,1
LCEY.N0000,2016-03-30,80.0,80.0,80.0,80.0,6000.0,75,1
LCEY.N0000,2016-04-03,74.0,74.0,74.0,74.0,14800.0,200,1
LCEY.N0000,2016-04-05,83.8,83.8,83.8,74.0,1676.0,20,1
LCEY.N0000,2016-04-07,83.8,92.0,81.0,82.4,11454.0,139,4
LCEY.N0000,2016-04-10,84.5,84.5,82.0,82.4,927.0,11,2
LCEY.N0000,2016-04-11,83.0,83.0,82.5,82.5,931767.0,11266,13
LCEY.N0000,2016-04-17,84.0,84.0,84.0,82.5,84.0,1,1
LCEY.N0000,2016-04-18,83.5,83.5,83.5,83.5,8433.5,101,2
LCEY.N0000,2016-04-21,86.8,86.8,86.8,83.5,86.8,1,1
LCEY.N0000,2016-04-26,78.0,78.0,78.0,83.5,2418.0,31,1
LCEY.N0000,2016-05-02,81.0,84.0,81.0,81.0,637605.7,7868,5
LCEY.N0000,2016-05-04,85.0,85.0,81.0,83.6,72750.0,870,5
LCEY.N0000,2016-05-05,93.0,93.0,82.0,82.0,9130.0,110,3
LCEY.N0000,2016-05-08,92.0,92.0,85.0,85.0,9604.0,112,2
LCEY.N0000,2016-05-09,81.3,81.3,81.3,85.0,81.3,1,1
LCEY.N0000,2016-05-10,83.0,83.0,83.0,83.0,18094.0,218,1
LCEY.N0000,2016-05-11,84.1,85.0,84.1,84.6,532668.7,6319,9
LCEY.N0000,2016-05-12,85.0,85.0,85.0,85.0,59500.0,700,3
LCEY.N0000,2016-05-15,85.2,89.7,85.2,89.7,196921.2,2306,3
LCEY.N0000,2016-05-16,89.6,89.6,86.1,86.1,135421.6,1570,6
LCEY.N0000,2016-05-17,86.5,95.0,86.2,89.6,553043.3,6171,17
LCEY.N0000,2016-05-18,89.0,89.0,89.0,89.6,801.0,9,1
LCEY.N0000,2016-05-19,87.0,87.0,86.5,86.5,926945.8,10713,8
LCEY.N0000,2016-05-24,90.0,90.0,90.0,86.5,90.0,1,1
LCEY.N0000,2016-05-26,86.5,86.5,86.2,86.4,17442.7,202,4
LCEY.N0000,2016-05-29,86.2,86.2,86.2,86.4,86.2,1,1
LCEY.N0000,2016-05-30,86.2,86.2,86.2,86.2,163607.6,1898,1
LCEY.N0000,2016-06-01,85.0,85.0,85.0,86.2,255.0,3,1
LCEY.N0000,2016-06-07,82.0,82.0,82.0,82.0,32554.0,397,2
LCEY.N0000,2016-06-08,80.3,80.3,80.3,82.0,722.7,9,1
LCEY.N0000,2016-06-14,81.0,81.0,81.0,82.0,243.0,3,1
