ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LGL.N0000,2016-01-03,41.1,41.5,41.0,41.5,336992.4,8146,16
LGL.N0000,2016-01-04,40.5,40.5,40.1,40.2,349498.9,8694,17
LGL.N0000,2016-01-05,40.1,40.2,40.0,40.2,836582.9,20904,26
LGL.N0000,2016-01-06,39.9,39.9,39.3,39.5,603827.9,15216,17
LGL.N0000,2016-01-07,39.5,39.5,38.7,38.8,239077.8,6129,32
LGL.N0000,2016-01-10,39.2,39.2,37.0,37.7,751187.3,20000,59
LGL.N0000,2016-01-11,38.0,38.0,35.1,36.0,3630036.0,100537,61
LGL.N0000,2016-01-12,37.5,38.4,37.4,38.0,458041.5,12064,23
LGL.N0000,2016-01-13,38.1,38.5,37.4,37.6,1032062.0,27373,30
LGL.N0000,2016-01-17,37.6,37.6,36.0,36.0,1962797.7,54139,68
LGL.N0000,2016-01-18,37.0,37.4,36.0,37.1,713372.0,19423,29
LGL.N0000,2016-01-19,37.1,37.3,36.0,37.3,220567.1,6005,18
LGL.N0000,2016-01-20,37.4,38.5,37.4,38.4,171164.6,4505,22
LGL.N0000,2016-01-21,38.5,39.2,38.5,39.2,758004.4,19592,30
LGL.N0000,2016-01-24,39.1,39.5,38.0,39.4,277219.4,7070,25
LGL.N0000,2016-01-25,39.6,39.6,39.3,39.3,71250.0,1800,4
LGL.N0000,2016-01-26,39.4,39.5,38.2,39.4,250458.1,6356,12
LGL.N0000,2016-01-27,38.6,38.9,38.5,38.6,4901.9,127,5
LGL.N0000,2016-01-28,39.4,39.5,38.8,38.8,548624.1,14005,16
LGL.N0000,2016-01-31,39.0,40.0,39.0,40.0,84178.1,2133,11
LGL.N0000,2016-02-01,39.6,40.4,39.5,40.2,1173614.3,29316,44
LGL.N0000,2016-02-02,40.0,40.3,39.4,40.0,229020.0,5725,15
LGL.N0000,2016-02-04,39.5,39.9,39.4,39.4,49235.8,1249,7
LGL.N0000,2016-02-07,40.1,40.1,40.1,39.4,1684.2,42,2
LGL.N0000,2016-02-08,39.3,40.0,39.0,39.1,132239.4,3350,12
LGL.N0000,2016-02-09,40.1,40.1,39.0,39.6,97311.0,2469,6
LGL.N0000,2016-02-10,40.1,40.5,38.8,39.5,1786962.5,44967,33
LGL.N0000,2016-02-11,38.6,38.6,38.6,38.6,165980.0,4300,3
LGL.N0000,2016-02-14,39.5,39.5,38.5,38.5,105273.5,2730,15
LGL.N0000,2016-02-15,38.5,38.5,38.4,38.5,4653.5,121,5
LGL.N0000,2016-02-16,38.5,38.5,37.5,37.8,246765.3,6496,26
LGL.N0000,2016-02-17,37.5,37.5,36.5,36.8,218741.8,5896,27
LGL.N0000,2016-02-18,37.5,37.5,36.2,37.1,147064.9,3971,16
LGL.N0000,2016-02-22,37.5,37.7,37.0,37.1,44352.0,1195,8
LGL.N0000,2016-02-23,37.4,37.8,37.3,37.3,37923.6,1014,10
LGL.N0000,2016-02-24,38.0,38.0,37.8,37.8,17064.5,451,6
LGL.N0000,2016-02-25,38.4,38.4,37.9,37.9,80094.9,2112,9
LGL.N0000,2016-02-28,37.9,39.0,37.0,38.1,215948.5,5708,27
LGL.N0000,2016-02-29,37.1,37.1,36.9,37.0,131765.7,3561,19
LGL.N0000,2016-03-01,37.1,37.1,36.9,37.0,97569.9,2637,7
