ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LHL.N0000,2016-01-04,63.9,63.9,63.9,56.5,127.8,2,1
LHL.N0000,2016-01-05,55.2,55.3,55.2,55.3,57783.5,1045,4
LHL.N0000,2016-01-13,60.5,60.5,60.5,60.5,63404.0,1048,2
LHL.N0000,2016-01-17,57.0,57.0,56.0,56.1,120650.0,2150,3
LHL.N0000,2016-01-19,60.0,60.5,60.0,60.0,126060.5,2101,3
LHL.N0000,2016-01-20,60.0,60.5,60.0,60.4,48289.5,799,2
LHL.N0000,2016-01-21,60.0,60.0,60.0,60.0,72060.0,1201,1
LHL.N0000,2016-01-25,60.0,60.0,60.0,60.0,6000.0,100,1
LHL.N0000,2016-01-26,55.5,55.5,55.3,55.4,11073.2,200,3
LHL.N0000,2016-02-02,62.3,62.3,62.3,55.4,62.3,1,1
LHL.N0000,2016-02-09,60.0,60.0,60.0,60.0,15060.0,251,2
LHL.N0000,2016-02-10,58.0,58.0,58.0,58.0,5800.0,100,1
LHL.N0000,2016-02-11,58.0,59.9,58.0,59.0,649722.0,11009,7
LHL.N0000,2016-02-14,55.6,55.6,55.6,59.0,55.6,1,1
LHL.N0000,2016-02-15,60.0,60.0,60.0,60.0,89940.0,1499,6
LHL.N0000,2016-02-17,60.1,60.1,60.1,60.1,59318.7,987,1
LHL.N0000,2016-02-28,56.0,56.0,55.1,56.0,5173895.1,92391,3
LHL.N0000,2016-03-03,55.3,55.3,55.3,55.3,11060.0,200,1
LHL.N0000,2016-03-08,50.0,50.0,50.0,50.0,26800.0,536,3
LHL.N0000,2016-03-09,55.0,55.0,55.0,55.0,5500.0,100,1
LHL.N0000,2016-03-14,55.0,55.0,55.0,55.0,5500.0,100,1
LHL.N0000,2016-03-17,55.0,55.0,55.0,55.0,110000.0,2000,1
LHL.N0000,2016-03-22,62.5,62.5,62.5,55.0,187.5,3,1
LHL.N0000,2016-03-27,55.0,55.0,50.1,50.1,15195.0,303,5
LHL.N0000,2016-03-28,50.0,50.0,50.0,50.0,191850.0,3837,2
LHL.N0000,2016-03-29,50.1,50.1,50.0,50.0,293078.3,5860,7
LHL.N0000,2016-03-30,52.9,52.9,52.9,52.9,5290.0,100,1
LHL.N0000,2016-03-31,52.9,52.9,52.9,52.9,5290.0,100,1
LHL.N0000,2016-04-03,50.2,50.2,50.0,50.0,500027.0,10000,6
LHL.N0000,2016-04-04,50.0,50.0,50.0,50.0,100.0,2,1
LHL.N0000,2016-04-05,55.0,55.0,55.0,50.0,1100.0,20,2
LHL.N0000,2016-04-06,55.0,55.0,55.0,55.0,12925.0,235,3
LHL.N0000,2016-04-07,56.0,56.0,56.0,55.0,56.0,1,1
LHL.N0000,2016-04-14,57.0,57.0,57.0,55.0,1368.0,24,1
LHL.N0000,2016-04-17,62.3,62.3,62.3,55.0,560.7,9,1
LHL.N0000,2016-04-21,58.0,58.0,58.0,58.0,12122.0,209,1
LHL.N0000,2016-04-25,51.6,51.6,51.6,58.0,51.6,1,1
LHL.N0000,2016-04-26,52.5,52.5,52.5,52.5,10500.0,200,1
LHL.N0000,2016-05-03,54.5,54.5,54.5,54.5,27250.0,500,1
LHL.N0000,2016-05-04,54.5,54.5,53.4,54.5,16456.8,302,4
LHL.N0000,2016-05-05,59.8,59.8,59.8,54.5,119.6,2,2
LHL.N0000,2016-05-08,55.0,59.9,55.0,57.1,44948.0,798,4
LHL.N0000,2016-05-09,59.0,59.0,59.0,57.1,885.0,15,2
LHL.N0000,2016-05-12,59.0,59.0,59.0,59.0,11859.0,201,3
LHL.N0000,2016-05-15,61.9,61.9,61.9,61.9,12380.0,200,2
LHL.N0000,2016-05-16,58.9,58.9,58.9,61.9,176.7,3,1
LHL.N0000,2016-05-18,61.5,61.8,61.5,61.5,6335.4,103,4
LHL.N0000,2016-05-24,61.0,61.0,61.0,61.0,6100.0,100,1
LHL.N0000,2016-05-25,61.0,61.0,61.0,61.0,13664.0,224,2
LHL.N0000,2016-05-31,59.0,59.0,59.0,59.0,5900.0,100,1
LHL.N0000,2016-06-02,60.5,60.5,60.5,59.0,60.5,1,1
LHL.N0000,2016-06-05,60.4,60.4,60.4,59.0,302.0,5,1
LHL.N0000,2016-06-06,58.5,58.5,58.5,59.0,58.5,1,1
LHL.N0000,2016-06-08,59.9,59.9,59.9,59.0,5450.9,91,1
LHL.N0000,2016-06-09,59.9,59.9,52.9,54.4,22252.4,408,5
LHL.N0000,2016-06-12,59.9,59.9,59.5,59.9,6049.5,101,2
LHL.N0000,2016-06-16,59.5,59.5,59.5,59.5,7378.0,124,1
LHL.N0000,2016-06-20,0.0,0.0,,59.5,25200000.0,400000,1
LHL.N0000,2016-06-21,55.2,55.2,55.2,55.2,198720.0,3600,1
LHL.N0000,2016-06-27,59.5,59.5,59.5,55.2,59.5,1,1
LHL.N0000,2016-06-29,59.5,59.5,55.2,55.7,23778.5,427,6
LHL.N0000,2016-06-30,51.7,57.0,51.7,51.9,53923.0,1039,2
LHL.N0000,2016-07-03,52.0,52.0,52.0,51.9,104.0,2,2
LHL.N0000,2016-07-11,57.0,57.0,57.0,57.0,5700.0,100,1
LHL.N0000,2016-07-12,60.0,60.0,60.0,60.0,6000.0,100,1
LHL.N0000,2016-07-14,55.0,61.8,55.0,55.6,30651.6,551,4
LHL.N0000,2016-07-17,56.0,56.0,56.0,55.6,56.0,1,1
LHL.N0000,2016-07-19,60.9,60.9,60.9,55.6,1705.2,28,2
LHL.N0000,2016-07-20,59.9,59.9,59.9,59.9,7307.8,122,2
LHL.N0000,2016-07-24,59.9,59.9,59.7,59.9,1552.4,26,2
LHL.N0000,2016-07-27,59.8,60.0,53.0,60.0,1067790.4,17818,16
LHL.N0000,2016-08-09,56.3,56.3,56.2,56.3,450010.0,8000,5
LHL.N0000,2016-08-11,53.3,60.0,53.3,60.0,336503.3,5610,8
LHL.N0000,2016-08-14,56.1,56.1,56.1,60.0,56.1,1,1
LHL.N0000,2016-08-17,56.3,57.8,55.0,57.1,332947.4,6000,23
LHL.N0000,2016-08-18,55.4,55.4,55.0,55.2,32570.0,590,2
LHL.N0000,2016-08-25,57.0,57.0,57.0,57.0,134862.0,2366,2
LHL.N0000,2016-08-28,58.0,58.0,58.0,57.0,1160.0,20,2
LHL.N0000,2016-08-29,53.4,53.4,53.4,57.0,534.0,10,1
LHL.N0000,2016-08-30,58.0,58.0,58.0,57.0,4640.0,80,2
LHL.N0000,2016-09-04,58.5,58.5,58.5,57.0,58.5,1,1
LHL.N0000,2016-09-08,58.5,58.5,58.5,57.0,117.0,2,1
LHL.N0000,2016-09-12,57.0,58.5,57.0,58.0,173824.5,2997,2
LHL.N0000,2016-09-14,53.7,53.7,53.7,53.7,268500.0,5000,2
LHL.N0000,2016-09-18,54.0,54.0,53.8,53.8,107640.0,2000,3
LHL.N0000,2016-09-20,53.8,53.8,53.8,53.8,202718.4,3768,2
LHL.N0000,2016-09-21,54.5,54.5,53.8,54.0,107950.0,2000,2
LHL.N0000,2016-09-27,58.8,58.8,58.8,54.0,352.8,6,2
LHL.N0000,2016-10-03,57.0,57.0,57.0,54.0,2850.0,50,1
LHL.N0000,2016-10-04,57.9,58.1,57.9,58.0,46447.7,801,7
LHL.N0000,2016-10-05,55.0,55.0,55.0,58.0,55.0,1,1
LHL.N0000,2016-10-10,57.8,57.9,57.8,58.0,115.7,2,2
LHL.N0000,2016-10-13,59.9,59.9,59.9,58.0,59.9,1,1
LHL.N0000,2016-10-16,53.0,53.0,53.0,58.0,53.0,1,1
LHL.N0000,2016-10-20,58.0,58.0,58.0,58.0,4582.0,79,3
LHL.N0000,2016-10-23,58.0,58.0,58.0,58.0,58.0,1,1
LHL.N0000,2016-10-24,58.0,58.0,58.0,58.0,58.0,1,1
