ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LITE.N0000,2016-01-03,9.0,9.2,9.0,9.0,513155.7,57017,13
LITE.N0000,2016-01-04,9.1,9.1,9.0,9.0,432100.0,48000,8
LITE.N0000,2016-01-05,9.2,9.2,9.1,9.1,506040.0,55400,8
LITE.N0000,2016-01-06,9.0,9.1,8.9,9.1,827470.8,91200,12
LITE.N0000,2016-01-07,9.0,9.1,8.8,9.0,3222686.1,358744,41
LITE.N0000,2016-01-10,8.9,8.9,8.7,8.7,1116683.0,127090,47
LITE.N0000,2016-01-11,8.6,8.6,8.1,8.3,1667565.0,196890,35
LITE.N0000,2016-01-12,8.6,8.7,8.5,8.5,217810.0,25350,24
LITE.N0000,2016-01-13,8.5,8.5,8.0,8.2,328348.5,40000,10
LITE.N0000,2016-01-17,8.1,8.1,8.0,8.0,1356396.0,169397,33
LITE.N0000,2016-01-18,7.7,8.1,7.6,7.9,972879.0,124490,33
LITE.N0000,2016-01-19,8.1,8.2,7.7,7.7,2194135.5,272485,44
LITE.N0000,2016-01-20,7.8,8.0,7.8,7.9,627025.3,79507,24
LITE.N0000,2016-01-21,8.1,8.2,7.9,7.9,433970.0,53800,27
LITE.N0000,2016-01-24,8.0,8.0,8.0,8.0,20000.0,2500,2
LITE.N0000,2016-01-26,7.8,8.2,7.8,7.8,11740.0,1500,2
LITE.N0000,2016-01-27,7.8,7.8,7.8,7.8,3432.0,440,3
LITE.N0000,2016-01-28,7.8,7.8,7.8,7.8,78000.0,10000,5
LITE.N0000,2016-01-31,7.8,8.3,7.8,8.0,69010.0,8550,9
LITE.N0000,2016-02-01,8.1,8.3,8.0,8.1,45988.2,5700,6
LITE.N0000,2016-02-02,8.0,8.0,7.9,7.9,54530.0,6900,7
LITE.N0000,2016-02-04,8.2,8.2,8.0,8.0,10058.2,1251,4
LITE.N0000,2016-02-07,8.0,8.4,8.0,8.3,173270.2,21000,8
LITE.N0000,2016-02-08,7.9,7.9,7.9,7.9,2370.0,300,2
LITE.N0000,2016-02-09,7.9,7.9,7.9,7.9,1975.0,250,1
LITE.N0000,2016-02-10,7.9,8.1,7.9,7.9,429820.0,54400,8
LITE.N0000,2016-02-11,7.9,7.9,7.7,7.8,281601.1,36109,13
LITE.N0000,2016-02-14,7.7,7.7,7.6,7.6,11230.0,1475,3
LITE.N0000,2016-02-15,7.8,8.0,7.0,7.2,323530.3,43691,36
LITE.N0000,2016-02-16,7.1,7.3,7.1,7.3,98560.0,13600,9
LITE.N0000,2016-02-17,7.4,7.4,7.4,7.4,7400.0,1000,2
LITE.N0000,2016-02-18,7.2,7.3,7.2,7.3,295340.0,40600,14
LITE.N0000,2016-02-22,7.2,7.4,7.2,7.2,23080.0,3200,5
LITE.N0000,2016-02-23,7.2,7.3,7.2,7.2,51890.0,7200,7
LITE.N0000,2016-02-24,7.4,7.4,7.2,7.2,61860.0,8500,18
LITE.N0000,2016-02-25,7.3,7.3,7.3,7.3,730.0,100,1
LITE.N0000,2016-02-28,7.2,7.3,7.1,7.2,63567.8,8849,10
LITE.N0000,2016-02-29,7.2,7.2,6.9,6.9,174544.5,24855,23
LITE.N0000,2016-03-01,6.6,6.8,6.6,6.8,35220.0,5200,5
LITE.N0000,2016-03-02,6.8,6.8,6.5,6.6,434870.0,65020,17
LITE.N0000,2016-03-03,6.7,6.8,6.7,6.8,27054.4,4008,4
LITE.N0000,2016-03-07,6.7,6.8,6.4,6.4,505668.7,77671,28
LITE.N0000,2016-03-08,6.3,6.7,5.9,6.5,309604.1,48205,21
LITE.N0000,2016-03-09,6.7,6.9,6.7,6.9,92150.0,13500,6
