ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LLUB.N0000,2016-01-03,345.0,345.0,342.5,342.6,585879.3,1707,31
LLUB.N0000,2016-01-04,344.0,344.0,339.0,339.8,1925162.3,5661,63
LLUB.N0000,2016-01-05,340.0,340.0,339.0,339.4,1396987.6,4117,43
LLUB.N0000,2016-01-06,340.0,340.0,338.0,339.0,1170159.2,3455,35
LLUB.N0000,2016-01-07,339.5,340.0,338.0,339.1,1099179.1,3235,25
LLUB.N0000,2016-01-10,339.0,339.0,337.1,337.2,2351986.9,6970,30
LLUB.N0000,2016-01-11,337.5,337.5,326.5,328.5,2705059.3,8146,82
LLUB.N0000,2016-01-12,330.0,330.0,313.0,313.3,36487615.0,114402,238
LLUB.N0000,2016-01-13,315.0,315.0,299.0,300.0,30340005.9,100276,321
LLUB.N0000,2016-01-17,300.0,307.5,299.0,303.6,8517271.8,28348,71
LLUB.N0000,2016-01-18,307.4,309.8,301.3,308.0,9325845.0,30374,67
LLUB.N0000,2016-01-19,308.0,308.9,306.0,306.1,1708718.2,5566,51
LLUB.N0000,2016-01-20,320.0,320.0,310.0,310.5,3918265.7,12562,60
LLUB.N0000,2016-01-21,310.0,313.0,310.0,310.0,5278712.0,17028,42
LLUB.N0000,2016-01-24,313.0,313.0,310.0,310.0,53015.0,171,9
LLUB.N0000,2016-01-25,310.0,312.0,308.0,308.0,8561796.9,27700,31
LLUB.N0000,2016-01-26,313.0,313.0,310.0,310.0,5046751.5,16278,29
LLUB.N0000,2016-01-27,319.9,319.9,308.5,310.0,38765300.8,125051,73
LLUB.N0000,2016-01-28,318.9,318.9,310.0,313.8,3287388.9,10588,51
LLUB.N0000,2016-01-31,310.1,316.0,310.0,311.5,6430543.3,20737,38
LLUB.N0000,2016-02-01,311.0,311.9,310.0,310.1,13677637.0,44080,54
LLUB.N0000,2016-02-02,311.0,311.0,309.0,309.1,2461363.8,7944,23
LLUB.N0000,2016-02-04,308.0,311.9,308.0,308.1,4803390.4,15521,30
LLUB.N0000,2016-02-07,311.9,311.9,308.0,308.2,1972988.4,6368,20
LLUB.N0000,2016-02-08,309.5,310.0,307.0,307.5,513576.1,1667,20
LLUB.N0000,2016-02-09,307.5,308.0,301.0,301.0,29584896.2,98205,61
LLUB.N0000,2016-02-10,307.4,307.4,301.6,301.7,333072.0,1102,12
LLUB.N0000,2016-02-11,302.0,307.0,301.5,305.5,527866.8,1747,24
LLUB.N0000,2016-02-14,305.0,307.0,301.4,302.0,2486836.1,8237,48
LLUB.N0000,2016-02-15,307.0,307.0,301.5,302.0,3299557.4,10924,30
LLUB.N0000,2016-02-16,302.0,307.0,302.0,302.0,1181177.0,3911,9
LLUB.N0000,2016-02-17,305.0,305.0,302.0,305.0,3084111.0,10210,9
LLUB.N0000,2016-02-18,303.0,305.0,303.0,303.5,645487.0,2127,14
LLUB.N0000,2016-02-22,305.0,305.0,303.0,303.0,247679.6,816,8
LLUB.N0000,2016-02-23,304.0,305.0,304.0,304.8,15888443.2,52252,20
LLUB.N0000,2016-02-24,305.0,308.9,305.0,305.0,765650.8,2508,16
LLUB.N0000,2016-02-25,304.2,308.5,304.1,304.3,272011.8,889,23
LLUB.N0000,2016-02-28,304.2,306.0,304.0,305.4,114921.4,377,12
LLUB.N0000,2016-02-29,306.0,307.0,304.0,304.3,3135306.2,10286,30
LLUB.N0000,2016-03-01,307.9,310.0,305.0,309.4,3532006.4,11404,26
LLUB.N0000,2016-03-02,314.9,315.0,308.1,308.1,103700.8,335,10
LLUB.N0000,2016-03-03,312.0,312.0,307.1,307.3,353009.9,1147,23
LLUB.N0000,2016-03-07,305.0,305.0,302.0,304.0,64894990.9,213519,50
LLUB.N0000,2016-03-08,302.1,304.1,301.9,302.0,58106955.6,192339,33
LLUB.N0000,2016-03-09,304.1,305.5,302.0,302.0,60478515.5,200258,30
LLUB.N0000,2016-03-10,304.4,306.0,302.0,302.0,64366501.3,213122,61
LLUB.N0000,2016-03-13,308.0,308.0,301.0,302.0,45064944.2,149225,30
LLUB.N0000,2016-03-14,305.5,305.5,300.5,301.2,885651.8,2937,27
LLUB.N0000,2016-03-15,300.5,302.0,300.0,301.9,1538629.5,5112,23
LLUB.N0000,2016-03-16,300.2,305.4,300.2,302.0,276111574.8,914265,44
LLUB.N0000,2016-03-17,302.0,303.0,301.6,302.0,1921971.0,6362,33
LLUB.N0000,2016-03-20,301.9,305.5,301.2,301.4,267285.3,886,17
LLUB.N0000,2016-03-22,301.1,305.0,301.1,304.0,35236.0,116,4
LLUB.N0000,2016-03-23,304.0,310.0,304.0,304.0,2372635.4,7804,25
LLUB.N0000,2016-03-27,308.9,308.9,304.0,304.0,3657.7,12,3
LLUB.N0000,2016-03-28,304.7,308.0,304.7,306.4,170063.0,553,7
LLUB.N0000,2016-03-29,305.1,307.9,302.0,302.5,910143.7,3007,30
LLUB.N0000,2016-03-30,302.0,307.5,302.0,305.0,1577397.5,5221,7
LLUB.N0000,2016-03-31,307.5,310.0,307.4,307.6,1012625.5,3293,18
LLUB.N0000,2016-04-03,309.8,312.0,309.8,310.0,2913883.2,9400,57
LLUB.N0000,2016-04-04,312.0,314.0,312.0,312.1,539635.0,1729,29
LLUB.N0000,2016-04-05,314.0,314.0,312.0,313.9,840658.8,2683,15
LLUB.N0000,2016-04-06,313.8,313.8,310.0,311.4,4978917.0,16007,52
LLUB.N0000,2016-04-07,312.0,316.9,312.0,314.8,4801127.8,15312,39
LLUB.N0000,2016-04-10,316.9,317.0,310.0,316.9,159493012.5,514447,81
LLUB.N0000,2016-04-11,312.0,314.9,307.0,313.0,896078.7,2882,42
LLUB.N0000,2016-04-14,313.9,313.9,311.9,312.0,1270228.4,4067,37
LLUB.N0000,2016-04-17,313.5,313.5,313.5,312.0,21631.5,69,2
LLUB.N0000,2016-04-18,313.0,320.0,313.0,313.0,11241529.2,35914,43
LLUB.N0000,2016-04-19,313.0,320.0,313.0,317.9,46735866.4,149257,58
LLUB.N0000,2016-04-21,317.0,318.4,313.0,313.0,202287865.1,646234,48
LLUB.N0000,2016-04-24,319.9,319.9,313.0,313.6,1853655.6,5903,27
LLUB.N0000,2016-04-25,323.9,350.0,320.0,335.4,43819139.5,131421,525
LLUB.N0000,2016-04-26,335.0,338.5,334.9,335.1,10407816.7,31068,75
LLUB.N0000,2016-04-27,335.0,337.0,334.0,334.9,8398925.7,25074,110
LLUB.N0000,2016-04-28,335.0,337.0,335.0,336.9,9236737.8,27422,55
LLUB.N0000,2016-05-02,338.0,339.8,337.0,338.0,15151597.6,44790,101
LLUB.N0000,2016-05-03,338.1,345.0,336.9,337.9,140577244.5,415921,168
LLUB.N0000,2016-05-04,344.8,344.8,340.0,340.0,25495726.7,74951,156
LLUB.N0000,2016-05-05,343.0,344.7,340.0,340.1,6691439.8,19632,70
LLUB.N0000,2016-05-08,344.4,344.4,341.0,343.2,2203261.5,6428,40
LLUB.N0000,2016-05-09,343.5,350.0,343.5,347.8,4586844.3,13283,39
LLUB.N0000,2016-05-10,347.8,347.8,346.5,347.0,4092631.4,11770,41
LLUB.N0000,2016-05-11,347.8,347.8,345.0,345.8,15941357.7,46048,66
LLUB.N0000,2016-05-12,347.0,349.0,344.0,345.0,15822296.6,45742,76
LLUB.N0000,2016-05-15,344.5,346.0,341.0,341.1,7091646.0,20732,74
LLUB.N0000,2016-05-16,341.1,345.0,340.0,342.0,2945161.6,8639,44
LLUB.N0000,2016-05-17,342.0,342.0,339.0,340.0,7191435.0,21133,61
LLUB.N0000,2016-05-18,340.0,340.0,339.1,340.0,34132720.8,100413,46
LLUB.N0000,2016-05-19,340.0,340.0,339.2,339.7,1005286.2,2959,46
LLUB.N0000,2016-05-23,340.0,340.0,339.7,340.0,5164106.0,15190,27
LLUB.N0000,2016-05-24,340.0,340.0,339.2,339.7,825531.0,2429,21
LLUB.N0000,2016-05-25,340.0,340.0,338.9,339.8,3164979.0,9315,33
LLUB.N0000,2016-05-26,339.5,339.8,338.6,338.7,2999261.4,8833,38
LLUB.N0000,2016-05-29,339.0,339.0,338.3,338.9,3972141.6,11720,56
LLUB.N0000,2016-05-30,338.3,338.9,338.0,338.0,7020937.4,20761,43
LLUB.N0000,2016-05-31,338.0,338.0,337.4,337.5,1510422.9,4472,29
LLUB.N0000,2016-06-01,338.0,338.0,336.9,336.9,5121961.3,15188,54
LLUB.N0000,2016-06-02,337.0,337.0,335.9,336.0,8974303.6,26666,68
LLUB.N0000,2016-06-05,336.0,336.0,334.0,334.7,8503148.2,25393,106
LLUB.N0000,2016-06-06,330.0,337.0,329.0,332.9,5077562.9,15248,79
LLUB.N0000,2016-06-12,177.0,177.0,169.9,172.1,29887862.6,173153,245
LLUB.N0000,2016-06-13,173.0,173.0,171.5,172.1,10935595.7,63560,104
LLUB.N0000,2016-06-14,173.0,173.5,170.7,171.0,10384358.2,60308,117
LLUB.N0000,2016-06-15,173.0,173.0,169.8,170.0,21954615.3,128757,190
LLUB.N0000,2016-06-16,165.0,167.0,164.4,165.0,2820178.3,17093,93
LLUB.N0000,2016-06-19,166.0,166.0,164.2,164.9,970616.8,5888,45
LLUB.N0000,2016-06-20,165.0,165.0,164.3,164.5,2585151.0,15707,56
LLUB.N0000,2016-06-21,164.2,164.2,162.5,162.7,1281113.2,7844,55
LLUB.N0000,2016-06-22,163.0,163.0,159.0,159.6,6749812.7,42142,149
LLUB.N0000,2016-06-23,159.0,159.0,155.5,156.4,5510642.1,35114,129
LLUB.N0000,2016-06-26,156.0,156.0,149.8,150.0,22854043.5,151697,280
LLUB.N0000,2016-06-27,151.0,152.0,149.9,150.0,227627159.0,1517487,217
LLUB.N0000,2016-06-28,150.0,150.0,149.5,149.7,87110798.3,581512,98
LLUB.N0000,2016-06-29,149.8,149.8,149.0,149.0,80968021.5,540573,83
LLUB.N0000,2016-06-30,149.7,152.0,149.5,150.0,518364991.7,3462685,489
LLUB.N0000,2016-07-03,154.8,154.8,150.0,150.0,68806489.3,458345,210
LLUB.N0000,2016-07-04,152.0,152.0,149.8,150.0,11936532.2,79581,98
LLUB.N0000,2016-07-06,150.5,154.9,150.0,150.1,284768351.6,1898215,188
LLUB.N0000,2016-07-07,153.9,153.9,150.0,152.5,403835372.7,2692151,327
LLUB.N0000,2016-07-10,152.5,154.0,151.1,153.3,1839183.6,11969,39
LLUB.N0000,2016-07-11,154.0,158.0,154.0,156.6,31925993.7,203588,208
LLUB.N0000,2016-07-12,159.0,161.5,158.5,159.8,41978700.7,262439,191
LLUB.N0000,2016-07-13,160.0,168.5,160.0,168.0,128872413.4,791226,270
LLUB.N0000,2016-07-14,169.0,169.4,161.3,167.3,10399739.1,62672,88
LLUB.N0000,2016-07-17,168.0,168.0,165.0,167.0,1171693.0,7057,40
LLUB.N0000,2016-07-19,167.5,167.9,165.0,165.3,1979489.5,11906,42
LLUB.N0000,2016-07-20,166.0,166.4,164.0,165.7,8936681.8,53880,66
LLUB.N0000,2016-07-21,166.0,166.0,164.4,164.6,8683394.0,52670,67
LLUB.N0000,2016-07-24,165.0,165.0,163.0,164.0,3312686.6,20188,49
LLUB.N0000,2016-07-25,164.0,165.0,163.0,164.4,4160753.0,25370,61
LLUB.N0000,2016-07-26,166.0,166.5,164.6,165.0,19214968.3,116400,157
LLUB.N0000,2016-07-27,167.0,167.0,165.0,165.5,13396531.8,81041,52
LLUB.N0000,2016-07-28,167.5,167.5,164.6,164.9,4401606.7,26677,58
LLUB.N0000,2016-07-31,166.0,167.4,166.0,167.0,5692679.1,34098,80
LLUB.N0000,2016-08-01,167.3,168.0,166.0,167.0,52662189.3,315573,87
LLUB.N0000,2016-08-02,167.0,167.0,164.9,164.9,241295453.6,1462191,138
LLUB.N0000,2016-08-03,164.0,164.0,162.5,163.0,11665615.9,71535,51
LLUB.N0000,2016-08-04,163.9,163.9,162.6,163.0,27796374.6,170527,68
LLUB.N0000,2016-08-07,162.5,164.5,162.5,163.1,14815519.6,90733,75
LLUB.N0000,2016-08-08,162.6,164.0,162.6,163.1,83979059.8,514792,64
LLUB.N0000,2016-08-09,163.1,163.2,163.0,163.0,111322870.7,682545,71
LLUB.N0000,2016-08-10,164.0,164.0,162.8,163.0,52439817.7,321712,42
LLUB.N0000,2016-08-11,163.0,164.0,162.0,162.6,50538441.6,310056,73
LLUB.N0000,2016-08-14,163.0,164.9,162.6,164.9,52995538.8,325897,18
LLUB.N0000,2016-08-15,165.0,165.0,164.0,164.5,2127361.0,12915,52
LLUB.N0000,2016-08-17,164.9,166.9,164.0,164.7,8986704.5,54470,69
LLUB.N0000,2016-08-18,164.0,168.0,162.0,167.4,21692767.0,130674,52
LLUB.N0000,2016-08-21,168.0,168.0,165.3,168.0,30308043.0,180406,20
LLUB.N0000,2016-08-22,167.5,167.8,165.0,167.0,91721185.2,549317,60
LLUB.N0000,2016-08-23,167.0,167.0,166.0,166.0,915428.9,5506,27
LLUB.N0000,2016-08-24,166.7,166.7,164.5,164.8,4707983.1,28476,63
LLUB.N0000,2016-08-25,165.0,165.0,160.0,161.9,2925250.0,18059,92
LLUB.N0000,2016-08-28,162.0,163.9,162.0,163.1,6565697.7,40329,55
LLUB.N0000,2016-08-29,164.0,164.0,163.0,163.0,8516279.0,52245,25
LLUB.N0000,2016-08-30,164.0,164.0,163.1,163.2,515802.6,3154,23
LLUB.N0000,2016-08-31,164.0,164.9,163.1,164.3,12006596.1,73561,14
LLUB.N0000,2016-09-01,164.3,165.4,164.3,165.0,66263732.2,401606,52
LLUB.N0000,2016-09-04,165.1,165.1,164.0,165.0,5640452.6,34314,44
LLUB.N0000,2016-09-05,165.4,165.4,165.0,165.4,30241175.7,183270,30
LLUB.N0000,2016-09-06,165.4,166.9,165.1,166.1,11166156.0,67499,40
LLUB.N0000,2016-09-07,166.5,168.5,166.5,167.0,10850937.6,64699,53
LLUB.N0000,2016-09-08,168.5,168.5,167.0,167.0,747798.9,4465,15
LLUB.N0000,2016-09-12,168.0,170.0,167.0,168.6,52481792.7,309408,98
LLUB.N0000,2016-09-13,168.9,170.0,168.0,168.0,87015749.3,511979,49
LLUB.N0000,2016-09-14,168.1,168.9,168.0,168.0,4815903.0,28656,25
LLUB.N0000,2016-09-18,168.0,170.0,168.0,169.0,84832660.9,499049,58
LLUB.N0000,2016-09-19,169.1,169.1,167.0,167.9,1248127.5,7413,28
LLUB.N0000,2016-09-20,168.5,168.5,167.6,168.0,4348982.5,25852,17
