ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LOFC.N0000,2016-01-03,3.8,3.8,3.6,3.6,73586.8,20261,16
LOFC.N0000,2016-01-04,3.5,3.7,3.5,3.5,95220.0,27200,15
LOFC.N0000,2016-01-05,3.5,3.5,3.5,3.5,21000.0,6000,5
LOFC.N0000,2016-01-06,3.5,3.5,3.5,3.5,171.5,49,1
LOFC.N0000,2016-01-07,3.4,3.7,3.4,3.4,28674.7,8431,13
LOFC.N0000,2016-01-10,3.4,3.4,3.4,3.4,18125.4,5331,12
LOFC.N0000,2016-01-11,3.4,3.4,3.3,3.3,68054.5,20410,14
LOFC.N0000,2016-01-12,3.4,3.4,3.2,3.2,32253.5,9895,11
LOFC.N0000,2016-01-13,3.3,3.3,3.2,3.2,282215.0,88150,15
LOFC.N0000,2016-01-17,3.2,3.2,3.0,3.1,23761.0,7787,12
LOFC.N0000,2016-01-18,3.0,3.2,2.9,3.0,580390.0,192790,32
LOFC.N0000,2016-01-19,3.3,3.3,3.0,3.0,127200.0,42350,23
LOFC.N0000,2016-01-20,3.1,3.1,3.1,3.1,31000.0,10000,3
LOFC.N0000,2016-01-21,3.1,3.2,3.1,3.1,363662.3,116383,22
LOFC.N0000,2016-01-24,3.2,3.2,3.2,3.2,8000.0,2500,1
LOFC.N0000,2016-01-25,3.2,3.2,3.1,3.1,86499.5,27095,10
LOFC.N0000,2016-01-26,3.1,3.2,3.0,3.1,201094.9,64467,29
LOFC.N0000,2016-01-27,3.2,3.2,3.1,3.2,16044.4,5014,3
LOFC.N0000,2016-01-28,3.2,3.3,3.2,3.3,63554.6,19562,6
LOFC.N0000,2016-01-31,3.3,3.3,3.1,3.2,47611.0,14610,10
LOFC.N0000,2016-02-01,3.2,3.2,3.2,3.2,800.0,250,2
LOFC.N0000,2016-02-02,3.3,3.3,3.2,3.2,65920.0,20400,11
LOFC.N0000,2016-02-04,3.3,3.4,3.2,3.3,209621.0,63340,13
LOFC.N0000,2016-02-08,3.3,3.3,3.2,3.3,410.0,125,2
LOFC.N0000,2016-02-09,3.4,3.4,3.3,3.3,46433.0,14010,4
LOFC.N0000,2016-02-10,3.2,3.2,3.2,3.2,256640.0,80200,8
LOFC.N0000,2016-02-11,3.2,3.2,3.1,3.1,412963.2,129426,15
LOFC.N0000,2016-02-14,3.2,3.2,3.1,3.1,33050.0,10500,7
LOFC.N0000,2016-02-15,3.0,3.0,3.0,3.0,15870.0,5290,4
LOFC.N0000,2016-02-16,3.0,3.0,2.9,2.9,475924.0,162770,26
LOFC.N0000,2016-02-17,3.0,3.0,2.8,2.8,606312.5,213225,34
LOFC.N0000,2016-02-18,2.9,3.0,2.9,3.0,145880.0,50300,12
LOFC.N0000,2016-02-22,2.9,2.9,2.9,2.9,4379.0,1510,2
LOFC.N0000,2016-02-23,2.8,2.9,2.8,2.8,115180.0,41100,8
LOFC.N0000,2016-02-24,2.9,3.0,2.8,2.9,250640.0,88400,15
LOFC.N0000,2016-02-25,2.9,2.9,2.9,2.9,58261.0,20090,5
LOFC.N0000,2016-02-28,2.8,2.8,2.8,2.8,11690.0,4175,4
LOFC.N0000,2016-02-29,2.8,2.8,2.8,2.8,1403077.2,501099,16
