ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LVEN.N0000,2016-01-04,43.5,43.5,43.5,43.5,4350.0,100,6
LVEN.N0000,2016-01-05,44.0,44.0,44.0,44.0,9240.0,210,2
LVEN.N0000,2016-01-06,43.5,43.5,43.5,44.0,2566.5,59,3
LVEN.N0000,2016-01-11,43.3,43.5,40.0,40.2,84385.8,2100,4
LVEN.N0000,2016-01-12,40.2,40.2,40.0,40.0,120070.4,3000,3
LVEN.N0000,2016-01-13,43.0,43.0,43.0,43.0,215430.0,5010,2
LVEN.N0000,2016-01-17,40.3,40.3,40.0,40.0,2241262.0,56001,16
LVEN.N0000,2016-01-18,40.0,49.4,38.0,40.0,1303106.4,33929,14
LVEN.N0000,2016-01-21,40.0,40.0,40.0,40.0,46400.0,1160,3
LVEN.N0000,2016-01-24,38.6,45.0,38.0,38.0,3451417.0,90791,48
LVEN.N0000,2016-01-25,42.5,42.5,42.5,42.5,17000.0,400,1
LVEN.N0000,2016-01-26,38.9,38.9,37.6,38.1,49479.5,1300,13
LVEN.N0000,2016-01-27,38.0,39.9,38.0,38.0,95997.5,2525,2
LVEN.N0000,2016-01-28,38.5,40.2,38.5,40.0,71942.5,1825,7
LVEN.N0000,2016-01-31,40.0,40.0,40.0,40.0,24000.0,600,1
LVEN.N0000,2016-02-01,40.1,40.1,40.1,40.0,3609.0,90,1
LVEN.N0000,2016-02-02,40.5,40.5,40.0,40.0,170774.0,4261,8
LVEN.N0000,2016-02-04,39.0,40.0,39.0,40.0,15940.0,401,9
LVEN.N0000,2016-02-07,39.0,39.0,38.1,38.6,15420.0,400,4
LVEN.N0000,2016-02-09,39.3,39.3,38.0,38.5,363428.0,9447,10
LVEN.N0000,2016-02-10,38.0,38.1,38.0,38.0,193900.0,5100,6
LVEN.N0000,2016-02-11,37.4,37.4,37.4,37.4,74800.0,2000,3
LVEN.N0000,2016-02-14,37.3,37.3,37.2,37.2,250700.8,6739,2
LVEN.N0000,2016-02-15,41.9,41.9,41.9,41.9,4190.0,100,1
LVEN.N0000,2016-02-17,37.5,37.6,37.5,41.9,3379.0,90,2
LVEN.N0000,2016-02-18,37.5,41.5,37.5,39.7,9130.0,230,3
LVEN.N0000,2016-02-22,40.0,40.0,40.0,40.0,4000.0,100,1
LVEN.N0000,2016-02-24,38.0,39.9,38.0,38.1,382410.0,10050,14
LVEN.N0000,2016-02-25,38.0,38.0,37.6,38.0,152188.0,4005,4
LVEN.N0000,2016-02-28,36.2,39.4,35.8,36.7,118179.8,3221,16
LVEN.N0000,2016-02-29,39.4,39.4,39.4,39.4,3940.0,100,1
LVEN.N0000,2016-03-02,37.5,37.6,37.5,37.5,318800.0,8500,6
LVEN.N0000,2016-03-03,38.9,38.9,38.9,38.9,5835.0,150,1
LVEN.N0000,2016-03-07,37.1,37.1,37.1,37.1,181790.0,4900,3
LVEN.N0000,2016-03-08,37.1,37.1,37.1,37.1,33390.0,900,3
LVEN.N0000,2016-03-09,40.0,40.0,40.0,40.0,4000.0,100,2
LVEN.N0000,2016-03-14,38.0,38.0,38.0,38.0,133000.0,3500,1
LVEN.N0000,2016-03-16,40.0,40.0,40.0,40.0,240800.0,6020,3
LVEN.N0000,2016-03-17,40.0,40.0,40.0,40.0,40.0,1,1
LVEN.N0000,2016-03-22,38.0,45.0,38.0,44.8,268781.0,6000,4
LVEN.N0000,2016-03-27,40.0,44.0,40.0,41.4,132600.0,3200,4
LVEN.N0000,2016-03-28,43.6,43.6,43.6,43.6,43600.0,1000,1
LVEN.N0000,2016-03-29,43.0,43.0,43.0,43.0,580500.0,13500,2
LVEN.N0000,2016-04-07,42.0,42.0,42.0,42.0,756000.0,18000,7
LVEN.N0000,2016-04-10,42.3,42.3,42.3,42.0,423.0,10,1
LVEN.N0000,2016-04-11,45.0,45.0,45.0,45.0,4500.0,100,1
LVEN.N0000,2016-04-14,45.4,45.5,45.4,45.5,568550.0,12500,5
LVEN.N0000,2016-04-19,45.0,45.0,45.0,45.0,4500.0,100,1
LVEN.N0000,2016-04-26,45.0,45.0,45.0,45.0,45.0,1,1
LVEN.N0000,2016-05-04,40.0,40.0,40.0,40.0,36000.0,900,6
LVEN.N0000,2016-05-05,42.0,42.0,40.5,40.6,53070.0,1300,3
LVEN.N0000,2016-05-08,40.5,40.5,40.2,40.3,44842.8,1114,4
LVEN.N0000,2016-05-11,42.0,42.0,40.0,40.8,102040.0,2501,3
LVEN.N0000,2016-05-12,41.9,41.9,40.0,40.0,9007.5,224,3
LVEN.N0000,2016-05-17,40.6,41.0,40.5,41.0,113580.0,2800,5
LVEN.N0000,2016-05-23,40.0,40.0,40.0,40.0,8000.0,200,1
LVEN.N0000,2016-05-25,40.0,40.0,40.0,40.0,2400.0,60,3
LVEN.N0000,2016-05-26,40.0,40.0,40.0,40.0,4000.0,100,1
LVEN.N0000,2016-05-29,38.5,38.5,38.0,38.1,21824.0,573,5
LVEN.N0000,2016-06-02,40.0,40.0,40.0,40.0,4000.0,100,1
LVEN.N0000,2016-06-12,39.9,40.0,38.1,40.0,477.1,12,3
LVEN.N0000,2016-06-15,39.9,39.9,39.9,39.9,23940.0,600,1
LVEN.N0000,2016-06-16,39.0,39.0,39.0,39.0,194961.0,4999,1
LVEN.N0000,2016-06-19,39.0,39.0,39.0,39.0,58500.0,1500,1
LVEN.N0000,2016-06-21,39.1,39.1,39.1,39.1,39100.0,1000,1
LVEN.N0000,2016-06-23,39.0,39.0,39.0,39.0,234000.0,6000,3
LVEN.N0000,2016-07-04,39.0,39.0,39.0,39.0,3900.0,100,1
LVEN.N0000,2016-07-07,40.0,40.0,39.0,39.8,198900.0,5000,3
LVEN.N0000,2016-07-10,39.0,39.0,39.0,39.0,1037400.0,26600,8
LVEN.N0000,2016-07-11,39.1,39.1,39.0,39.1,292900.0,7500,4
LVEN.N0000,2016-07-13,40.0,40.0,40.0,40.0,40000.0,1000,2
LVEN.N0000,2016-07-14,42.4,43.1,42.4,43.0,258666.1,6022,10
LVEN.N0000,2016-07-17,43.0,43.0,43.0,43.0,387000.0,9000,16
LVEN.N0000,2016-07-20,41.0,41.0,41.0,41.0,123000.0,3000,1
LVEN.N0000,2016-07-21,42.9,44.0,41.5,41.6,573306.0,13100,11
LVEN.N0000,2016-07-24,42.0,42.0,42.0,42.0,8400.0,200,1
LVEN.N0000,2016-07-25,42.0,42.0,41.0,41.0,496450.0,12100,6
LVEN.N0000,2016-07-26,42.9,44.3,42.9,44.0,41734.9,960,8
LVEN.N0000,2016-07-27,42.2,44.2,42.1,43.7,13327.8,305,10
LVEN.N0000,2016-07-28,44.2,44.3,44.2,44.3,30503.8,689,5
LVEN.N0000,2016-07-31,44.0,44.7,44.0,44.4,170944.7,3851,7
LVEN.N0000,2016-08-01,43.0,44.0,43.0,44.0,73431.0,1676,11
LVEN.N0000,2016-08-02,44.7,45.5,44.0,45.2,159428.2,3567,7
LVEN.N0000,2016-08-03,45.2,45.2,45.2,45.2,135600.0,3000,3
LVEN.N0000,2016-08-07,43.7,43.7,43.7,45.2,1005.1,23,1
LVEN.N0000,2016-08-08,45.0,45.0,45.0,45.0,90000.0,2000,1
LVEN.N0000,2016-08-09,45.0,45.0,45.0,45.0,4500.0,100,1
LVEN.N0000,2016-08-10,44.9,45.0,44.9,45.0,179993.0,4000,3
LVEN.N0000,2016-08-11,45.0,45.0,44.9,44.9,455390.0,10120,5
LVEN.N0000,2016-08-14,45.0,45.0,44.9,44.9,11002.5,245,3
LVEN.N0000,2016-08-15,45.0,45.0,44.9,44.9,899.0,20,2
LVEN.N0000,2016-08-17,44.9,44.9,44.8,44.8,155548.5,3465,5
LVEN.N0000,2016-08-18,44.7,45.0,44.7,44.9,314630.0,7000,4
LVEN.N0000,2016-08-22,44.0,44.0,43.9,43.9,44340.0,1010,2
LVEN.N0000,2016-08-23,44.0,49.6,44.0,46.6,989976.0,21575,19
LVEN.N0000,2016-08-24,45.6,45.6,45.6,45.6,45600.0,1000,1
LVEN.N0000,2016-08-25,49.0,49.0,45.8,45.8,67839.8,1417,6
LVEN.N0000,2016-08-28,46.1,49.5,46.1,45.8,725.5,15,2
LVEN.N0000,2016-08-29,46.3,50.0,46.2,49.9,1336185.8,26875,15
LVEN.N0000,2016-08-30,50.0,52.0,49.9,51.0,1175465.6,23165,26
LVEN.N0000,2016-08-31,49.9,53.7,49.9,53.2,2557352.0,48190,32
LVEN.N0000,2016-09-01,51.0,51.0,51.0,51.0,10404.0,204,4
LVEN.N0000,2016-09-04,51.0,52.5,51.0,52.0,1270378.7,24587,29
LVEN.N0000,2016-09-05,51.8,51.8,51.8,52.0,1295.0,25,2
LVEN.N0000,2016-09-06,51.7,51.8,51.0,51.0,46404.6,901,5
LVEN.N0000,2016-09-07,51.1,51.6,51.0,51.0,270481.6,5301,5
LVEN.N0000,2016-09-08,51.0,51.0,51.0,51.0,357000.0,7000,5
LVEN.N0000,2016-09-12,51.1,51.7,51.1,51.5,20580.0,400,3
LVEN.N0000,2016-09-13,51.0,51.5,51.0,51.1,741050.0,14500,9
LVEN.N0000,2016-09-19,49.5,49.5,49.0,49.0,245250.0,5000,4
LVEN.N0000,2016-09-22,45.0,47.0,45.0,45.0,1532879.0,34059,28
LVEN.N0000,2016-09-25,46.9,46.9,46.8,46.9,703000.0,15000,3
LVEN.N0000,2016-09-27,45.5,46.0,45.5,45.9,270800.0,5900,5
LVEN.N0000,2016-09-28,46.5,46.5,46.5,46.5,232500.0,5000,1
LVEN.N0000,2016-09-29,46.9,47.0,46.9,47.0,239690.0,5100,2
LVEN.N0000,2016-10-03,45.9,45.9,45.9,45.9,229500.0,5000,2
LVEN.N0000,2016-10-04,45.9,45.9,45.9,45.9,123930.0,2700,2
LVEN.N0000,2016-10-05,45.8,45.9,45.8,45.9,335115.8,7301,3
LVEN.N0000,2016-10-09,46.0,46.0,46.0,46.0,230000.0,5000,1
LVEN.N0000,2016-10-10,45.0,45.0,45.0,45.0,135000.0,3000,2
LVEN.N0000,2016-10-11,45.5,45.5,45.0,45.0,24775.0,550,3
LVEN.N0000,2016-10-12,46.0,46.0,46.0,46.0,243800.0,5300,2
LVEN.N0000,2016-10-13,45.0,45.0,45.0,45.0,49500.0,1100,2
LVEN.N0000,2016-10-16,44.5,45.0,44.5,44.5,9880.0,222,4
LVEN.N0000,2016-10-20,44.0,44.0,44.0,44.0,1408000.0,32000,5
LVEN.N0000,2016-10-24,43.1,45.5,43.1,43.6,1003133.8,22998,7
LVEN.N0000,2016-10-25,45.0,45.0,45.0,45.0,5355.0,119,3
LVEN.N0000,2016-10-26,45.5,45.5,45.5,45.5,355036.5,7803,5
LVEN.N0000,2016-11-01,45.4,45.4,45.0,45.0,90045.4,2001,3
LVEN.N0000,2016-11-03,44.5,44.5,44.5,44.5,66750.0,1500,2
LVEN.N0000,2016-11-06,44.0,45.5,44.0,45.5,8950.0,200,2
LVEN.N0000,2016-11-15,43.0,43.0,43.0,43.0,21500.0,500,1
LVEN.N0000,2016-11-16,43.0,43.0,43.0,43.0,43000.0,1000,1
LVEN.N0000,2016-11-17,45.0,45.0,44.0,45.0,423580.0,9445,7
LVEN.N0000,2016-11-20,45.0,45.0,45.0,45.0,36090.0,802,1
LVEN.N0000,2016-11-22,43.0,43.0,43.0,43.0,69015.0,1605,5
LVEN.N0000,2016-11-24,43.0,43.0,42.0,42.8,303385.6,7080,6
LVEN.N0000,2016-11-28,41.7,41.7,41.2,41.2,16372.0,397,3
LVEN.N0000,2016-11-29,41.3,41.3,41.3,41.3,49560.0,1200,1
