ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
LWL.N0000,2016-01-03,108.5,109.8,108.5,109.0,1154681.9,10600,10
LWL.N0000,2016-01-04,106.1,108.0,106.0,108.0,537142.0,5057,8
LWL.N0000,2016-01-05,105.1,108.0,105.1,107.9,300233.0,2830,7
LWL.N0000,2016-01-06,105.1,107.9,105.0,107.0,749120.0,7000,9
LWL.N0000,2016-01-07,104.1,107.0,103.1,104.7,1062043.0,10130,29
LWL.N0000,2016-01-10,103.2,108.0,101.0,104.7,1053695.5,10183,27
LWL.N0000,2016-01-11,101.0,101.0,98.1,99.9,3037448.5,30337,43
LWL.N0000,2016-01-12,102.0,102.0,100.0,100.0,207650.0,2070,7
LWL.N0000,2016-01-13,99.1,99.1,99.0,99.0,199486.5,2015,6
LWL.N0000,2016-01-17,98.0,98.0,90.0,90.2,6422622.9,69636,65
LWL.N0000,2016-01-18,90.0,94.2,90.0,92.6,2399501.1,26631,10
LWL.N0000,2016-01-19,91.0,93.9,90.1,93.9,24621.8,268,5
LWL.N0000,2016-01-20,93.5,100.0,93.5,95.3,2400265.5,25253,20
LWL.N0000,2016-01-21,98.0,98.0,94.5,96.2,1317019.0,13842,23
LWL.N0000,2016-01-25,99.0,99.0,93.4,97.9,176316.9,1811,14
LWL.N0000,2016-01-26,98.9,98.9,95.0,95.1,59101.1,616,7
LWL.N0000,2016-01-27,100.2,100.2,95.2,95.6,700445.6,7303,14
LWL.N0000,2016-01-28,100.0,102.0,95.4,96.6,1522242.9,15911,17
LWL.N0000,2016-01-31,99.4,99.4,98.0,99.3,20760.6,209,4
LWL.N0000,2016-02-01,98.0,98.0,97.0,97.0,2581624.2,26609,13
LWL.N0000,2016-02-02,98.0,98.0,96.0,97.2,1307640.0,13430,15
LWL.N0000,2016-02-04,98.0,99.9,97.0,97.5,1006941.0,10278,15
LWL.N0000,2016-02-07,100.0,107.0,100.0,100.1,10468815.5,103367,131
LWL.N0000,2016-02-08,101.4,101.4,100.0,100.4,9148778.2,91156,50
LWL.N0000,2016-02-09,101.0,101.0,100.0,100.0,1017186.1,10100,25
LWL.N0000,2016-02-10,100.0,100.0,99.0,99.0,875123.3,8839,17
LWL.N0000,2016-02-11,99.0,100.0,98.0,99.7,57207502.5,583665,35
LWL.N0000,2016-02-14,99.0,99.9,98.0,98.9,410332.5,4150,11
LWL.N0000,2016-02-15,97.2,99.0,95.0,97.8,1199493.0,12304,25
LWL.N0000,2016-02-16,96.1,98.0,95.5,97.2,1618796.0,16705,19
