ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MADU.N0000,2016-01-03,7.9,7.9,7.8,7.8,11740.0,1500,4
MADU.N0000,2016-01-04,7.9,7.9,7.9,7.9,1580.0,200,1
MADU.N0000,2016-01-05,8.5,8.5,7.9,8.0,6146.5,771,7
MADU.N0000,2016-01-07,7.8,7.8,7.8,7.8,1950.0,250,2
MADU.N0000,2016-01-10,7.7,7.8,7.3,7.6,7608.8,1001,8
MADU.N0000,2016-01-11,7.4,7.8,7.4,7.6,24619.8,3246,6
MADU.N0000,2016-01-12,7.8,7.8,7.5,7.5,4530.0,600,3
MADU.N0000,2016-01-18,7.4,7.4,6.8,6.8,31317.4,4501,7
MADU.N0000,2016-01-19,7.2,7.2,7.2,6.8,7.2,1,1
MADU.N0000,2016-01-20,7.2,7.3,7.2,7.3,21964.8,3009,2
MADU.N0000,2016-01-21,7.3,7.3,7.0,7.3,6354.3,891,3
MADU.N0000,2016-01-24,7.2,7.3,7.2,7.3,45010.0,6200,4
MADU.N0000,2016-01-25,7.3,7.3,6.9,6.9,37527.7,5309,7
MADU.N0000,2016-01-26,7.3,8.0,7.1,7.2,23826.0,3291,13
MADU.N0000,2016-01-27,7.2,7.9,7.2,7.9,80501.9,10280,15
MADU.N0000,2016-01-28,7.8,7.8,7.8,7.9,382.2,49,1
MADU.N0000,2016-01-31,7.2,7.6,7.1,7.6,235164.0,32102,23
MADU.N0000,2016-02-01,7.1,7.7,7.0,7.7,83200.0,11800,16
MADU.N0000,2016-02-02,7.1,7.1,7.0,7.0,50086.2,7103,14
MADU.N0000,2016-02-04,7.5,7.7,7.4,7.5,46665.5,6223,19
MADU.N0000,2016-02-07,7.6,7.6,7.3,7.5,37631.7,5018,5
MADU.N0000,2016-02-08,7.2,7.4,7.0,7.0,63224.0,9010,12
MADU.N0000,2016-02-09,7.0,7.0,6.9,7.0,3933.9,562,8
MADU.N0000,2016-02-10,6.9,7.2,6.7,6.7,85543.0,12581,12
MADU.N0000,2016-02-11,6.9,6.9,6.9,6.9,6900.0,1000,2
MADU.N0000,2016-02-14,6.9,7.3,6.7,7.0,35904.2,5130,11
MADU.N0000,2016-02-15,7.0,7.8,6.8,7.0,86298.1,12458,21
MADU.N0000,2016-02-16,7.7,7.7,7.7,7.0,7.7,1,1
MADU.N0000,2016-02-17,7.4,7.8,7.4,7.5,62213.1,8345,7
MADU.N0000,2016-02-18,7.0,8.9,7.0,7.6,477510.8,62969,38
MADU.N0000,2016-02-22,8.5,8.6,7.5,7.5,44580.9,5366,11
MADU.N0000,2016-02-24,8.2,8.2,7.2,7.2,40518.4,5592,8
MADU.N0000,2016-02-25,8.0,8.0,7.1,7.1,4603.4,644,6
