ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MAL.N0000,2016-01-03,3.4,3.4,3.2,3.2,17046.0,5320,5
MAL.N0000,2016-01-05,3.3,3.3,3.3,3.3,33330.0,10100,2
MAL.N0000,2016-01-06,3.3,3.3,3.2,3.2,3233.0,1010,2
MAL.N0000,2016-01-07,3.2,3.2,3.0,3.0,218912.0,71787,44
MAL.N0000,2016-01-10,3.2,3.2,2.6,2.9,219919.7,78802,43
MAL.N0000,2016-01-11,3.0,3.0,2.8,3.0,137320.7,46083,13
MAL.N0000,2016-01-12,3.1,3.1,2.9,2.9,2060.0,700,4
MAL.N0000,2016-01-13,3.0,3.0,2.9,2.9,36016.1,12419,5
MAL.N0000,2016-01-17,2.8,2.8,2.8,2.8,16800.0,6000,5
MAL.N0000,2016-01-18,2.8,2.8,2.7,2.8,20932.0,7690,10
MAL.N0000,2016-01-19,2.9,2.9,2.9,2.8,2.9,1,1
MAL.N0000,2016-01-20,2.8,2.9,2.8,2.9,449180.0,155000,9
MAL.N0000,2016-01-21,2.9,2.9,2.9,2.9,2320.0,800,1
MAL.N0000,2016-01-24,3.0,3.0,2.8,2.8,62106.9,21911,12
MAL.N0000,2016-01-25,2.9,2.9,2.9,2.9,304.5,105,2
MAL.N0000,2016-01-26,2.9,2.9,2.9,2.9,2.9,1,1
MAL.N0000,2016-01-27,2.8,2.8,2.6,2.6,107033.1,40628,10
MAL.N0000,2016-01-28,2.7,2.9,2.7,2.9,6070.0,2100,3
MAL.N0000,2016-01-31,2.7,2.8,2.7,2.8,38610.0,13800,7
MAL.N0000,2016-02-01,2.9,2.9,2.9,2.9,4935.8,1702,7
MAL.N0000,2016-02-02,2.9,2.9,2.9,2.9,37990.0,13100,5
MAL.N0000,2016-02-04,2.8,2.9,2.8,2.8,12375.2,4384,6
MAL.N0000,2016-02-07,2.9,2.9,2.7,2.8,63189.8,23398,20
MAL.N0000,2016-02-08,2.9,2.9,2.7,2.7,17701.6,6556,5
MAL.N0000,2016-02-09,2.7,2.9,2.7,2.7,5.6,2,2
MAL.N0000,2016-02-10,2.9,2.9,2.9,2.7,2.9,1,1
MAL.N0000,2016-02-11,2.8,2.8,2.8,2.8,1400.0,500,2
