ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MARA.N0000,2016-01-03,2.8,2.8,2.7,2.7,28720.0,10400,4
MARA.N0000,2016-01-04,2.8,2.8,2.6,2.7,54404.0,20145,9
MARA.N0000,2016-01-05,2.7,2.7,2.6,2.6,59900.0,23000,7
MARA.N0000,2016-01-06,2.6,2.7,2.6,2.7,9200.0,3500,3
MARA.N0000,2016-01-07,2.6,2.6,2.5,2.5,75300.0,29000,15
MARA.N0000,2016-01-10,2.6,2.6,2.5,2.5,46402.6,18351,11
MARA.N0000,2016-01-11,2.5,2.6,2.5,2.6,181500.0,69900,13
MARA.N0000,2016-01-12,2.6,2.6,2.5,2.5,55190.0,21440,10
MARA.N0000,2016-01-13,2.5,2.5,2.4,2.5,688304.9,275322,18
MARA.N0000,2016-01-17,2.4,2.4,2.4,2.4,52557.6,21899,5
MARA.N0000,2016-01-18,2.4,2.5,2.3,2.5,186010.0,77900,11
MARA.N0000,2016-01-19,2.5,2.5,2.3,2.3,3130.0,1300,2
MARA.N0000,2016-01-20,2.3,2.5,2.3,2.5,138745.0,59550,13
MARA.N0000,2016-01-21,2.5,2.5,2.4,2.5,197075.0,81235,18
MARA.N0000,2016-01-24,2.4,2.4,2.4,2.4,48240.0,20100,4
MARA.N0000,2016-01-25,2.4,2.5,2.4,2.4,344678.8,143612,12
MARA.N0000,2016-01-26,2.4,2.4,2.4,2.4,554400.0,231000,12
MARA.N0000,2016-01-27,2.3,2.4,2.3,2.4,509504.2,220654,12
MARA.N0000,2016-01-28,2.3,2.3,2.3,2.3,118910.0,51700,14
MARA.N0000,2016-01-31,2.2,2.4,2.2,2.3,64513.0,28010,11
MARA.N0000,2016-02-01,2.3,2.5,2.3,2.5,33087.5,13525,10
MARA.N0000,2016-02-02,2.4,2.4,2.4,2.4,4800.0,2000,1
MARA.N0000,2016-02-04,2.4,2.5,2.4,2.4,9047.6,3769,4
MARA.N0000,2016-02-07,2.4,2.5,2.4,2.5,63721.2,25718,7
MARA.N0000,2016-02-09,2.5,2.5,2.5,2.5,7912.5,3165,5
MARA.N0000,2016-02-10,2.4,2.4,2.4,2.4,45804.0,19085,7
MARA.N0000,2016-02-11,2.4,2.4,2.4,2.4,135360.0,56400,8
MARA.N0000,2016-02-14,2.4,2.5,2.3,2.3,173131.5,73013,14
MARA.N0000,2016-02-15,2.3,2.3,2.3,2.3,8990.7,3909,4
MARA.N0000,2016-02-16,2.3,2.3,2.2,2.3,445182.4,194392,18
MARA.N0000,2016-02-17,2.3,2.3,2.2,2.2,122646.0,54770,18
