ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MBSL.N0000,2016-01-03,15.2,15.2,14.5,14.5,87722.6,6000,10
MBSL.N0000,2016-01-04,14.4,15.1,14.3,14.5,29566.2,2060,5
MBSL.N0000,2016-01-05,14.8,14.8,14.3,14.4,52072.0,3625,9
MBSL.N0000,2016-01-06,14.7,14.7,14.7,14.7,80850.0,5500,4
MBSL.N0000,2016-01-07,14.3,14.3,14.2,14.2,153914.2,10804,11
MBSL.N0000,2016-01-10,14.2,14.5,14.0,14.1,143637.0,10138,12
MBSL.N0000,2016-01-11,14.0,14.0,13.9,13.9,368525.5,26359,16
MBSL.N0000,2016-01-12,13.9,14.0,13.9,14.0,717060.0,51220,10
MBSL.N0000,2016-01-13,14.3,14.3,13.7,13.7,137190.8,9981,10
MBSL.N0000,2016-01-17,14.0,14.0,13.0,13.1,520866.1,39653,20
MBSL.N0000,2016-01-18,13.7,13.7,12.8,13.0,184787.9,14199,20
MBSL.N0000,2016-01-19,13.0,13.0,12.9,13.0,110544.0,8515,13
MBSL.N0000,2016-01-20,13.0,13.6,13.0,13.2,354766.0,27100,20
MBSL.N0000,2016-01-21,13.7,13.7,13.2,13.4,49040.6,3678,10
MBSL.N0000,2016-01-24,13.3,13.3,13.1,13.1,53503.8,4051,9
MBSL.N0000,2016-01-25,13.5,13.5,13.1,13.5,1808.9,135,3
MBSL.N0000,2016-01-26,13.1,13.5,13.1,13.2,21666.1,1647,10
MBSL.N0000,2016-01-27,13.5,13.5,13.2,13.5,12983.3,962,6
MBSL.N0000,2016-01-28,13.5,13.5,13.2,13.2,38426.6,2903,7
MBSL.N0000,2016-01-31,13.5,13.5,13.5,13.5,13081.5,969,3
MBSL.N0000,2016-02-01,13.4,13.8,13.2,13.6,188135.4,13939,12
MBSL.N0000,2016-02-02,13.6,13.6,13.6,13.6,52088.0,3830,3
MBSL.N0000,2016-02-04,13.5,13.8,13.4,13.4,23414.4,1743,6
MBSL.N0000,2016-02-07,13.8,13.8,13.0,13.1,148148.3,11142,11
MBSL.N0000,2016-02-09,12.9,13.5,12.9,13.1,1983.9,151,4
MBSL.N0000,2016-02-10,13.0,13.5,12.1,12.6,150747.3,12032,23
MBSL.N0000,2016-02-14,12.6,12.6,12.2,12.5,103027.1,8310,14
MBSL.N0000,2016-02-15,12.4,12.5,12.4,12.5,28965.4,2320,7
MBSL.N0000,2016-02-16,12.5,12.5,12.3,12.4,112119.8,9026,11
MBSL.N0000,2016-02-17,12.2,12.5,12.2,12.3,41285.0,3330,5
MBSL.N0000,2016-02-18,12.6,13.0,12.0,12.0,390340.5,32334,16
MBSL.N0000,2016-02-22,12.0,12.0,11.6,11.7,572701.2,48390,39
MBSL.N0000,2016-02-23,11.6,11.6,11.6,11.6,1160.0,100,1
MBSL.N0000,2016-02-24,11.9,11.9,11.5,11.5,113476.0,9806,18
MBSL.N0000,2016-02-25,11.9,11.9,11.6,11.7,2926.9,251,4
MBSL.N0000,2016-02-28,11.7,12.0,11.7,11.9,6273.2,528,4
MBSL.N0000,2016-02-29,11.9,11.9,11.8,11.8,118216.8,9986,15
MBSL.N0000,2016-03-01,11.9,11.9,11.7,11.7,566519.4,47778,18
MBSL.N0000,2016-03-02,12.0,12.0,12.0,11.7,24.0,2,1
MBSL.N0000,2016-03-03,11.8,11.8,11.8,11.8,15871.0,1345,4
MBSL.N0000,2016-03-07,11.4,11.4,10.5,10.5,378034.0,35674,18
MBSL.N0000,2016-03-08,10.5,10.7,10.5,10.6,332914.6,31669,13
MBSL.N0000,2016-03-09,10.5,10.9,10.5,10.8,26901.6,2527,4
MBSL.N0000,2016-03-10,11.0,11.0,10.9,10.9,69871.0,6400,7
MBSL.N0000,2016-03-13,11.0,11.8,10.9,10.9,79145.9,7223,16
