ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MGT.N0000,2016-01-03,22.4,22.5,22.3,22.3,1784629.3,79669,38
MGT.N0000,2016-01-04,22.2,22.5,22.2,22.3,1131733.8,50646,37
MGT.N0000,2016-01-05,22.2,22.3,21.8,21.9,1923311.5,87406,64
MGT.N0000,2016-01-06,22.2,22.2,21.5,21.5,1773113.5,82015,45
MGT.N0000,2016-01-07,21.5,21.5,20.8,20.8,1777500.6,84465,66
MGT.N0000,2016-01-10,20.6,20.6,20.1,20.3,2969324.4,146435,73
MGT.N0000,2016-01-11,20.3,20.3,19.5,19.7,9107961.0,458315,99
MGT.N0000,2016-01-12,20.3,20.7,20.0,20.6,3356141.2,163944,96
MGT.N0000,2016-01-13,20.5,20.5,19.6,19.8,2030515.9,102226,73
MGT.N0000,2016-01-17,19.8,19.8,19.0,19.0,2771906.6,144538,89
MGT.N0000,2016-01-18,19.0,19.4,18.5,19.1,7312635.9,388363,134
MGT.N0000,2016-01-19,19.5,20.0,18.3,19.0,2779957.3,147115,80
MGT.N0000,2016-01-20,18.6,19.7,18.5,19.1,4305491.5,224039,111
MGT.N0000,2016-01-21,19.2,20.3,19.2,19.7,16380471.9,826976,261
MGT.N0000,2016-01-24,19.8,19.8,19.2,19.7,5444964.9,278709,44
MGT.N0000,2016-01-25,19.9,20.0,19.3,19.5,422976.9,21703,19
MGT.N0000,2016-01-26,19.5,19.9,19.3,19.7,1386833.9,71147,29
MGT.N0000,2016-01-27,20.0,20.2,19.7,19.8,7533183.1,377107,166
MGT.N0000,2016-01-28,19.8,20.0,19.7,19.9,1623338.5,81953,73
MGT.N0000,2016-01-31,20.0,20.0,19.7,19.7,1568727.8,79373,57
MGT.N0000,2016-02-01,19.7,20.0,19.7,19.7,715687.1,36091,52
MGT.N0000,2016-02-02,19.7,19.7,19.4,19.5,888669.6,45484,36
MGT.N0000,2016-02-04,19.8,19.8,19.3,19.4,1058277.5,53905,26
MGT.N0000,2016-02-07,19.4,19.5,19.2,19.2,847018.5,44060,39
MGT.N0000,2016-02-08,19.2,19.2,18.8,18.9,2604732.5,137117,52
MGT.N0000,2016-02-09,19.0,19.5,19.0,19.0,4826665.4,252161,68
MGT.N0000,2016-02-10,19.2,19.2,18.7,18.7,669979.1,35523,54
MGT.N0000,2016-02-11,18.7,19.0,18.7,18.8,165105.0,8736,19
MGT.N0000,2016-02-14,19.0,19.0,18.3,18.4,560529.6,30519,30
MGT.N0000,2016-02-15,18.8,18.8,18.3,18.3,3976112.1,214782,60
MGT.N0000,2016-02-16,18.3,18.4,18.1,18.3,1241396.2,67930,40
MGT.N0000,2016-02-17,18.5,18.7,18.3,18.3,1513350.3,82117,37
MGT.N0000,2016-02-18,18.4,18.7,18.4,18.5,11572007.0,625582,36
MGT.N0000,2016-02-22,18.5,19.0,18.5,18.6,183353.0,9900,16
MGT.N0000,2016-02-23,18.8,18.9,18.5,18.8,503303.5,27015,21
MGT.N0000,2016-02-24,18.6,18.7,18.5,18.5,242410.0,13100,12
MGT.N0000,2016-02-25,18.3,18.5,18.2,18.3,630678.0,34476,13
MGT.N0000,2016-02-28,18.4,18.4,18.2,18.4,233035.6,12727,20
MGT.N0000,2016-02-29,18.2,18.5,17.8,17.9,1014036.4,56329,34
MGT.N0000,2016-03-01,17.8,18.0,17.6,17.6,2093421.7,118306,51
MGT.N0000,2016-03-02,17.6,17.7,17.5,17.6,959740.6,54611,30
MGT.N0000,2016-03-03,17.8,17.8,17.5,17.6,144806.8,8239,7
MGT.N0000,2016-03-07,17.5,17.5,15.6,16.0,1289464.8,80018,58
MGT.N0000,2016-03-08,15.9,16.3,15.0,16.2,1758622.2,113109,60
MGT.N0000,2016-03-09,16.5,17.5,16.5,17.5,1041825.0,60945,59
MGT.N0000,2016-03-10,17.5,18.2,17.5,17.5,1810353.3,100826,83
MGT.N0000,2016-03-13,17.1,17.3,16.7,17.0,639406.0,37460,27
MGT.N0000,2016-03-14,17.2,17.2,17.0,17.2,103983.2,6056,7
MGT.N0000,2016-03-15,17.8,17.9,17.6,17.8,195245.0,10980,6
MGT.N0000,2016-03-16,18.0,18.3,18.0,18.0,1525555.0,84718,55
MGT.N0000,2016-03-17,18.0,18.0,17.2,17.7,126804.0,7110,7
MGT.N0000,2016-03-20,17.8,18.2,17.6,18.0,196544.5,10985,13
MGT.N0000,2016-03-22,18.4,18.4,17.7,17.8,218175.1,12257,8
MGT.N0000,2016-03-23,18.0,18.3,18.0,18.2,609830.3,33545,9
MGT.N0000,2016-03-27,18.0,18.0,17.6,18.0,1289801.6,71660,39
MGT.N0000,2016-03-28,17.5,17.8,17.5,17.5,66530.0,3800,6
MGT.N0000,2016-03-29,17.9,18.0,17.3,18.0,525636.5,29866,19
MGT.N0000,2016-03-30,17.9,18.2,17.6,18.0,750902.7,41753,29
MGT.N0000,2016-03-31,18.0,18.5,18.0,18.5,652620.3,35534,19
MGT.N0000,2016-04-03,18.5,18.8,18.5,18.8,192050.3,10300,10
MGT.N0000,2016-04-04,18.5,18.8,18.5,18.7,4136532.5,222895,83
MGT.N0000,2016-04-05,18.8,19.0,18.3,18.4,6017097.4,323536,73
MGT.N0000,2016-04-06,18.5,18.8,18.5,18.5,3253363.8,175403,55
MGT.N0000,2016-04-07,18.9,18.9,18.6,18.7,524371.3,28017,20
MGT.N0000,2016-04-10,18.7,18.9,18.5,18.6,702966.1,37602,41
MGT.N0000,2016-04-11,18.8,20.0,18.8,19.5,7950144.2,405424,151
MGT.N0000,2016-04-14,20.0,20.0,19.6,19.9,942003.5,47195,41
MGT.N0000,2016-04-17,19.9,19.9,19.0,19.3,942229.4,48896,35
MGT.N0000,2016-04-18,19.3,19.9,19.2,19.2,1907390.0,98053,28
MGT.N0000,2016-04-19,19.7,20.4,19.6,19.7,3682692.8,184362,68
MGT.N0000,2016-04-21,19.6,20.1,19.5,19.8,1166665.5,59534,25
MGT.N0000,2016-04-24,19.7,19.7,19.1,19.4,2493414.0,128580,44
MGT.N0000,2016-04-25,19.4,19.8,19.4,19.5,470130.9,24098,25
MGT.N0000,2016-04-26,19.4,20.0,19.4,19.9,484955.1,24518,21
MGT.N0000,2016-04-27,19.7,19.8,19.5,19.7,372837.3,19049,15
MGT.N0000,2016-04-28,19.8,20.5,19.6,20.4,13206648.9,652461,225
MGT.N0000,2016-05-02,20.2,21.0,20.2,20.8,17970387.4,861918,290
MGT.N0000,2016-05-03,20.9,21.0,20.5,20.7,6253339.6,299949,148
MGT.N0000,2016-05-04,20.9,20.9,20.5,20.5,427190.0,20700,18
MGT.N0000,2016-05-05,20.8,20.8,20.5,20.6,496200.5,24085,16
MGT.N0000,2016-05-08,20.5,20.6,20.1,20.5,31302616.9,1528496,106
MGT.N0000,2016-05-09,20.8,20.8,20.4,20.5,50720441.4,2473773,231
MGT.N0000,2016-05-10,20.5,21.0,20.5,21.0,5976334.4,285602,138
MGT.N0000,2016-05-11,21.0,21.1,20.5,20.6,4136433.1,197717,84
MGT.N0000,2016-05-12,20.9,20.9,20.6,20.7,1746983.3,84725,25
MGT.N0000,2016-05-15,20.7,20.7,20.5,20.5,2373124.0,115490,53
MGT.N0000,2016-05-16,20.7,20.9,19.8,20.0,3071303.6,151855,92
MGT.N0000,2016-05-17,20.4,20.5,20.1,20.3,655438.0,32467,25
MGT.N0000,2016-05-18,20.3,20.3,19.8,20.0,4161260.0,207993,95
MGT.N0000,2016-05-19,19.9,19.9,19.8,19.9,289930.0,14615,33
MGT.N0000,2016-05-23,19.9,19.9,19.6,19.9,491090.6,24835,25
MGT.N0000,2016-05-24,19.9,20.0,19.6,19.7,502196.1,25446,29
MGT.N0000,2016-05-25,19.6,19.8,19.6,19.6,1611509.2,81577,22
MGT.N0000,2016-05-26,19.6,19.6,19.5,19.6,698388.5,35741,37
MGT.N0000,2016-05-29,19.7,19.7,19.6,19.7,644973.5,32755,15
MGT.N0000,2016-05-30,19.7,19.9,19.4,19.4,799480.6,41037,30
MGT.N0000,2016-05-31,19.4,19.7,19.3,19.5,300332.0,15510,21
MGT.N0000,2016-06-01,19.5,19.7,19.4,19.6,433217.5,22170,17
MGT.N0000,2016-06-02,19.5,20.2,19.5,20.0,3201840.0,160574,73
MGT.N0000,2016-06-05,20.3,20.6,20.2,20.3,5698163.1,279081,100
MGT.N0000,2016-06-06,20.4,20.4,19.8,19.8,1344310.0,67349,42
MGT.N0000,2016-06-07,20.0,20.7,20.0,20.2,23657882.5,1161852,315
MGT.N0000,2016-06-08,20.5,20.5,20.0,20.0,2236448.0,111727,34
MGT.N0000,2016-06-09,20.0,20.2,19.5,20.0,2361281.2,119251,62
MGT.N0000,2016-06-12,20.0,20.0,19.8,19.8,2934080.0,147476,41
MGT.N0000,2016-06-13,19.7,19.8,19.6,19.8,727418.8,36921,27
MGT.N0000,2016-06-14,19.7,19.9,19.5,19.5,2611044.8,133251,47
MGT.N0000,2016-06-15,19.6,19.6,19.3,19.3,968550.0,50085,35
MGT.N0000,2016-06-16,19.3,19.7,19.3,19.6,1074564.3,54915,19
MGT.N0000,2016-06-19,19.4,19.4,19.3,19.3,304368.0,15760,13
MGT.N0000,2016-06-20,19.3,19.5,19.0,19.2,580900.0,30271,32
MGT.N0000,2016-06-21,19.5,19.5,19.2,19.2,563357.0,29146,20
MGT.N0000,2016-06-22,19.2,19.5,19.2,19.2,618651.0,32215,31
MGT.N0000,2016-06-23,19.2,19.2,18.0,18.4,4728945.0,255680,111
MGT.N0000,2016-06-26,18.2,18.2,17.1,17.1,3830793.3,217597,119
MGT.N0000,2016-06-27,17.5,18.1,17.4,17.8,3924454.7,219413,102
MGT.N0000,2016-06-28,17.6,17.6,17.4,17.4,1112327.5,63561,55
MGT.N0000,2016-06-29,17.5,17.8,17.5,17.8,578567.5,32913,27
MGT.N0000,2016-06-30,17.8,17.9,17.5,17.7,744469.0,42310,40
MGT.N0000,2016-07-03,17.7,17.9,17.6,17.6,88569.6,5017,19
MGT.N0000,2016-07-04,17.5,18.3,17.5,18.2,4674679.9,262438,47
MGT.N0000,2016-07-06,18.4,18.4,17.5,18.2,227905.3,12859,19
MGT.N0000,2016-07-07,17.8,18.3,17.8,18.0,1429002.8,79365,39
MGT.N0000,2016-07-10,18.4,18.5,18.0,18.5,1016802.0,55974,24
MGT.N0000,2016-07-11,18.6,19.5,18.6,19.2,815612.0,42875,70
MGT.N0000,2016-07-12,19.0,19.3,18.8,18.8,428086.6,22649,14
MGT.N0000,2016-07-13,18.7,19.0,18.5,18.9,730923.6,39472,17
MGT.N0000,2016-07-14,18.7,18.7,18.5,18.5,10423525.6,563221,46
MGT.N0000,2016-07-17,18.4,18.5,18.4,18.5,1131795.5,61196,31
MGT.N0000,2016-07-19,18.5,18.7,18.4,18.5,400675.0,21650,17
MGT.N0000,2016-07-20,18.5,18.5,18.4,18.4,2441643.0,132398,51
MGT.N0000,2016-07-21,18.4,18.5,18.1,18.2,3968339.3,217629,59
MGT.N0000,2016-07-24,18.2,18.5,18.2,18.4,325583.0,17710,14
MGT.N0000,2016-07-25,18.3,18.3,18.2,18.2,2743944.2,150462,30
MGT.N0000,2016-07-26,18.2,18.6,18.2,18.3,23408623.3,1284507,75
MGT.N0000,2016-07-27,18.2,18.4,18.1,18.2,1023554.7,56467,36
MGT.N0000,2016-07-28,18.5,18.5,18.0,18.1,1247569.6,69080,49
MGT.N0000,2016-07-31,18.3,18.4,18.1,18.2,124099.8,6762,12
MGT.N0000,2016-08-01,18.4,18.6,18.2,18.5,3677175.8,198684,59
MGT.N0000,2016-08-02,18.7,18.7,18.2,18.3,1336762.5,73195,45
MGT.N0000,2016-08-03,18.3,18.3,17.9,18.1,3621657.2,200704,68
MGT.N0000,2016-08-04,18.1,18.1,17.8,17.9,4254034.7,237303,97
MGT.N0000,2016-08-07,17.9,18.4,17.9,18.0,805247.0,44700,24
MGT.N0000,2016-08-08,18.0,18.5,18.0,18.5,3820575.3,208724,91
MGT.N0000,2016-08-09,18.5,18.6,18.4,18.5,361880.5,19533,17
MGT.N0000,2016-08-10,18.5,18.5,18.1,18.2,260677.0,14325,14
MGT.N0000,2016-08-11,18.1,18.3,18.1,18.3,520438.9,28659,11
MGT.N0000,2016-08-14,18.1,18.4,18.1,18.2,719370.9,39459,12
MGT.N0000,2016-08-15,18.2,18.6,18.2,18.5,2640870.4,142683,88
MGT.N0000,2016-08-17,18.4,18.5,18.4,18.5,1003354.5,54237,28
MGT.N0000,2016-08-18,18.6,18.9,18.6,18.8,4294760.7,228802,93
MGT.N0000,2016-08-21,18.6,18.7,18.5,18.5,1893997.0,102336,25
MGT.N0000,2016-08-22,18.4,18.8,18.4,18.6,2206643.4,118814,40
MGT.N0000,2016-08-23,18.6,18.8,18.4,18.7,675954.8,36071,21
MGT.N0000,2016-08-24,18.7,18.7,18.5,18.5,395813.0,21350,16
MGT.N0000,2016-08-25,18.5,18.5,18.3,18.3,677781.6,36749,20
MGT.N0000,2016-08-28,18.6,18.6,18.2,18.2,630766.6,34601,13
MGT.N0000,2016-08-29,18.3,18.5,18.2,18.4,478575.0,26040,21
MGT.N0000,2016-08-30,18.3,18.7,18.3,18.5,13932559.5,752839,103
MGT.N0000,2016-08-31,18.7,18.7,18.5,18.7,1437208.4,77270,30
MGT.N0000,2016-09-01,18.7,18.9,18.5,18.6,1809909.1,96380,44
MGT.N0000,2016-09-04,18.5,18.9,18.5,18.6,661128.0,35588,15
MGT.N0000,2016-09-05,18.4,18.6,18.4,18.4,1629128.8,88507,17
MGT.N0000,2016-09-06,18.3,18.6,18.3,18.4,578019.3,31476,19
MGT.N0000,2016-09-07,18.4,18.4,18.3,18.3,436490.0,23800,13
MGT.N0000,2016-09-08,18.3,18.3,18.3,18.3,20770.5,1135,3
MGT.N0000,2016-09-13,18.3,18.3,18.3,18.3,56364.0,3080,3
MGT.N0000,2016-09-14,18.3,18.3,18.3,18.3,64050.0,3500,2
MGT.N0000,2016-09-18,18.3,18.5,18.3,18.4,126877.0,6890,9
MGT.N0000,2016-09-19,18.3,18.3,18.1,18.3,140135.8,7686,18
MGT.N0000,2016-09-20,18.3,18.5,18.0,18.4,1937724.0,107433,42
MGT.N0000,2016-09-21,18.4,18.7,18.0,18.5,10889617.0,589552,96
MGT.N0000,2016-09-22,18.3,18.6,18.0,18.1,1924810.3,105669,42
MGT.N0000,2016-09-25,18.1,18.5,18.0,18.1,595509.0,32922,31
MGT.N0000,2016-09-26,18.2,18.5,18.0,18.2,954380.0,52460,22
MGT.N0000,2016-09-27,18.3,18.5,18.0,18.1,700298.8,38498,26
MGT.N0000,2016-09-28,18.1,18.4,18.1,18.1,980687.4,54117,30
MGT.N0000,2016-09-29,18.4,18.5,18.3,18.4,1170162.6,63622,42
MGT.N0000,2016-10-02,18.5,18.5,18.2,18.2,338459.3,18596,6
MGT.N0000,2016-10-03,18.2,18.4,18.1,18.1,1508764.4,82690,24
MGT.N0000,2016-10-04,18.4,18.4,18.1,18.1,229255.0,12500,4
MGT.N0000,2016-10-05,18.2,18.2,18.1,18.1,826003.5,45635,12
MGT.N0000,2016-10-06,18.1,18.4,18.1,18.4,266830.0,14600,9
MGT.N0000,2016-10-09,18.2,18.2,18.0,18.0,1292348.1,71398,31
MGT.N0000,2016-10-10,18.1,18.3,18.0,18.0,1782572.2,98994,69
MGT.N0000,2016-10-11,18.0,18.0,17.8,17.8,801206.8,44792,24
MGT.N0000,2016-10-12,17.8,17.8,17.5,17.7,1340773.0,75923,60
MGT.N0000,2016-10-13,17.8,18.0,17.7,17.8,269079.6,15110,15
MGT.N0000,2016-10-16,18.0,18.3,17.8,17.8,5446155.7,302968,264
MGT.N0000,2016-10-17,18.0,18.4,17.8,18.0,1702184.0,94712,70
MGT.N0000,2016-10-18,18.0,18.4,17.9,18.0,4215558.4,234231,94
MGT.N0000,2016-10-19,18.0,18.0,17.7,17.9,174193.7,9722,19
MGT.N0000,2016-10-20,18.0,18.0,17.7,17.7,411759.4,23218,25
MGT.N0000,2016-10-23,17.7,17.7,17.4,17.4,1747091.3,99460,70
MGT.N0000,2016-10-24,17.4,17.5,17.4,17.4,268225.0,15354,13
MGT.N0000,2016-10-25,17.4,17.8,17.4,17.5,706381.2,40511,31
MGT.N0000,2016-10-26,17.5,17.7,17.5,17.5,42806.5,2445,10
MGT.N0000,2016-10-27,17.5,17.5,17.3,17.4,605986.6,34879,30
MGT.N0000,2016-10-30,17.3,17.5,17.2,17.3,616222.7,35633,30
MGT.N0000,2016-10-31,17.4,17.4,17.4,17.4,5220.0,300,1
MGT.N0000,2016-11-01,17.4,17.5,17.3,17.4,131160.0,7552,14
MGT.N0000,2016-11-02,17.3,17.3,16.8,16.9,853435.7,50021,80
MGT.N0000,2016-11-03,17.3,17.3,16.6,16.6,1874131.9,112198,82
MGT.N0000,2016-11-06,17.0,17.0,16.6,16.7,599696.5,35795,36
MGT.N0000,2016-11-07,17.0,17.0,16.7,16.7,199620.1,11914,22
MGT.N0000,2016-11-08,16.7,16.7,16.5,16.6,659107.8,39671,23
MGT.N0000,2016-11-09,16.6,16.6,16.5,16.6,456880.0,27660,17
MGT.N0000,2016-11-10,16.6,16.8,16.6,16.6,34224.6,2061,4
MGT.N0000,2016-11-14,16.7,16.7,16.6,16.6,354292.0,21260,17
MGT.N0000,2016-11-15,16.5,16.5,16.1,16.4,593436.8,36155,42
MGT.N0000,2016-11-16,16.5,16.5,16.4,16.4,32965.0,2010,2
MGT.N0000,2016-11-17,16.2,16.5,16.2,16.5,232695.0,14110,14
MGT.N0000,2016-11-20,16.2,16.2,15.9,15.9,532095.1,32996,40
MGT.N0000,2016-11-21,16.0,16.0,15.7,15.9,114991.5,7293,21
MGT.N0000,2016-11-22,15.9,16.1,15.9,16.0,1245224.0,77941,41
MGT.N0000,2016-11-23,15.8,16.0,15.7,15.7,1202391.8,76425,43
MGT.N0000,2016-11-24,16.0,16.0,15.6,15.7,438232.4,27837,15
MGT.N0000,2016-11-27,15.7,15.7,15.6,15.6,150567.0,9637,17
MGT.N0000,2016-11-28,15.9,15.9,15.5,15.5,260327.3,16779,21
MGT.N0000,2016-11-29,15.6,15.8,15.3,15.4,1888677.0,122336,48
MGT.N0000,2016-11-30,15.4,16.1,15.4,16.0,4578645.6,287000,123
MGT.N0000,2016-12-01,16.0,16.0,15.7,15.8,544701.7,34392,25
MGT.N0000,2016-12-04,15.8,15.8,15.6,15.7,326983.2,20800,29
MGT.N0000,2016-12-05,15.7,15.8,15.7,15.7,59898.0,3810,3
MGT.N0000,2016-12-06,15.8,15.9,15.7,15.8,659209.2,41724,27
MGT.N0000,2016-12-07,15.8,15.8,15.7,15.7,243183.1,15483,8
MGT.N0000,2016-12-08,15.7,15.8,15.7,15.7,414107.6,26372,20
MGT.N0000,2016-12-13,15.8,15.8,15.5,15.5,759988.0,48745,41
MGT.N0000,2016-12-14,15.5,15.7,15.3,15.3,224298.9,14601,25
MGT.N0000,2016-12-15,15.4,15.5,15.1,15.2,555145.6,36335,28
MGT.N0000,2016-12-18,15.1,15.1,14.9,15.0,575137.5,38320,33
MGT.N0000,2016-12-19,15.0,15.0,14.9,15.0,736112.5,49256,28
MGT.N0000,2016-12-20,14.9,15.3,14.9,15.0,1627506.0,108680,43
MGT.N0000,2016-12-21,14.9,15.0,14.9,15.0,3014915.0,201001,12
MGT.N0000,2016-12-22,15.3,15.3,14.9,14.9,2981145.5,200075,9
MGT.N0000,2016-12-26,15.0,15.3,15.0,15.3,18470040.6,1231267,21
MGT.N0000,2016-12-27,15.2,15.3,15.0,15.3,57000.0,3750,10
MGT.N0000,2016-12-28,15.3,15.3,15.0,15.1,378121.6,25093,10
MGT.N0000,2016-12-29,15.0,15.2,14.9,15.0,546222.0,36393,41
MGT.N0000,2017-01-01,15.0,15.0,14.9,14.9,414001.1,27669,24
MGT.N0000,2017-01-02,15.0,15.0,14.9,14.9,148018.6,9914,10
MGT.N0000,2017-01-03,14.9,15.0,14.9,15.0,607699.4,40566,33
MGT.N0000,2017-01-04,15.5,15.5,14.8,14.9,426181.0,28502,17
MGT.N0000,2017-01-05,14.9,15.5,14.9,15.0,8876549.8,587772,125
MGT.N0000,2017-01-08,15.4,17.1,15.1,16.8,26724542.2,1670253,632
MGT.N0000,2017-01-09,17.2,17.2,16.0,16.1,7221228.2,438091,220
MGT.N0000,2017-01-10,16.1,16.7,16.1,16.5,2302165.1,139753,90
MGT.N0000,2017-01-12,17.2,18.0,17.0,17.0,22375043.3,1282125,493
MGT.N0000,2017-01-15,17.3,17.3,16.5,16.6,1598171.4,95890,85
MGT.N0000,2017-01-16,16.9,16.9,16.5,16.6,994595.9,60123,39
MGT.N0000,2017-01-17,16.6,16.7,16.5,16.5,2000492.5,120809,50
MGT.N0000,2017-01-18,16.7,16.7,16.3,16.5,1116038.7,67674,32
MGT.N0000,2017-01-19,16.3,16.5,16.3,16.3,1172812.3,71950,17
MGT.N0000,2017-01-22,16.3,16.3,16.0,16.0,2459220.3,152683,42
MGT.N0000,2017-01-23,16.0,16.2,16.0,16.0,348411.3,21749,15
MGT.N0000,2017-01-24,16.0,16.0,16.0,16.0,137424.0,8589,13
MGT.N0000,2017-01-25,16.0,16.1,16.0,16.1,870986.0,54111,14
MGT.N0000,2017-01-26,16.1,16.1,16.0,16.1,1147072.0,71542,42
MGT.N0000,2017-01-29,15.9,16.1,15.9,16.1,339142.9,21131,22
MGT.N0000,2017-01-30,16.1,16.2,16.0,16.1,323926.0,20194,22
MGT.N0000,2017-01-31,16.0,16.1,16.0,16.0,184918.0,11493,8
MGT.N0000,2017-02-01,15.5,15.6,15.0,15.2,935608.5,60669,54
MGT.N0000,2017-02-02,15.2,15.3,14.9,15.0,779643.8,51809,63
MGT.N0000,2017-02-05,15.1,15.1,14.8,14.9,976463.0,65420,35
MGT.N0000,2017-02-06,14.8,15.3,14.0,15.2,1119559.3,77305,45
MGT.N0000,2017-02-07,15.3,15.5,15.3,15.5,572283.0,36998,25
MGT.N0000,2017-02-08,15.1,15.1,15.0,15.0,347687.5,23110,20
MGT.N0000,2017-02-12,14.9,15.1,14.9,15.0,236176.0,15740,8
MGT.N0000,2017-02-13,15.5,15.5,15.1,15.1,19189.0,1270,6
MGT.N0000,2017-02-14,15.1,15.2,15.1,15.1,128511.0,8510,19
MGT.N0000,2017-02-15,15.1,15.1,15.0,15.1,548065.0,36302,15
MGT.N0000,2017-02-16,15.0,15.1,15.0,15.0,189515.1,12601,8
MGT.N0000,2017-02-19,15.0,15.1,15.0,15.0,377436.0,25161,27
MGT.N0000,2017-02-20,15.0,15.1,15.0,15.0,319692.9,21281,19
MGT.N0000,2017-02-21,15.0,15.2,15.0,15.1,347559.6,23050,13
MGT.N0000,2017-02-22,15.0,15.1,15.0,15.1,272857.5,18119,15
MGT.N0000,2017-02-26,15.0,15.0,14.9,15.0,565135.0,37709,11
MGT.N0000,2017-02-27,14.9,15.0,14.8,14.8,117959.9,7951,15
MGT.N0000,2017-02-28,15.0,15.0,14.9,14.9,390525.1,26040,6
MGT.N0000,2017-03-01,14.9,14.9,14.7,14.7,240234.9,16301,8
MGT.N0000,2017-03-02,14.8,14.9,14.0,14.0,3284979.1,232746,90
MGT.N0000,2017-03-05,14.3,14.3,14.1,14.1,138236.0,9760,10
MGT.N0000,2017-03-06,14.1,14.1,14.0,14.1,212720.0,15100,15
MGT.N0000,2017-03-07,14.0,14.0,14.0,14.0,285600.0,20400,16
MGT.N0000,2017-03-08,14.0,14.0,13.9,13.9,520813.9,37314,33
MGT.N0000,2017-03-09,13.9,13.9,13.7,13.9,789975.2,57244,39
