ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
MHDL.N0000,2016-01-03,8.0,8.3,8.0,8.0,430207.5,53734,13
MHDL.N0000,2016-01-04,8.2,8.2,8.1,8.1,211682.0,26120,4
MHDL.N0000,2016-01-05,8.2,8.4,8.1,8.3,2189295.2,264399,34
MHDL.N0000,2016-01-06,8.4,8.4,8.1,8.2,657191.7,80199,10
MHDL.N0000,2016-01-07,8.1,8.3,8.0,8.2,214950.5,26835,4
MHDL.N0000,2016-01-10,8.0,8.0,8.0,8.0,8800.0,1100,2
MHDL.N0000,2016-01-11,7.8,8.0,7.7,7.9,169921.0,21652,6
MHDL.N0000,2016-01-12,8.0,8.3,7.9,8.1,1810965.6,219350,9
MHDL.N0000,2016-01-13,8.1,8.1,8.0,8.1,40300.0,5000,2
MHDL.N0000,2016-01-17,7.9,8.0,7.9,8.0,31700.0,4000,2
MHDL.N0000,2016-01-18,7.8,8.0,7.8,8.0,390800.0,50100,4
MHDL.N0000,2016-01-19,8.0,8.0,7.5,7.5,750246.3,100031,17
MHDL.N0000,2016-01-20,7.9,7.9,7.8,7.9,1336.0,170,2
MHDL.N0000,2016-01-21,7.7,7.7,7.5,7.5,74290.0,9900,2
MHDL.N0000,2016-01-24,7.8,7.9,7.8,7.8,795.7,102,3
MHDL.N0000,2016-01-26,7.5,7.9,7.5,7.9,8290.0,1100,4
MHDL.N0000,2016-01-27,7.9,8.2,7.5,7.6,643575.8,81704,18
MHDL.N0000,2016-01-28,8.0,8.1,7.9,7.9,791651.5,99570,6
MHDL.N0000,2016-01-31,8.0,8.0,8.0,8.0,120000.0,15000,4
MHDL.N0000,2016-02-01,8.0,8.0,8.0,8.0,128800.0,16100,6
MHDL.N0000,2016-02-04,8.0,8.0,8.0,8.0,8.0,1,1
MHDL.N0000,2016-02-07,7.9,7.9,7.9,7.9,2370.0,300,1
MHDL.N0000,2016-02-08,8.0,8.1,8.0,8.0,158320.0,19779,5
MHDL.N0000,2016-02-09,7.1,8.0,7.1,8.0,4349.8,548,3
MHDL.N0000,2016-02-14,7.6,7.8,7.6,7.8,23580.0,3100,2
MHDL.N0000,2016-02-17,7.4,7.4,7.4,7.4,88800.0,12000,1
MHDL.N0000,2016-02-18,7.6,7.7,7.1,7.6,409472.5,54283,9
MHDL.N0000,2016-02-22,7.8,7.8,7.8,7.6,195.0,25,1
MHDL.N0000,2016-02-24,7.5,7.7,7.5,7.6,90647.5,11881,4
MHDL.N0000,2016-02-28,7.8,7.8,7.8,7.6,78.0,10,1
MHDL.N0000,2016-02-29,7.3,7.6,7.2,7.6,15260.0,2100,3
MHDL.N0000,2016-03-01,7.8,7.8,7.8,7.6,78.0,10,1
MHDL.N0000,2016-03-02,7.9,7.9,7.8,7.8,398106.4,51038,3
MHDL.N0000,2016-03-16,7.2,7.2,7.0,7.2,4951354.4,690626,55
MHDL.N0000,2016-03-17,7.4,7.4,7.1,7.3,174853.0,24500,7
MHDL.N0000,2016-03-20,7.4,7.4,7.3,7.3,1567935.1,214587,11
MHDL.N0000,2016-03-22,7.5,7.5,7.4,7.5,520700.0,69500,6
MHDL.N0000,2016-03-23,7.3,7.3,7.3,7.3,730.0,100,1
MHDL.N0000,2016-03-30,7.2,7.2,7.2,7.2,79200.0,11000,2
MHDL.N0000,2016-03-31,7.0,7.4,7.0,7.4,23720.0,3360,2
MHDL.N0000,2016-04-04,7.4,7.4,7.4,7.4,732.6,99,2
MHDL.N0000,2016-04-10,7.4,7.4,7.1,7.4,35135.0,4750,3
MHDL.N0000,2016-04-11,7.5,7.6,7.5,7.5,268455.0,35790,8
MHDL.N0000,2016-04-19,7.5,7.5,7.5,7.5,11250.0,1500,2
MHDL.N0000,2016-04-25,7.1,7.1,7.1,7.5,71.0,10,1
