ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
NTB.N0000,2016-01-03,88.0,90.0,86.5,87.0,981479.0,10962,42
NTB.N0000,2016-01-04,86.6,86.6,86.6,86.6,742768.2,8577,12
NTB.N0000,2016-01-05,86.5,86.5,86.0,86.1,828832.8,9616,19
NTB.N0000,2016-01-06,86.1,86.1,83.5,83.9,711414.5,8463,42
NTB.N0000,2016-01-07,83.7,85.0,83.0,83.0,2776124.9,33395,26
NTB.N0000,2016-01-10,83.0,83.5,81.5,82.0,1010521.5,12279,32
NTB.N0000,2016-01-11,81.6,82.0,80.0,80.1,6432020.5,79857,58
NTB.N0000,2016-01-12,82.4,82.4,80.1,80.5,644468.3,8008,25
NTB.N0000,2016-01-13,82.2,82.2,79.0,79.1,2115693.5,26565,27
NTB.N0000,2016-01-17,79.0,79.0,77.0,77.1,2579197.8,32914,22
NTB.N0000,2016-01-18,77.0,77.0,76.0,76.0,539898.0,7073,20
NTB.N0000,2016-01-19,78.5,78.5,76.5,77.2,206003.0,2652,13
NTB.N0000,2016-01-20,78.1,78.1,77.0,77.6,1792127.0,23048,44
NTB.N0000,2016-01-21,79.0,79.9,78.0,79.0,4028752.8,50902,26
NTB.N0000,2016-01-24,78.1,79.5,77.1,77.2,287323.6,3700,11
NTB.N0000,2016-01-25,79.9,80.0,78.0,78.2,2082494.2,26547,22
NTB.N0000,2016-01-26,79.0,79.0,78.5,79.0,84520.0,1070,7
NTB.N0000,2016-01-27,79.0,79.0,77.9,78.0,1452461.1,18608,28
NTB.N0000,2016-01-28,79.9,79.9,77.7,77.9,6107104.0,78409,28
NTB.N0000,2016-01-31,78.0,78.8,78.0,78.0,2094555.0,26850,15
NTB.N0000,2016-02-01,79.9,81.0,79.8,80.8,2235414.0,27870,15
NTB.N0000,2016-02-02,80.0,80.5,79.0,80.5,4113250.3,51450,36
NTB.N0000,2016-02-04,80.0,81.5,79.0,80.1,1306894.0,16326,11
NTB.N0000,2016-02-07,80.0,80.0,79.0,79.0,527201.0,6664,16
NTB.N0000,2016-02-08,79.0,80.0,79.0,79.0,602100.0,7620,16
NTB.N0000,2016-02-09,79.0,79.9,79.0,79.1,834367.0,10555,7
NTB.N0000,2016-02-10,79.1,79.8,78.3,79.0,1852417.9,23439,9
NTB.N0000,2016-02-11,78.3,78.3,77.5,77.5,112963.0,1450,7
NTB.N0000,2016-02-14,79.0,79.0,77.5,77.6,108479.0,1389,7
NTB.N0000,2016-02-15,77.0,77.0,76.5,76.6,260959.6,3405,19
NTB.N0000,2016-02-16,77.0,77.0,75.8,77.0,23476690.0,305159,64
NTB.N0000,2016-02-17,77.0,77.0,75.0,75.0,564347.5,7508,17
NTB.N0000,2016-02-18,75.0,77.0,75.0,77.0,7863690.0,102135,9
NTB.N0000,2016-02-22,77.9,77.9,76.5,76.5,53627.9,701,2
NTB.N0000,2016-02-23,77.0,77.8,76.2,76.2,901624.0,11795,23
NTB.N0000,2016-02-24,77.0,77.0,76.0,76.0,353510.0,4650,12
NTB.N0000,2016-02-25,76.0,76.0,75.6,75.9,243524.8,3205,7
NTB.N0000,2016-02-28,76.0,77.0,75.5,75.6,444229.0,5865,27
NTB.N0000,2016-02-29,76.0,76.0,75.5,75.5,1310228.0,17344,21
NTB.N0000,2016-03-01,75.5,76.0,75.5,75.5,810583.5,10735,9
NTB.N0000,2016-03-02,75.9,75.9,75.0,75.0,477813.8,6367,16
NTB.N0000,2016-03-03,75.0,75.1,75.0,75.1,377105.3,5028,10
NTB.N0000,2016-03-07,75.0,75.0,73.5,74.9,76027377.5,1011233,27
NTB.N0000,2016-03-08,75.1,75.1,73.5,75.0,63538645.1,847377,31
NTB.N0000,2016-03-09,74.9,74.9,74.9,75.0,599.2,8,1
NTB.N0000,2016-03-10,74.9,74.9,74.8,74.8,160184.5,2140,12
NTB.N0000,2016-03-13,74.8,74.8,73.1,73.1,410958.2,5567,11
NTB.N0000,2016-03-14,73.5,74.0,73.1,73.5,590697.5,8017,17
NTB.N0000,2016-03-15,73.0,73.5,73.0,73.5,467234.5,6366,17
NTB.N0000,2016-03-16,73.3,74.5,73.3,74.5,316898.1,4279,9
NTB.N0000,2016-03-17,74.0,74.0,74.0,74.0,51874.0,701,5
NTB.N0000,2016-03-20,76.0,77.0,74.0,77.0,754941.1,9940,17
NTB.N0000,2016-03-22,77.0,77.0,75.1,76.6,47532.2,620,5
NTB.N0000,2016-03-23,75.0,77.0,73.2,76.9,2014047.0,27001,13
NTB.N0000,2016-03-27,75.2,75.2,74.8,75.0,250460.0,3340,7
NTB.N0000,2016-03-28,75.0,75.0,73.6,74.0,1206191.0,16220,21
NTB.N0000,2016-03-29,76.9,76.9,75.1,75.5,5344829.8,70794,9
NTB.N0000,2016-03-30,75.9,75.9,74.0,74.2,3099359.6,41775,37
NTB.N0000,2016-03-31,74.2,74.2,73.8,73.9,277394.0,3750,19
NTB.N0000,2016-04-03,75.5,75.5,75.5,73.9,679.5,9,2
NTB.N0000,2016-04-04,75.0,75.5,75.0,75.5,260595.0,3471,13
NTB.N0000,2016-04-05,76.9,76.9,73.0,73.2,71731.8,978,12
NTB.N0000,2016-04-06,73.7,77.8,73.5,76.8,1902201.4,24902,26
NTB.N0000,2016-04-07,76.0,78.0,76.0,76.9,262601.4,3438,16
NTB.N0000,2016-04-10,78.0,78.0,76.0,76.1,915628.9,11900,17
NTB.N0000,2016-04-11,76.8,78.0,76.2,78.0,1248912.8,16192,31
NTB.N0000,2016-04-14,78.9,83.0,78.9,80.1,797446.3,9953,32
NTB.N0000,2016-04-17,79.0,79.0,77.2,78.9,360990.8,4614,21
NTB.N0000,2016-04-18,78.0,78.9,78.0,78.5,733345.0,9385,20
NTB.N0000,2016-04-19,78.5,78.9,78.5,78.5,78657.8,1002,5
NTB.N0000,2016-04-21,78.9,79.0,77.5,78.0,221225.3,2836,21
NTB.N0000,2016-04-24,78.5,78.5,76.0,77.0,964916.3,12600,23
NTB.N0000,2016-04-25,78.5,78.5,76.1,78.4,523689.0,6726,9
NTB.N0000,2016-04-26,78.0,78.6,76.2,78.5,1385155.5,17814,22
NTB.N0000,2016-04-27,78.9,79.0,78.5,78.6,5711249.9,72341,16
NTB.N0000,2016-04-28,78.5,81.0,78.5,81.0,2573562.5,32186,21
NTB.N0000,2016-05-02,81.9,86.0,81.9,85.0,7892083.3,93053,62
NTB.N0000,2016-05-03,85.5,88.9,84.0,85.0,823756.5,9689,21
NTB.N0000,2016-05-04,85.5,85.5,82.1,84.9,1975171.8,23407,33
NTB.N0000,2016-05-05,82.6,85.0,82.6,84.7,913067.8,10803,11
NTB.N0000,2016-05-08,85.0,85.8,83.5,85.0,5050275.1,59078,37
NTB.N0000,2016-05-09,85.0,88.0,85.0,87.0,2704330.8,31211,30
NTB.N0000,2016-05-10,87.0,87.0,85.0,86.1,231934.0,2710,9
NTB.N0000,2016-05-11,87.0,87.0,85.0,85.3,1263036.9,14574,30
NTB.N0000,2016-05-12,87.0,87.0,85.0,85.8,1179099.1,13720,19
NTB.N0000,2016-05-15,85.5,86.9,85.5,86.0,1007282.0,11707,24
NTB.N0000,2016-05-16,86.9,86.9,85.0,85.0,8764762.7,103099,18
NTB.N0000,2016-05-17,85.0,86.8,84.5,84.5,74109.6,872,8
NTB.N0000,2016-05-18,84.5,85.5,84.5,84.9,6035461.5,70627,10
NTB.N0000,2016-05-19,84.5,85.0,84.0,84.9,493448.5,5823,10
NTB.N0000,2016-05-23,85.1,85.1,82.5,82.5,166300.0,2000,3
NTB.N0000,2016-05-24,82.0,83.5,82.0,83.5,767900.0,9200,4
NTB.N0000,2016-05-25,83.0,83.0,82.0,82.0,106960.0,1300,7
NTB.N0000,2016-05-26,81.9,81.9,81.0,81.0,2012211.9,24831,14
NTB.N0000,2016-05-29,80.5,80.5,79.1,80.2,135177.8,1686,7
NTB.N0000,2016-05-30,79.7,79.7,79.0,79.2,13794.1,174,4
NTB.N0000,2016-05-31,78.9,78.9,78.8,78.8,264295.0,3350,5
NTB.N0000,2016-06-01,78.1,78.1,77.6,77.6,566187.2,7282,17
NTB.N0000,2016-06-02,78.0,79.5,78.0,79.1,246009.0,3127,15
NTB.N0000,2016-06-05,78.5,81.0,78.0,80.4,4038937.0,50460,40
NTB.N0000,2016-06-06,80.0,80.0,79.0,79.2,373841.0,4720,8
NTB.N0000,2016-06-07,80.4,80.4,79.0,79.9,192199.0,2401,5
NTB.N0000,2016-06-08,80.0,80.0,79.1,79.5,81339.1,1023,4
NTB.N0000,2016-06-09,80.0,80.0,79.2,80.0,12686039.2,158576,11
NTB.N0000,2016-06-12,79.2,79.2,79.0,79.0,169067.1,2140,4
NTB.N0000,2016-06-13,78.0,78.0,77.5,77.7,26407.5,340,3
NTB.N0000,2016-06-14,77.5,78.0,77.5,78.0,105268.0,1356,7
NTB.N0000,2016-06-15,77.1,77.1,77.0,77.0,79311.0,1030,5
NTB.N0000,2016-06-16,78.0,78.0,78.0,78.0,377832.0,4844,3
NTB.N0000,2016-06-19,78.0,78.0,77.0,77.0,424650.6,5511,11
NTB.N0000,2016-06-20,76.5,76.9,76.0,76.1,8372056.0,110020,16
NTB.N0000,2016-06-21,76.2,76.3,76.0,76.1,5916914.2,77556,14
NTB.N0000,2016-06-22,75.2,78.8,75.2,75.9,7353091.8,96376,13
NTB.N0000,2016-06-23,75.5,75.5,75.0,75.0,316320.5,4211,15
NTB.N0000,2016-06-26,75.5,75.5,75.5,75.0,755.0,10,1
NTB.N0000,2016-06-27,74.1,75.4,74.0,75.0,18633582.0,248460,15
NTB.N0000,2016-06-28,75.0,75.5,75.0,75.1,10334579.0,137793,48
NTB.N0000,2016-06-29,76.0,76.0,76.0,75.1,2280.0,30,1
NTB.N0000,2016-06-30,75.0,75.1,75.0,75.0,119045.5,1587,7
NTB.N0000,2016-07-03,75.5,75.5,75.0,75.0,327725.0,4369,7
NTB.N0000,2016-07-04,75.0,76.0,75.0,76.0,400860.0,5335,5
NTB.N0000,2016-07-06,76.5,79.0,76.5,76.7,1630810.7,21315,7
NTB.N0000,2016-07-10,77.0,79.0,77.0,77.0,61600.0,800,1
NTB.N0000,2016-07-11,77.7,79.0,77.7,79.0,5062574.2,64117,24
NTB.N0000,2016-07-12,79.0,80.0,78.0,79.6,11491996.8,145406,28
NTB.N0000,2016-07-13,80.0,80.0,78.0,79.0,513505.0,6505,7
NTB.N0000,2016-07-14,79.0,81.0,79.0,80.2,121018.6,1515,15
NTB.N0000,2016-07-17,81.0,81.0,79.1,80.0,824095.9,10290,19
NTB.N0000,2016-07-19,80.4,80.5,79.6,79.7,297622.5,3725,7
NTB.N0000,2016-07-20,80.0,81.0,80.0,81.0,3894685.5,48093,44
NTB.N0000,2016-07-21,80.9,81.9,80.5,81.0,1685961.5,20818,19
NTB.N0000,2016-07-24,81.5,81.5,80.0,80.2,88500.0,1100,9
NTB.N0000,2016-07-25,81.0,81.1,81.0,81.0,1236241.0,15261,9
NTB.N0000,2016-07-26,81.5,81.5,80.5,80.5,1075286.1,13354,18
NTB.N0000,2016-07-27,80.1,80.1,80.0,80.0,2119440.0,26490,16
NTB.N0000,2016-07-28,79.1,80.0,79.1,80.0,6527.6,82,2
NTB.N0000,2016-07-31,79.5,81.0,79.1,79.5,49461.2,622,3
NTB.N0000,2016-08-01,81.0,84.0,81.0,83.6,149700.1,1833,18
NTB.N0000,2016-08-02,83.5,83.9,82.0,82.0,443445.0,5335,10
NTB.N0000,2016-08-03,82.0,82.0,81.0,81.0,815905.0,10027,18
NTB.N0000,2016-08-04,82.5,83.0,80.0,80.8,180181.7,2211,15
NTB.N0000,2016-08-07,80.0,81.0,80.0,80.9,1159906.3,14342,13
NTB.N0000,2016-08-08,80.0,81.8,80.0,81.8,846194.0,10401,13
NTB.N0000,2016-08-09,82.0,82.0,81.0,81.1,82839.0,1020,11
NTB.N0000,2016-08-10,81.0,82.0,81.0,81.0,207834.0,2562,14
NTB.N0000,2016-08-11,81.0,81.0,80.4,81.0,6146375.8,75903,25
NTB.N0000,2016-08-14,81.4,82.0,81.0,81.5,134458.6,1650,10
NTB.N0000,2016-08-15,80.6,80.6,80.0,80.1,289676.8,3618,15
NTB.N0000,2016-08-17,80.1,81.5,80.1,80.4,11763400.5,144371,12
NTB.N0000,2016-08-18,80.2,81.0,80.0,80.4,208899.2,2601,10
NTB.N0000,2016-08-21,81.0,82.0,80.1,81.1,2295696.3,28364,27
NTB.N0000,2016-08-22,81.5,81.5,81.4,81.5,313514.8,3847,14
NTB.N0000,2016-08-23,81.5,82.0,81.0,81.8,948664.4,11655,17
NTB.N0000,2016-08-24,81.0,81.5,81.0,81.5,6353463.5,77959,7
NTB.N0000,2016-08-25,81.0,81.0,81.0,81.0,791289.0,9769,7
NTB.N0000,2016-08-28,81.0,81.9,81.0,81.0,17261618.1,211803,11
NTB.N0000,2016-08-29,81.9,82.5,80.5,80.5,761290.8,9368,9
NTB.N0000,2016-08-30,80.6,82.0,80.5,81.1,16299725.9,201229,15
NTB.N0000,2016-08-31,81.3,81.3,81.2,81.1,2437.0,30,3
NTB.N0000,2016-09-01,81.2,81.2,81.0,81.1,5233671.0,64550,14
NTB.N0000,2016-09-04,81.0,82.0,81.0,81.0,1146637.0,14156,13
NTB.N0000,2016-09-05,80.6,81.0,80.6,81.0,980412.4,12104,8
NTB.N0000,2016-09-06,80.5,80.5,80.0,80.0,289570.0,3616,10
NTB.N0000,2016-09-07,80.0,81.0,80.0,81.0,2002952.0,24762,10
NTB.N0000,2016-09-08,80.1,80.5,79.2,80.2,247160.3,3088,9
NTB.N0000,2016-09-12,80.5,82.5,80.0,80.0,157935.0,1958,5
NTB.N0000,2016-09-13,80.0,81.0,80.0,80.0,965850.5,12073,14
NTB.N0000,2016-09-14,81.0,81.0,80.0,80.0,4650130.0,57460,12
NTB.N0000,2016-09-18,81.9,81.9,80.2,80.5,2061356.0,25450,5
NTB.N0000,2016-09-19,80.6,80.6,80.5,80.6,64450.0,800,3
NTB.N0000,2016-09-20,81.0,81.5,80.7,81.0,2477408.0,30585,10
NTB.N0000,2016-09-21,81.5,81.9,81.5,81.5,2442703.0,29970,9
NTB.N0000,2016-09-22,81.1,81.9,81.0,81.7,153141.9,1875,12
NTB.N0000,2016-09-25,81.1,82.0,81.1,81.9,293919.0,3590,9
NTB.N0000,2016-09-26,81.9,82.8,81.9,82.1,11799400.5,143865,23
NTB.N0000,2016-09-27,82.8,83.4,82.8,83.3,944672.1,11364,17
NTB.N0000,2016-09-28,82.9,83.8,82.9,83.5,735827.5,8824,11
NTB.N0000,2016-09-29,82.6,84.0,82.5,83.9,2682849.6,32010,57
NTB.N0000,2016-10-02,83.5,83.5,82.5,82.6,2658981.8,31953,20
NTB.N0000,2016-10-03,83.8,84.5,83.8,84.0,5617130.1,66882,49
NTB.N0000,2016-10-04,83.5,84.0,83.4,83.5,1909916.0,22874,13
NTB.N0000,2016-10-05,84.0,84.0,83.4,83.4,3026434.2,36033,24
NTB.N0000,2016-10-06,83.4,84.5,83.4,84.0,741792.4,8841,12
NTB.N0000,2016-10-09,84.4,85.0,84.0,84.0,427019.5,5042,21
NTB.N0000,2016-10-10,84.5,84.9,84.5,84.9,333578.4,3934,10
NTB.N0000,2016-10-11,84.7,84.7,83.0,83.5,1195505.2,14286,18
NTB.N0000,2016-10-12,83.0,83.0,82.0,82.0,11334558.0,138214,25
NTB.N0000,2016-10-13,82.0,83.0,81.2,81.4,18751.5,230,6
NTB.N0000,2016-10-16,81.5,82.3,81.5,81.5,32763.8,402,4
NTB.N0000,2016-10-17,81.1,82.0,80.5,81.8,1323219.0,16236,41
NTB.N0000,2016-10-18,81.0,82.2,81.0,81.9,14030337.2,171356,19
NTB.N0000,2016-10-19,82.0,82.0,82.0,82.0,12767400.0,155700,4
NTB.N0000,2016-10-20,82.1,83.0,82.1,82.5,362057.5,4388,16
NTB.N0000,2016-10-23,82.5,82.5,80.0,80.1,104964.5,1305,17
NTB.N0000,2016-10-24,82.0,82.0,80.2,81.0,525719.8,6522,9
NTB.N0000,2016-10-25,80.3,81.0,80.3,81.0,81284.0,1008,4
NTB.N0000,2016-10-26,82.5,82.5,80.5,80.5,46710.0,580,5
NTB.N0000,2016-10-27,80.5,80.6,80.5,80.6,192584.0,2390,6
NTB.N0000,2016-10-30,81.0,81.2,80.5,80.6,339891.0,4212,13
