ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ONAL.N0000,2016-01-03,58.2,58.2,58.1,58.1,14537.0,250,4
ONAL.N0000,2016-01-04,58.1,58.1,58.1,58.1,116.2,2,2
ONAL.N0000,2016-01-05,58.1,58.1,56.6,57.6,18325.8,318,5
ONAL.N0000,2016-01-06,57.1,58.0,57.1,57.2,6232.0,109,2
ONAL.N0000,2016-01-07,57.3,58.0,57.1,57.1,17192.0,301,4
ONAL.N0000,2016-01-10,57.0,57.0,57.0,57.0,57399.0,1007,2
ONAL.N0000,2016-01-17,57.1,57.1,56.0,56.0,215966.0,3810,8
ONAL.N0000,2016-01-19,56.1,56.1,54.5,54.5,138766.0,2500,5
ONAL.N0000,2016-01-20,55.0,55.0,55.0,54.5,825.0,15,1
ONAL.N0000,2016-01-21,60.0,60.0,59.3,59.3,8065.5,136,3
ONAL.N0000,2016-02-02,59.0,59.0,55.0,57.3,9915.0,173,3
ONAL.N0000,2016-02-07,55.0,55.0,55.0,55.0,7645.0,139,3
ONAL.N0000,2016-02-09,52.1,58.9,52.1,52.2,6053.4,116,4
ONAL.N0000,2016-02-18,57.0,57.0,57.0,52.2,2850.0,50,1
ONAL.N0000,2016-02-22,57.0,57.0,57.0,57.0,5700.0,100,1
ONAL.N0000,2016-02-23,56.7,56.7,56.0,57.0,2324.0,41,2
ONAL.N0000,2016-02-24,52.1,52.1,52.1,57.0,1771.4,34,3
ONAL.N0000,2016-02-25,52.0,52.0,51.0,57.0,3625.0,71,3
ONAL.N0000,2016-02-29,52.0,52.0,51.0,51.5,102652.0,1993,5
ONAL.N0000,2016-03-03,52.0,52.0,52.0,52.0,28964.0,557,1
ONAL.N0000,2016-03-07,52.0,52.0,51.0,51.3,99636.0,1943,3
ONAL.N0000,2016-03-08,50.0,51.0,50.0,51.0,10400.0,204,2
ONAL.N0000,2016-03-09,53.0,53.0,53.0,51.0,530.0,10,1
ONAL.N0000,2016-03-10,51.0,51.0,51.0,51.0,102000.0,2000,6
ONAL.N0000,2016-03-14,50.3,50.3,50.0,51.0,3450.9,69,2
ONAL.N0000,2016-03-22,52.0,52.0,52.0,52.0,5200.0,100,1
ONAL.N0000,2016-03-27,50.5,50.5,50.3,50.3,6290.5,125,3
ONAL.N0000,2016-03-28,51.0,51.0,51.0,51.0,5100.0,100,2
ONAL.N0000,2016-03-30,50.5,51.4,50.1,50.2,136427.9,2715,10
ONAL.N0000,2016-04-07,52.5,53.0,52.5,52.8,121126.5,2295,6
ONAL.N0000,2016-04-10,53.0,53.0,53.0,53.0,96937.0,1829,1
ONAL.N0000,2016-04-11,56.5,58.0,56.5,57.5,99177.5,1725,5
ONAL.N0000,2016-04-17,58.0,58.0,54.5,57.5,1067.0,19,2
ONAL.N0000,2016-04-19,57.9,57.9,57.9,57.5,1158.0,20,1
ONAL.N0000,2016-04-25,57.0,57.0,57.0,57.5,285.0,5,1
ONAL.N0000,2016-04-27,58.0,58.0,58.0,58.0,86478.0,1491,7
ONAL.N0000,2016-05-02,58.0,62.0,58.0,58.0,290124.0,5002,4
ONAL.N0000,2016-05-03,58.5,58.5,58.5,58.5,58500.0,1000,2
ONAL.N0000,2016-05-04,58.5,58.5,58.0,58.0,10328.0,178,3
ONAL.N0000,2016-05-12,56.0,58.5,56.0,58.5,73880.5,1263,5
ONAL.N0000,2016-05-17,57.0,58.0,57.0,57.0,6956.0,122,3
ONAL.N0000,2016-05-18,58.4,64.8,58.4,59.4,471504.2,7754,18
