ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PEG.N0000,2016-01-03,42.0,42.0,42.0,42.0,4914.0,117,1
PEG.N0000,2016-01-05,41.8,41.8,40.0,40.3,6951.0,170,5
PEG.N0000,2016-01-06,40.5,40.5,40.5,40.3,364.5,9,1
PEG.N0000,2016-01-10,39.5,39.5,37.0,37.4,17355.5,450,4
PEG.N0000,2016-01-11,37.1,37.1,37.0,37.0,74012.5,2000,5
PEG.N0000,2016-01-13,36.9,36.9,36.9,36.9,1111797.0,30130,3
PEG.N0000,2016-01-17,35.9,39.0,34.2,34.3,37019.0,1076,12
PEG.N0000,2016-01-18,34.2,34.2,34.2,34.2,17100.0,500,5
PEG.N0000,2016-01-19,38.0,38.0,34.4,34.2,210.0,6,2
PEG.N0000,2016-01-25,42.0,42.0,35.2,35.2,10728.0,304,5
PEG.N0000,2016-01-26,35.2,35.2,35.2,35.2,7040.0,200,4
PEG.N0000,2016-01-27,35.5,35.5,35.5,35.2,177.5,5,1
PEG.N0000,2016-01-28,41.5,41.5,35.5,35.2,2179.5,58,5
PEG.N0000,2016-01-31,40.8,40.8,40.8,35.2,204.0,5,1
PEG.N0000,2016-02-04,39.9,39.9,39.9,35.2,39.9,1,1
PEG.N0000,2016-02-09,37.7,37.7,37.7,35.2,37.7,1,1
PEG.N0000,2016-02-10,37.7,37.7,37.5,37.6,8686.2,231,6
PEG.N0000,2016-02-11,36.0,39.1,35.1,35.7,25445.2,712,5
PEG.N0000,2016-02-14,35.5,39.0,35.0,35.1,40159.2,1144,13
PEG.N0000,2016-02-16,36.1,36.1,36.0,35.1,1117.8,31,2
PEG.N0000,2016-02-17,39.0,39.0,39.0,35.1,39.0,1,1
PEG.N0000,2016-02-18,35.0,35.0,34.0,34.1,89888.2,2629,17
PEG.N0000,2016-02-22,36.0,36.9,36.0,36.5,9135.0,250,2
PEG.N0000,2016-02-23,36.9,36.9,36.9,36.5,110.7,3,3
PEG.N0000,2016-02-24,35.0,36.9,35.0,35.0,34721.9,992,3
PEG.N0000,2016-02-25,38.5,38.5,38.5,35.0,192.5,5,1
PEG.N0000,2016-02-28,38.0,38.0,38.0,35.0,38.0,1,1
PEG.N0000,2016-02-29,35.0,35.0,34.1,34.5,7773.7,225,5
PEG.N0000,2016-03-02,34.1,34.1,33.0,33.5,63853.0,1900,9
PEG.N0000,2016-03-03,34.0,34.0,33.0,33.1,64165.2,1940,7
PEG.N0000,2016-03-07,33.0,33.0,25.0,27.0,152972.5,5392,8
PEG.N0000,2016-03-08,27.1,28.0,25.0,28.0,697254.0,27028,29
PEG.N0000,2016-03-10,29.8,32.0,29.8,30.0,246895.5,8225,15
PEG.N0000,2016-03-13,32.0,32.0,28.0,28.0,59200.0,2100,4
PEG.N0000,2016-03-14,28.0,28.0,28.0,28.0,28000.0,1000,1
PEG.N0000,2016-03-15,30.0,34.4,30.0,32.2,16814.0,531,7
PEG.N0000,2016-03-16,34.0,34.5,31.0,31.0,84000.0,2500,6
PEG.N0000,2016-03-17,34.0,34.0,34.0,31.0,374.0,11,2
PEG.N0000,2016-03-22,33.0,33.0,32.0,32.3,10693.0,331,5
PEG.N0000,2016-03-23,32.0,34.0,31.5,33.6,17244.0,531,8
PEG.N0000,2016-03-27,34.0,34.0,34.0,33.6,238.0,7,1
PEG.N0000,2016-03-28,31.8,32.0,31.1,31.5,25932.0,820,7
PEG.N0000,2016-03-29,31.5,34.5,31.5,31.5,721.5,21,2
PEG.N0000,2016-03-30,34.4,34.4,31.5,31.5,3007.0,95,3
