ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PLR.N0000,2021-06-07,12.0,14.9,11.6,11.9,614343951.0,48363613,9734
PLR.N0000,2021-06-08,12.0,12.0,11.3,11.4,57103996.4,4980683,1532
PLR.N0000,2021-06-09,11.4,11.5,10.8,11.0,106498027.8,9669489,1658
PLR.N0000,2021-06-10,11.0,11.0,10.7,10.8,12547233.2,1161825,554
PLR.N0000,2021-06-13,10.8,10.8,10.4,10.6,27152805.5,2565621,587
PLR.N0000,2021-06-14,10.5,10.6,10.4,10.5,12022416.9,1147555,364
PLR.N0000,2021-06-15,10.6,10.6,10.4,10.5,6240918.4,593328,209
PLR.N0000,2021-06-16,10.5,10.6,10.4,10.4,3696474.9,353570,167
PLR.N0000,2021-06-17,10.5,10.6,10.4,10.5,8677710.9,829789,312
PLR.N0000,2021-06-20,10.5,10.5,10.2,10.5,8090287.3,781807,259
PLR.N0000,2021-06-21,10.4,10.5,10.1,10.3,6953752.3,674769,275
PLR.N0000,2021-06-22,10.4,10.4,10.1,10.2,2265091.5,221538,149
PLR.N0000,2021-06-24,10.3,10.4,10.2,10.3,3398520.8,330413,119
PLR.N0000,2021-06-27,10.3,10.4,10.2,10.2,2857357.9,278911,135
PLR.N0000,2021-06-28,10.2,10.3,10.0,10.0,8919569.3,887965,409
PLR.N0000,2021-06-29,10.0,10.0,9.6,9.8,8882223.8,906820,396
PLR.N0000,2021-06-30,10.0,10.3,10.0,10.2,5239856.2,515003,234
PLR.N0000,2021-07-01,10.3,10.4,10.2,10.2,1793067.0,174277,111
PLR.N0000,2021-07-04,10.2,10.3,10.1,10.2,3101436.9,304401,125
PLR.N0000,2021-07-05,10.3,10.3,10.1,10.1,2392624.2,235122,109
PLR.N0000,2021-07-06,10.2,10.2,10.0,10.1,1522651.4,150591,86
PLR.N0000,2021-07-07,10.2,10.2,10.1,10.1,2758387.4,271741,123
PLR.N0000,2021-07-08,9.9,10.0,9.7,9.8,5872522.7,597468,409
PLR.N0000,2021-07-11,9.8,9.9,9.6,9.7,3159305.4,324642,194
PLR.N0000,2021-07-12,9.7,9.8,9.6,9.7,3686169.6,381934,167
PLR.N0000,2021-07-13,9.7,9.8,9.6,9.7,1466142.0,151260,89
PLR.N0000,2021-07-14,9.7,9.8,9.6,9.7,1561800.2,160937,93
PLR.N0000,2021-07-15,9.7,9.9,9.7,9.8,2092621.9,213926,89
PLR.N0000,2021-07-18,9.8,9.8,9.6,9.6,5346175.6,551975,250
PLR.N0000,2021-07-19,9.6,9.8,9.6,9.7,5244072.6,543035,238
PLR.N0000,2021-07-21,9.7,9.8,9.6,9.6,6291312.3,653054,260
PLR.N0000,2021-07-25,9.7,9.7,9.5,9.6,4871854.1,508225,199
PLR.N0000,2021-07-26,9.7,9.7,9.5,9.6,2593144.7,270188,96
PLR.N0000,2021-07-27,9.7,9.7,9.5,9.6,5457964.3,568369,159
PLR.N0000,2021-07-28,9.9,10.0,9.6,9.6,14659856.7,1515207,402
PLR.N0000,2021-07-29,9.8,9.8,9.5,9.5,5480520.3,571848,221
